Timestamp,['1cac28c3-0ed88c3d 0077-CHRISTENSEN CNTR Power Meter (300172) PM VOTL A-N']
2017-01-01T00:00:00-07:00,272.74615478515625 V
2017-01-02T00:00:00-07:00,272.74615478515625 V
2017-01-03T00:00:00-07:00,272.74615478515625 V
2017-01-04T00:00:00-07:00,272.74615478515625 V
2017-01-05T00:00:00-07:00,272.74615478515625 V
2017-01-06T00:00:00-07:00,272.74615478515625 V
2017-01-07T00:00:00-07:00,272.74615478515625 V
2017-01-08T00:00:00-07:00,272.74615478515625 V
2017-01-09T00:00:00-07:00,272.74615478515625 V
2017-01-10T00:00:00-07:00,272.74615478515625 V
2017-01-11T00:00:00-07:00,272.74615478515625 V
2017-01-12T00:00:00-07:00,272.74615478515625 V
2017-01-13T00:00:00-07:00,272.74615478515625 V
2017-01-14T00:00:00-07:00,272.74615478515625 V
2017-01-15T00:00:00-07:00,272.74615478515625 V
2017-01-16T00:00:00-07:00,272.74615478515625 V
2017-01-17T00:00:00-07:00,272.74615478515625 V
2017-01-18T00:00:00-07:00,273.3539269760567 V
2017-01-19T00:00:00-07:00,274.4042724397447 V
2017-01-20T00:00:00-07:00,274.3960848566709 V
2017-01-21T00:00:00-07:00,274.0902894337972 V
2017-01-22T00:00:00-07:00,274.0726297590468 V
2017-01-23T00:00:00-07:00,274.2914364284939 V
2017-01-24T00:00:00-07:00,274.2479871114095 V
2017-01-25T00:00:00-07:00,273.96600432925754 V
2017-01-26T00:00:00-07:00,274.5233937793308 V
2017-01-27T00:00:00-07:00,274.0147869322035 V
2017-01-28T00:00:00-07:00,274.1837345759074 V
2017-01-29T00:00:00-07:00,274.31442010667587 V
2017-01-30T00:00:00-07:00,273.94575934939917 V
2017-01-31T00:00:00-07:00,273.9885406917996 V
2017-02-01T00:00:00-07:00,274.2839582019382 V
2017-02-02T00:00:00-07:00,274.2935211393568 V
2017-02-03T00:00:00-07:00,274.5290861149643 V
2017-02-04T00:00:00-07:00,274.53220155504016 V
2017-02-05T00:00:00-07:00,274.3912083332202 V
2017-02-06T00:00:00-07:00,274.5763097763062 V
2017-02-07T00:00:00-07:00,274.20820720399746 V
2017-02-08T00:00:00-07:00,274.38766189877776 V
2017-02-09T00:00:00-07:00,273.98271267210305 V
2017-02-10T00:00:00-07:00,274.2350279490153 V
2017-02-11T00:00:00-07:00,274.3588214874268 V
2017-02-12T00:00:00-07:00,274.65923025343153 V
2017-02-13T00:00:00-07:00,274.4319649166531 V
2017-02-14T00:00:00-07:00,274.41763444089923 V
2017-02-15T00:00:00-07:00,274.15879073672824 V
2017-02-16T00:00:00-07:00,274.3946744918823 V
2017-02-17T00:00:00-07:00,274.4204660627577 V
2017-02-18T00:00:00-07:00,274.4637356652154 V
2017-02-19T00:00:00-07:00,274.5413852055868 V
2017-02-20T00:00:00-07:00,274.5380887773302 V
2017-02-21T00:00:00-07:00,274.37566038767494 V
2017-02-22T00:00:00-07:00,274.2342487547133 V
2017-02-23T00:00:00-07:00,274.08793224758574 V
2017-02-24T00:00:00-07:00,274.3599986580486 V
2017-02-25T00:00:00-07:00,274.4925537109375 V
2017-02-26T00:00:00-07:00,274.23896221584744 V
2017-02-27T00:00:00-07:00,274.13814154730903 V
2017-02-28T00:00:00-07:00,274.36084334055585 V
2017-03-01T00:00:00-07:00,274.5926056543986 V
2017-03-02T00:00:00-07:00,274.1859049691094 V
2017-03-03T00:00:00-07:00,274.50380157894557 V
2017-03-04T00:00:00-07:00,273.9513097763062 V
2017-03-05T00:00:00-07:00,274.63968806796606 V
2017-03-06T00:00:00-07:00,274.2863878038194 V
2017-03-07T00:00:00-07:00,274.18676641252307 V
2017-03-08T00:00:00-07:00,274.4795253329807 V
2017-03-09T00:00:00-07:00,274.045483885871 V
2017-03-10T00:00:00-07:00,274.6124324374729 V
2017-03-11T00:00:00-07:00,274.5985699971517 V
2017-03-12T00:00:00-07:00,274.52498014146005 V
2017-03-13T00:00:00-06:00,274.54840467241075 V
2017-03-14T00:00:00-06:00,274.59141705830893 V
2017-03-15T00:00:00-06:00,274.27821945614284 V
2017-03-16T00:00:00-06:00,274.6018845240275 V
2017-03-17T00:00:00-06:00,274.666081322564 V
2017-03-18T00:00:00-06:00,274.40480009714764 V
2017-03-19T00:00:00-06:00,274.26557741039244 V
2017-03-20T00:00:00-06:00,274.4416311813749 V
2017-03-21T00:00:00-06:00,274.2478983985053 V
2017-03-22T00:00:00-06:00,274.3624677022298 V
2017-03-23T00:00:00-06:00,274.372862115347 V
2017-03-24T00:00:00-06:00,274.55419629414877 V
2017-03-25T00:00:00-06:00,274.39756054348413 V
2017-03-26T00:00:00-06:00,274.92336281670464 V
2017-03-27T00:00:00-06:00,274.5027485953437 V
2017-03-28T00:00:00-06:00,274.56408485693595 V
2017-03-29T00:00:00-06:00,274.5194110352933 V
2017-03-30T00:00:00-06:00,274.5099112503617 V
2017-03-31T00:00:00-06:00,274.6391435623169 V
2017-04-01T00:00:00-06:00,274.4470433705047 V
2017-04-02T00:00:00-06:00,274.81192224290635 V
2017-04-03T00:00:00-06:00,274.32284882863365 V
2017-04-04T00:00:00-06:00,274.3930502149794 V
2017-04-05T00:00:00-06:00,274.159865410482 V
2017-04-06T00:00:00-06:00,274.5971913867527 V
2017-04-07T00:00:00-06:00,274.6188930699691 V
2017-04-08T00:00:00-06:00,274.4282407124837 V
