Timestamp,['1cac619c-4b576858 0009-WIDTSOE BLDG Power Meter 1(300028) KWH Received']
2017-01-01T00:00:00-07:00,0 kWh
2017-01-02T00:00:00-07:00,0 kWh
2017-01-03T00:00:00-07:00,0 kWh
2017-01-04T00:00:00-07:00,0 kWh
2017-01-05T00:00:00-07:00,0 kWh
2017-01-06T00:00:00-07:00,0 kWh
2017-01-07T00:00:00-07:00,0 kWh
2017-01-08T00:00:00-07:00,0 kWh
2017-01-09T00:00:00-07:00,0 kWh
2017-01-10T00:00:00-07:00,0 kWh
2017-01-11T00:00:00-07:00,0 kWh
2017-01-12T00:00:00-07:00,0 kWh
2017-01-13T00:00:00-07:00,0 kWh
2017-01-14T00:00:00-07:00,0 kWh
2017-01-15T00:00:00-07:00,0 kWh
2017-01-16T00:00:00-07:00,0 kWh
2017-01-17T00:00:00-07:00,0 kWh
2017-01-18T00:00:00-07:00,246240.6630859375 kWh
2017-01-19T00:00:00-07:00,740.234375 kWh
2017-01-20T00:00:00-07:00,798.109375 kWh
2017-01-21T00:00:00-07:00,241.71875 kWh
2017-01-22T00:00:00-07:00,0 kWh
2017-01-23T00:00:00-07:00,0 kWh
2017-01-24T00:00:00-07:00,0 kWh
2017-01-25T00:00:00-07:00,0 kWh
2017-01-26T00:00:00-07:00,0 kWh
2017-01-27T00:00:00-07:00,0 kWh
2017-01-28T00:00:00-07:00,0 kWh
2017-01-29T00:00:00-07:00,0 kWh
2017-01-30T00:00:00-07:00,0 kWh
2017-01-31T00:00:00-07:00,0 kWh
2017-02-01T00:00:00-07:00,0 kWh
2017-02-02T00:00:00-07:00,0 kWh
2017-02-03T00:00:00-07:00,0 kWh
2017-02-04T00:00:00-07:00,0 kWh
2017-02-05T00:00:00-07:00,0 kWh
2017-02-06T00:00:00-07:00,0 kWh
2017-02-07T00:00:00-07:00,13850.109375 kWh
2017-02-08T00:00:00-07:00,829.625 kWh
2017-02-09T00:00:00-07:00,1203.40625 kWh
2017-02-10T00:00:00-07:00,892.40625 kWh
2017-02-11T00:00:00-07:00,714.84375 kWh
2017-02-12T00:00:00-07:00,644.375 kWh
2017-02-13T00:00:00-07:00,767.8125 kWh
2017-02-14T00:00:00-07:00,754.15625 kWh
2017-02-15T00:00:00-07:00,799.875 kWh
2017-02-16T00:00:00-07:00,817.6875 kWh
2017-02-17T00:00:00-07:00,813.8125 kWh
2017-02-18T00:00:00-07:00,727.125 kWh
