Timestamp,['1cac61ad-3487261b 0009-WIDTSOE BLDG Power Meter 1(300028) KW Total']
2017-01-01T00:00:00-07:00,7.492089271545563 kW
2017-01-02T00:00:00-07:00,7.492089271545562 kW
2017-01-03T00:00:00-07:00,7.492089271545562 kW
2017-01-04T00:00:00-07:00,7.492089271545565 kW
2017-01-05T00:00:00-07:00,7.492089271545562 kW
2017-01-06T00:00:00-07:00,7.492089271545564 kW
2017-01-07T00:00:00-07:00,7.492089271545563 kW
2017-01-08T00:00:00-07:00,7.492089271545564 kW
2017-01-09T00:00:00-07:00,7.492089271545564 kW
2017-01-10T00:00:00-07:00,7.492089271545562 kW
2017-01-11T00:00:00-07:00,7.492089271545563 kW
2017-01-12T00:00:00-07:00,7.492089271545563 kW
2017-01-13T00:00:00-07:00,7.492089271545563 kW
2017-01-14T00:00:00-07:00,7.492089271545562 kW
2017-01-15T00:00:00-07:00,7.492089271545562 kW
2017-01-16T00:00:00-07:00,7.492089271545564 kW
2017-01-17T00:00:00-07:00,7.492089271545563 kW
2017-01-18T00:00:00-07:00,19.953477506847246 kW
2017-01-19T00:00:00-07:00,30.829912335960913 kW
2017-01-20T00:00:00-07:00,33.20988596300282 kW
2017-01-21T00:00:00-07:00,28.279472815018025 kW
2017-01-22T00:00:00-07:00,27.786611557005813 kW
2017-01-23T00:00:00-07:00,27.786611557005816 kW
2017-01-24T00:00:00-07:00,27.786611557005813 kW
2017-01-25T00:00:00-07:00,27.78661155700581 kW
2017-01-26T00:00:00-07:00,27.78661155700582 kW
2017-01-27T00:00:00-07:00,27.786611557005827 kW
2017-01-28T00:00:00-07:00,27.786611557005834 kW
2017-01-29T00:00:00-07:00,27.786611557005813 kW
2017-01-30T00:00:00-07:00,27.786611557005827 kW
2017-01-31T00:00:00-07:00,27.78661155700581 kW
2017-02-01T00:00:00-07:00,27.786611557005806 kW
2017-02-02T00:00:00-07:00,27.78661155700581 kW
2017-02-03T00:00:00-07:00,27.786611557006598 kW
2017-02-04T00:00:00-07:00,27.786611557006673 kW
2017-02-05T00:00:00-07:00,27.78661155700642 kW
2017-02-06T00:00:00-07:00,27.78661155700638 kW
2017-02-07T00:00:00-07:00,33.44240594855057 kW
2017-02-08T00:00:00-07:00,34.46926031256162 kW
2017-02-09T00:00:00-07:00,50.108584262905346 kW
2017-02-10T00:00:00-07:00,37.12552882390998 kW
2017-02-11T00:00:00-07:00,29.77379704084663 kW
2017-02-12T00:00:00-07:00,26.787693050172606 kW
2017-02-13T00:00:00-07:00,31.93389506724142 kW
2017-02-14T00:00:00-07:00,31.31911413656339 kW
2017-02-15T00:00:00-07:00,33.30727032038898 kW
2017-02-16T00:00:00-07:00,34.13401957750316 kW
2017-02-17T00:00:00-07:00,33.891057519934776 kW
2017-02-18T00:00:00-07:00,30.293469722006 kW
2017-02-19T00:00:00-07:00,30.214293264018178 kW
2017-02-20T00:00:00-07:00,31.74596724214372 kW
2017-02-21T00:00:00-07:00,37.578375439379 kW
2017-02-22T00:00:00-07:00,38.26292846516328 kW
2017-02-23T00:00:00-07:00,34.455239611334335 kW
2017-02-24T00:00:00-07:00,33.10301004334732 kW
2017-02-25T00:00:00-07:00,27.11315204415053 kW
2017-02-26T00:00:00-07:00,27.44607577522592 kW
2017-02-27T00:00:00-07:00,31.609271369819236 kW
2017-02-28T00:00:00-07:00,29.581526831675465 kW
2017-03-01T00:00:00-07:00,30.553377211358814 kW
2017-03-02T00:00:00-07:00,31.04790665065797 kW
2017-03-03T00:00:00-07:00,32.06475835347618 kW
2017-03-04T00:00:00-07:00,27.46904861898335 kW
2017-03-05T00:00:00-07:00,25.98012316061391 kW
2017-03-06T00:00:00-07:00,29.876794626624527 kW
2017-03-07T00:00:00-07:00,29.926583716405766 kW
2017-03-08T00:00:00-07:00,31.749274130595992 kW
