Timestamp,['1cac6209-e8c0af9e 0009-WIDTSOE BLDG Power Meter 1(300028) VOLT C-N']
2017-01-01T00:00:00-07:00,279.0610656738281 V
2017-01-02T00:00:00-07:00,279.0610656738281 V
2017-01-03T00:00:00-07:00,279.0610656738281 V
2017-01-04T00:00:00-07:00,279.0610656738281 V
2017-01-05T00:00:00-07:00,279.0610656738281 V
2017-01-06T00:00:00-07:00,279.0610656738281 V
2017-01-07T00:00:00-07:00,279.0610656738281 V
2017-01-08T00:00:00-07:00,279.0610656738281 V
2017-01-09T00:00:00-07:00,279.0610656738281 V
2017-01-10T00:00:00-07:00,279.0610656738281 V
2017-01-11T00:00:00-07:00,279.0610656738281 V
2017-01-12T00:00:00-07:00,279.0610656738281 V
2017-01-13T00:00:00-07:00,279.0610656738281 V
2017-01-14T00:00:00-07:00,279.0610656738281 V
2017-01-15T00:00:00-07:00,279.0610656738281 V
2017-01-16T00:00:00-07:00,279.0610656738281 V
2017-01-17T00:00:00-07:00,279.0610656738281 V
2017-01-18T00:00:00-07:00,279.9872118631999 V
2017-01-19T00:00:00-07:00,281.5755626489988 V
2017-01-20T00:00:00-07:00,281.6615917285839 V
2017-01-21T00:00:00-07:00,280.5443906148275 V
2017-01-22T00:00:00-07:00,280.51104736328125 V
2017-01-23T00:00:00-07:00,280.51104736328125 V
2017-01-24T00:00:00-07:00,280.51104736328125 V
2017-01-25T00:00:00-07:00,280.51104736328125 V
2017-01-26T00:00:00-07:00,280.51104736328125 V
2017-01-27T00:00:00-07:00,280.51104736328125 V
2017-01-28T00:00:00-07:00,280.51104736328125 V
2017-01-29T00:00:00-07:00,280.51104736328125 V
2017-01-30T00:00:00-07:00,280.51104736328125 V
2017-01-31T00:00:00-07:00,280.51104736328125 V
2017-02-01T00:00:00-07:00,280.51104736328125 V
2017-02-02T00:00:00-07:00,280.51104736328125 V
2017-02-03T00:00:00-07:00,280.51104736328125 V
2017-02-04T00:00:00-07:00,280.51104736328125 V
2017-02-05T00:00:00-07:00,280.51104736328125 V
2017-02-06T00:00:00-07:00,280.51104736328125 V
2017-02-07T00:00:00-07:00,282.2690000554163 V
2017-02-08T00:00:00-07:00,283.80373693073295 V
2017-02-09T00:00:00-07:00,282.9153124261466 V
2017-02-10T00:00:00-07:00,283.7040620953611 V
2017-02-11T00:00:00-07:00,283.700141705127 V
2017-02-12T00:00:00-07:00,283.4735037909614 V
2017-02-13T00:00:00-07:00,283.5899782816569 V
2017-02-14T00:00:00-07:00,283.6703794248136 V
2017-02-15T00:00:00-07:00,283.70550626491405 V
2017-02-16T00:00:00-07:00,283.57626914446735 V
2017-02-17T00:00:00-07:00,283.83305731831985 V
2017-02-18T00:00:00-07:00,283.66503727485946 V
2017-02-19T00:00:00-07:00,283.6549704978288 V
2017-02-20T00:00:00-07:00,283.4379130642702 V
2017-02-21T00:00:00-07:00,283.51400224428784 V
2017-02-22T00:00:00-07:00,283.33364248874295 V
2017-02-23T00:00:00-07:00,283.2135568081625 V
2017-02-24T00:00:00-07:00,283.3563654735835 V
2017-02-25T00:00:00-07:00,283.4220587642744 V
2017-02-26T00:00:00-07:00,283.84385912796915 V
2017-02-27T00:00:00-07:00,283.82259234888227 V
