Timestamp,['1cac6e3b-e8a7ca9a 0011-BROWNING BLDG Power Meter 311945 Kwh Received']
2017-01-01T00:00:00-07:00,0 kWh
2017-01-02T00:00:00-07:00,0 kWh
2017-01-03T00:00:00-07:00,0 kWh
2017-01-04T00:00:00-07:00,0 kWh
2017-01-05T00:00:00-07:00,0 kWh
2017-01-06T00:00:00-07:00,0 kWh
2017-01-07T00:00:00-07:00,0 kWh
2017-01-08T00:00:00-07:00,0 kWh
2017-01-09T00:00:00-07:00,0 kWh
2017-01-10T00:00:00-07:00,0 kWh
2017-01-11T00:00:00-07:00,0 kWh
2017-01-12T00:00:00-07:00,0 kWh
2017-01-13T00:00:00-07:00,0 kWh
2017-01-14T00:00:00-07:00,0 kWh
2017-01-15T00:00:00-07:00,0 kWh
2017-01-16T00:00:00-07:00,0 kWh
2017-01-17T00:00:00-07:00,0 kWh
2017-01-18T00:00:00-07:00,84428 kWh
2017-01-19T00:00:00-07:00,1317.15625 kWh
2017-01-20T00:00:00-07:00,1247.96875 kWh
2017-01-21T00:00:00-07:00,1134.5 kWh
2017-01-22T00:00:00-07:00,1070.53125 kWh
2017-01-23T00:00:00-07:00,1378.25 kWh
2017-01-24T00:00:00-07:00,1400.28125 kWh
2017-01-25T00:00:00-07:00,1427 kWh
2017-01-26T00:00:00-07:00,1304.8125 kWh
2017-01-27T00:00:00-07:00,1275.875 kWh
2017-01-28T00:00:00-07:00,1138.46875 kWh
2017-01-29T00:00:00-07:00,1123 kWh
2017-01-30T00:00:00-07:00,1282.78125 kWh
2017-01-31T00:00:00-07:00,1449.1875 kWh
2017-02-01T00:00:00-07:00,1351.625 kWh
2017-02-02T00:00:00-07:00,1416.21875 kWh
2017-02-03T00:00:00-07:00,1310.875 kWh
2017-02-04T00:00:00-07:00,1187.4375 kWh
2017-02-05T00:00:00-07:00,1218.28125 kWh
2017-02-06T00:00:00-07:00,1327.6875 kWh
2017-02-07T00:00:00-07:00,1274.9375 kWh
2017-02-08T00:00:00-07:00,1414.5 kWh
2017-02-09T00:00:00-07:00,1393.03125 kWh
2017-02-10T00:00:00-07:00,1511.3125 kWh
2017-02-11T00:00:00-07:00,1238.25 kWh
2017-02-12T00:00:00-07:00,1188.90625 kWh
2017-02-13T00:00:00-07:00,1373.4375 kWh
2017-02-14T00:00:00-07:00,1383.3125 kWh
2017-02-15T00:00:00-07:00,1406.8125 kWh
2017-02-16T00:00:00-07:00,1457.96875 kWh
