Timestamp,['1cac6e94-ebfa7e7c 0011-BROWNING BLDG Power Meter 311945 VOLT A-N']
2017-01-01T00:00:00-07:00,121.73521423339844 V
2017-01-02T00:00:00-07:00,121.73521423339844 V
2017-01-03T00:00:00-07:00,121.73521423339844 V
2017-01-04T00:00:00-07:00,121.73521423339844 V
2017-01-05T00:00:00-07:00,121.73521423339844 V
2017-01-06T00:00:00-07:00,121.73521423339844 V
2017-01-07T00:00:00-07:00,121.73521423339844 V
2017-01-08T00:00:00-07:00,121.73521423339844 V
2017-01-09T00:00:00-07:00,121.73521423339844 V
2017-01-10T00:00:00-07:00,121.73521423339844 V
2017-01-11T00:00:00-07:00,121.73521423339844 V
2017-01-12T00:00:00-07:00,121.73521423339844 V
2017-01-13T00:00:00-07:00,121.73521423339844 V
2017-01-14T00:00:00-07:00,121.73521423339844 V
2017-01-15T00:00:00-07:00,121.73521423339844 V
2017-01-16T00:00:00-07:00,121.73521423339844 V
2017-01-17T00:00:00-07:00,121.73521423339844 V
2017-01-18T00:00:00-07:00,122.17582062392206 V
2017-01-19T00:00:00-07:00,122.73052708837722 V
2017-01-20T00:00:00-07:00,122.88320594888755 V
2017-01-21T00:00:00-07:00,122.85929191907248 V
2017-01-22T00:00:00-07:00,122.69273997942607 V
2017-01-23T00:00:00-07:00,122.66472426520454 V
2017-01-24T00:00:00-07:00,122.7881847222646 V
2017-01-25T00:00:00-07:00,122.63167452282376 V
2017-01-26T00:00:00-07:00,122.68085399203831 V
2017-01-27T00:00:00-07:00,122.69691874186198 V
2017-01-28T00:00:00-07:00,122.69148518244425 V
2017-01-29T00:00:00-07:00,122.70641385714212 V
2017-01-30T00:00:00-07:00,122.84666745927599 V
2017-01-31T00:00:00-07:00,122.54763206375969 V
2017-02-01T00:00:00-07:00,122.70687120225695 V
2017-02-02T00:00:00-07:00,122.65501767264472 V
2017-02-03T00:00:00-07:00,122.64809835512163 V
2017-02-04T00:00:00-07:00,122.80718856387668 V
2017-02-05T00:00:00-07:00,122.6139684094323 V
2017-02-06T00:00:00-07:00,122.73793508211772 V
2017-02-07T00:00:00-07:00,122.79050553630813 V
2017-02-08T00:00:00-07:00,122.74662163040854 V
2017-02-09T00:00:00-07:00,122.75424889411423 V
2017-02-10T00:00:00-07:00,122.71757471826342 V
2017-02-11T00:00:00-07:00,122.8153081840939 V
2017-02-12T00:00:00-07:00,122.71126320627 V
2017-02-13T00:00:00-07:00,122.80376639508637 V
2017-02-14T00:00:00-07:00,122.85592282684156 V
2017-02-15T00:00:00-07:00,122.7803998152415 V
2017-02-16T00:00:00-07:00,122.73516533639696 V
2017-02-17T00:00:00-07:00,122.81798467106289 V
2017-02-18T00:00:00-07:00,122.81112306382921 V
2017-02-19T00:00:00-07:00,122.77663283348083 V
2017-02-20T00:00:00-07:00,122.65743770599366 V
2017-02-21T00:00:00-07:00,122.62493010626899 V
2017-02-22T00:00:00-07:00,122.75944204860264 V
2017-02-23T00:00:00-07:00,122.78364908430311 V
2017-02-24T00:00:00-07:00,122.78665339706728 V
2017-02-25T00:00:00-07:00,122.71215458975898 V
2017-02-26T00:00:00-07:00,122.88362030453152 V
