Timestamp,['1cac6e9f-9b2d98fe 0011-BROWNING BLDG Power Meter 311945 VOLT B-N']
2017-01-01T00:00:00-07:00,121.82012939453125 V
2017-01-02T00:00:00-07:00,121.82012939453125 V
2017-01-03T00:00:00-07:00,121.82012939453125 V
2017-01-04T00:00:00-07:00,121.82012939453125 V
2017-01-05T00:00:00-07:00,121.82012939453125 V
2017-01-06T00:00:00-07:00,121.82012939453125 V
2017-01-07T00:00:00-07:00,121.82012939453125 V
2017-01-08T00:00:00-07:00,121.82012939453125 V
2017-01-09T00:00:00-07:00,121.82012939453125 V
2017-01-10T00:00:00-07:00,121.82012939453125 V
2017-01-11T00:00:00-07:00,121.82012939453125 V
2017-01-12T00:00:00-07:00,121.82012939453125 V
2017-01-13T00:00:00-07:00,121.82012939453125 V
2017-01-14T00:00:00-07:00,121.82012939453125 V
2017-01-15T00:00:00-07:00,121.82012939453125 V
2017-01-16T00:00:00-07:00,121.82012939453125 V
2017-01-17T00:00:00-07:00,121.82012939453125 V
2017-01-18T00:00:00-07:00,122.32625933418497 V
2017-01-19T00:00:00-07:00,122.97437660429213 V
2017-01-20T00:00:00-07:00,123.10944216848668 V
2017-01-21T00:00:00-07:00,123.02158562872145 V
2017-01-22T00:00:00-07:00,122.86875848240322 V
2017-01-23T00:00:00-07:00,122.88232843081157 V
2017-01-24T00:00:00-07:00,122.81839584244622 V
2017-01-25T00:00:00-07:00,122.83759864171346 V
2017-01-26T00:00:00-07:00,122.82500197622511 V
2017-01-27T00:00:00-07:00,122.92572218047248 V
2017-01-28T00:00:00-07:00,122.91221423678928 V
2017-01-29T00:00:00-07:00,122.9345801671346 V
2017-01-30T00:00:00-07:00,123.01415286064147 V
2017-01-31T00:00:00-07:00,122.78183318244086 V
2017-02-01T00:00:00-07:00,122.91734924316407 V
2017-02-02T00:00:00-07:00,122.81705522537231 V
2017-02-03T00:00:00-07:00,122.82857870773941 V
2017-02-04T00:00:00-07:00,122.93568575647143 V
2017-02-05T00:00:00-07:00,122.77425898445978 V
2017-02-06T00:00:00-07:00,122.9210239622328 V
2017-02-07T00:00:00-07:00,122.9229440301197 V
2017-02-08T00:00:00-07:00,122.97886834903197 V
2017-02-09T00:00:00-07:00,122.83597576883105 V
2017-02-10T00:00:00-07:00,122.88826687600877 V
2017-02-11T00:00:00-07:00,122.9460700141059 V
2017-02-12T00:00:00-07:00,122.86132711304559 V
