Timestamp,['1cbae874-b0a7a76b 0038-ART BLDG Power Meter 300086 KW']
2017-01-01T00:00:00-07:00,28.16573715209961 kW
2017-01-02T00:00:00-07:00,28.73303985595703 kW
2017-01-03T00:00:00-07:00,33.487911224365234 kW
2017-01-04T00:00:00-07:00,34.41046142578125 kW
2017-01-05T00:00:00-07:00,37.37562561035156 kW
2017-01-06T00:00:00-07:00,35.5240478515625 kW
2017-01-07T00:00:00-07:00,33.58252716064453 kW
2017-01-08T00:00:00-07:00,44.974388122558594 kW
2017-01-09T00:00:00-07:00,45.25400161743164 kW
2017-01-10T00:00:00-07:00,55.014461517333984 kW
2017-01-11T00:00:00-07:00,49.835418701171875 kW
2017-01-12T00:00:00-07:00,42.3226318359375 kW
2017-01-13T00:00:00-07:00,40.86594772338867 kW
2017-01-14T00:00:00-07:00,32.08939743041992 kW
2017-01-15T00:00:00-07:00,42.96397399902344 kW
2017-01-16T00:00:00-07:00,32.8242301940918 kW
2017-01-17T00:00:00-07:00,42.59883499145508 kW
2017-01-18T00:00:00-07:00,62.574344635009766 kW
2017-01-19T00:00:00-07:00,47.77211380004883 kW
2017-01-20T00:00:00-07:00,43.85173797607422 kW
2017-01-21T00:00:00-07:00,29.486831665039062 kW
2017-01-22T00:00:00-07:00,59.77944564819336 kW
2017-01-23T00:00:00-07:00,52.097293853759766 kW
2017-01-24T00:00:00-07:00,50.72776794433594 kW
2017-01-25T00:00:00-07:00,60.88580322265625 kW
2017-01-26T00:00:00-07:00,62.981075286865234 kW
2017-01-27T00:00:00-07:00,35.63962173461914 kW
2017-01-28T00:00:00-07:00,29.441312789916992 kW
2017-01-29T00:00:00-07:00,39.13903045654297 kW
2017-01-30T00:00:00-07:00,57.7492790222168 kW
2017-01-31T00:00:00-07:00,53.59054183959961 kW
2017-02-01T00:00:00-07:00,75.25279998779297 kW
2017-02-02T00:00:00-07:00,50.735599517822266 kW
2017-02-03T00:00:00-07:00,53.49497985839844 kW
2017-02-04T00:00:00-07:00,56.090816497802734 kW
2017-02-05T00:00:00-07:00,34.2540283203125 kW
2017-02-06T00:00:00-07:00,76.54605102539062 kW
2017-02-07T00:00:00-07:00,73.37055206298828 kW
2017-02-08T00:00:00-07:00,42.353904724121094 kW
2017-02-09T00:00:00-07:00,52.97303771972656 kW
2017-02-10T00:00:00-07:00,38.18775939941406 kW
2017-02-11T00:00:00-07:00,46.4881477355957 kW
2017-02-12T00:00:00-07:00,65.17535400390625 kW
2017-02-13T00:00:00-07:00,61.618812561035156 kW
2017-02-14T00:00:00-07:00,45.33017349243164 kW
2017-02-15T00:00:00-07:00,50.08493423461914 kW
