Timestamp,['1cbae8d4-7c819ced 0038-ART BLDG Power Meter 300086 Current B']
2017-01-01T00:00:00-07:00,46.064120557573105 A
2017-01-02T00:00:00-07:00,45.52284604178534 A
2017-01-03T00:00:00-07:00,55.746649725558115 A
2017-01-04T00:00:00-07:00,56.869235303666855 A
2017-01-05T00:00:00-07:00,65.024765823184 A
2017-01-06T00:00:00-07:00,68.9567341460122 A
2017-01-07T00:00:00-07:00,59.67458526558346 A
2017-01-08T00:00:00-07:00,65.95810016581713 A
2017-01-09T00:00:00-07:00,84.42605134911007 A
2017-01-10T00:00:00-07:00,86.28302698930105 A
2017-01-11T00:00:00-07:00,78.18396376503102 A
2017-01-12T00:00:00-07:00,72.98631154696146 A
2017-01-13T00:00:00-07:00,62.18343416319953 A
2017-01-14T00:00:00-07:00,57.71101689504483 A
2017-01-15T00:00:00-07:00,61.08813971413507 A
2017-01-16T00:00:00-07:00,63.34644594987233 A
2017-01-17T00:00:00-07:00,79.27542327774896 A
2017-01-18T00:00:00-07:00,87.4853648832667 A
2017-01-19T00:00:00-07:00,73.08256369696723 A
2017-01-20T00:00:00-07:00,60.35438735653118 A
2017-01-21T00:00:00-07:00,46.69777469899919 A
2017-01-22T00:00:00-07:00,68.9464745812946 A
2017-01-23T00:00:00-07:00,88.77950077586704 A
2017-01-24T00:00:00-07:00,68.35712195867627 A
2017-01-25T00:00:00-07:00,70.07520926528507 A
2017-01-26T00:00:00-07:00,75.98080452283223 A
2017-01-27T00:00:00-07:00,62.77390865749783 A
2017-01-28T00:00:00-07:00,50.506613137986925 A
2017-01-29T00:00:00-07:00,55.58673623138004 A
2017-01-30T00:00:00-07:00,77.84323473506504 A
2017-01-31T00:00:00-07:00,73.33102631568909 A
2017-02-01T00:00:00-07:00,113.44342084195878 A
2017-02-02T00:00:00-07:00,84.60176748699612 A
2017-02-03T00:00:00-07:00,73.12233676075356 A
2017-02-04T00:00:00-07:00,79.61990366511874 A
2017-02-05T00:00:00-07:00,52.36912243366241 A
2017-02-06T00:00:00-07:00,98.42859443680456 A
2017-02-07T00:00:00-07:00,93.67096119809786 A
2017-02-08T00:00:00-07:00,71.23170908201824 A
2017-02-09T00:00:00-07:00,73.95104615953234 A
2017-02-10T00:00:00-07:00,72.43559517595503 A
2017-02-11T00:00:00-07:00,58.73651100794474 A
2017-02-12T00:00:00-07:00,66.56271326806811 A
2017-02-13T00:00:00-07:00,80.82598520914713 A
2017-02-14T00:00:00-07:00,67.70606000834958 A
2017-02-15T00:00:00-07:00,82.59601564937168 A
2017-02-16T00:00:00-07:00,69.1418937555772 A
2017-02-17T00:00:00-07:00,73.25357899665832 A
2017-02-18T00:00:00-07:00,48.09932743178474 A
2017-02-19T00:00:00-07:00,54.10110295348697 A
2017-02-20T00:00:00-07:00,67.56466979715559 A
2017-02-21T00:00:00-07:00,81.63066330750783 A
2017-02-22T00:00:00-07:00,71.4279521783193 A
2017-02-23T00:00:00-07:00,72.10652423434787 A
2017-02-24T00:00:00-07:00,68.68835116556598 A
2017-02-25T00:00:00-07:00,50.94384807745616 A
2017-02-26T00:00:00-07:00,52.69581751823425 A
2017-02-27T00:00:00-07:00,87.29889030191633 A
2017-02-28T00:00:00-07:00,95.19985274738735 A
2017-03-01T00:00:00-07:00,76.07391528288524 A
2017-03-02T00:00:00-07:00,70.29920909669664 A
2017-03-03T00:00:00-07:00,62.759707895914715 A
2017-03-04T00:00:00-07:00,59.936108048756914 A
2017-03-05T00:00:00-07:00,60.28693881034851 A
2017-03-06T00:00:00-07:00,116.88336073557535 A
2017-03-07T00:00:00-07:00,119.83740838103824 A
2017-03-08T00:00:00-07:00,82.57825344316325 A
2017-03-09T00:00:00-07:00,79.78106226656172 A
2017-03-10T00:00:00-07:00,65.65359727701767 A
2017-03-11T00:00:00-07:00,68.23474047978719 A
2017-03-12T00:00:00-07:00,45.72944368003071 A
2017-03-13T00:00:00-06:00,51.1598768737581 A
2017-03-14T00:00:00-06:00,55.797472479608324 A
2017-03-15T00:00:00-06:00,64.36834743022919 A
2017-03-16T00:00:00-06:00,59.67455334398482 A
2017-03-17T00:00:00-06:00,73.71922827131472 A
2017-03-18T00:00:00-06:00,54.099112990167406 A
2017-03-19T00:00:00-06:00,55.5746074491077 A
2017-03-20T00:00:00-06:00,69.53915410608678 A
2017-03-21T00:00:00-06:00,78.89364631175995 A
2017-03-22T00:00:00-06:00,61.651384716563754 A
2017-03-23T00:00:00-06:00,58.69611485269335 A
2017-03-24T00:00:00-06:00,52.87946623166402 A
2017-03-25T00:00:00-06:00,53.79546204010646 A
2017-03-26T00:00:00-06:00,60.60137301286061 A
2017-03-27T00:00:00-06:00,77.3259541882409 A
2017-03-28T00:00:00-06:00,79.65505262745751 A
2017-03-29T00:00:00-06:00,85.68845752469839 A
2017-03-30T00:00:00-06:00,84.04981315330222 A
2017-03-31T00:00:00-06:00,82.05753654564869 A
2017-04-01T00:00:00-06:00,66.37524083455403 A
2017-04-02T00:00:00-06:00,83.95032258033753 A
2017-04-03T00:00:00-06:00,76.2697953330146 A
2017-04-04T00:00:00-06:00,69.25466043154398 A
2017-04-05T00:00:00-06:00,83.75320830610063 A
2017-04-06T00:00:00-06:00,113.97138166427612 A
2017-04-07T00:00:00-06:00,87.67272023095025 A
2017-04-08T00:00:00-06:00,66.72826657560137 A
2017-04-09T00:00:00-06:00,89.22174965805478 A
2017-04-10T00:00:00-06:00,91.37552955415514 A
2017-04-11T00:00:00-06:00,75.20850667363658 A
2017-04-12T00:00:00-06:00,91.5874966594908 A
2017-04-13T00:00:00-06:00,86.03150311139328 A
2017-04-14T00:00:00-06:00,67.50578344158201 A
2017-04-15T00:00:00-06:00,62.39556811915504 A
2017-04-16T00:00:00-06:00,58.83729619979859 A
2017-04-17T00:00:00-06:00,92.3181066777971 A
2017-04-18T00:00:00-06:00,95.92001292440627 A
2017-04-19T00:00:00-06:00,117.4433143403795 A
2017-04-20T00:00:00-06:00,96.25031181706322 A
2017-04-21T00:00:00-06:00,70.74101084868113 A
2017-04-22T00:00:00-06:00,78.83417025936974 A
2017-04-23T00:00:00-06:00,63.086800225995496 A
2017-04-24T00:00:00-06:00,90.56655808024937 A
2017-04-25T00:00:00-06:00,108.16292892562018 A
2017-04-26T00:00:00-06:00,89.82933717568716 A
2017-04-27T00:00:00-06:00,112.4475091987186 A
2017-04-28T00:00:00-06:00,84.5674472782347 A
2017-04-29T00:00:00-06:00,96.59899926980337 A
