Timestamp,['1cbae955-d35a0815 0038-ART BLDG Power Meter 300086 Volts BC']
2017-01-01T00:00:00-07:00,215.73509787453546 V
2017-01-02T00:00:00-07:00,215.90189883973864 V
2017-01-03T00:00:00-07:00,215.86567965613472 V
2017-01-04T00:00:00-07:00,216.15125702752007 V
2017-01-05T00:00:00-07:00,215.7310080104404 V
2017-01-06T00:00:00-07:00,215.6561545583937 V
2017-01-07T00:00:00-07:00,215.4924996270074 V
2017-01-08T00:00:00-07:00,215.59120196236503 V
2017-01-09T00:00:00-07:00,215.4671643363105 V
2017-01-10T00:00:00-07:00,215.7782720035977 V
2017-01-11T00:00:00-07:00,215.84073170760675 V
2017-01-12T00:00:00-07:00,215.74863599141437 V
2017-01-13T00:00:00-07:00,216.10594267377925 V
2017-01-14T00:00:00-07:00,215.72305686738756 V
2017-01-15T00:00:00-07:00,215.55272455593212 V
2017-01-16T00:00:00-07:00,215.88653209227667 V
2017-01-17T00:00:00-07:00,215.84638334910076 V
2017-01-18T00:00:00-07:00,215.44340163783022 V
2017-01-19T00:00:00-07:00,215.84331177605523 V
2017-01-20T00:00:00-07:00,215.81191164750115 V
2017-01-21T00:00:00-07:00,215.54046493106418 V
2017-01-22T00:00:00-07:00,215.45649028354222 V
2017-01-23T00:00:00-07:00,215.62122059199774 V
2017-01-24T00:00:00-07:00,215.60287923812865 V
2017-01-25T00:00:00-07:00,215.471580924219 V
2017-01-26T00:00:00-07:00,215.8873119884067 V
2017-01-27T00:00:00-07:00,215.44842703198293 V
2017-01-28T00:00:00-07:00,215.56149524052938 V
2017-01-29T00:00:00-07:00,215.61518131386 V
2017-01-30T00:00:00-07:00,215.4124691221449 V
2017-01-31T00:00:00-07:00,215.51452300813463 V
2017-02-01T00:00:00-07:00,215.4915046506329 V
2017-02-02T00:00:00-07:00,215.69954832499852 V
2017-02-03T00:00:00-07:00,215.85114310675584 V
2017-02-04T00:00:00-07:00,215.75043024695358 V
2017-02-05T00:00:00-07:00,215.71153333452014 V
2017-02-06T00:00:00-07:00,215.86744860543146 V
2017-02-07T00:00:00-07:00,215.51811188300562 V
2017-02-08T00:00:00-07:00,215.78441533656007 V
2017-02-09T00:00:00-07:00,215.46473416222466 V
2017-02-10T00:00:00-07:00,215.5370471106635 V
2017-02-11T00:00:00-07:00,215.68539953596314 V
2017-02-12T00:00:00-07:00,215.89852561950684 V
2017-02-13T00:00:00-07:00,215.73799765904744 V
2017-02-14T00:00:00-07:00,215.77426490331146 V
2017-02-15T00:00:00-07:00,215.51401546266345 V
2017-02-16T00:00:00-07:00,215.73126644558377 V
2017-02-17T00:00:00-07:00,215.73533077531795 V
2017-02-18T00:00:00-07:00,215.7053896056281 V
2017-02-19T00:00:00-07:00,215.59672264522976 V
2017-02-20T00:00:00-07:00,215.64177321328057 V
2017-02-21T00:00:00-07:00,215.61561158498128 V
2017-02-22T00:00:00-07:00,215.48216506110296 V
2017-02-23T00:00:00-07:00,215.38077082312546 V
2017-02-24T00:00:00-07:00,215.4672390196416 V
2017-02-25T00:00:00-07:00,215.70899342430963 V
2017-02-26T00:00:00-07:00,215.45666066275703 V
2017-02-27T00:00:00-07:00,215.3984281433953 V
2017-02-28T00:00:00-07:00,215.6745758374532 V
2017-03-01T00:00:00-07:00,215.8246172587077 V
2017-03-02T00:00:00-07:00,215.47077045440673 V
2017-03-03T00:00:00-07:00,215.78436897065905 V
2017-03-04T00:00:00-07:00,215.17498970164286 V
2017-03-05T00:00:00-07:00,215.76118960191675 V
2017-03-06T00:00:00-07:00,215.474315155877 V
2017-03-07T00:00:00-07:00,215.3049308353 V
2017-03-08T00:00:00-07:00,215.52048319710624 V
2017-03-09T00:00:00-07:00,215.27093902164034 V
2017-03-10T00:00:00-07:00,215.68060100343493 V
2017-03-11T00:00:00-07:00,215.60110250049166 V
2017-03-12T00:00:00-07:00,215.61442967290463 V
2017-03-13T00:00:00-06:00,215.69909115897283 V
2017-03-14T00:00:00-06:00,215.66110502878826 V
2017-03-15T00:00:00-06:00,215.32083818647595 V
2017-03-16T00:00:00-06:00,215.57031275431316 V
2017-03-17T00:00:00-06:00,215.51960139804416 V
2017-03-18T00:00:00-06:00,215.43489407433404 V
2017-03-19T00:00:00-06:00,215.2953386445937 V
2017-03-20T00:00:00-06:00,215.47143682733284 V
2017-03-21T00:00:00-06:00,215.3000271373325 V
2017-03-22T00:00:00-06:00,215.446156056722 V
2017-03-23T00:00:00-06:00,215.39753237830269 V
2017-03-24T00:00:00-06:00,215.56534473631118 V
2017-03-25T00:00:00-06:00,215.3478244887458 V
2017-03-26T00:00:00-06:00,215.71191557778252 V
2017-03-27T00:00:00-06:00,215.39610815048218 V
2017-03-28T00:00:00-06:00,215.52395792007445 V
2017-03-29T00:00:00-06:00,215.55576478194834 V
2017-03-30T00:00:00-06:00,215.39375481499565 V
2017-03-31T00:00:00-06:00,215.39495356877646 V
2017-04-01T00:00:00-06:00,215.26663301255968 V
2017-04-02T00:00:00-06:00,215.43145315382216 V
2017-04-03T00:00:00-06:00,215.28193816079033 V
2017-04-04T00:00:00-06:00,215.50357699924047 V
2017-04-05T00:00:00-06:00,215.22923657099406 V
2017-04-06T00:00:00-06:00,215.4383622487386 V
2017-04-07T00:00:00-06:00,215.3457714398702 V
2017-04-08T00:00:00-06:00,215.3807327164544 V
2017-04-09T00:00:00-06:00,215.36878405676947 V
2017-04-10T00:00:00-06:00,215.28635708491007 V
2017-04-11T00:00:00-06:00,215.354716159802 V
2017-04-12T00:00:00-06:00,215.23852848476832 V
2017-04-13T00:00:00-06:00,215.26279317008124 V
2017-04-14T00:00:00-06:00,215.4121669875251 V
2017-04-15T00:00:00-06:00,214.8923277007209 V
2017-04-16T00:00:00-06:00,215.30554525587294 V
2017-04-17T00:00:00-06:00,215.36124006332375 V
2017-04-18T00:00:00-06:00,215.15859367582533 V
2017-04-19T00:00:00-06:00,214.99272288308532 V
2017-04-20T00:00:00-06:00,214.99995930989584 V
2017-04-21T00:00:00-06:00,215.62705817752413 V
2017-04-22T00:00:00-06:00,215.20857550519634 V
2017-04-23T00:00:00-06:00,215.299610402849 V
2017-04-24T00:00:00-06:00,215.52727830674914 V
2017-04-25T00:00:00-06:00,215.4992474661933 V
2017-04-26T00:00:00-06:00,215.3645932515462 V
2017-04-27T00:00:00-06:00,215.3933627128601 V
2017-04-28T00:00:00-06:00,215.42016315460205 V
2017-04-29T00:00:00-06:00,215.4847421758783 V
2017-04-30T00:00:00-06:00,215.44632946650188 V
2017-05-01T00:00:00-06:00,215.73272112740412 V
2017-05-02T00:00:00-06:00,215.5192145983378 V
2017-05-03T00:00:00-06:00,215.596768951416 V
2017-05-04T00:00:00-06:00,215.5576173040602 V
2017-05-05T00:00:00-06:00,215.45734190411036 V
2017-05-06T00:00:00-06:00,215.6183410984087 V
2017-05-07T00:00:00-06:00,215.5061326874627 V
2017-05-08T00:00:00-06:00,215.62846968801398 V
2017-05-09T00:00:00-06:00,215.74400520324707 V
2017-05-10T00:00:00-06:00,215.8482749938965 V
2017-05-11T00:00:00-06:00,215.8154472986857 V
2017-05-12T00:00:00-06:00,215.66227877934773 V
2017-05-13T00:00:00-06:00,215.4839882850647 V
2017-05-14T00:00:00-06:00,215.14576411562052 V
2017-05-15T00:00:00-06:00,215.57947279612225 V
2017-05-16T00:00:00-06:00,215.4354407315125 V
2017-05-17T00:00:00-06:00,215.52022301355998 V
2017-05-18T00:00:00-06:00,215.51916059609334 V
2017-05-19T00:00:00-06:00,215.857805030722 V
2017-05-20T00:00:00-06:00,215.41092494728667 V
2017-05-21T00:00:00-06:00,215.39395599365236 V
2017-05-22T00:00:00-06:00,215.57202738655937 V
2017-05-23T00:00:00-06:00,215.71994609832763 V
2017-05-24T00:00:00-06:00,215.5674912770589 V
2017-05-25T00:00:00-06:00,215.41487551795112 V
2017-05-26T00:00:00-06:00,215.6453985532125 V
2017-05-27T00:00:00-06:00,215.69932570987277 V
2017-05-28T00:00:00-06:00,215.6215458340115 V
2017-05-29T00:00:00-06:00,215.43418622546727 V
2017-05-30T00:00:00-06:00,215.5465344289179 V
2017-05-31T00:00:00-06:00,215.61590236028036 V
2017-06-01T00:00:00-06:00,215.63279753790962 V
2017-06-02T00:00:00-06:00,215.4024201605055 V
2017-06-03T00:00:00-06:00,215.52524590508816 V
2017-06-04T00:00:00-06:00,215.61751552157932 V
2017-06-05T00:00:00-06:00,215.4249064763387 V
2017-06-06T00:00:00-06:00,215.60313879648845 V
2017-06-07T00:00:00-06:00,215.48199988471137 V
2017-06-08T00:00:00-06:00,215.42934224206263 V
2017-06-09T00:00:00-06:00,215.42582844628228 V
2017-06-10T00:00:00-06:00,215.40847074720594 V
2017-06-11T00:00:00-06:00,215.47542440626356 V
2017-06-12T00:00:00-06:00,215.59816268285115 V
2017-06-13T00:00:00-06:00,215.64819131427342 V
2017-06-14T00:00:00-06:00,215.8541245036655 V
2017-06-15T00:00:00-06:00,215.69590827094183 V
2017-06-16T00:00:00-06:00,215.6600256966915 V
2017-06-17T00:00:00-06:00,215.51540871541312 V
2017-06-18T00:00:00-06:00,215.52123420503403 V
2017-06-19T00:00:00-06:00,215.6450851684316 V
2017-06-20T00:00:00-06:00,215.6447190814548 V
2017-06-21T00:00:00-06:00,215.61604979832967 V
2017-06-22T00:00:00-06:00,215.51092133777186 V
2017-06-23T00:00:00-06:00,215.52527768876817 V
2017-06-24T00:00:00-06:00,215.74914990531073 V
2017-06-25T00:00:00-06:00,215.66533915201822 V
2017-06-26T00:00:00-06:00,215.52581834313673 V
2017-06-27T00:00:00-06:00,215.56052986780801 V
2017-06-28T00:00:00-06:00,215.20934279759726 V
2017-06-29T00:00:00-06:00,215.4926117261251 V
2017-06-30T00:00:00-06:00,215.87148904800415 V
2017-07-01T00:00:00-06:00,215.67592684427896 V
2017-07-02T00:00:00-06:00,215.72568877538046 V
2017-07-03T00:00:00-06:00,215.45129839579263 V
2017-07-04T00:00:00-06:00,215.5129418373108 V
2017-07-05T00:00:00-06:00,215.49029954274496 V
2017-07-06T00:00:00-06:00,215.43755610783896 V
2017-07-07T00:00:00-06:00,215.5318899154663 V
2017-07-08T00:00:00-06:00,215.67169698079428 V
2017-07-09T00:00:00-06:00,215.38568035761514 V
2017-07-10T00:00:00-06:00,215.33820343017578 V
2017-07-11T00:00:00-06:00,215.40444660186768 V
2017-07-12T00:00:00-06:00,215.51000293095908 V
2017-07-13T00:00:00-06:00,215.46870501836142 V
2017-07-14T00:00:00-06:00,215.40765603383383 V
2017-07-15T00:00:00-06:00,215.49304310480753 V
2017-07-16T00:00:00-06:00,215.52794663111368 V
2017-07-17T00:00:00-06:00,215.49767637252808 V
2017-07-18T00:00:00-06:00,215.6643354098002 V
2017-07-19T00:00:00-06:00,215.4369166692098 V
2017-07-20T00:00:00-06:00,215.46305656433105 V
2017-07-21T00:00:00-06:00,215.55182345708212 V
2017-07-22T00:00:00-06:00,215.6053287188212 V
2017-07-23T00:00:00-06:00,215.71377086639404 V
2017-07-24T00:00:00-06:00,215.52227878570557 V
2017-07-25T00:00:00-06:00,215.69620561599731 V
2017-07-26T00:00:00-06:00,215.45715856552124 V
2017-07-27T00:00:00-06:00,215.5995798110962 V
2017-07-28T00:00:00-06:00,215.511177221934 V
2017-07-29T00:00:00-06:00,215.39082956314087 V
2017-07-30T00:00:00-06:00,215.58179457982382 V
2017-07-31T00:00:00-06:00,215.45891586939493 V
2017-08-01T00:00:00-06:00,215.4962623914083 V
2017-08-02T00:00:00-06:00,215.44978094100952 V
2017-08-03T00:00:00-06:00,215.74723116556802 V
2017-08-04T00:00:00-06:00,215.5289539714436 V
2017-08-05T00:00:00-06:00,215.64380931854248 V
2017-08-06T00:00:00-06:00,215.71580012639365 V
2017-08-07T00:00:00-06:00,215.6220294634501 V
2017-08-08T00:00:00-06:00,215.56967226664224 V
2017-08-09T00:00:00-06:00,215.63774061203003 V
2017-08-10T00:00:00-06:00,215.70862400785407 V
2017-08-11T00:00:00-06:00,215.57386175791422 V
2017-08-12T00:00:00-06:00,215.7133558591207 V
2017-08-13T00:00:00-06:00,215.7277226448059 V
2017-08-14T00:00:00-06:00,215.49657837549844 V
2017-08-15T00:00:00-06:00,215.45705588658652 V
2017-08-16T00:00:00-06:00,215.4169012705485 V
2017-08-17T00:00:00-06:00,215.55163895456414 V
2017-08-18T00:00:00-06:00,215.6305834452311 V
2017-08-19T00:00:00-06:00,215.54268980026245 V
2017-08-20T00:00:00-06:00,215.6392037073771 V
2017-08-21T00:00:00-06:00,215.5319743156433 V
2017-08-22T00:00:00-06:00,215.69090716044107 V
2017-08-23T00:00:00-06:00,215.66503429412842 V
2017-08-24T00:00:00-06:00,215.6602907180786 V
2017-08-25T00:00:00-06:00,215.48643700281778 V
2017-08-26T00:00:00-06:00,215.53651984532675 V
2017-08-27T00:00:00-06:00,215.52089246114096 V
2017-08-28T00:00:00-06:00,215.68288040161133 V
2017-08-29T00:00:00-06:00,215.6929244174752 V
2017-08-30T00:00:00-06:00,215.54142967859903 V
2017-08-31T00:00:00-06:00,215.60199165344238 V
2017-09-01T00:00:00-06:00,215.63002030054727 V
2017-09-02T00:00:00-06:00,215.571280002594 V
2017-09-03T00:00:00-06:00,215.74138482411703 V
2017-09-04T00:00:00-06:00,215.24337577819824 V
2017-09-05T00:00:00-06:00,215.5772058169047 V
2017-09-06T00:00:00-06:00,215.53098917007446 V
2017-09-07T00:00:00-06:00,215.33420705795288 V
2017-09-08T00:00:00-06:00,215.61380021115568 V
2017-09-09T00:00:00-06:00,215.55577278137207 V
2017-09-10T00:00:00-06:00,215.6030910809835 V
2017-09-11T00:00:00-06:00,215.39590533574423 V
2017-09-12T00:00:00-06:00,215.46034479141235 V
2017-09-13T00:00:00-06:00,215.43286291758218 V
2017-09-14T00:00:00-06:00,215.6123514175415 V
2017-09-15T00:00:00-06:00,215.60695234934488 V
2017-09-16T00:00:00-06:00,215.91744470596313 V
2017-09-17T00:00:00-06:00,215.650652885437 V
2017-09-18T00:00:00-06:00,215.50787671407065 V
2017-09-19T00:00:00-06:00,215.3165980974833 V
2017-09-20T00:00:00-06:00,215.6673051516215 V
2017-09-21T00:00:00-06:00,215.67867851257324 V
2017-09-22T00:00:00-06:00,216.03321388646177 V
2017-09-23T00:00:00-06:00,215.51994959513345 V
2017-09-24T00:00:00-06:00,215.80632003148398 V
2017-09-25T00:00:00-06:00,215.80464363098145 V
2017-09-26T00:00:00-06:00,215.66403230031332 V
2017-09-27T00:00:00-06:00,215.9274927775065 V
2017-09-28T00:00:00-06:00,215.75004116694132 V
2017-09-29T00:00:00-06:00,215.69101778666177 V
2017-09-30T00:00:00-06:00,215.40061601003012 V
2017-10-01T00:00:00-06:00,215.28753773371378 V
2017-10-02T00:00:00-06:00,215.56933466593424 V
2017-10-03T00:00:00-06:00,215.24528217315674 V
2017-10-04T00:00:00-06:00,215.64552609125772 V
2017-10-05T00:00:00-06:00,215.56433979670206 V
2017-10-06T00:00:00-06:00,215.52109464009604 V
2017-10-07T00:00:00-06:00,215.9006519317627 V
2017-10-08T00:00:00-06:00,215.7992321650187 V
2017-10-09T00:00:00-06:00,215.767688592275 V
2017-10-10T00:00:00-06:00,215.62823597590128 V
2017-10-11T00:00:00-06:00,215.68679555257162 V
2017-10-12T00:00:00-06:00,215.9179147084554 V
2017-10-13T00:00:00-06:00,215.68068869908652 V
2017-10-14T00:00:00-06:00,215.70164569218954 V
2017-10-15T00:00:00-06:00,215.61717255910239 V
2017-10-16T00:00:00-06:00,215.56944465637207 V
2017-10-17T00:00:00-06:00,215.3811232248942 V
2017-10-18T00:00:00-06:00,215.8174818356832 V
2017-10-19T00:00:00-06:00,215.93316666285196 V
2017-10-20T00:00:00-06:00,215.5168687502543 V
2017-10-21T00:00:00-06:00,215.7084838549296 V
2017-10-22T00:00:00-06:00,215.48312584559122 V
2017-10-23T00:00:00-06:00,215.82922299702963 V
2017-10-24T00:00:00-06:00,215.62133932113647 V
2017-10-25T00:00:00-06:00,215.76192649205527 V
2017-10-26T00:00:00-06:00,215.50883467992148 V
2017-10-27T00:00:00-06:00,215.66071367263794 V
2017-10-28T00:00:00-06:00,215.55723810195923 V
2017-10-29T00:00:00-06:00,215.4495579401652 V
2017-10-30T00:00:00-06:00,215.67375723520914 V
2017-10-31T00:00:00-06:00,215.76226902008057 V
2017-11-01T00:00:00-06:00,215.32412083943686 V
2017-11-02T00:00:00-06:00,215.65051666895548 V
2017-11-03T00:00:00-06:00,215.68648465474448 V
2017-11-04T00:00:00-06:00,215.70203638076782 V
2017-11-05T00:00:00-06:00,215.75485412597655 V
2017-11-06T00:00:00-07:00,215.75628534952799 V
2017-11-07T00:00:00-07:00,215.86566925048828 V
2017-11-08T00:00:00-07:00,215.54462067286173 V
2017-11-09T00:00:00-07:00,215.5318489074707 V
2017-11-10T00:00:00-07:00,215.66780376434326 V
2017-11-11T00:00:00-07:00,215.42247660954794 V
2017-11-12T00:00:00-07:00,215.61875899632773 V
2017-11-13T00:00:00-07:00,215.57907819747925 V
2017-11-14T00:00:00-07:00,215.363960425059 V
2017-11-15T00:00:00-07:00,215.16164557139078 V
2017-11-16T00:00:00-07:00,215.86809221903482 V
2017-11-17T00:00:00-07:00,215.46614678700766 V
2017-11-18T00:00:00-07:00,215.69347365697226 V
2017-11-19T00:00:00-07:00,216.1268450419108 V
2017-11-20T00:00:00-07:00,215.79288975397745 V
2017-11-21T00:00:00-07:00,215.3644037246704 V
2017-11-22T00:00:00-07:00,215.75879875818887 V
2017-11-23T00:00:00-07:00,215.79597806930542 V
2017-11-24T00:00:00-07:00,215.88003460566202 V
2017-11-25T00:00:00-07:00,215.6519185702006 V
2017-11-26T00:00:00-07:00,215.7059087753296 V
2017-11-27T00:00:00-07:00,215.77830378214517 V
2017-11-28T00:00:00-07:00,215.44112491607666 V
2017-11-29T00:00:00-07:00,215.52723757425943 V
2017-11-30T00:00:00-07:00,215.40170685450235 V
2017-12-01T00:00:00-07:00,215.60417652130127 V
2017-12-02T00:00:00-07:00,215.57148536046347 V
2017-12-03T00:00:00-07:00,215.42580970128378 V
2017-12-04T00:00:00-07:00,215.37200911839804 V
2017-12-05T00:00:00-07:00,215.4577743212382 V
2017-12-06T00:00:00-07:00,215.5276837348938 V
2017-12-07T00:00:00-07:00,215.63274733225504 V
2017-12-08T00:00:00-07:00,215.61781454086304 V
2017-12-09T00:00:00-07:00,215.762366771698 V
2017-12-10T00:00:00-07:00,215.6285260518392 V
2017-12-11T00:00:00-07:00,215.51640860239664 V
2017-12-12T00:00:00-07:00,215.32433986663818 V
2017-12-13T00:00:00-07:00,215.57687520980835 V
2017-12-14T00:00:00-07:00,215.6942572593689 V
2017-12-15T00:00:00-07:00,215.53694868087769 V
2017-12-16T00:00:00-07:00,215.7038958867391 V
2017-12-17T00:00:00-07:00,215.384903271993 V
2017-12-18T00:00:00-07:00,215.40952473302042 V
2017-12-19T00:00:00-07:00,215.2959353129069 V
2017-12-20T00:00:00-07:00,215.62035830815634 V
2017-12-21T00:00:00-07:00,215.27389335632324 V
2017-12-22T00:00:00-07:00,215.5278434753418 V
2017-12-23T00:00:00-07:00,215.4887057940165 V
2017-12-24T00:00:00-07:00,215.54834032058716 V
2017-12-25T00:00:00-07:00,215.8399559656779 V
2017-12-26T00:00:00-07:00,215.7986248334249 V
2017-12-27T00:00:00-07:00,215.29489850997925 V
2017-12-28T00:00:00-07:00,215.74159304300943 V
2017-12-29T00:00:00-07:00,215.56454722086588 V
2017-12-30T00:00:00-07:00,215.3896598815918 V
2017-12-31T00:00:00-07:00,215.26670821507773 V
