Timestamp,['1cbae955-d84e370e 0038-ART BLDG Power Meter 300086 Volts CA']
2017-01-01T00:00:00-07:00,207.4428322262234 V
2017-01-02T00:00:00-07:00,207.52303290896947 V
2017-01-03T00:00:00-07:00,207.43852274152968 V
2017-01-04T00:00:00-07:00,207.6134816593594 V
2017-01-05T00:00:00-07:00,207.41717124233816 V
2017-01-06T00:00:00-07:00,207.45722902086047 V
2017-01-07T00:00:00-07:00,207.0829158147176 V
2017-01-08T00:00:00-07:00,207.36422919299224 V
2017-01-09T00:00:00-07:00,207.23209501902264 V
2017-01-10T00:00:00-07:00,207.52381670210096 V
2017-01-11T00:00:00-07:00,207.60740657382541 V
2017-01-12T00:00:00-07:00,207.41479357519938 V
2017-01-13T00:00:00-07:00,207.8146433936225 V
2017-01-14T00:00:00-07:00,207.57115404340956 V
2017-01-15T00:00:00-07:00,207.48755815294055 V
2017-01-16T00:00:00-07:00,207.8099810388353 V
2017-01-17T00:00:00-07:00,207.83377956814235 V
2017-01-18T00:00:00-07:00,207.4101231651055 V
2017-01-19T00:00:00-07:00,207.80134184879094 V
2017-01-20T00:00:00-07:00,207.64255006714293 V
2017-01-21T00:00:00-07:00,207.4100138452318 V
2017-01-22T00:00:00-07:00,207.30870668623183 V
2017-01-23T00:00:00-07:00,207.639807372623 V
2017-01-24T00:00:00-07:00,207.4573674413893 V
2017-01-25T00:00:00-07:00,207.2527544233534 V
2017-01-26T00:00:00-07:00,207.5996762063768 V
2017-01-27T00:00:00-07:00,207.28677710665025 V
2017-01-28T00:00:00-07:00,207.48785621854995 V
2017-01-29T00:00:00-07:00,207.4868799103631 V
2017-01-30T00:00:00-07:00,207.0875752802273 V
2017-01-31T00:00:00-07:00,207.15104547076754 V
2017-02-01T00:00:00-07:00,207.13191554811266 V
2017-02-02T00:00:00-07:00,207.3681871096293 V
2017-02-03T00:00:00-07:00,207.51526013573812 V
2017-02-04T00:00:00-07:00,207.53380615446304 V
2017-02-05T00:00:00-07:00,207.3454835044013 V
2017-02-06T00:00:00-07:00,207.43296608252192 V
2017-02-07T00:00:00-07:00,207.20635479128543 V
2017-02-08T00:00:00-07:00,207.43679788964982 V
2017-02-09T00:00:00-07:00,207.15350478490194 V
2017-02-10T00:00:00-07:00,207.30119631025525 V
2017-02-11T00:00:00-07:00,207.3991886138916 V
2017-02-12T00:00:00-07:00,207.63066204918755 V
2017-02-13T00:00:00-07:00,207.33957486682468 V
2017-02-14T00:00:00-07:00,207.3109936497882 V
2017-02-15T00:00:00-07:00,207.11952697965833 V
2017-02-16T00:00:00-07:00,207.1731341150072 V
2017-02-17T00:00:00-07:00,207.30429706573486 V
2017-02-18T00:00:00-07:00,207.37934946533372 V
2017-02-19T00:00:00-07:00,207.24936911592232 V
2017-02-20T00:00:00-07:00,207.31060632069907 V
2017-02-21T00:00:00-07:00,207.50809882481892 V
2017-02-22T00:00:00-07:00,207.1309258143107 V
2017-02-23T00:00:00-07:00,207.11142431157094 V
2017-02-24T00:00:00-07:00,207.29808811857157 V
2017-02-25T00:00:00-07:00,207.50980903837416 V
2017-02-26T00:00:00-07:00,207.2698547469245 V
2017-02-27T00:00:00-07:00,207.3621975156996 V
2017-02-28T00:00:00-07:00,207.5052901479933 V
2017-03-01T00:00:00-07:00,207.59692771699693 V
2017-03-02T00:00:00-07:00,207.33135775460138 V
2017-03-03T00:00:00-07:00,207.47973908318414 V
2017-03-04T00:00:00-07:00,206.84795016182792 V
2017-03-05T00:00:00-07:00,207.4993941201104 V
2017-03-06T00:00:00-07:00,207.32704330020482 V
2017-03-07T00:00:00-07:00,207.24958905114067 V
2017-03-08T00:00:00-07:00,207.23463455835977 V
2017-03-09T00:00:00-07:00,207.00007082621258 V
2017-03-10T00:00:00-07:00,207.26759460237292 V
2017-03-11T00:00:00-07:00,207.41944986979166 V
2017-03-12T00:00:00-07:00,207.28621840546097 V
2017-03-13T00:00:00-06:00,207.43530796898736 V
2017-03-14T00:00:00-06:00,207.40856510798136 V
2017-03-15T00:00:00-06:00,206.96534985436332 V
2017-03-16T00:00:00-06:00,207.2872510486179 V
2017-03-17T00:00:00-06:00,207.17188848919338 V
2017-03-18T00:00:00-06:00,207.14106613794962 V
2017-03-19T00:00:00-06:00,207.0500495698717 V
2017-03-20T00:00:00-06:00,207.04834635274395 V
2017-03-21T00:00:00-06:00,206.87343994776407 V
2017-03-22T00:00:00-06:00,207.0383503701952 V
2017-03-23T00:00:00-06:00,206.93596359888713 V
2017-03-24T00:00:00-06:00,207.03015214126088 V
2017-03-25T00:00:00-06:00,206.81177604463366 V
2017-03-26T00:00:00-06:00,207.13646496666803 V
2017-03-27T00:00:00-06:00,206.90777547624376 V
2017-03-28T00:00:00-06:00,206.88398826387194 V
2017-03-29T00:00:00-06:00,207.0981992573466 V
2017-03-30T00:00:00-06:00,206.61997732656974 V
2017-03-31T00:00:00-06:00,206.77650753015934 V
2017-04-01T00:00:00-06:00,206.91781202952066 V
2017-04-02T00:00:00-06:00,207.0083598560757 V
2017-04-03T00:00:00-06:00,206.7876198662652 V
2017-04-04T00:00:00-06:00,206.82709132300482 V
2017-04-05T00:00:00-06:00,206.6666669845581 V
2017-04-06T00:00:00-06:00,207.02294880549113 V
2017-04-07T00:00:00-06:00,207.0672429614597 V
2017-04-08T00:00:00-06:00,206.9657753944397 V
2017-04-09T00:00:00-06:00,207.33626851710784 V
2017-04-10T00:00:00-06:00,206.99399071799385 V
2017-04-11T00:00:00-06:00,207.1374463611179 V
2017-04-12T00:00:00-06:00,207.03882588803395 V
2017-04-13T00:00:00-06:00,207.03861038419936 V
2017-04-14T00:00:00-06:00,207.08137588500978 V
2017-04-15T00:00:00-06:00,206.57956659528944 V
2017-04-16T00:00:00-06:00,206.97685753504436 V
