Timestamp,['1cc3faeb-05f3e699 0008-EMERY BLDG Power Meter 300026 KWH Received']
2017-01-01T00:00:00-07:00,623.75 kWh
2017-01-02T00:00:00-07:00,643.25 kWh
2017-01-03T00:00:00-07:00,768.5 kWh
2017-01-04T00:00:00-07:00,795.25 kWh
2017-01-05T00:00:00-07:00,768 kWh
2017-01-06T00:00:00-07:00,743.25 kWh
2017-01-07T00:00:00-07:00,606.75 kWh
2017-01-08T00:00:00-07:00,636.25 kWh
2017-01-09T00:00:00-07:00,921 kWh
2017-01-10T00:00:00-07:00,939.75 kWh
2017-01-11T00:00:00-07:00,977.5 kWh
2017-01-12T00:00:00-07:00,952.25 kWh
2017-01-13T00:00:00-07:00,887.25 kWh
2017-01-14T00:00:00-07:00,683.25 kWh
2017-01-15T00:00:00-07:00,660 kWh
2017-01-16T00:00:00-07:00,660.25 kWh
2017-01-17T00:00:00-07:00,874.75 kWh
2017-01-18T00:00:00-07:00,903.75 kWh
2017-01-19T00:00:00-07:00,977.75 kWh
2017-01-20T00:00:00-07:00,912.5 kWh
2017-01-21T00:00:00-07:00,784.5 kWh
2017-01-22T00:00:00-07:00,770.5 kWh
2017-01-23T00:00:00-07:00,987.25 kWh
2017-01-24T00:00:00-07:00,945.25 kWh
2017-01-25T00:00:00-07:00,929.75 kWh
2017-01-26T00:00:00-07:00,944.75 kWh
2017-01-27T00:00:00-07:00,870.5 kWh
2017-01-28T00:00:00-07:00,655.25 kWh
2017-01-29T00:00:00-07:00,630 kWh
2017-01-30T00:00:00-07:00,875.25 kWh
2017-01-31T00:00:00-07:00,914.25 kWh
2017-02-01T00:00:00-07:00,928.5 kWh
2017-02-02T00:00:00-07:00,969.75 kWh
2017-02-03T00:00:00-07:00,924.5 kWh
2017-02-04T00:00:00-07:00,741.5 kWh
2017-02-05T00:00:00-07:00,743.25 kWh
2017-02-06T00:00:00-07:00,957.75 kWh
2017-02-07T00:00:00-07:00,995.5 kWh
2017-02-08T00:00:00-07:00,981.25 kWh
2017-02-09T00:00:00-07:00,1044.5 kWh
2017-02-10T00:00:00-07:00,1017 kWh
2017-02-11T00:00:00-07:00,794.25 kWh
2017-02-12T00:00:00-07:00,757.5 kWh
2017-02-13T00:00:00-07:00,952.25 kWh
2017-02-14T00:00:00-07:00,996.75 kWh
2017-02-15T00:00:00-07:00,1004 kWh
2017-02-16T00:00:00-07:00,980.5 kWh
2017-02-17T00:00:00-07:00,922 kWh
2017-02-18T00:00:00-07:00,739 kWh
2017-02-19T00:00:00-07:00,713.75 kWh
2017-02-20T00:00:00-07:00,727 kWh
2017-02-21T00:00:00-07:00,977.75 kWh
2017-02-22T00:00:00-07:00,1005.5 kWh
