Timestamp,['1cc96fb6-55bf471a 0051-STERLING SILL CNTR Power Meter KWH Received']
2017-01-01T00:00:00-07:00,452 kWh
2017-01-02T00:00:00-07:00,477 kWh
2017-01-03T00:00:00-07:00,556 kWh
2017-01-04T00:00:00-07:00,567 kWh
2017-01-05T00:00:00-07:00,580 kWh
2017-01-06T00:00:00-07:00,562 kWh
2017-01-07T00:00:00-07:00,475 kWh
2017-01-08T00:00:00-07:00,467 kWh
2017-01-09T00:00:00-07:00,563 kWh
2017-01-10T00:00:00-07:00,583 kWh
2017-01-11T00:00:00-07:00,573 kWh
2017-01-12T00:00:00-07:00,592 kWh
2017-01-13T00:00:00-07:00,545 kWh
2017-01-14T00:00:00-07:00,459 kWh
2017-01-15T00:00:00-07:00,460 kWh
2017-01-16T00:00:00-07:00,456 kWh
2017-01-17T00:00:00-07:00,550 kWh
2017-01-18T00:00:00-07:00,536 kWh
2017-01-19T00:00:00-07:00,589 kWh
2017-01-20T00:00:00-07:00,539 kWh
2017-01-21T00:00:00-07:00,462 kWh
2017-01-22T00:00:00-07:00,466 kWh
2017-01-23T00:00:00-07:00,527 kWh
2017-01-24T00:00:00-07:00,563 kWh
2017-01-25T00:00:00-07:00,554 kWh
2017-01-26T00:00:00-07:00,566 kWh
2017-01-27T00:00:00-07:00,527 kWh
2017-01-28T00:00:00-07:00,435 kWh
2017-01-29T00:00:00-07:00,436 kWh
2017-01-30T00:00:00-07:00,556 kWh
2017-01-31T00:00:00-07:00,551 kWh
2017-02-01T00:00:00-07:00,557 kWh
2017-02-02T00:00:00-07:00,579 kWh
2017-02-03T00:00:00-07:00,553 kWh
2017-02-04T00:00:00-07:00,461 kWh
2017-02-05T00:00:00-07:00,460 kWh
2017-02-06T00:00:00-07:00,576 kWh
2017-02-07T00:00:00-07:00,565 kWh
2017-02-08T00:00:00-07:00,558 kWh
2017-02-09T00:00:00-07:00,580 kWh
2017-02-10T00:00:00-07:00,574 kWh
2017-02-11T00:00:00-07:00,474 kWh
2017-02-12T00:00:00-07:00,450 kWh
2017-02-13T00:00:00-07:00,524 kWh
2017-02-14T00:00:00-07:00,506 kWh
2017-02-15T00:00:00-07:00,520 kWh
2017-02-16T00:00:00-07:00,539 kWh
2017-02-17T00:00:00-07:00,523 kWh
2017-02-18T00:00:00-07:00,451 kWh
2017-02-19T00:00:00-07:00,445 kWh
2017-02-20T00:00:00-07:00,448 kWh
2017-02-21T00:00:00-07:00,538 kWh
2017-02-22T00:00:00-07:00,548 kWh
2017-02-23T00:00:00-07:00,580 kWh
2017-02-24T00:00:00-07:00,542 kWh
2017-02-25T00:00:00-07:00,464 kWh
2017-02-26T00:00:00-07:00,430 kWh
2017-02-27T00:00:00-07:00,564 kWh
2017-02-28T00:00:00-07:00,534 kWh
2017-03-01T00:00:00-07:00,526 kWh
2017-03-02T00:00:00-07:00,525 kWh
2017-03-03T00:00:00-07:00,513 kWh
2017-03-04T00:00:00-07:00,453 kWh
2017-03-05T00:00:00-07:00,446 kWh
2017-03-06T00:00:00-07:00,541 kWh
2017-03-07T00:00:00-07:00,510 kWh
2017-03-08T00:00:00-07:00,528 kWh
2017-03-09T00:00:00-07:00,513 kWh
2017-03-10T00:00:00-07:00,540 kWh
2017-03-11T00:00:00-07:00,444 kWh
2017-03-12T00:00:00-07:00,435 kWh
2017-03-13T00:00:00-06:00,555 kWh
2017-03-14T00:00:00-06:00,537 kWh
2017-03-15T00:00:00-06:00,519 kWh
2017-03-16T00:00:00-06:00,548 kWh
2017-03-17T00:00:00-06:00,527 kWh
2017-03-18T00:00:00-06:00,464 kWh
2017-03-19T00:00:00-06:00,475 kWh
2017-03-20T00:00:00-06:00,568 kWh
2017-03-21T00:00:00-06:00,573 kWh
2017-03-22T00:00:00-06:00,598 kWh
2017-03-23T00:00:00-06:00,582 kWh
2017-03-24T00:00:00-06:00,517 kWh
2017-03-25T00:00:00-06:00,461 kWh
2017-03-26T00:00:00-06:00,426 kWh
2017-03-27T00:00:00-06:00,564 kWh
2017-03-28T00:00:00-06:00,537 kWh
2017-03-29T00:00:00-06:00,804 kWh
2017-03-30T00:00:00-06:00,259 kWh
2017-03-31T00:00:00-06:00,530 kWh
2017-04-01T00:00:00-06:00,432 kWh
2017-04-02T00:00:00-06:00,460 kWh
2017-04-03T00:00:00-06:00,496 kWh
2017-04-04T00:00:00-06:00,486 kWh
2017-04-05T00:00:00-06:00,507 kWh
2017-04-06T00:00:00-06:00,524 kWh
2017-04-07T00:00:00-06:00,570 kWh
2017-04-08T00:00:00-06:00,444 kWh
2017-04-09T00:00:00-06:00,425 kWh
2017-04-10T00:00:00-06:00,507 kWh
2017-04-11T00:00:00-06:00,545 kWh
2017-04-12T00:00:00-06:00,520 kWh
2017-04-13T00:00:00-06:00,519 kWh
2017-04-14T00:00:00-06:00,518 kWh
2017-04-15T00:00:00-06:00,432 kWh
2017-04-16T00:00:00-06:00,449 kWh
2017-04-17T00:00:00-06:00,553 kWh
2017-04-18T00:00:00-06:00,554 kWh
2017-04-19T00:00:00-06:00,511 kWh
2017-04-20T00:00:00-06:00,519 kWh
2017-04-21T00:00:00-06:00,491 kWh
2017-04-22T00:00:00-06:00,407 kWh
2017-04-23T00:00:00-06:00,428 kWh
2017-04-24T00:00:00-06:00,526 kWh
2017-04-25T00:00:00-06:00,521 kWh
2017-04-26T00:00:00-06:00,524 kWh
2017-04-27T00:00:00-06:00,491 kWh
2017-04-28T00:00:00-06:00,510 kWh
2017-04-29T00:00:00-06:00,434 kWh
2017-04-30T00:00:00-06:00,454 kWh
2017-05-01T00:00:00-06:00,528 kWh
2017-05-02T00:00:00-06:00,535 kWh
2017-05-03T00:00:00-06:00,505 kWh
2017-05-04T00:00:00-06:00,509 kWh
2017-05-05T00:00:00-06:00,500 kWh
2017-05-06T00:00:00-06:00,477 kWh
2017-05-07T00:00:00-06:00,454 kWh
2017-05-08T00:00:00-06:00,519 kWh
2017-05-09T00:00:00-06:00,514 kWh
2017-05-10T00:00:00-06:00,532 kWh
2017-05-11T00:00:00-06:00,538 kWh
2017-05-12T00:00:00-06:00,518 kWh
2017-05-13T00:00:00-06:00,441 kWh
2017-05-14T00:00:00-06:00,431 kWh
2017-05-15T00:00:00-06:00,526 kWh
2017-05-16T00:00:00-06:00,560 kWh
2017-05-17T00:00:00-06:00,522 kWh
2017-05-18T00:00:00-06:00,518 kWh
2017-05-19T00:00:00-06:00,505 kWh
2017-05-20T00:00:00-06:00,432 kWh
2017-05-21T00:00:00-06:00,464 kWh
2017-05-22T00:00:00-06:00,516 kWh
2017-05-23T00:00:00-06:00,529 kWh
2017-05-24T00:00:00-06:00,535 kWh
2017-05-25T00:00:00-06:00,538 kWh
2017-05-26T00:00:00-06:00,540 kWh
2017-05-27T00:00:00-06:00,472 kWh
2017-05-28T00:00:00-06:00,485 kWh
2017-05-29T00:00:00-06:00,490 kWh
2017-05-30T00:00:00-06:00,542 kWh
2017-05-31T00:00:00-06:00,566 kWh
2017-06-01T00:00:00-06:00,566 kWh
2017-06-02T00:00:00-06:00,509 kWh
2017-06-03T00:00:00-06:00,466 kWh
2017-06-04T00:00:00-06:00,470 kWh
