Timestamp,['1cc97212-037a490a 0051-STERLING SILL CNTR Power Meter Current C']
2017-01-01T00:00:00-07:00,51.25208330154419 A
2017-01-02T00:00:00-07:00,55.028124849001564 A
2017-01-03T00:00:00-07:00,65.19375014305115 A
2017-01-04T00:00:00-07:00,62.39791659514109 A
2017-01-05T00:00:00-07:00,62.340624968210854 A
2017-01-06T00:00:00-07:00,64.1635415951411 A
2017-01-07T00:00:00-07:00,51.15625003973643 A
2017-01-08T00:00:00-07:00,51.32916661103567 A
2017-01-09T00:00:00-07:00,63.96770854791006 A
2017-01-10T00:00:00-07:00,64.99583331743877 A
2017-01-11T00:00:00-07:00,63.27708327770233 A
2017-01-12T00:00:00-07:00,67.45104173819225 A
2017-01-13T00:00:00-07:00,61.26770814259847 A
2017-01-14T00:00:00-07:00,50.878125071525574 A
2017-01-15T00:00:00-07:00,50.92916667461395 A
2017-01-16T00:00:00-07:00,50.355208237965904 A
2017-01-17T00:00:00-07:00,61.78854155540466 A
2017-01-18T00:00:00-07:00,60.78588283763212 A
2017-01-19T00:00:00-07:00,69.66562497615814 A
2017-01-20T00:00:00-07:00,61.801041762034096 A
2017-01-21T00:00:00-07:00,52.31458334128062 A
2017-01-22T00:00:00-07:00,52.960416634877525 A
2017-01-23T00:00:00-07:00,59.670833468437195 A
2017-01-24T00:00:00-07:00,65.05520856380463 A
2017-01-25T00:00:00-07:00,65.00729163487752 A
2017-01-26T00:00:00-07:00,64.41770831743877 A
2017-01-27T00:00:00-07:00,58.65729173024496 A
2017-01-28T00:00:00-07:00,48.227083126703896 A
2017-01-29T00:00:00-07:00,48.19791672627131 A
2017-01-30T00:00:00-07:00,62.66875012715658 A
2017-01-31T00:00:00-07:00,65.37916668256123 A
2017-02-01T00:00:00-07:00,64.95312527815501 A
2017-02-02T00:00:00-07:00,65.60416642824809 A
2017-02-03T00:00:00-07:00,64.44166668256123 A
2017-02-04T00:00:00-07:00,51.56041673819224 A
2017-02-05T00:00:00-07:00,50.97291660308838 A
2017-02-06T00:00:00-07:00,67.37812503178914 A
2017-02-07T00:00:00-07:00,65.9736841302169 A
2017-02-08T00:00:00-07:00,63.70106388660187 A
2017-02-09T00:00:00-07:00,68.76666637261708 A
2017-02-10T00:00:00-07:00,66.85625020662944 A
2017-02-11T00:00:00-07:00,54.16354171435038 A
2017-02-12T00:00:00-07:00,49.94583328564962 A
2017-02-13T00:00:00-07:00,58.887499888738 A
2017-02-14T00:00:00-07:00,57.17187476158142 A
2017-02-15T00:00:00-07:00,57.12812499205271 A
2017-02-16T00:00:00-07:00,59.93124997615814 A
2017-02-17T00:00:00-07:00,58.39895840485891 A
2017-02-18T00:00:00-07:00,51.90625007947286 A
2017-02-19T00:00:00-07:00,50.54375000794729 A
2017-02-20T00:00:00-07:00,51.27708327770233 A
2017-02-21T00:00:00-07:00,60.572916428248085 A
2017-02-22T00:00:00-07:00,63.62395862738291 A
2017-02-23T00:00:00-07:00,64.8447916507721 A
2017-02-24T00:00:00-07:00,58.122784578347506 A
2017-02-25T00:00:00-07:00,52.54999999205271 A
2017-02-26T00:00:00-07:00,47.19895831743876 A
2017-02-27T00:00:00-07:00,64.57916673024495 A
2017-02-28T00:00:00-07:00,59.05104180177053 A
2017-03-01T00:00:00-07:00,61.41770839691162 A
2017-03-02T00:00:00-07:00,61.33020822207133 A
2017-03-03T00:00:00-07:00,59.62604157129923 A
2017-03-04T00:00:00-07:00,50.61874989668528 A
2017-03-05T00:00:00-07:00,49.44583328564962 A
2017-03-06T00:00:00-07:00,62.223958333333336 A
2017-03-07T00:00:00-07:00,56.43541673819224 A
2017-03-08T00:00:00-07:00,61.21666638056437 A
2017-03-09T00:00:00-07:00,56.325000047683716 A
2017-03-10T00:00:00-07:00,60.91354159514109 A
2017-03-11T00:00:00-07:00,50.109375 A
2017-03-12T00:00:00-07:00,51.04347846819007 A
2017-03-13T00:00:00-06:00,60.981250166893005 A
2017-03-14T00:00:00-06:00,61.394791762034096 A
2017-03-15T00:00:00-06:00,58.717708349227905 A
2017-03-16T00:00:00-06:00,60.868749817212425 A
2017-03-17T00:00:00-06:00,58.57916649182638 A
2017-03-18T00:00:00-06:00,51.18749998013178 A
2017-03-19T00:00:00-06:00,52.663541634877525 A
2017-03-20T00:00:00-06:00,64.30631609464946 A
2017-03-21T00:00:00-06:00,66.34479137261708 A
2017-03-22T00:00:00-06:00,65.45416629314423 A
2017-03-23T00:00:00-06:00,63.74687524636587 A
2017-03-24T00:00:00-06:00,57.99791653951009 A
2017-03-25T00:00:00-06:00,51.31354173024496 A
2017-03-26T00:00:00-06:00,46.6375000278155 A
2017-03-27T00:00:00-06:00,64.08229164282481 A
2017-03-28T00:00:00-06:00,57.61874997615814 A
2017-03-29T00:00:00-06:00,55.472222328186035 A
2017-03-30T00:00:00-06:00,64.42000037299262 A
2017-03-31T00:00:00-06:00,61.706249952316284 A
2017-04-01T00:00:00-06:00,46.00520827372869 A
2017-04-02T00:00:00-06:00,51.18020796775818 A
2017-04-03T00:00:00-06:00,56.447916865348816 A
2017-04-04T00:00:00-06:00,54.75833332538605 A
2017-04-05T00:00:00-06:00,61.45312503973643 A
2017-04-06T00:00:00-06:00,63.56770809491476 A
2017-04-07T00:00:00-06:00,69.26770830154419 A
2017-04-08T00:00:00-06:00,51.10416650772095 A
2017-04-09T00:00:00-06:00,49.67916667461395 A
2017-04-10T00:00:00-06:00,57.839583357175194 A
2017-04-11T00:00:00-06:00,64.34166634082794 A
