Timestamp,['1cc9722a-ac9e684f 0051-STERLING SILL CNTR Power Meter Volts AN']
2017-01-01T00:00:00-07:00,121.8281253973643 V
2017-01-02T00:00:00-07:00,121.85833342870076 V
2017-01-03T00:00:00-07:00,121.8395832379659 V
2017-01-04T00:00:00-07:00,121.9697920481364 V
2017-01-05T00:00:00-07:00,121.77916693687439 V
2017-01-06T00:00:00-07:00,121.84270898501079 V
2017-01-07T00:00:00-07:00,121.66770847638448 V
2017-01-08T00:00:00-07:00,121.8666668732961 V
2017-01-09T00:00:00-07:00,121.75104188919067 V
2017-01-10T00:00:00-07:00,121.93020852406819 V
2017-01-11T00:00:00-07:00,121.93541661898296 V
2017-01-12T00:00:00-07:00,121.81250023841858 V
2017-01-13T00:00:00-07:00,121.95937498410542 V
2017-01-14T00:00:00-07:00,121.83958339691162 V
2017-01-15T00:00:00-07:00,121.7729168732961 V
2017-01-16T00:00:00-07:00,121.9666661421458 V
2017-01-17T00:00:00-07:00,121.9187494913737 V
2017-01-18T00:00:00-07:00,121.76823506074793 V
2017-01-19T00:00:00-07:00,121.93854228655498 V
2017-01-20T00:00:00-07:00,121.88749988873799 V
2017-01-21T00:00:00-07:00,121.7781252861023 V
2017-01-22T00:00:00-07:00,121.78541684150696 V
2017-01-23T00:00:00-07:00,121.89374987284343 V
2017-01-24T00:00:00-07:00,121.82812523841858 V
2017-01-25T00:00:00-07:00,121.68229134877522 V
2017-01-26T00:00:00-07:00,121.91354203224182 V
2017-01-27T00:00:00-07:00,121.68854180971782 V
2017-01-28T00:00:00-07:00,121.81145803133647 V
2017-01-29T00:00:00-07:00,121.88749988873799 V
2017-01-30T00:00:00-07:00,121.69270809491475 V
2017-01-31T00:00:00-07:00,121.70833365122478 V
2017-02-01T00:00:00-07:00,121.85312501589458 V
2017-02-02T00:00:00-07:00,121.81458298365276 V
2017-02-03T00:00:00-07:00,121.85937587420146 V
2017-02-04T00:00:00-07:00,121.88958358764648 V
2017-02-05T00:00:00-07:00,121.8093752861023 V
2017-02-06T00:00:00-07:00,121.9697916507721 V
2017-02-07T00:00:00-07:00,121.80105261551707 V
2017-02-08T00:00:00-07:00,121.87340440141394 V
2017-02-09T00:00:00-07:00,121.67812506357829 V
2017-02-10T00:00:00-07:00,121.74895819028218 V
