Timestamp,['1cc97264-0cf35b3c 0051-STERLING SILL CNTR Power Meter Volts BN']
2017-01-01T00:00:00-07:00,121.51354098320007 V
2017-01-02T00:00:00-07:00,121.6187493801117 V
2017-01-03T00:00:00-07:00,121.61354144414265 V
2017-01-04T00:00:00-07:00,121.78958304723103 V
2017-01-05T00:00:00-07:00,121.57187493642171 V
2017-01-06T00:00:00-07:00,121.57187461853027 V
2017-01-07T00:00:00-07:00,121.45937538146973 V
2017-01-08T00:00:00-07:00,121.61250003178914 V
2017-01-09T00:00:00-07:00,121.52083357175191 V
2017-01-10T00:00:00-07:00,121.68958258628845 V
2017-01-11T00:00:00-07:00,121.69583360354106 V
2017-01-12T00:00:00-07:00,121.59062504768372 V
2017-01-13T00:00:00-07:00,121.76250012715657 V
2017-01-14T00:00:00-07:00,121.60937452316284 V
2017-01-15T00:00:00-07:00,121.5312496026357 V
2017-01-16T00:00:00-07:00,121.71145836512248 V
2017-01-17T00:00:00-07:00,121.64583357175191 V
2017-01-18T00:00:00-07:00,121.49176474178539 V
2017-01-19T00:00:00-07:00,121.6364582379659 V
2017-01-20T00:00:00-07:00,121.63229147593181 V
2017-01-21T00:00:00-07:00,121.5468746026357 V
2017-01-22T00:00:00-07:00,121.54791657129924 V
2017-01-23T00:00:00-07:00,121.63125006357829 V
2017-01-24T00:00:00-07:00,121.59479173024495 V
2017-01-25T00:00:00-07:00,121.46979157129924 V
2017-01-26T00:00:00-07:00,121.70520838101704 V
2017-01-27T00:00:00-07:00,121.45104161898296 V
2017-01-28T00:00:00-07:00,121.5281252861023 V
2017-01-29T00:00:00-07:00,121.5968747138977 V
2017-01-30T00:00:00-07:00,121.4114584128062 V
2017-01-31T00:00:00-07:00,121.45416625340779 V
2017-02-01T00:00:00-07:00,121.58541663487752 V
2017-02-02T00:00:00-07:00,121.60208336512248 V
2017-02-03T00:00:00-07:00,121.65104150772095 V
2017-02-04T00:00:00-07:00,121.66354171435039 V
2017-02-05T00:00:00-07:00,121.59062465031941 V
