Timestamp,['1cca747d-a3a60633 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts AN']
2017-01-01T00:00:00-07:00,121.91666666666667 V
2017-01-02T00:00:00-07:00,121.82638888888889 V
2017-01-03T00:00:00-07:00,121.75138888888888 V
2017-01-04T00:00:00-07:00,121.7 V
2017-01-05T00:00:00-07:00,121.77986111111112 V
2017-01-06T00:00:00-07:00,121.83125 V
2017-01-07T00:00:00-07:00,121.77777777777777 V
2017-01-08T00:00:00-07:00,121.62013888888889 V
2017-01-09T00:00:00-07:00,121.46944444444445 V
2017-01-10T00:00:00-07:00,121.46111111111111 V
2017-01-11T00:00:00-07:00,121.62222222222222 V
2017-01-12T00:00:00-07:00,121.61805555555556 V
2017-01-13T00:00:00-07:00,121.69444444444444 V
2017-01-14T00:00:00-07:00,121.88888888888889 V
2017-01-15T00:00:00-07:00,121.63194444444444 V
2017-01-16T00:00:00-07:00,121.70833333333333 V
2017-01-17T00:00:00-07:00,121.54861111111111 V
2017-01-18T00:00:00-07:00,122.61106955871354 V
2017-01-19T00:00:00-07:00,123.10416666666667 V
2017-01-20T00:00:00-07:00,123.25952552120776 V
2017-01-21T00:00:00-07:00,123.22708333333334 V
2017-01-22T00:00:00-07:00,123.07638888888889 V
2017-01-23T00:00:00-07:00,123.06527777777778 V
2017-01-24T00:00:00-07:00,123.19166666666666 V
2017-01-25T00:00:00-07:00,123.11111111111111 V
2017-01-26T00:00:00-07:00,123.02361111111111 V
2017-01-27T00:00:00-07:00,123.13888888888889 V
2017-01-28T00:00:00-07:00,123.17013888888889 V
2017-01-29T00:00:00-07:00,123.19444444444444 V
2017-01-30T00:00:00-07:00,123.1875 V
2017-01-31T00:00:00-07:00,123.00347222222223 V
2017-02-01T00:00:00-07:00,123.29166666666667 V
2017-02-02T00:00:00-07:00,123.13472222222222 V
2017-02-03T00:00:00-07:00,123.17808219178082 V
2017-02-07T00:00:00-07:00,123.04815864022663 V
2017-02-08T00:00:00-07:00,123.12895752895753 V
2017-02-09T00:00:00-07:00,123.0625 V
2017-02-10T00:00:00-07:00,123.15972222222223 V
2017-02-11T00:00:00-07:00,123.23611111111111 V
2017-02-12T00:00:00-07:00,123.11111111111111 V
2017-02-13T00:00:00-07:00,123.15277777777777 V
2017-02-14T00:00:00-07:00,123.26760563380282 V
2017-02-15T00:00:00-07:00,123.23958333333333 V
2017-02-16T00:00:00-07:00,123.11111111111111 V
2017-02-17T00:00:00-07:00,123.30972222222222 V
2017-02-18T00:00:00-07:00,123.24305555555556 V
2017-02-19T00:00:00-07:00,123.40972222222223 V
2017-02-20T00:00:00-07:00,123.09027777777777 V
2017-02-21T00:00:00-07:00,123.13402777777777 V
