Timestamp,['1cca74ad-f1c96daa 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts AB']
2017-01-01T00:00:00-07:00,211.1875 V
2017-01-02T00:00:00-07:00,211.02777777777777 V
2017-01-03T00:00:00-07:00,211.05833333333334 V
2017-01-04T00:00:00-07:00,210.92916666666667 V
2017-01-05T00:00:00-07:00,211.0625 V
2017-01-06T00:00:00-07:00,211.03472222222223 V
2017-01-07T00:00:00-07:00,211.02083333333334 V
2017-01-08T00:00:00-07:00,210.86805555555554 V
2017-01-09T00:00:00-07:00,210.71458333333334 V
2017-01-10T00:00:00-07:00,210.66666666666666 V
2017-01-11T00:00:00-07:00,210.94861111111112 V
2017-01-12T00:00:00-07:00,210.8986111111111 V
2017-01-13T00:00:00-07:00,210.98611111111111 V
2017-01-14T00:00:00-07:00,211.4138888888889 V
2017-01-15T00:00:00-07:00,210.86805555555554 V
2017-01-16T00:00:00-07:00,211.01736111111111 V
2017-01-17T00:00:00-07:00,210.77083333333334 V
2017-01-18T00:00:00-07:00,212.57741211667914 V
2017-01-19T00:00:00-07:00,213.39583333333334 V
2017-01-20T00:00:00-07:00,213.62688713156004 V
2017-01-21T00:00:00-07:00,213.58125 V
2017-01-22T00:00:00-07:00,213.32638888888889 V
2017-01-23T00:00:00-07:00,213.4125 V
2017-01-24T00:00:00-07:00,213.55277777777778 V
2017-01-25T00:00:00-07:00,213.29166666666666 V
2017-01-26T00:00:00-07:00,213.22916666666666 V
2017-01-27T00:00:00-07:00,213.40972222222223 V
2017-01-28T00:00:00-07:00,213.35416666666666 V
2017-01-29T00:00:00-07:00,213.36111111111111 V
2017-01-30T00:00:00-07:00,213.62847222222223 V
2017-01-31T00:00:00-07:00,213.34027777777777 V
2017-02-01T00:00:00-07:00,213.53472222222223 V
2017-02-02T00:00:00-07:00,213.45416666666668 V
2017-02-03T00:00:00-07:00,213.2579908675799 V
2017-02-07T00:00:00-07:00,213.52691218130312 V
2017-02-08T00:00:00-07:00,213.54054054054055 V
2017-02-09T00:00:00-07:00,213.30138888888888 V
