Timestamp,['1cca74bc-d05b4ffd 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts CA']
2017-01-01T00:00:00-07:00,211.11805555555554 V
2017-01-02T00:00:00-07:00,210.95833333333334 V
2017-01-03T00:00:00-07:00,210.94027777777777 V
2017-01-04T00:00:00-07:00,210.75555555555556 V
2017-01-05T00:00:00-07:00,210.91180555555556 V
2017-01-06T00:00:00-07:00,210.83819444444444 V
2017-01-07T00:00:00-07:00,210.8125 V
2017-01-08T00:00:00-07:00,210.72430555555556 V
2017-01-09T00:00:00-07:00,210.3513888888889 V
2017-01-10T00:00:00-07:00,210.50277777777777 V
2017-01-11T00:00:00-07:00,210.79305555555555 V
2017-01-12T00:00:00-07:00,210.7111111111111 V
2017-01-13T00:00:00-07:00,210.88888888888889 V
2017-01-14T00:00:00-07:00,211.26805555555555 V
2017-01-15T00:00:00-07:00,210.77083333333334 V
2017-01-16T00:00:00-07:00,210.95486111111111 V
2017-01-17T00:00:00-07:00,210.67361111111111 V
2017-01-18T00:00:00-07:00,212.37397157816005 V
2017-01-19T00:00:00-07:00,213.09027777777777 V
2017-01-20T00:00:00-07:00,213.3235082674335 V
2017-01-21T00:00:00-07:00,213.3659722222222 V
2017-01-22T00:00:00-07:00,212.95833333333334 V
2017-01-23T00:00:00-07:00,213.05833333333334 V
2017-01-24T00:00:00-07:00,213.12916666666666 V
2017-01-25T00:00:00-07:00,213 V
2017-01-26T00:00:00-07:00,213.05555555555554 V
2017-01-27T00:00:00-07:00,213.11041666666668 V
2017-01-28T00:00:00-07:00,213.13194444444446 V
2017-01-29T00:00:00-07:00,213.21527777777777 V
2017-01-30T00:00:00-07:00,213.28472222222223 V
2017-01-31T00:00:00-07:00,212.98263888888889 V
2017-02-01T00:00:00-07:00,213.20833333333334 V
2017-02-02T00:00:00-07:00,213.0375 V
2017-02-03T00:00:00-07:00,213.05251141552512 V
2017-02-07T00:00:00-07:00,213.1402266288952 V
2017-02-08T00:00:00-07:00,213.15895061728395 V
2017-02-09T00:00:00-07:00,213.07222222222222 V
2017-02-10T00:00:00-07:00,213.25 V
2017-02-11T00:00:00-07:00,213.26388888888889 V
2017-02-12T00:00:00-07:00,213.13194444444446 V
2017-02-13T00:00:00-07:00,213.14930555555554 V
2017-02-14T00:00:00-07:00,213.28521126760563 V
2017-02-15T00:00:00-07:00,213.33333333333334 V
2017-02-16T00:00:00-07:00,213.19791666666666 V
2017-02-17T00:00:00-07:00,213.37916666666666 V
2017-02-18T00:00:00-07:00,213.30555555555554 V
2017-02-19T00:00:00-07:00,213.38888888888889 V
2017-02-20T00:00:00-07:00,213.09722222222223 V
2017-02-21T00:00:00-07:00,213.0923611111111 V
2017-02-22T00:00:00-07:00,213.01875 V
2017-02-23T00:00:00-07:00,213.00694444444446 V
2017-02-24T00:00:00-07:00,213.09019264448335 V
2017-02-25T00:00:00-07:00,213.11805555555554 V
2017-02-26T00:00:00-07:00,213.48194444444445 V
2017-02-27T00:00:00-07:00,213.3375 V
2017-02-28T00:00:00-07:00,213.10069444444446 V
2017-03-01T00:00:00-07:00,213.17013888888889 V
2017-03-02T00:00:00-07:00,213.15277777777777 V
2017-03-03T00:00:00-07:00,212.96805555555557 V
2017-03-04T00:00:00-07:00,213.11111111111111 V
2017-03-05T00:00:00-07:00,213.03472222222223 V
2017-03-06T00:00:00-07:00,212.875 V
2017-03-07T00:00:00-07:00,213.02291666666667 V
2017-03-08T00:00:00-07:00,213.2548611111111 V
2017-03-09T00:00:00-07:00,213.07638888888889 V
2017-03-10T00:00:00-07:00,213.09027777777777 V
2017-03-11T00:00:00-07:00,213.34722222222223 V
2017-03-12T00:00:00-07:00,213.1536231884058 V
2017-03-13T00:00:00-06:00,213.27708333333334 V
2017-03-14T00:00:00-06:00,213.2423611111111 V
2017-03-15T00:00:00-06:00,212.93125 V
2017-03-16T00:00:00-06:00,213.36805555555554 V
2017-03-17T00:00:00-06:00,213.09027777777777 V
2017-03-18T00:00:00-06:00,213.40277777777777 V
2017-03-19T00:00:00-06:00,213.11111111111111 V
2017-03-20T00:00:00-06:00,212.96527777777777 V
2017-03-21T00:00:00-06:00,212.95069444444445 V
2017-03-22T00:00:00-06:00,213.00069444444443 V
2017-03-23T00:00:00-06:00,213.05625 V
2017-03-24T00:00:00-06:00,213.38055555555556 V
2017-03-25T00:00:00-06:00,213.37482517482516 V
2017-03-26T00:00:00-06:00,213.0847222222222 V
2017-03-27T00:00:00-06:00,213 V
2017-03-28T00:00:00-06:00,213.23611111111111 V
2017-03-29T00:00:00-06:00,213.13002806361087 V
2017-03-30T00:00:00-06:00,213.0446841294299 V
2017-03-31T00:00:00-06:00,213.15277777777777 V
2017-04-01T00:00:00-06:00,213.49305555555554 V
2017-04-02T00:00:00-06:00,213.45138888888889 V
2017-04-03T00:00:00-06:00,213.08333333333334 V
2017-04-04T00:00:00-06:00,213.1826388888889 V
2017-04-05T00:00:00-06:00,212.97916666666666 V
2017-04-06T00:00:00-06:00,212.86805555555554 V
2017-04-07T00:00:00-06:00,213.13680555555555 V
2017-04-08T00:00:00-06:00,213.31527777777777 V
2017-04-09T00:00:00-06:00,213.4375 V
2017-04-10T00:00:00-06:00,213.04930555555555 V
2017-04-11T00:00:00-06:00,213.0625 V
2017-04-12T00:00:00-06:00,212.97222222222223 V
2017-04-13T00:00:00-06:00,212.95486111111111 V
2017-04-14T00:00:00-06:00,213.15972222222223 V
2017-04-15T00:00:00-06:00,212.80277777777778 V
2017-04-16T00:00:00-06:00,213.5298611111111 V
2017-04-17T00:00:00-06:00,213.1638888888889 V
2017-04-18T00:00:00-06:00,213.02777777777777 V
2017-04-19T00:00:00-06:00,212.99027777777778 V
2017-04-20T00:00:00-06:00,213.19166666666666 V
2017-04-21T00:00:00-06:00,212.9375 V
2017-04-22T00:00:00-06:00,213.10972222222222 V
2017-04-23T00:00:00-06:00,213.125 V
2017-04-24T00:00:00-06:00,213.27083333333334 V
2017-04-25T00:00:00-06:00,212.98541666666668 V
2017-04-26T00:00:00-06:00,212.99375 V
2017-04-27T00:00:00-06:00,213.36111111111111 V
2017-04-28T00:00:00-06:00,213.0625 V
2017-04-29T00:00:00-06:00,213.35416666666666 V
2017-04-30T00:00:00-06:00,213.11041666666668 V
2017-05-01T00:00:00-06:00,213.10486111111112 V
2017-05-02T00:00:00-06:00,213.04166666666666 V
2017-05-03T00:00:00-06:00,213.15208333333334 V
2017-05-04T00:00:00-06:00,213.15833333333333 V
2017-05-05T00:00:00-06:00,213.22916666666666 V
2017-05-06T00:00:00-06:00,213.31319444444443 V
2017-05-07T00:00:00-06:00,213.23402777777778 V
2017-05-08T00:00:00-06:00,213.1323943661972 V
2017-05-09T00:00:00-06:00,213.12708333333333 V
2017-05-10T00:00:00-06:00,213.08680555555554 V
2017-05-11T00:00:00-06:00,212.92013888888889 V
2017-05-12T00:00:00-06:00,213.30208333333334 V
2017-05-13T00:00:00-06:00,213.42083333333332 V
2017-05-14T00:00:00-06:00,212.96805555555557 V
2017-05-15T00:00:00-06:00,212.98333333333332 V
2017-05-16T00:00:00-06:00,213.23776223776224 V
2017-05-17T00:00:00-06:00,213.27777777777777 V
2017-05-18T00:00:00-06:00,212.8972222222222 V
2017-05-19T00:00:00-06:00,213.29861111111111 V
2017-05-20T00:00:00-06:00,213.2513888888889 V
2017-05-21T00:00:00-06:00,213.14583333333334 V
2017-05-22T00:00:00-06:00,213.14513888888888 V
2017-05-23T00:00:00-06:00,212.99930555555557 V
2017-05-24T00:00:00-06:00,213.18125 V
2017-05-25T00:00:00-06:00,213.1173611111111 V
2017-05-26T00:00:00-06:00,213.11111111111111 V
2017-05-27T00:00:00-06:00,213.17430555555555 V
2017-05-28T00:00:00-06:00,213.23611111111111 V
2017-05-29T00:00:00-06:00,213.15347222222223 V
2017-05-30T00:00:00-06:00,213.22847222222222 V
2017-05-31T00:00:00-06:00,213.04236111111112 V
2017-06-01T00:00:00-06:00,213.3048611111111 V
2017-06-02T00:00:00-06:00,213.09097222222223 V
2017-06-03T00:00:00-06:00,213.22222222222223 V
2017-06-04T00:00:00-06:00,213.1326388888889 V
2017-06-05T00:00:00-06:00,212.98611111111111 V
2017-06-06T00:00:00-06:00,213.03541666666666 V
2017-06-07T00:00:00-06:00,213.13194444444446 V
2017-06-08T00:00:00-06:00,213.20138888888889 V
2017-06-09T00:00:00-06:00,213.0625 V
2017-06-10T00:00:00-06:00,213.01041666666666 V
2017-06-11T00:00:00-06:00,213.06153846153848 V
2017-06-12T00:00:00-06:00,213.14583333333334 V
2017-06-13T00:00:00-06:00,213.01805555555555 V
2017-06-14T00:00:00-06:00,212.95208333333332 V
2017-06-15T00:00:00-06:00,212.95347222222222 V
2017-06-16T00:00:00-06:00,213.00694444444446 V
2017-06-17T00:00:00-06:00,213.16458333333333 V
2017-06-18T00:00:00-06:00,213.23611111111111 V
2017-06-19T00:00:00-06:00,213.02083333333334 V
2017-06-20T00:00:00-06:00,213.07083333333333 V
2017-06-21T00:00:00-06:00,212.99305555555554 V
2017-06-22T00:00:00-06:00,213.25 V
2017-06-23T00:00:00-06:00,213.15694444444443 V
2017-06-24T00:00:00-06:00,213.225 V
2017-06-25T00:00:00-06:00,213.375 V
