Timestamp,['1cca7546-e1f685ca 0062-WARNOCK ENGR BLDG Power Meter 316607 Current A']
2017-01-01T00:00:00-07:00,391.21875 A
2017-01-02T00:00:00-07:00,392.9166666666667 A
2017-01-03T00:00:00-07:00,409.8421052631579 A
2017-01-04T00:00:00-07:00,417.1770833333333 A
2017-01-05T00:00:00-07:00,415.71875 A
2017-01-06T00:00:00-07:00,411.3645833333333 A
2017-01-07T00:00:00-07:00,392.6875 A
2017-01-08T00:00:00-07:00,386.1458333333333 A
2017-01-09T00:00:00-07:00,431.03125 A
2017-01-10T00:00:00-07:00,428.5625 A
2017-01-11T00:00:00-07:00,426.75 A
2017-01-12T00:00:00-07:00,429.625 A
2017-01-13T00:00:00-07:00,434.96875 A
2017-01-14T00:00:00-07:00,417.5104166666667 A
2017-01-15T00:00:00-07:00,423 A
2017-01-16T00:00:00-07:00,427.0520833333333 A
2017-01-17T00:00:00-07:00,429.4270833333333 A
2017-01-18T00:00:00-07:00,411 A
2017-01-19T00:00:00-07:00,419.0729166666667 A
2017-01-20T00:00:00-07:00,411.1808510638298 A
2017-01-21T00:00:00-07:00,391.125 A
2017-01-22T00:00:00-07:00,396.9375 A
2017-01-23T00:00:00-07:00,420.6354166666667 A
2017-01-24T00:00:00-07:00,425.1875 A
2017-01-25T00:00:00-07:00,421.2291666666667 A
2017-01-26T00:00:00-07:00,413.5416666666667 A
2017-01-27T00:00:00-07:00,415.5625 A
2017-01-28T00:00:00-07:00,388.8541666666667 A
2017-01-29T00:00:00-07:00,382.09375 A
2017-01-30T00:00:00-07:00,407.5625 A
2017-01-31T00:00:00-07:00,423.40625 A
2017-02-01T00:00:00-07:00,421.625 A
2017-02-02T00:00:00-07:00,431.9895833333333 A
2017-02-03T00:00:00-07:00,425.1551724137931 A
2017-02-07T00:00:00-07:00,469.45454545454544 A
2017-02-08T00:00:00-07:00,458.6162790697674 A
2017-02-09T00:00:00-07:00,481.7708333333333 A
2017-02-10T00:00:00-07:00,460.4583333333333 A
2017-02-11T00:00:00-07:00,405.34375 A
2017-02-12T00:00:00-07:00,418.09375 A
2017-02-13T00:00:00-07:00,438.71875 A
2017-02-14T00:00:00-07:00,440.1684210526316 A
2017-02-15T00:00:00-07:00,446.0208333333333 A
2017-02-16T00:00:00-07:00,456.2395833333333 A
2017-02-17T00:00:00-07:00,441.875 A
2017-02-18T00:00:00-07:00,414.2916666666667 A
2017-02-19T00:00:00-07:00,409.40625 A
2017-02-20T00:00:00-07:00,426.15625 A
2017-02-21T00:00:00-07:00,465.8333333333333 A
2017-02-22T00:00:00-07:00,426.7916666666667 A
2017-02-23T00:00:00-07:00,436.4166666666667 A
2017-02-24T00:00:00-07:00,418.4025974025974 A
2017-02-25T00:00:00-07:00,399.1875 A
2017-02-26T00:00:00-07:00,403.9791666666667 A
2017-02-27T00:00:00-07:00,433.4270833333333 A
2017-02-28T00:00:00-07:00,434.25 A
2017-03-01T00:00:00-07:00,436.2604166666667 A
2017-03-02T00:00:00-07:00,444.2916666666667 A
2017-03-03T00:00:00-07:00,453.9583333333333 A
2017-03-04T00:00:00-07:00,453.4791666666667 A
2017-03-05T00:00:00-07:00,446.2708333333333 A
2017-03-06T00:00:00-07:00,446.8541666666667 A
2017-03-07T00:00:00-07:00,435.1458333333333 A
2017-03-08T00:00:00-07:00,448.8645833333333 A
2017-03-09T00:00:00-07:00,466.8333333333333 A
2017-03-10T00:00:00-07:00,465.6666666666667 A
2017-03-11T00:00:00-07:00,438.78125 A
2017-03-12T00:00:00-07:00,442.1304347826087 A
2017-03-13T00:00:00-06:00,460.7916666666667 A
2017-03-14T00:00:00-06:00,475.0416666666667 A
2017-03-15T00:00:00-06:00,466.8958333333333 A
2017-03-16T00:00:00-06:00,468.09375 A
2017-03-17T00:00:00-06:00,462.7291666666667 A
2017-03-18T00:00:00-06:00,450.71875 A
2017-03-19T00:00:00-06:00,450.0625 A
2017-03-20T00:00:00-06:00,485.4166666666667 A
2017-03-21T00:00:00-06:00,480.8958333333333 A
2017-03-22T00:00:00-06:00,477.9270833333333 A
2017-03-23T00:00:00-06:00,430.78125 A
2017-03-24T00:00:00-06:00,457.40625 A
2017-03-25T00:00:00-06:00,416.2083333333333 A
2017-03-26T00:00:00-06:00,432.1041666666667 A
2017-03-27T00:00:00-06:00,436.1979166666667 A
2017-03-28T00:00:00-06:00,447.5625 A
2017-03-29T00:00:00-06:00,463.40277777777777 A
2017-03-30T00:00:00-06:00,471.09090909090907 A
2017-03-31T00:00:00-06:00,434.53125 A
2017-04-01T00:00:00-06:00,453.9578947368421 A
2017-04-02T00:00:00-06:00,412.8020833333333 A
