Timestamp,['1cca7558-b00f4018 0062-WARNOCK ENGR BLDG Power Meter 316607 Current B']
2017-01-01T00:00:00-07:00,374.5208333333333 A
2017-01-02T00:00:00-07:00,376.1666666666667 A
2017-01-03T00:00:00-07:00,382.22105263157897 A
2017-01-04T00:00:00-07:00,390.6354166666667 A
2017-01-05T00:00:00-07:00,390.78125 A
2017-01-06T00:00:00-07:00,384.84375 A
2017-01-07T00:00:00-07:00,372.9791666666667 A
2017-01-08T00:00:00-07:00,364.8958333333333 A
2017-01-09T00:00:00-07:00,408.9791666666667 A
2017-01-10T00:00:00-07:00,411.625 A
2017-01-11T00:00:00-07:00,403.5 A
2017-01-12T00:00:00-07:00,400.1875 A
2017-01-13T00:00:00-07:00,398.8020833333333 A
2017-01-14T00:00:00-07:00,383.2916666666667 A
2017-01-15T00:00:00-07:00,389.4375 A
2017-01-16T00:00:00-07:00,388.4375 A
2017-01-17T00:00:00-07:00,400.9583333333333 A
2017-01-18T00:00:00-07:00,386.4268292682927 A
2017-01-19T00:00:00-07:00,388.9270833333333 A
2017-01-20T00:00:00-07:00,382.6170212765957 A
2017-01-21T00:00:00-07:00,366.3541666666667 A
2017-01-22T00:00:00-07:00,367.4479166666667 A
2017-01-23T00:00:00-07:00,390.03125 A
2017-01-24T00:00:00-07:00,395.6666666666667 A
2017-01-25T00:00:00-07:00,384.6041666666667 A
2017-01-26T00:00:00-07:00,381.90625 A
2017-01-27T00:00:00-07:00,391.1458333333333 A
2017-01-28T00:00:00-07:00,364.78125 A
2017-01-29T00:00:00-07:00,356.96875 A
2017-01-30T00:00:00-07:00,387.78125 A
2017-01-31T00:00:00-07:00,393.5833333333333 A
2017-02-01T00:00:00-07:00,403.125 A
2017-02-02T00:00:00-07:00,409.6770833333333 A
2017-02-03T00:00:00-07:00,399.7413793103448 A
2017-02-07T00:00:00-07:00,458.72727272727275 A
2017-02-08T00:00:00-07:00,446.86206896551727 A
2017-02-09T00:00:00-07:00,464.15625 A
2017-02-10T00:00:00-07:00,441.8958333333333 A
2017-02-11T00:00:00-07:00,385.1666666666667 A
2017-02-12T00:00:00-07:00,397.9583333333333 A
2017-02-13T00:00:00-07:00,410.9166666666667 A
2017-02-14T00:00:00-07:00,413.1684210526316 A
2017-02-15T00:00:00-07:00,421.5208333333333 A
2017-02-16T00:00:00-07:00,428.3333333333333 A
2017-02-17T00:00:00-07:00,414.3125 A
2017-02-18T00:00:00-07:00,394.7291666666667 A
2017-02-19T00:00:00-07:00,390.53125 A
2017-02-20T00:00:00-07:00,406.3854166666667 A
2017-02-21T00:00:00-07:00,450.90625 A
2017-02-22T00:00:00-07:00,408.8125 A
2017-02-23T00:00:00-07:00,410.7291666666667 A
2017-02-24T00:00:00-07:00,395.2597402597403 A
2017-02-25T00:00:00-07:00,379 A
2017-02-26T00:00:00-07:00,394.0104166666667 A
2017-02-27T00:00:00-07:00,413.78125 A
2017-02-28T00:00:00-07:00,414.3958333333333 A
2017-03-01T00:00:00-07:00,419.0625 A
2017-03-02T00:00:00-07:00,422.1666666666667 A
2017-03-03T00:00:00-07:00,425.6979166666667 A
2017-03-04T00:00:00-07:00,437.1458333333333 A
2017-03-05T00:00:00-07:00,424.2916666666667 A
2017-03-06T00:00:00-07:00,417.4479166666667 A
2017-03-07T00:00:00-07:00,415.3854166666667 A
2017-03-08T00:00:00-07:00,439.8229166666667 A
2017-03-09T00:00:00-07:00,455.625 A
2017-03-10T00:00:00-07:00,452.3020833333333 A
2017-03-11T00:00:00-07:00,426.2916666666667 A
2017-03-12T00:00:00-07:00,424.9673913043478 A
2017-03-13T00:00:00-06:00,443.7395833333333 A
2017-03-14T00:00:00-06:00,458.8541666666667 A
2017-03-15T00:00:00-06:00,455.8854166666667 A
2017-03-16T00:00:00-06:00,453.34375 A
2017-03-17T00:00:00-06:00,451.6458333333333 A
2017-03-18T00:00:00-06:00,432.75 A
2017-03-19T00:00:00-06:00,425.7083333333333 A
2017-03-20T00:00:00-06:00,473.5416666666667 A
2017-03-21T00:00:00-06:00,475.8020833333333 A
2017-03-22T00:00:00-06:00,470.15625 A
2017-03-23T00:00:00-06:00,417.3229166666667 A
2017-03-24T00:00:00-06:00,440.3020833333333 A
2017-03-25T00:00:00-06:00,404.1458333333333 A
2017-03-26T00:00:00-06:00,414.28125 A
2017-03-27T00:00:00-06:00,426.3333333333333 A
2017-03-28T00:00:00-06:00,437.5833333333333 A
2017-03-29T00:00:00-06:00,454.1111111111111 A
2017-03-30T00:00:00-06:00,457.8181818181818 A
2017-03-31T00:00:00-06:00,421.2395833333333 A
2017-04-01T00:00:00-06:00,445.57894736842104 A
2017-04-02T00:00:00-06:00,405.3541666666667 A
2017-04-03T00:00:00-06:00,426.2083333333333 A
2017-04-04T00:00:00-06:00,432.6458333333333 A
2017-04-05T00:00:00-06:00,440.625 A
2017-04-06T00:00:00-06:00,451.3333333333333 A
2017-04-07T00:00:00-06:00,456.53125 A
2017-04-08T00:00:00-06:00,393.4895833333333 A
2017-04-09T00:00:00-06:00,379.2291666666667 A
2017-04-10T00:00:00-06:00,419.71875 A
2017-04-11T00:00:00-06:00,433.5208333333333 A
2017-04-12T00:00:00-06:00,461.6979166666667 A
2017-04-13T00:00:00-06:00,471.5625 A
2017-04-14T00:00:00-06:00,422.6145833333333 A
2017-04-15T00:00:00-06:00,414.4375 A
2017-04-16T00:00:00-06:00,429.2708333333333 A
2017-04-17T00:00:00-06:00,477.5520833333333 A
2017-04-18T00:00:00-06:00,460 A
2017-04-19T00:00:00-06:00,427.0416666666667 A
2017-04-20T00:00:00-06:00,419.5 A
2017-04-21T00:00:00-06:00,416.9583333333333 A
2017-04-22T00:00:00-06:00,420.9791666666667 A
2017-04-23T00:00:00-06:00,422.84375 A
2017-04-24T00:00:00-06:00,429.0208333333333 A
2017-04-25T00:00:00-06:00,410.7708333333333 A
2017-04-26T00:00:00-06:00,424.65625 A
2017-04-27T00:00:00-06:00,404.9166666666667 A
2017-04-28T00:00:00-06:00,394.2083333333333 A
2017-04-29T00:00:00-06:00,407.2105263157895 A
2017-04-30T00:00:00-06:00,416.4842105263158 A
2017-05-01T00:00:00-06:00,453.65625 A
2017-05-02T00:00:00-06:00,455.96875 A
2017-05-03T00:00:00-06:00,450.3229166666667 A
2017-05-04T00:00:00-06:00,439.1875 A
2017-05-05T00:00:00-06:00,450.84375 A
2017-05-06T00:00:00-06:00,444.6145833333333 A
2017-05-07T00:00:00-06:00,440.8020833333333 A
2017-05-08T00:00:00-06:00,434 A
2017-05-09T00:00:00-06:00,444.96875 A
2017-05-10T00:00:00-06:00,461.9583333333333 A
2017-05-11T00:00:00-06:00,447.6770833333333 A
2017-05-12T00:00:00-06:00,443.125 A
2017-05-13T00:00:00-06:00,400.4166666666667 A
2017-05-14T00:00:00-06:00,408.125 A
2017-05-15T00:00:00-06:00,442.4375 A
2017-05-16T00:00:00-06:00,432.2604166666667 A
2017-05-17T00:00:00-06:00,373.4479166666667 A
2017-05-18T00:00:00-06:00,379.2291666666667 A
2017-05-19T00:00:00-06:00,377.6770833333333 A
2017-05-20T00:00:00-06:00,362.8541666666667 A
2017-05-21T00:00:00-06:00,373.8020833333333 A
2017-05-22T00:00:00-06:00,388.7604166666667 A
2017-05-23T00:00:00-06:00,388.1458333333333 A
2017-05-24T00:00:00-06:00,430.3541666666667 A
2017-05-25T00:00:00-06:00,423.0729166666667 A
2017-05-26T00:00:00-06:00,427.65625 A
2017-05-27T00:00:00-06:00,407.9166666666667 A
2017-05-28T00:00:00-06:00,421.4166666666667 A
2017-05-29T00:00:00-06:00,431.4791666666667 A
2017-05-30T00:00:00-06:00,445.8645833333333 A
2017-05-31T00:00:00-06:00,441.2916666666667 A
2017-06-01T00:00:00-06:00,449.5833333333333 A
2017-06-02T00:00:00-06:00,447.1354166666667 A
2017-06-03T00:00:00-06:00,444.75 A
2017-06-04T00:00:00-06:00,445.8125 A
2017-06-05T00:00:00-06:00,462.2395833333333 A
2017-06-06T00:00:00-06:00,474.5625 A
2017-06-07T00:00:00-06:00,482.1979166666667 A
2017-06-08T00:00:00-06:00,493.1145833333333 A
2017-06-09T00:00:00-06:00,486.2395833333333 A
2017-06-10T00:00:00-06:00,457.13684210526316 A
2017-06-11T00:00:00-06:00,459.7291666666667 A
2017-06-12T00:00:00-06:00,464.1145833333333 A
2017-06-13T00:00:00-06:00,462.1770833333333 A
2017-06-14T00:00:00-06:00,476.9270833333333 A
2017-06-15T00:00:00-06:00,473.9375 A
2017-06-16T00:00:00-06:00,456.8854166666667 A
2017-06-17T00:00:00-06:00,429.5208333333333 A
2017-06-18T00:00:00-06:00,427.15625 A
2017-06-19T00:00:00-06:00,459.0104166666667 A
2017-06-20T00:00:00-06:00,475.5833333333333 A
2017-06-21T00:00:00-06:00,501.53125 A
2017-06-22T00:00:00-06:00,472.1979166666667 A
2017-06-23T00:00:00-06:00,442.6145833333333 A
2017-06-24T00:00:00-06:00,436.1354166666667 A
2017-06-25T00:00:00-06:00,441.8645833333333 A
2017-06-26T00:00:00-06:00,460.0104166666667 A
2017-06-27T00:00:00-06:00,479.9479166666667 A
2017-06-28T00:00:00-06:00,468.0104166666667 A
2017-06-29T00:00:00-06:00,459.7083333333333 A
2017-06-30T00:00:00-06:00,440.3229166666667 A
2017-07-01T00:00:00-06:00,433.2708333333333 A
2017-07-02T00:00:00-06:00,437.2604166666667 A
2017-07-03T00:00:00-06:00,462.7604166666667 A
2017-07-04T00:00:00-06:00,473.7083333333333 A
2017-07-05T00:00:00-06:00,488.2604166666667 A
2017-07-06T00:00:00-06:00,484.1979166666667 A
