Timestamp,['1cd269d6-4a5fc96b 0014-TALMAGE BLDG Power Meter KWH Received']
2017-01-01T00:00:00-07:00,633 kWh
2017-01-02T00:00:00-07:00,634 kWh
2017-01-03T00:00:00-07:00,685 kWh
2017-01-04T00:00:00-07:00,677 kWh
2017-01-05T00:00:00-07:00,697 kWh
2017-01-06T00:00:00-07:00,688 kWh
2017-01-07T00:00:00-07:00,640 kWh
2017-01-08T00:00:00-07:00,640 kWh
2017-01-09T00:00:00-07:00,730 kWh
2017-01-10T00:00:00-07:00,757 kWh
2017-01-11T00:00:00-07:00,734 kWh
2017-01-12T00:00:00-07:00,758 kWh
2017-01-13T00:00:00-07:00,699 kWh
2017-01-14T00:00:00-07:00,637 kWh
2017-01-15T00:00:00-07:00,635 kWh
2017-01-16T00:00:00-07:00,634 kWh
2017-01-17T00:00:00-07:00,778 kWh
2017-01-18T00:00:00-07:00,761 kWh
2017-01-19T00:00:00-07:00,772 kWh
2017-01-20T00:00:00-07:00,700 kWh
2017-01-21T00:00:00-07:00,611 kWh
2017-01-22T00:00:00-07:00,615 kWh
2017-01-23T00:00:00-07:00,727 kWh
2017-01-24T00:00:00-07:00,762 kWh
2017-01-25T00:00:00-07:00,723 kWh
2017-01-26T00:00:00-07:00,728 kWh
2017-01-27T00:00:00-07:00,695 kWh
2017-01-28T00:00:00-07:00,614 kWh
2017-01-29T00:00:00-07:00,617 kWh
2017-01-30T00:00:00-07:00,729 kWh
2017-01-31T00:00:00-07:00,761 kWh
2017-02-01T00:00:00-07:00,746 kWh
2017-02-02T00:00:00-07:00,718 kWh
2017-02-03T00:00:00-07:00,2874 kWh
2017-02-07T00:00:00-07:00,444 kWh
2017-02-08T00:00:00-07:00,834 kWh
2017-02-09T00:00:00-07:00,1040 kWh
2017-02-10T00:00:00-07:00,939 kWh
2017-02-11T00:00:00-07:00,651 kWh
2017-02-12T00:00:00-07:00,635 kWh
2017-02-13T00:00:00-07:00,760 kWh
2017-02-14T00:00:00-07:00,779 kWh
2017-02-15T00:00:00-07:00,789 kWh
2017-02-16T00:00:00-07:00,828 kWh
2017-02-17T00:00:00-07:00,717 kWh
2017-02-18T00:00:00-07:00,641 kWh
2017-02-19T00:00:00-07:00,645 kWh
2017-02-20T00:00:00-07:00,646 kWh
2017-02-21T00:00:00-07:00,910 kWh
2017-02-22T00:00:00-07:00,815 kWh
2017-02-23T00:00:00-07:00,745 kWh
2017-02-24T00:00:00-07:00,719 kWh
2017-02-25T00:00:00-07:00,643 kWh
2017-02-26T00:00:00-07:00,628 kWh
2017-02-27T00:00:00-07:00,726 kWh
2017-02-28T00:00:00-07:00,734 kWh
2017-03-01T00:00:00-07:00,734 kWh
2017-03-02T00:00:00-07:00,713 kWh
2017-03-03T00:00:00-07:00,701 kWh
2017-03-04T00:00:00-07:00,697 kWh
2017-03-05T00:00:00-07:00,673 kWh
2017-03-06T00:00:00-07:00,784 kWh
2017-03-07T00:00:00-07:00,762 kWh
2017-03-08T00:00:00-07:00,811 kWh
2017-03-09T00:00:00-07:00,864 kWh
2017-03-10T00:00:00-07:00,816 kWh
2017-03-11T00:00:00-07:00,702 kWh
2017-03-12T00:00:00-07:00,616 kWh
2017-03-13T00:00:00-06:00,789 kWh
2017-03-14T00:00:00-06:00,824 kWh
2017-03-15T00:00:00-06:00,831 kWh
2017-03-16T00:00:00-06:00,901 kWh
2017-03-17T00:00:00-06:00,790 kWh
2017-03-18T00:00:00-06:00,807 kWh
2017-03-19T00:00:00-06:00,801 kWh
2017-03-20T00:00:00-06:00,895 kWh
2017-03-21T00:00:00-06:00,956 kWh
2017-03-22T00:00:00-06:00,876 kWh
2017-03-23T00:00:00-06:00,720 kWh
2017-03-24T00:00:00-06:00,711 kWh
2017-03-25T00:00:00-06:00,603 kWh
2017-03-26T00:00:00-06:00,600 kWh
2017-03-27T00:00:00-06:00,684 kWh
2017-03-28T00:00:00-06:00,729 kWh
2017-03-29T00:00:00-06:00,1100 kWh
2017-03-30T00:00:00-06:00,284 kWh
2017-03-31T00:00:00-06:00,669 kWh
2017-04-01T00:00:00-06:00,625 kWh
2017-04-02T00:00:00-06:00,572 kWh
2017-04-03T00:00:00-06:00,679 kWh
2017-04-04T00:00:00-06:00,756 kWh
2017-04-05T00:00:00-06:00,798 kWh
2017-04-06T00:00:00-06:00,812 kWh
2017-04-07T00:00:00-06:00,856 kWh
2017-04-08T00:00:00-06:00,600 kWh
2017-04-09T00:00:00-06:00,584 kWh
2017-04-10T00:00:00-06:00,735 kWh
2017-04-11T00:00:00-06:00,812 kWh
2017-04-12T00:00:00-06:00,832 kWh
2017-04-13T00:00:00-06:00,861 kWh
2017-04-14T00:00:00-06:00,673 kWh
2017-04-15T00:00:00-06:00,632 kWh
2017-04-16T00:00:00-06:00,705 kWh
2017-04-17T00:00:00-06:00,946 kWh
2017-04-18T00:00:00-06:00,836 kWh
2017-04-19T00:00:00-06:00,772 kWh
2017-04-20T00:00:00-06:00,664 kWh
2017-04-21T00:00:00-06:00,658 kWh
2017-04-22T00:00:00-06:00,686 kWh
2017-04-23T00:00:00-06:00,706 kWh
2017-04-24T00:00:00-06:00,673 kWh
2017-04-25T00:00:00-06:00,692 kWh
2017-04-26T00:00:00-06:00,674 kWh
2017-04-27T00:00:00-06:00,651 kWh
2017-04-28T00:00:00-06:00,645 kWh
2017-04-29T00:00:00-06:00,583 kWh
2017-04-30T00:00:00-06:00,659 kWh
2017-05-01T00:00:00-06:00,746 kWh
2017-05-02T00:00:00-06:00,726 kWh
2017-05-03T00:00:00-06:00,735 kWh
2017-05-04T00:00:00-06:00,678 kWh
2017-05-05T00:00:00-06:00,740 kWh
2017-05-06T00:00:00-06:00,742 kWh
2017-05-07T00:00:00-06:00,716 kWh
2017-05-08T00:00:00-06:00,754 kWh
2017-05-09T00:00:00-06:00,759 kWh
2017-05-10T00:00:00-06:00,746 kWh
2017-05-11T00:00:00-06:00,761 kWh
2017-05-12T00:00:00-06:00,849 kWh
2017-05-13T00:00:00-06:00,563 kWh
2017-05-14T00:00:00-06:00,668 kWh
2017-05-15T00:00:00-06:00,789 kWh
2017-05-16T00:00:00-06:00,756 kWh
2017-05-17T00:00:00-06:00,624 kWh
2017-05-18T00:00:00-06:00,638 kWh
2017-05-19T00:00:00-06:00,628 kWh
2017-05-20T00:00:00-06:00,646 kWh
2017-05-21T00:00:00-06:00,670 kWh
2017-05-22T00:00:00-06:00,742 kWh
2017-05-23T00:00:00-06:00,804 kWh
2017-05-24T00:00:00-06:00,817 kWh
2017-05-25T00:00:00-06:00,794 kWh
2017-05-26T00:00:00-06:00,763 kWh
2017-05-27T00:00:00-06:00,734 kWh
2017-05-28T00:00:00-06:00,827 kWh
2017-05-29T00:00:00-06:00,804 kWh
2017-05-30T00:00:00-06:00,901 kWh
2017-05-31T00:00:00-06:00,907 kWh
2017-06-01T00:00:00-06:00,895 kWh
2017-06-02T00:00:00-06:00,875 kWh
2017-06-03T00:00:00-06:00,814 kWh
2017-06-04T00:00:00-06:00,834 kWh
2017-06-05T00:00:00-06:00,919 kWh
2017-06-06T00:00:00-06:00,924 kWh
2017-06-07T00:00:00-06:00,943 kWh
2017-06-08T00:00:00-06:00,967 kWh
2017-06-09T00:00:00-06:00,951 kWh
2017-06-10T00:00:00-06:00,852 kWh
2017-06-11T00:00:00-06:00,879 kWh
2017-06-12T00:00:00-06:00,891 kWh
2017-06-13T00:00:00-06:00,777 kWh
2017-06-14T00:00:00-06:00,892 kWh
2017-06-15T00:00:00-06:00,865 kWh
2017-06-16T00:00:00-06:00,857 kWh
2017-06-17T00:00:00-06:00,841 kWh
2017-06-18T00:00:00-06:00,809 kWh
2017-06-19T00:00:00-06:00,902 kWh
2017-06-20T00:00:00-06:00,932 kWh
2017-06-21T00:00:00-06:00,968 kWh
2017-06-22T00:00:00-06:00,962 kWh
2017-06-23T00:00:00-06:00,933 kWh
2017-06-24T00:00:00-06:00,875 kWh
2017-06-25T00:00:00-06:00,889 kWh
2017-06-26T00:00:00-06:00,947 kWh
2017-06-27T00:00:00-06:00,989 kWh
2017-06-28T00:00:00-06:00,973 kWh
2017-06-29T00:00:00-06:00,976 kWh
2017-06-30T00:00:00-06:00,936 kWh
2017-07-01T00:00:00-06:00,887 kWh
2017-07-02T00:00:00-06:00,885 kWh
2017-07-03T00:00:00-06:00,924 kWh
2017-07-04T00:00:00-06:00,896 kWh
2017-07-05T00:00:00-06:00,996 kWh
2017-07-06T00:00:00-06:00,975 kWh
2017-07-07T00:00:00-06:00,958 kWh
2017-07-08T00:00:00-06:00,903 kWh
2017-07-09T00:00:00-06:00,895 kWh
2017-07-10T00:00:00-06:00,984 kWh
2017-07-11T00:00:00-06:00,1000 kWh
2017-07-12T00:00:00-06:00,1004 kWh
2017-07-13T00:00:00-06:00,1000 kWh
2017-07-14T00:00:00-06:00,953 kWh
2017-07-15T00:00:00-06:00,901 kWh
2017-07-16T00:00:00-06:00,893 kWh
2017-07-17T00:00:00-06:00,977 kWh
2017-07-18T00:00:00-06:00,1006 kWh
2017-07-19T00:00:00-06:00,1022 kWh
2017-07-20T00:00:00-06:00,1022 kWh
2017-07-21T00:00:00-06:00,992 kWh
2017-07-22T00:00:00-06:00,868 kWh
2017-07-23T00:00:00-06:00,858 kWh
2017-07-24T00:00:00-06:00,885 kWh
2017-07-25T00:00:00-06:00,1041 kWh
2017-07-26T00:00:00-06:00,1009 kWh
2017-07-27T00:00:00-06:00,966 kWh
2017-07-28T00:00:00-06:00,942 kWh
2017-07-29T00:00:00-06:00,882 kWh
2017-07-30T00:00:00-06:00,890 kWh
2017-07-31T00:00:00-06:00,954 kWh
2017-08-01T00:00:00-06:00,954 kWh
2017-08-02T00:00:00-06:00,966 kWh
2017-08-03T00:00:00-06:00,930 kWh
2017-08-04T00:00:00-06:00,944 kWh
2017-08-05T00:00:00-06:00,882 kWh
2017-08-06T00:00:00-06:00,884 kWh
2017-08-07T00:00:00-06:00,944 kWh
2017-08-08T00:00:00-06:00,930 kWh
2017-08-09T00:00:00-06:00,948 kWh
2017-08-10T00:00:00-06:00,897 kWh
2017-08-11T00:00:00-06:00,898 kWh
2017-08-12T00:00:00-06:00,828 kWh
2017-08-13T00:00:00-06:00,859 kWh
2017-08-14T00:00:00-06:00,893 kWh
2017-08-15T00:00:00-06:00,910 kWh
2017-08-16T00:00:00-06:00,887 kWh
2017-08-17T00:00:00-06:00,904 kWh
2017-08-18T00:00:00-06:00,926 kWh
2017-08-19T00:00:00-06:00,854 kWh
2017-08-20T00:00:00-06:00,851 kWh
2017-08-21T00:00:00-06:00,987 kWh
2017-08-22T00:00:00-06:00,1002 kWh
2017-08-23T00:00:00-06:00,998 kWh
2017-08-24T00:00:00-06:00,1012 kWh
2017-08-25T00:00:00-06:00,986 kWh
2017-08-26T00:00:00-06:00,888 kWh
2017-08-27T00:00:00-06:00,898 kWh
2017-08-28T00:00:00-06:00,1145 kWh
2017-08-29T00:00:00-06:00,1205 kWh
2017-08-30T00:00:00-06:00,1233 kWh
2017-08-31T00:00:00-06:00,1280 kWh
2017-09-01T00:00:00-06:00,1181 kWh
2017-09-02T00:00:00-06:00,1058 kWh
2017-09-03T00:00:00-06:00,1059 kWh
2017-09-04T00:00:00-06:00,1060 kWh
2017-09-05T00:00:00-06:00,1215 kWh
2017-09-06T00:00:00-06:00,1245 kWh
2017-09-07T00:00:00-06:00,1247 kWh
2017-09-08T00:00:00-06:00,1185 kWh
2017-09-09T00:00:00-06:00,1058 kWh
2017-09-10T00:00:00-06:00,1051 kWh
2017-09-11T00:00:00-06:00,1213 kWh
2017-09-12T00:00:00-06:00,1235 kWh
2017-09-13T00:00:00-06:00,1239 kWh
2017-09-14T00:00:00-06:00,1221 kWh
2017-09-15T00:00:00-06:00,1015 kWh
2017-09-16T00:00:00-06:00,901 kWh
