Timestamp,['1cd6842a-1e36883c Power Meter (HV) (316610) Voltage B-C']
2017-02-08T00:00:00-07:00,484.75 V
2017-02-09T00:00:00-07:00,484.8333333333333 V
2017-02-10T00:00:00-07:00,484.09090909090907 V
2017-02-11T00:00:00-07:00,485.125 V
2017-02-12T00:00:00-07:00,484.75 V
2017-02-13T00:00:00-07:00,485.46666666666664 V
2017-02-14T00:00:00-07:00,485.3636363636364 V
2017-02-15T00:00:00-07:00,485.55555555555554 V
2017-02-16T00:00:00-07:00,484.6 V
2017-02-17T00:00:00-07:00,485.375 V
2017-02-18T00:00:00-07:00,485 V
2017-02-19T00:00:00-07:00,486 V
2017-02-20T00:00:00-07:00,484 V
2017-02-21T00:00:00-07:00,484.4 V
2017-02-22T00:00:00-07:00,484.38461538461536 V
2017-02-23T00:00:00-07:00,485.1666666666667 V
2017-02-24T00:00:00-07:00,483.45454545454544 V
2017-02-25T00:00:00-07:00,485.57142857142856 V
2017-02-26T00:00:00-07:00,486 V
2017-02-27T00:00:00-07:00,483.3333333333333 V
2017-02-28T00:00:00-07:00,483 V
2017-03-01T00:00:00-07:00,484.5 V
2017-03-02T00:00:00-07:00,482.6666666666667 V
2017-03-03T00:00:00-07:00,485.3636363636364 V
2017-03-04T00:00:00-07:00,485.7 V
2017-03-05T00:00:00-07:00,484.875 V
2017-03-06T00:00:00-07:00,485.5 V
2017-03-07T00:00:00-07:00,483.5 V
2017-03-08T00:00:00-07:00,485.1818181818182 V
2017-03-09T00:00:00-07:00,485 V
2017-03-10T00:00:00-07:00,484.92857142857144 V
2017-03-11T00:00:00-07:00,483.4 V
2017-03-12T00:00:00-07:00,483.6666666666667 V
2017-03-13T00:00:00-06:00,483.57142857142856 V
2017-03-14T00:00:00-06:00,483.50602409638554 V
2017-03-15T00:00:00-06:00,482.7469879518072 V
2017-03-16T00:00:00-06:00,483.25882352941176 V
2017-03-17T00:00:00-06:00,483.03846153846155 V
2017-03-18T00:00:00-06:00,483.75324675324674 V
2017-03-19T00:00:00-06:00,483.2705882352941 V
2017-03-20T00:00:00-06:00,482.3855421686747 V
2017-03-21T00:00:00-06:00,482.35616438356163 V
2017-03-22T00:00:00-06:00,482.775 V
2017-03-23T00:00:00-06:00,483.71590909090907 V
2017-03-24T00:00:00-06:00,483.8735632183908 V
2017-03-25T00:00:00-06:00,484.3243243243243 V
2017-03-26T00:00:00-06:00,483.54117647058825 V
2017-03-27T00:00:00-06:00,483.725 V
2017-03-28T00:00:00-06:00,483.77777777777777 V
2017-03-29T00:00:00-06:00,483.3492063492063 V
2017-03-30T00:00:00-06:00,483.5 V
2017-03-31T00:00:00-06:00,483.4320987654321 V
2017-04-01T00:00:00-06:00,483.91764705882355 V
2017-04-02T00:00:00-06:00,484.4047619047619 V
2017-04-03T00:00:00-06:00,483.46835443037975 V
2017-04-04T00:00:00-06:00,483.4875 V
2017-04-05T00:00:00-06:00,482.66265060240966 V
2017-04-06T00:00:00-06:00,481.3703703703704 V
2017-04-07T00:00:00-06:00,481.9294117647059 V
2017-04-08T00:00:00-06:00,482.8333333333333 V
2017-04-09T00:00:00-06:00,482.97222222222223 V
2017-04-10T00:00:00-06:00,482.3068181818182 V
2017-04-11T00:00:00-06:00,482.43617021276594 V
2017-04-12T00:00:00-06:00,481.7291666666667 V
2017-04-13T00:00:00-06:00,481.8541666666667 V
2017-04-14T00:00:00-06:00,482.032967032967 V
2017-04-15T00:00:00-06:00,481.71084337349396 V
2017-04-16T00:00:00-06:00,483.5897435897436 V
2017-04-17T00:00:00-06:00,482.39285714285717 V
2017-04-18T00:00:00-06:00,481.82758620689657 V
2017-04-19T00:00:00-06:00,482.031746031746 V
2017-04-20T00:00:00-06:00,482.24657534246575 V
2017-04-21T00:00:00-06:00,481.2988505747126 V
2017-04-22T00:00:00-06:00,482.4651162790698 V
2017-04-23T00:00:00-06:00,481.69662921348316 V
2017-04-24T00:00:00-06:00,482.8131868131868 V
2017-04-25T00:00:00-06:00,482.6559139784946 V
2017-04-26T00:00:00-06:00,482.2168674698795 V
2017-04-27T00:00:00-06:00,483.27710843373495 V
2017-04-28T00:00:00-06:00,482.8292682926829 V
2017-04-29T00:00:00-06:00,483.02564102564105 V
2017-04-30T00:00:00-06:00,481.9782608695652 V
2017-05-01T00:00:00-06:00,481.56976744186045 V
2017-05-02T00:00:00-06:00,481.54545454545456 V
2017-05-03T00:00:00-06:00,483.27710843373495 V
2017-05-04T00:00:00-06:00,482.36619718309856 V
2017-05-05T00:00:00-06:00,481.51190476190476 V
2017-05-06T00:00:00-06:00,481.85869565217394 V
2017-05-07T00:00:00-06:00,481.9010989010989 V
