Timestamp,['1cd6867b-5f6ad739 Power Meter (4160V) 316611 Real Power Total']
2017-01-01T00:00:00-07:00,0 kW
2017-01-02T00:00:00-07:00,0 kW
2017-01-03T00:00:00-07:00,0 kW
2017-01-04T00:00:00-07:00,0 kW
2017-01-05T00:00:00-07:00,0 kW
2017-01-06T00:00:00-07:00,0 kW
2017-01-07T00:00:00-07:00,0 kW
2017-01-08T00:00:00-07:00,0 kW
2017-01-09T00:00:00-07:00,0 kW
2017-01-10T00:00:00-07:00,0 kW
2017-01-11T00:00:00-07:00,0 kW
2017-01-12T00:00:00-07:00,0 kW
2017-01-13T00:00:00-07:00,0 kW
2017-01-14T00:00:00-07:00,0 kW
2017-01-15T00:00:00-07:00,0 kW
2017-01-16T00:00:00-07:00,0 kW
2017-01-17T00:00:00-07:00,0 kW
2017-01-18T00:00:00-07:00,0 kW
2017-01-19T00:00:00-07:00,0 kW
2017-01-20T00:00:00-07:00,0 kW
2017-01-21T00:00:00-07:00,0 kW
2017-01-22T00:00:00-07:00,0 kW
2017-01-23T00:00:00-07:00,0 kW
2017-01-24T00:00:00-07:00,0 kW
2017-01-25T00:00:00-07:00,0 kW
2017-01-26T00:00:00-07:00,0 kW
2017-01-27T00:00:00-07:00,0 kW
2017-01-28T00:00:00-07:00,0 kW
2017-01-29T00:00:00-07:00,0 kW
2017-01-30T00:00:00-07:00,0 kW
2017-01-31T00:00:00-07:00,0 kW
2017-02-01T00:00:00-07:00,0 kW
2017-02-02T00:00:00-07:00,0 kW
2017-02-03T00:00:00-07:00,0 kW
2017-02-07T00:00:00-07:00,0 kW
2017-02-08T00:00:00-07:00,0 kW
2017-02-09T00:00:00-07:00,0 kW
2017-02-10T00:00:00-07:00,0 kW
2017-02-11T00:00:00-07:00,0 kW
2017-02-12T00:00:00-07:00,0 kW
2017-02-13T00:00:00-07:00,0 kW
2017-02-14T00:00:00-07:00,0 kW
2017-02-15T00:00:00-07:00,0 kW
2017-02-16T00:00:00-07:00,0 kW
2017-02-17T00:00:00-07:00,0 kW
2017-02-18T00:00:00-07:00,0 kW
2017-02-19T00:00:00-07:00,0 kW
2017-02-20T00:00:00-07:00,0 kW
2017-02-21T00:00:00-07:00,0 kW
2017-02-22T00:00:00-07:00,0 kW
2017-02-23T00:00:00-07:00,0 kW
2017-02-24T00:00:00-07:00,0 kW
2017-02-25T00:00:00-07:00,0 kW
2017-02-26T00:00:00-07:00,0 kW
2017-02-27T00:00:00-07:00,0 kW
2017-02-28T00:00:00-07:00,0 kW
2017-03-01T00:00:00-07:00,0 kW
2017-03-02T00:00:00-07:00,0 kW
2017-03-03T00:00:00-07:00,0 kW
2017-03-04T00:00:00-07:00,0 kW
2017-03-05T00:00:00-07:00,0 kW
2017-03-06T00:00:00-07:00,0 kW
2017-03-07T00:00:00-07:00,0 kW
2017-03-08T00:00:00-07:00,0 kW
2017-03-09T00:00:00-07:00,0 kW
2017-03-10T00:00:00-07:00,0 kW
2017-03-11T00:00:00-07:00,0 kW
2017-03-12T00:00:00-07:00,0 kW
2017-03-13T00:00:00-06:00,331 kW
2017-03-14T00:00:00-06:00,328 kW
2017-03-15T00:00:00-06:00,316 kW
2017-03-16T00:00:00-06:00,327 kW
2017-03-17T00:00:00-06:00,370 kW
2017-03-18T00:00:00-06:00,316 kW
2017-03-19T00:00:00-06:00,366 kW
2017-03-20T00:00:00-06:00,332 kW
2017-03-21T00:00:00-06:00,315 kW
2017-03-22T00:00:00-06:00,357 kW
2017-03-23T00:00:00-06:00,221 kW
2017-03-24T00:00:00-06:00,286 kW
2017-03-25T00:00:00-06:00,0 kW
2017-03-26T00:00:00-06:00,0 kW
2017-03-27T00:00:00-06:00,0 kW
2017-03-28T00:00:00-06:00,0 kW
2017-03-29T00:00:00-06:00,312 kW
2017-03-30T00:00:00-06:00,0 kW
2017-03-31T00:00:00-06:00,266 kW
2017-04-01T00:00:00-06:00,288 kW
2017-04-02T00:00:00-06:00,0 kW
2017-04-03T00:00:00-06:00,0 kW
2017-04-04T00:00:00-06:00,0 kW
2017-04-05T00:00:00-06:00,324 kW
2017-04-06T00:00:00-06:00,369 kW
2017-04-07T00:00:00-06:00,366 kW
2017-04-08T00:00:00-06:00,318 kW
2017-04-09T00:00:00-06:00,199 kW
2017-04-10T00:00:00-06:00,304 kW
2017-04-11T00:00:00-06:00,320 kW
2017-04-12T00:00:00-06:00,516 kW
2017-04-13T00:00:00-06:00,628 kW
2017-04-14T00:00:00-06:00,482 kW
2017-04-15T00:00:00-06:00,382 kW
2017-04-16T00:00:00-06:00,477 kW
2017-04-17T00:00:00-06:00,670 kW
2017-04-18T00:00:00-06:00,474 kW
2017-04-19T00:00:00-06:00,422 kW
2017-04-20T00:00:00-06:00,284 kW
2017-04-21T00:00:00-06:00,540 kW
2017-04-22T00:00:00-06:00,445 kW
2017-04-23T00:00:00-06:00,369 kW
2017-04-24T00:00:00-06:00,364 kW
2017-04-25T00:00:00-06:00,161 kW
2017-04-26T00:00:00-06:00,295 kW
2017-04-27T00:00:00-06:00,252 kW
2017-04-28T00:00:00-06:00,317 kW
2017-04-29T00:00:00-06:00,291 kW
2017-04-30T00:00:00-06:00,318 kW
2017-05-01T00:00:00-06:00,534 kW
2017-05-02T00:00:00-06:00,469 kW
2017-05-03T00:00:00-06:00,360 kW
2017-05-04T00:00:00-06:00,356 kW
2017-05-05T00:00:00-06:00,373 kW
2017-05-06T00:00:00-06:00,369 kW
2017-05-07T00:00:00-06:00,350 kW
2017-05-08T00:00:00-06:00,311 kW
2017-05-09T00:00:00-06:00,341 kW
2017-05-10T00:00:00-06:00,332 kW
2017-05-11T00:00:00-06:00,359 kW
2017-05-12T00:00:00-06:00,369 kW
2017-05-13T00:00:00-06:00,362 kW
2017-05-14T00:00:00-06:00,353 kW
2017-05-15T00:00:00-06:00,351 kW
2017-05-16T00:00:00-06:00,317 kW
2017-05-17T00:00:00-06:00,292 kW
2017-05-18T00:00:00-06:00,0 kW
2017-05-19T00:00:00-06:00,183 kW
2017-05-20T00:00:00-06:00,218 kW
2017-05-21T00:00:00-06:00,213 kW
2017-05-22T00:00:00-06:00,314 kW
2017-05-23T00:00:00-06:00,360 kW
2017-05-24T00:00:00-06:00,364 kW
2017-05-25T00:00:00-06:00,511 kW
2017-05-26T00:00:00-06:00,461 kW
2017-05-27T00:00:00-06:00,288 kW
2017-05-28T00:00:00-06:00,515 kW
2017-05-29T00:00:00-06:00,267 kW
2017-05-30T00:00:00-06:00,368 kW
2017-05-31T00:00:00-06:00,369 kW
2017-06-01T00:00:00-06:00,366 kW
2017-06-02T00:00:00-06:00,326 kW
2017-06-03T00:00:00-06:00,366 kW
2017-06-04T00:00:00-06:00,370 kW
2017-06-05T00:00:00-06:00,371 kW
2017-06-06T00:00:00-06:00,631 kW
2017-06-07T00:00:00-06:00,369 kW
2017-06-08T00:00:00-06:00,368 kW
2017-06-09T00:00:00-06:00,371 kW
2017-06-10T00:00:00-06:00,353 kW
2017-06-11T00:00:00-06:00,360 kW
2017-06-12T00:00:00-06:00,301 kW
2017-06-13T00:00:00-06:00,234 kW
2017-06-14T00:00:00-06:00,369 kW
2017-06-15T00:00:00-06:00,369 kW
2017-06-16T00:00:00-06:00,369 kW
2017-06-17T00:00:00-06:00,359 kW
2017-06-18T00:00:00-06:00,366 kW
2017-06-19T00:00:00-06:00,725 kW
2017-06-20T00:00:00-06:00,656 kW
2017-06-21T00:00:00-06:00,618 kW
2017-06-22T00:00:00-06:00,609 kW
2017-06-23T00:00:00-06:00,576 kW
2017-06-24T00:00:00-06:00,575 kW
2017-06-25T00:00:00-06:00,581 kW
2017-06-26T00:00:00-06:00,578 kW
2017-06-27T00:00:00-06:00,577 kW
2017-06-28T00:00:00-06:00,576 kW
2017-06-29T00:00:00-06:00,571 kW
2017-06-30T00:00:00-06:00,632 kW
2017-07-01T00:00:00-06:00,575 kW
2017-07-02T00:00:00-06:00,577 kW
2017-07-03T00:00:00-06:00,580 kW
2017-07-04T00:00:00-06:00,581 kW
2017-07-05T00:00:00-06:00,582 kW
2017-07-06T00:00:00-06:00,642 kW
2017-07-07T00:00:00-06:00,646 kW
2017-07-08T00:00:00-06:00,635 kW
2017-07-09T00:00:00-06:00,563 kW
2017-07-10T00:00:00-06:00,611 kW
2017-07-11T00:00:00-06:00,629 kW
2017-07-12T00:00:00-06:00,516 kW
2017-07-14T00:00:00-06:00,646 kW
2017-07-15T00:00:00-06:00,646 kW
2017-07-16T00:00:00-06:00,624 kW
2017-07-17T00:00:00-06:00,640 kW
2017-07-18T00:00:00-06:00,643 kW
2017-07-19T00:00:00-06:00,643 kW
2017-07-20T00:00:00-06:00,637 kW
2017-07-21T00:00:00-06:00,648 kW
2017-07-22T00:00:00-06:00,644 kW
2017-07-23T00:00:00-06:00,621 kW
2017-07-24T00:00:00-06:00,595 kW
2017-07-25T00:00:00-06:00,547 kW
2017-07-26T00:00:00-06:00,644 kW
2017-07-27T00:00:00-06:00,538 kW
2017-07-28T00:00:00-06:00,294 kW
2017-07-29T00:00:00-06:00,510 kW
2017-07-30T00:00:00-06:00,635 kW
2017-07-31T00:00:00-06:00,639 kW
2017-08-01T00:00:00-06:00,637 kW
2017-08-02T00:00:00-06:00,585 kW
2017-08-03T00:00:00-06:00,550 kW
2017-08-04T00:00:00-06:00,553 kW
2017-08-05T00:00:00-06:00,610 kW
2017-08-06T00:00:00-06:00,488 kW
2017-08-07T00:00:00-06:00,476 kW
2017-08-08T00:00:00-06:00,504 kW
2017-08-09T00:00:00-06:00,476 kW
2017-08-10T00:00:00-06:00,482 kW
2017-08-11T00:00:00-06:00,476 kW
2017-08-12T00:00:00-06:00,639 kW
2017-08-13T00:00:00-06:00,454 kW
2017-08-14T00:00:00-06:00,478 kW
2017-08-15T00:00:00-06:00,305 kW
2017-08-16T00:00:00-06:00,598 kW
2017-08-17T00:00:00-06:00,538 kW
2017-08-18T00:00:00-06:00,304 kW
2017-08-19T00:00:00-06:00,630 kW
2017-08-20T00:00:00-06:00,499 kW
2017-08-21T00:00:00-06:00,505 kW
2017-08-22T00:00:00-06:00,509 kW
2017-08-23T00:00:00-06:00,506 kW
2017-08-24T00:00:00-06:00,509 kW
2017-08-25T00:00:00-06:00,557 kW
2017-08-26T00:00:00-06:00,450 kW
2017-08-27T00:00:00-06:00,530 kW
2017-08-28T00:00:00-06:00,599 kW
2017-08-29T00:00:00-06:00,637 kW
2017-08-30T00:00:00-06:00,612 kW
2017-08-31T00:00:00-06:00,586 kW
2017-09-01T00:00:00-06:00,584 kW
2017-09-02T00:00:00-06:00,539 kW
2017-09-03T00:00:00-06:00,621 kW
2017-09-04T00:00:00-06:00,548 kW
2017-09-05T00:00:00-06:00,639 kW
2017-09-06T00:00:00-06:00,638 kW
2017-09-07T00:00:00-06:00,552 kW
2017-09-08T00:00:00-06:00,308 kW
2017-09-09T00:00:00-06:00,306 kW
2017-09-10T00:00:00-06:00,307 kW
2017-09-11T00:00:00-06:00,304 kW
2017-09-12T00:00:00-06:00,643 kW
2017-09-13T00:00:00-06:00,487 kW
2017-09-14T00:00:00-06:00,307 kW
2017-09-15T00:00:00-06:00,239 kW
2017-09-16T00:00:00-06:00,255 kW
2017-09-17T00:00:00-06:00,303 kW
2017-09-18T00:00:00-06:00,497 kW
2017-09-19T00:00:00-06:00,194 kW
2017-09-20T00:00:00-06:00,293 kW
2017-09-21T00:00:00-06:00,184 kW
2017-09-22T00:00:00-06:00,0 kW
2017-09-23T00:00:00-06:00,155 kW
2017-09-24T00:00:00-06:00,162 kW
2017-09-25T00:00:00-06:00,199 kW
2017-09-26T00:00:00-06:00,303 kW
2017-09-27T00:00:00-06:00,304 kW
2017-09-28T00:00:00-06:00,305 kW
2017-09-29T00:00:00-06:00,309 kW
2017-09-30T00:00:00-06:00,286 kW
2017-10-01T00:00:00-06:00,249 kW
2017-10-02T00:00:00-06:00,0 kW
2017-10-03T00:00:00-06:00,191 kW
2017-10-04T00:00:00-06:00,188 kW
2017-10-05T00:00:00-06:00,241 kW
2017-10-06T00:00:00-06:00,228 kW
2017-10-07T00:00:00-06:00,304 kW
2017-10-08T00:00:00-06:00,175 kW
2017-10-09T00:00:00-06:00,0 kW
2017-10-10T00:00:00-06:00,305 kW
2017-10-11T00:00:00-06:00,304 kW
2017-10-12T00:00:00-06:00,215 kW
2017-10-13T00:00:00-06:00,246 kW
