Timestamp,['1cd68681-b28d97ad Power Meter (4160V) 316611 Voltage A-B']
2017-01-01T00:00:00-07:00,4190.304347826087 V
2017-01-02T00:00:00-07:00,4190.241379310345 V
2017-01-03T00:00:00-07:00,4190.695652173913 V
2017-01-04T00:00:00-07:00,4187.142857142857 V
2017-01-05T00:00:00-07:00,4191.315789473684 V
2017-01-06T00:00:00-07:00,4193.416666666667 V
2017-01-07T00:00:00-07:00,4188.9047619047615 V
2017-01-08T00:00:00-07:00,4185 V
2017-01-09T00:00:00-07:00,4181 V
2017-01-10T00:00:00-07:00,4182.166666666667 V
2017-01-11T00:00:00-07:00,4180.16 V
2017-01-12T00:00:00-07:00,4184.814814814815 V
2017-01-13T00:00:00-07:00,4187.56 V
2017-01-14T00:00:00-07:00,4192.866666666667 V
2017-01-15T00:00:00-07:00,4182.809523809524 V
2017-01-16T00:00:00-07:00,4184.833333333333 V
2017-01-17T00:00:00-07:00,4187.9375 V
2017-01-18T00:00:00-07:00,4189 V
2017-01-19T00:00:00-07:00,4195.6 V
2017-01-20T00:00:00-07:00,4227.5142857142855 V
2017-01-21T00:00:00-07:00,4231.742857142857 V
2017-01-22T00:00:00-07:00,4229.555555555556 V
2017-01-23T00:00:00-07:00,4229.709677419355 V
2017-01-24T00:00:00-07:00,4234.55 V
2017-01-25T00:00:00-07:00,4228.425 V
2017-01-26T00:00:00-07:00,4226.15625 V
2017-01-27T00:00:00-07:00,4231.555555555556 V
2017-01-28T00:00:00-07:00,4229.928571428572 V
2017-01-29T00:00:00-07:00,4227.827586206897 V
2017-01-30T00:00:00-07:00,4236.3448275862065 V
2017-01-31T00:00:00-07:00,4227.851851851852 V
2017-02-01T00:00:00-07:00,4232.055555555556 V
2017-02-02T00:00:00-07:00,4233.970588235294 V
2017-02-03T00:00:00-07:00,4224.518518518518 V
2017-02-07T00:00:00-07:00,4227.25 V
2017-02-08T00:00:00-07:00,4235.4838709677415 V
2017-02-09T00:00:00-07:00,4231.666666666667 V
2017-02-10T00:00:00-07:00,4229.545454545455 V
2017-02-11T00:00:00-07:00,4231.933333333333 V
2017-02-12T00:00:00-07:00,4221.181818181818 V
2017-02-13T00:00:00-07:00,4241.692307692308 V
2017-02-14T00:00:00-07:00,4240.636363636364 V
2017-02-15T00:00:00-07:00,4237.222222222223 V
2017-02-16T00:00:00-07:00,4222.333333333333 V
2017-02-17T00:00:00-07:00,4238.714285714285 V
2017-02-18T00:00:00-07:00,4234.75 V
2017-02-19T00:00:00-07:00,4235.5 V
2017-02-20T00:00:00-07:00,4233.166666666667 V
2017-02-21T00:00:00-07:00,4233.857142857143 V
2017-02-22T00:00:00-07:00,4233.266666666666 V
2017-02-23T00:00:00-07:00,4242.75 V
2017-02-24T00:00:00-07:00,4239.625 V
2017-02-25T00:00:00-07:00,4241.4 V
2017-02-26T00:00:00-07:00,4241.923076923077 V
2017-02-27T00:00:00-07:00,4235.666666666667 V
2017-02-28T00:00:00-07:00,4240 V
2017-03-01T00:00:00-07:00,4236.5 V
2017-03-02T00:00:00-07:00,4220.5 V
2017-03-03T00:00:00-07:00,4242.1 V
2017-03-04T00:00:00-07:00,4233.888888888889 V
2017-03-05T00:00:00-07:00,4228.384615384615 V
2017-03-06T00:00:00-07:00,4239 V
2017-03-07T00:00:00-07:00,4229 V
2017-03-08T00:00:00-07:00,4242.909090909091 V
2017-03-09T00:00:00-07:00,4234.25 V
2017-03-10T00:00:00-07:00,4235.692307692308 V
2017-03-11T00:00:00-07:00,4229.4 V
2017-03-12T00:00:00-07:00,4231 V
2017-03-13T00:00:00-06:00,4190.791666666667 V
2017-03-14T00:00:00-06:00,4197.890243902439 V
2017-03-15T00:00:00-06:00,4187.120481927711 V
2017-03-16T00:00:00-06:00,4187.9473684210525 V
2017-03-17T00:00:00-06:00,4202.434210526316 V
2017-03-18T00:00:00-06:00,4183.8125 V
2017-03-19T00:00:00-06:00,4191.09756097561 V
2017-03-20T00:00:00-06:00,4177.275 V
2017-03-21T00:00:00-06:00,4175.114285714286 V
2017-03-22T00:00:00-06:00,4197.702380952381 V
2017-03-23T00:00:00-06:00,4232.860465116279 V
2017-03-24T00:00:00-06:00,4224.51282051282 V
2017-03-25T00:00:00-06:00,4239.2054794520545 V
2017-03-26T00:00:00-06:00,4231.3 V
2017-03-27T00:00:00-06:00,4234.613333333334 V
2017-03-28T00:00:00-06:00,4235.914634146341 V
2017-03-29T00:00:00-06:00,4225.120689655172 V
2017-03-30T00:00:00-06:00,4234.5 V
2017-03-31T00:00:00-06:00,4213.621951219512 V
2017-04-01T00:00:00-06:00,4211.493670886076 V
2017-04-02T00:00:00-06:00,4240.246575342466 V
2017-04-03T00:00:00-06:00,4233.425 V
2017-04-04T00:00:00-06:00,4235.820512820513 V
2017-04-05T00:00:00-06:00,4208.5875 V
2017-04-06T00:00:00-06:00,4173.098765432099 V
2017-04-07T00:00:00-06:00,4174.214285714285 V
2017-04-08T00:00:00-06:00,4184.684210526316 V
2017-04-09T00:00:00-06:00,4190.779220779221 V
2017-04-10T00:00:00-06:00,4184.632183908046 V
2017-04-11T00:00:00-06:00,4182.640449438202 V
2017-04-12T00:00:00-06:00,4157.149425287356 V
2017-04-13T00:00:00-06:00,4146 V
2017-04-14T00:00:00-06:00,4148.666666666667 V
2017-04-15T00:00:00-06:00,4149.443037974684 V
