Timestamp,['1cd68686-758d8597 Power Meter (4160V) 316611 Voltage B-C']
2017-01-01T00:00:00-07:00,4198.869565217391 V
2017-01-02T00:00:00-07:00,4198.448275862069 V
2017-01-03T00:00:00-07:00,4198.217391304348 V
2017-01-04T00:00:00-07:00,4193.535714285715 V
2017-01-05T00:00:00-07:00,4198.526315789473 V
2017-01-06T00:00:00-07:00,4200.041666666667 V
2017-01-07T00:00:00-07:00,4195.380952380952 V
2017-01-08T00:00:00-07:00,4190.565217391304 V
2017-01-09T00:00:00-07:00,4188.210526315789 V
2017-01-10T00:00:00-07:00,4189.222222222223 V
2017-01-11T00:00:00-07:00,4188.92 V
2017-01-12T00:00:00-07:00,4192.407407407408 V
2017-01-13T00:00:00-07:00,4195.48 V
2017-01-14T00:00:00-07:00,4199.733333333334 V
2017-01-15T00:00:00-07:00,4189.333333333333 V
2017-01-16T00:00:00-07:00,4192.722222222223 V
2017-01-17T00:00:00-07:00,4195.75 V
2017-01-18T00:00:00-07:00,4196.407407407408 V
2017-01-19T00:00:00-07:00,4203.28 V
2017-01-20T00:00:00-07:00,4232.4 V
2017-01-21T00:00:00-07:00,4235.028571428571 V
2017-01-22T00:00:00-07:00,4231.925925925926 V
2017-01-23T00:00:00-07:00,4231.967741935484 V
2017-01-24T00:00:00-07:00,4234.8 V
2017-01-25T00:00:00-07:00,4231.475 V
2017-01-26T00:00:00-07:00,4228.65625 V
2017-01-27T00:00:00-07:00,4234.555555555556 V
2017-01-28T00:00:00-07:00,4233.75 V
2017-01-29T00:00:00-07:00,4231.413793103448 V
2017-01-30T00:00:00-07:00,4239.517241379311 V
2017-01-31T00:00:00-07:00,4230.148148148148 V
2017-02-01T00:00:00-07:00,4233.722222222223 V
2017-02-02T00:00:00-07:00,4235.029411764706 V
2017-02-03T00:00:00-07:00,4225.692307692308 V
2017-02-07T00:00:00-07:00,4229.75 V
2017-02-08T00:00:00-07:00,4238.096774193548 V
2017-02-09T00:00:00-07:00,4234 V
2017-02-10T00:00:00-07:00,4231 V
2017-02-11T00:00:00-07:00,4232.4 V
2017-02-12T00:00:00-07:00,4221.727272727273 V
2017-02-13T00:00:00-07:00,4239.538461538462 V
2017-02-14T00:00:00-07:00,4239.454545454545 V
2017-02-15T00:00:00-07:00,4237 V
2017-02-16T00:00:00-07:00,4219.666666666667 V
2017-02-17T00:00:00-07:00,4240 V
2017-02-18T00:00:00-07:00,4233.416666666667 V
2017-02-19T00:00:00-07:00,4233.5 V
2017-02-20T00:00:00-07:00,4234.333333333333 V
2017-02-21T00:00:00-07:00,4235.571428571428 V
2017-02-22T00:00:00-07:00,4228.533333333334 V
2017-02-23T00:00:00-07:00,4236.75 V
2017-02-24T00:00:00-07:00,4230.375 V
2017-02-25T00:00:00-07:00,4237.2 V
2017-02-26T00:00:00-07:00,4236.307692307692 V
2017-02-27T00:00:00-07:00,4231.833333333333 V
2017-02-28T00:00:00-07:00,4235.125 V
2017-03-01T00:00:00-07:00,4231.5 V
2017-03-02T00:00:00-07:00,4217 V
2017-03-03T00:00:00-07:00,4237.7 V
2017-03-04T00:00:00-07:00,4228.777777777777 V
2017-03-05T00:00:00-07:00,4225.153846153846 V
2017-03-06T00:00:00-07:00,4235.5 V
2017-03-07T00:00:00-07:00,4224.285714285715 V
2017-03-08T00:00:00-07:00,4236.818181818182 V
2017-03-09T00:00:00-07:00,4230.375 V
2017-03-10T00:00:00-07:00,4231.923076923077 V
2017-03-11T00:00:00-07:00,4224.5 V
2017-03-12T00:00:00-07:00,4224.181818181818 V
2017-03-13T00:00:00-06:00,4187.75 V
2017-03-14T00:00:00-06:00,4194.463414634146 V
2017-03-15T00:00:00-06:00,4182.1325301204815 V
2017-03-16T00:00:00-06:00,4182.6973684210525 V
2017-03-17T00:00:00-06:00,4196.473684210527 V
2017-03-18T00:00:00-06:00,4182.7375 V
2017-03-19T00:00:00-06:00,4190.365853658536 V
2017-03-20T00:00:00-06:00,4176.6625 V
2017-03-21T00:00:00-06:00,4174.857142857143 V
2017-03-22T00:00:00-06:00,4196.214285714285 V
2017-03-23T00:00:00-06:00,4228.953488372093 V
2017-03-24T00:00:00-06:00,4220.551282051282 V
2017-03-25T00:00:00-06:00,4234.301369863014 V
2017-03-26T00:00:00-06:00,4225.575 V
2017-03-27T00:00:00-06:00,4229.626666666667 V
2017-03-28T00:00:00-06:00,4231.390243902439 V
2017-03-29T00:00:00-06:00,4221.551724137931 V
2017-03-30T00:00:00-06:00,4229.315789473684 V
2017-03-31T00:00:00-06:00,4208.073170731707 V
2017-04-01T00:00:00-06:00,4207.037974683544 V
2017-04-02T00:00:00-06:00,4233.068493150685 V
2017-04-03T00:00:00-06:00,4229.3875 V
2017-04-04T00:00:00-06:00,4232.307692307692 V
2017-04-05T00:00:00-06:00,4206.0625 V
2017-04-06T00:00:00-06:00,4171.419753086419 V
2017-04-07T00:00:00-06:00,4172.619047619048 V
2017-04-08T00:00:00-06:00,4181.921052631579 V
2017-04-09T00:00:00-06:00,4189.051948051948 V
2017-04-10T00:00:00-06:00,4182.551724137931 V
2017-04-11T00:00:00-06:00,4181.775280898876 V
2017-04-12T00:00:00-06:00,4157.068965517241 V
2017-04-13T00:00:00-06:00,4146.842696629214 V
2017-04-14T00:00:00-06:00,4147.944444444444 V
2017-04-15T00:00:00-06:00,4147.544303797468 V
2017-04-16T00:00:00-06:00,4144.604938271605 V
2017-04-17T00:00:00-06:00,4148.949367088608 V
2017-04-18T00:00:00-06:00,4135.895348837209 V
2017-04-19T00:00:00-06:00,4157.764705882353 V
2017-04-20T00:00:00-06:00,4181.98717948718 V
2017-04-21T00:00:00-06:00,4168.6741573033705 V
2017-04-22T00:00:00-06:00,4176.823529411765 V
2017-04-23T00:00:00-06:00,4168.637931034483 V
2017-04-24T00:00:00-06:00,4195.717391304348 V
2017-04-25T00:00:00-06:00,4181.883720930233 V
2017-04-26T00:00:00-06:00,4184.361445783133 V
2017-04-27T00:00:00-06:00,4209.361445783133 V
2017-04-28T00:00:00-06:00,4199.674698795181 V
2017-04-29T00:00:00-06:00,4179.6781609195405 V
2017-04-30T00:00:00-06:00,4174.1 V
2017-05-01T00:00:00-06:00,4167.35294117647 V
2017-05-02T00:00:00-06:00,4172.2 V
2017-05-03T00:00:00-06:00,4205.046511627907 V
2017-05-04T00:00:00-06:00,4188.96 V
2017-05-05T00:00:00-06:00,4183.419354838709 V
2017-05-06T00:00:00-06:00,4179.595505617977 V
2017-05-07T00:00:00-06:00,4178.569892473119 V
2017-05-08T00:00:00-06:00,4181.195652173913 V
2017-05-09T00:00:00-06:00,4182.222222222223 V
2017-05-10T00:00:00-06:00,4177.6373626373625 V
2017-05-11T00:00:00-06:00,4171.35294117647 V
2017-05-12T00:00:00-06:00,4174.712643678161 V
2017-05-13T00:00:00-06:00,4202.684782608696 V
2017-05-14T00:00:00-06:00,4191.283950617284 V
2017-05-15T00:00:00-06:00,4173.976190476191 V
2017-05-16T00:00:00-06:00,4180.559139784947 V
2017-05-17T00:00:00-06:00,4227.895348837209 V
2017-05-18T00:00:00-06:00,4228.6292134831465 V
2017-05-19T00:00:00-06:00,4230.775 V
2017-05-20T00:00:00-06:00,4210.488372093023 V
2017-05-21T00:00:00-06:00,4205.7441860465115 V
2017-05-22T00:00:00-06:00,4203.16091954023 V
2017-05-23T00:00:00-06:00,4181.670454545455 V
2017-05-24T00:00:00-06:00,4180.858823529412 V
2017-05-25T00:00:00-06:00,4191.6 V
2017-05-26T00:00:00-06:00,4203.662790697675 V
2017-05-27T00:00:00-06:00,4203.9670329670325 V
2017-05-28T00:00:00-06:00,4191.101123595506 V
2017-05-29T00:00:00-06:00,4228.204545454545 V
2017-05-30T00:00:00-06:00,4201.977777777778 V
2017-05-31T00:00:00-06:00,4178.526315789473 V
2017-06-01T00:00:00-06:00,4181.637931034483 V
2017-06-02T00:00:00-06:00,4192.342857142857 V
2017-06-03T00:00:00-06:00,4180.444444444444 V
2017-06-04T00:00:00-06:00,4177.828125 V
2017-06-05T00:00:00-06:00,4173.357142857143 V
2017-06-06T00:00:00-06:00,4171.602272727273 V
2017-06-07T00:00:00-06:00,4174.666666666667 V
2017-06-08T00:00:00-06:00,4177.011111111111 V
2017-06-09T00:00:00-06:00,4180.2875 V
2017-06-10T00:00:00-06:00,4177.930232558139 V
2017-06-11T00:00:00-06:00,4179.275862068966 V
2017-06-12T00:00:00-06:00,4187.795454545455 V
2017-06-13T00:00:00-06:00,4208.379310344828 V
2017-06-14T00:00:00-06:00,4190.074074074074 V
2017-06-15T00:00:00-06:00,4175.322580645161 V
2017-06-16T00:00:00-06:00,4173.615384615385 V
2017-06-17T00:00:00-06:00,4178.6511627906975 V
2017-06-18T00:00:00-06:00,4179.355555555556 V
2017-06-19T00:00:00-06:00,4156.2555555555555 V
2017-06-20T00:00:00-06:00,4137.3536585365855 V
2017-06-21T00:00:00-06:00,4132.62962962963 V
2017-06-22T00:00:00-06:00,4162.488095238095 V
2017-06-23T00:00:00-06:00,4166.9277108433735 V
2017-06-24T00:00:00-06:00,4172.931818181818 V
2017-06-25T00:00:00-06:00,4154.731343283582 V
2017-06-26T00:00:00-06:00,4140.539682539683 V
2017-06-27T00:00:00-06:00,4150.1621621621625 V
2017-06-28T00:00:00-06:00,4160.988764044944 V
2017-06-29T00:00:00-06:00,4166.860465116279 V
2017-06-30T00:00:00-06:00,4157 V
2017-07-01T00:00:00-06:00,4163.1505376344085 V
2017-07-02T00:00:00-06:00,4158.933333333333 V
2017-07-03T00:00:00-06:00,4139.577464788732 V
2017-07-04T00:00:00-06:00,4148.531914893617 V
2017-07-05T00:00:00-06:00,4138.239130434783 V
2017-07-06T00:00:00-06:00,4148.828571428571 V
2017-07-07T00:00:00-06:00,4120.833333333333 V
