Timestamp,['1cda76ef-3bfeeee7 0014-TALMAGE BLDG Power Meter Current C']
2017-01-01T00:00:00-07:00,79.86583502557542 A
2017-01-02T00:00:00-07:00,77.99937630759345 A
2017-01-03T00:00:00-07:00,81.03548759354486 A
2017-01-04T00:00:00-07:00,83.35368207825555 A
2017-01-05T00:00:00-07:00,83.96180697547065 A
2017-01-06T00:00:00-07:00,82.24472360610962 A
2017-01-07T00:00:00-07:00,80.03819619284735 A
2017-01-08T00:00:00-07:00,79.38444618648953 A
2017-01-09T00:00:00-07:00,87.45847358703614 A
2017-01-10T00:00:00-07:00,88.13069614834255 A
2017-01-11T00:00:00-07:00,86.12347365485297 A
2017-01-12T00:00:00-07:00,86.27000142733256 A
2017-01-13T00:00:00-07:00,82.24715432590908 A
2017-01-14T00:00:00-07:00,78.18659885194566 A
2017-01-15T00:00:00-07:00,77.92639026112026 A
2017-01-16T00:00:00-07:00,79.71041822433472 A
2017-01-17T00:00:00-07:00,90.01944589614868 A
2017-01-18T00:00:00-07:00,91.97433289833157 A
2017-01-19T00:00:00-07:00,90.83423793050977 A
2017-01-20T00:00:00-07:00,82.22583114602006 A
2017-01-21T00:00:00-07:00,75.15972373750475 A
2017-01-22T00:00:00-07:00,76.05416846805149 A
2017-01-23T00:00:00-07:00,86.29937636057535 A
2017-01-24T00:00:00-07:00,86.75639039145575 A
2017-01-25T00:00:00-07:00,84.72069595124987 A
2017-01-26T00:00:00-07:00,86.71645546230019 A
2017-01-27T00:00:00-07:00,83.26937642097474 A
2017-01-28T00:00:00-07:00,77.66118173599243 A
2017-01-29T00:00:00-07:00,77.13541809717815 A
2017-01-30T00:00:00-07:00,87.30000140931871 A
2017-01-31T00:00:00-07:00,88.51389053132799 A
2017-02-01T00:00:00-07:00,89.36389038297865 A
2017-02-02T00:00:00-07:00,85.0626403172811 A
2017-02-03T00:00:00-07:00,86.6584191101419 A
2017-02-07T00:00:00-07:00,101.5564310301811 A
2017-02-08T00:00:00-07:00,103.41752676117154 A
2017-02-09T00:00:00-07:00,130.2900020599365 A
2017-02-10T00:00:00-07:00,117.86152986420525 A
2017-02-11T00:00:00-07:00,78.97652934922112 A
2017-02-12T00:00:00-07:00,77.00583498742846 A
2017-02-13T00:00:00-07:00,88.58166802194384 A
2017-02-14T00:00:00-07:00,90.3705270615491 A
2017-02-15T00:00:00-07:00,92.8559738583035 A
2017-02-16T00:00:00-07:00,98.49347411791483 A
2017-02-17T00:00:00-07:00,85.76380459422796 A
2017-02-18T00:00:00-07:00,76.43699441122843 A
2017-02-19T00:00:00-07:00,77.2754184405009 A
2017-02-20T00:00:00-07:00,78.13507106569078 A
2017-02-21T00:00:00-07:00,110.23271016544766 A
2017-02-22T00:00:00-07:00,92.96395981576708 A
2017-02-23T00:00:00-07:00,86.24791802300348 A
2017-02-24T00:00:00-07:00,80.76413768082597 A
2017-02-25T00:00:00-07:00,79.31375156508551 A
2017-02-26T00:00:00-07:00,77.36340421040853 A
2017-02-27T00:00:00-07:00,85.24486256175571 A
2017-02-28T00:00:00-07:00,86.40555704964532 A
2017-03-01T00:00:00-07:00,86.01250161064996 A
2017-03-02T00:00:00-07:00,83.40972375869751 A
2017-03-03T00:00:00-07:00,84.36847413380941 A
2017-03-04T00:00:00-07:00,88.86541803677876 A
2017-03-05T00:00:00-07:00,85.34840404192606 A
2017-03-06T00:00:00-07:00,91.8291681713528 A
2017-03-07T00:00:00-07:00,88.38152955373128 A
2017-03-08T00:00:00-07:00,97.54673794640435 A
2017-03-09T00:00:00-07:00,102.51472419632806 A
2017-03-10T00:00:00-07:00,101.20257159868876 A
2017-03-11T00:00:00-07:00,88.08770957522923 A
2017-03-12T00:00:00-07:00,78.81188566788383 A
2017-03-13T00:00:00-06:00,98.88125148349339 A
2017-03-14T00:00:00-06:00,102.72444597350227 A
2017-03-15T00:00:00-06:00,105.70451558960809 A
2017-03-16T00:00:00-06:00,116.73541842566596 A
2017-03-17T00:00:00-06:00,101.46666842036777 A
2017-03-18T00:00:00-06:00,105.17021010716756 A
