Timestamp,['1cdb9d30-fce36875 0086-MARRIOTT LIBRARY Power Meter 4 Current B']
2017-01-01T00:00:00-07:00,49.5416667064031 A
2017-01-02T00:00:00-07:00,49.86354172229767 A
2017-01-03T00:00:00-07:00,56.738541642824806 A
2017-01-04T00:00:00-07:00,59.49374977747599 A
2017-01-05T00:00:00-07:00,60.28333342075348 A
2017-01-06T00:00:00-07:00,60.94583332538605 A
2017-01-07T00:00:00-07:00,57.66249998410543 A
2017-01-08T00:00:00-07:00,56.93333319822947 A
2017-01-09T00:00:00-07:00,65.33541643619537 A
2017-01-10T00:00:00-07:00,67.64270794391632 A
2017-01-11T00:00:00-07:00,68.74479190508525 A
2017-01-12T00:00:00-07:00,71.82604165871938 A
2017-01-13T00:00:00-07:00,67.57395839691162 A
2017-01-14T00:00:00-07:00,65.76354149977367 A
2017-01-15T00:00:00-07:00,63.63958330949148 A
2017-01-16T00:00:00-07:00,62.300000071525574 A
2017-01-17T00:00:00-07:00,71.62083292007446 A
2017-01-18T00:00:00-07:00,68.3951216907036 A
2017-01-19T00:00:00-07:00,65.33645820617676 A
2017-01-20T00:00:00-07:00,64.64623650171424 A
2017-01-21T00:00:00-07:00,59.45416680971781 A
2017-01-22T00:00:00-07:00,58.755208333333336 A
2017-01-23T00:00:00-07:00,65.93541665871938 A
2017-01-24T00:00:00-07:00,67.61666675408681 A
2017-01-25T00:00:00-07:00,68.11354160308838 A
2017-01-26T00:00:00-07:00,68.53124976158142 A
2017-01-27T00:00:00-07:00,66.65000009536743 A
2017-01-28T00:00:00-07:00,60.71458351612091 A
2017-01-29T00:00:00-07:00,60.792708357175194 A
2017-01-30T00:00:00-07:00,67.23333342870076 A
2017-01-31T00:00:00-07:00,67.93333347638448 A
2017-02-01T00:00:00-07:00,69.38020837306976 A
2017-02-02T00:00:00-07:00,68.38229171435039 A
2017-02-03T00:00:00-07:00,66.0866668065389 A
2017-02-07T00:00:00-07:00,72.79583263397217 A
2017-02-08T00:00:00-07:00,68.60227272727273 A
2017-02-09T00:00:00-07:00,68.64583317438762 A
2017-02-10T00:00:00-07:00,65.15208331743877 A
2017-02-11T00:00:00-07:00,63.32708319028219 A
2017-02-12T00:00:00-07:00,62.71874996026357 A
2017-02-13T00:00:00-07:00,68.40729149182637 A
2017-02-14T00:00:00-07:00,70.04210522300319 A
2017-02-15T00:00:00-07:00,69.12604169050853 A
2017-02-16T00:00:00-07:00,69.57395819822948 A
2017-02-17T00:00:00-07:00,66.09791664282481 A
2017-02-18T00:00:00-07:00,60.41354159514109 A
2017-02-19T00:00:00-07:00,59.12812491257986 A
2017-02-20T00:00:00-07:00,60.44791658719381 A
2017-02-21T00:00:00-07:00,66.24270836512248 A
2017-02-22T00:00:00-07:00,68.04687484105428 A
2017-02-23T00:00:00-07:00,70.08958315849304 A
2017-02-24T00:00:00-07:00,63.99729754473712 A
2017-02-25T00:00:00-07:00,60.6354167064031 A
2017-02-26T00:00:00-07:00,60.55104184150696 A
2017-02-27T00:00:00-07:00,65.36666699250539 A
2017-02-28T00:00:00-07:00,67.13437497615814 A
2017-03-01T00:00:00-07:00,67.7210523906507 A
2017-03-02T00:00:00-07:00,68.01041662693024 A
2017-03-03T00:00:00-07:00,63.30416643619537 A
2017-03-04T00:00:00-07:00,60.13229159514109 A
2017-03-05T00:00:00-07:00,60.887500047683716 A
2017-03-06T00:00:00-07:00,65.73541661103566 A
2017-03-07T00:00:00-07:00,67.7583334048589 A
2017-03-08T00:00:00-07:00,68.3614581823349 A
2017-03-09T00:00:00-07:00,68.4770834048589 A
2017-03-10T00:00:00-07:00,64.88229155540466 A
2017-03-11T00:00:00-07:00,59.96354162693024 A
2017-03-12T00:00:00-07:00,58.633695436560586 A
2017-03-13T00:00:00-06:00,63.14895828564962 A
2017-03-14T00:00:00-06:00,64.0395831267039 A
2017-03-15T00:00:00-06:00,63.93124961853027 A
2017-03-16T00:00:00-06:00,64.52395836512248 A
2017-03-17T00:00:00-06:00,63.114583333333336 A
2017-03-18T00:00:00-06:00,61.416666666666664 A
2017-03-19T00:00:00-06:00,61.59166673819224 A
2017-03-20T00:00:00-06:00,68.06666664282481 A
2017-03-21T00:00:00-06:00,67.49999972184499 A
2017-03-22T00:00:00-06:00,67.64270842075348 A
2017-03-23T00:00:00-06:00,66.03958328564961 A
2017-03-24T00:00:00-06:00,61.08645804723104 A
2017-03-25T00:00:00-06:00,58.11249987284342 A
2017-03-26T00:00:00-06:00,58.11666671435038 A
2017-03-27T00:00:00-06:00,63.76458338896433 A
2017-03-28T00:00:00-06:00,67.32083332538605 A
2017-03-29T00:00:00-06:00,68.53913077755251 A
2017-03-30T00:00:00-06:00,72.28372085926145 A
2017-03-31T00:00:00-06:00,64.0927083492279 A
2017-04-01T00:00:00-06:00,61.36041637261709 A
2017-04-02T00:00:00-06:00,61.64479184150696 A
2017-04-03T00:00:00-06:00,67.04999963442485 A
2017-04-04T00:00:00-06:00,67.1875003973643 A
2017-04-05T00:00:00-06:00,69.56562511126201 A
2017-04-06T00:00:00-06:00,70.04166686534882 A
2017-04-07T00:00:00-06:00,65.50714288439069 A
2017-05-25T00:00:00-06:00,63.234482995395005 A
2017-05-26T00:00:00-06:00,60.04062485694885 A
2017-05-27T00:00:00-06:00,57.43124989668528 A
2017-05-28T00:00:00-06:00,56.38333344459534 A
2017-05-29T00:00:00-06:00,56.59166665871938 A
2017-05-30T00:00:00-06:00,61.69583340485891 A
2017-05-31T00:00:00-06:00,62.02291643619537 A
2017-06-01T00:00:00-06:00,61.962500055631004 A
2017-06-02T00:00:00-06:00,60.113541762034096 A
2017-06-03T00:00:00-06:00,57.58526326229698 A
2017-06-04T00:00:00-06:00,56.946875055631004 A
2017-06-05T00:00:00-06:00,61.547916650772095 A
2017-06-06T00:00:00-06:00,61.81458326180776 A
2017-06-07T00:00:00-06:00,62.29687492052714 A
2017-06-08T00:00:00-06:00,62.055208484331764 A
2017-06-09T00:00:00-06:00,60.59166665871938 A
2017-06-10T00:00:00-06:00,57.44687497615814 A
2017-06-11T00:00:00-06:00,56.93229162693024 A
2017-06-12T00:00:00-06:00,61.78541672229767 A
2017-06-13T00:00:00-06:00,62.876041769981384 A
2017-06-14T00:00:00-06:00,62.87916660308838 A
2017-06-15T00:00:00-06:00,61.78958340485891 A
2017-06-16T00:00:00-06:00,60.40104162693024 A
2017-06-17T00:00:00-06:00,58.20625023047129 A
2017-06-18T00:00:00-06:00,57.62812487284342 A
2017-06-19T00:00:00-06:00,61.68333315849304 A
2017-06-20T00:00:00-06:00,61.45104149977366 A
2017-06-21T00:00:00-06:00,61.6302082935969 A
2017-06-22T00:00:00-06:00,60.51354185740153 A
2017-06-23T00:00:00-06:00,60.25416672229767 A
2017-06-24T00:00:00-06:00,57.71041659514109 A
2017-06-25T00:00:00-06:00,57.012499928474426 A
