Timestamp,['1cdb9d34-78886e0f 0086-MARRIOTT LIBRARY Power Meter 4 Current C']
2017-01-01T00:00:00-07:00,48.815625111262 A
2017-01-02T00:00:00-07:00,49.245833357175194 A
2017-01-03T00:00:00-07:00,54.55624989668528 A
2017-01-04T00:00:00-07:00,56.10000010331472 A
2017-01-05T00:00:00-07:00,55.99895819028219 A
2017-01-06T00:00:00-07:00,56.678125063578285 A
2017-01-07T00:00:00-07:00,53.555208603541054 A
2017-01-08T00:00:00-07:00,52.90625015894572 A
2017-01-09T00:00:00-07:00,61.72604171435038 A
2017-01-10T00:00:00-07:00,63.088541547457375 A
2017-01-11T00:00:00-07:00,65.13020861148834 A
2017-01-12T00:00:00-07:00,67.96979184945424 A
2017-01-13T00:00:00-07:00,63.41145853201548 A
2017-01-14T00:00:00-07:00,59.95000000794729 A
2017-01-15T00:00:00-07:00,58.11458353201548 A
2017-01-16T00:00:00-07:00,57.483333230018616 A
2017-01-17T00:00:00-07:00,66.140625 A
2017-01-18T00:00:00-07:00,63.276829184555424 A
2017-01-19T00:00:00-07:00,62.33229156335195 A
2017-01-20T00:00:00-07:00,62.69354851015152 A
2017-01-21T00:00:00-07:00,57.67604172229767 A
2017-01-22T00:00:00-07:00,57.34375 A
2017-01-23T00:00:00-07:00,63.66666658719381 A
2017-01-24T00:00:00-07:00,64.50624990463257 A
2017-01-25T00:00:00-07:00,64.51666657129924 A
2017-01-26T00:00:00-07:00,65.14583345254262 A
2017-01-27T00:00:00-07:00,62.06874974568685 A
2017-01-28T00:00:00-07:00,57.823958118756615 A
2017-01-29T00:00:00-07:00,58.48437507947286 A
2017-01-30T00:00:00-07:00,64.29062513510387 A
2017-01-31T00:00:00-07:00,65.13333332538605 A
2017-02-01T00:00:00-07:00,66.33333337306976 A
2017-02-02T00:00:00-07:00,64.96145856380463 A
2017-02-03T00:00:00-07:00,62.61666666666667 A
2017-02-07T00:00:00-07:00,69.25625030199687 A
2017-02-08T00:00:00-07:00,65.64318193088879 A
2017-02-09T00:00:00-07:00,65.54062513510387 A
2017-02-10T00:00:00-07:00,61.00624990463257 A
2017-02-11T00:00:00-07:00,58.89374975363413 A
2017-02-12T00:00:00-07:00,59.428124825159706 A
2017-02-13T00:00:00-07:00,64.61874981721242 A
2017-02-14T00:00:00-07:00,66.89263161107114 A
2017-02-15T00:00:00-07:00,66.07187497615814 A
2017-02-16T00:00:00-07:00,66.64062496026357 A
2017-02-17T00:00:00-07:00,62.109375 A
2017-02-18T00:00:00-07:00,58.2083332935969 A
2017-02-19T00:00:00-07:00,57.03854171435038 A
2017-02-20T00:00:00-07:00,58.616666634877525 A
2017-02-21T00:00:00-07:00,64.32395851612091 A
2017-02-22T00:00:00-07:00,66.50208330154419 A
2017-02-23T00:00:00-07:00,67.58958311875661 A
2017-02-24T00:00:00-07:00,61.41643837706683 A
2017-02-25T00:00:00-07:00,58.97083306312561 A
2017-02-26T00:00:00-07:00,59.08020846048991 A
2017-02-27T00:00:00-07:00,63.495832999547325 A
2017-02-28T00:00:00-07:00,64.66458344459534 A
2017-03-01T00:00:00-07:00,64.48105259945518 A
2017-03-02T00:00:00-07:00,64.87708342075348 A
