Timestamp,['1cdbb732-358428c3 0087-THATCHER BLDG Power Meter (301204) KW Total']
2017-01-01T00:00:00-07:00,75.69583129882812 kW
2017-01-02T00:00:00-07:00,79.64453125 kW
2017-01-03T00:00:00-07:00,110.73563385009766 kW
2017-01-04T00:00:00-07:00,112.1323013305664 kW
2017-01-05T00:00:00-07:00,99.22100067138672 kW
2017-01-06T00:00:00-07:00,109.35670471191406 kW
2017-01-07T00:00:00-07:00,81.15764617919922 kW
2017-01-08T00:00:00-07:00,81.74730682373047 kW
2017-01-09T00:00:00-07:00,108.57378387451172 kW
2017-01-10T00:00:00-07:00,109.02656555175781 kW
2017-01-11T00:00:00-07:00,123.93258666992188 kW
2017-01-12T00:00:00-07:00,110.2312240600586 kW
2017-01-13T00:00:00-07:00,104.01077270507812 kW
2017-01-14T00:00:00-07:00,79.36439514160156 kW
2017-01-15T00:00:00-07:00,79.57485961914062 kW
2017-01-16T00:00:00-07:00,90.11068725585938 kW
2017-01-17T00:00:00-07:00,101.37229919433594 kW
2017-01-18T00:00:00-07:00,99.44283294677734 kW
2017-01-19T00:00:00-07:00,99.12799072265625 kW
2017-01-20T00:00:00-07:00,105.384765625 kW
2017-01-21T00:00:00-07:00,75.10086059570312 kW
2017-01-22T00:00:00-07:00,74.31578826904297 kW
2017-01-23T00:00:00-07:00,111.93912506103516 kW
2017-01-24T00:00:00-07:00,97.56610107421875 kW
2017-01-25T00:00:00-07:00,112.29647064208984 kW
2017-01-26T00:00:00-07:00,115.42289733886719 kW
2017-01-27T00:00:00-07:00,116.36336517333984 kW
2017-01-28T00:00:00-07:00,77.3761978149414 kW
2017-01-29T00:00:00-07:00,77.9795150756836 kW
2017-01-30T00:00:00-07:00,109.59345245361328 kW
2017-01-31T00:00:00-07:00,104.28954315185547 kW
2017-02-01T00:00:00-07:00,110.8477783203125 kW
2017-02-02T00:00:00-07:00,101.29017639160156 kW
2017-02-03T00:00:00-07:00,101.45616149902344 kW
2017-02-07T00:00:00-07:00,106.54925537109375 kW
2017-02-08T00:00:00-07:00,113.29486083984375 kW
2017-02-09T00:00:00-07:00,106.42460632324219 kW
2017-02-10T00:00:00-07:00,126.54164123535156 kW
2017-02-11T00:00:00-07:00,81.8398666381836 kW
2017-02-12T00:00:00-07:00,81.00057220458984 kW
2017-02-13T00:00:00-07:00,119.28633117675781 kW
2017-02-14T00:00:00-07:00,115.47735595703125 kW
2017-02-15T00:00:00-07:00,116.16764068603516 kW
2017-02-16T00:00:00-07:00,115.07563018798828 kW
2017-02-17T00:00:00-07:00,111.4527816772461 kW
2017-02-18T00:00:00-07:00,82.61151885986328 kW
2017-02-19T00:00:00-07:00,81.07211303710938 kW
2017-02-20T00:00:00-07:00,84.79915618896484 kW
2017-02-21T00:00:00-07:00,110.3475112915039 kW
2017-02-22T00:00:00-07:00,122.48832702636719 kW
2017-02-23T00:00:00-07:00,117.7917709350586 kW
2017-02-24T00:00:00-07:00,116.35223388671875 kW
2017-02-25T00:00:00-07:00,82.56075286865234 kW
2017-02-26T00:00:00-07:00,81.32392120361328 kW
2017-02-27T00:00:00-07:00,127.582275390625 kW
2017-02-28T00:00:00-07:00,123.5162353515625 kW
2017-03-01T00:00:00-07:00,125.53915405273438 kW
2017-03-02T00:00:00-07:00,111.91675567626953 kW
2017-03-03T00:00:00-07:00,118.86449432373047 kW
2017-03-04T00:00:00-07:00,87.76128387451172 kW
2017-03-05T00:00:00-07:00,84.33834075927734 kW
2017-03-06T00:00:00-07:00,113.71221923828125 kW
2017-03-07T00:00:00-07:00,126.60548400878906 kW
2017-03-08T00:00:00-07:00,129.2924346923828 kW
2017-03-09T00:00:00-07:00,125.5686264038086 kW
2017-03-10T00:00:00-07:00,118.69294738769531 kW
2017-03-11T00:00:00-07:00,82.73554229736328 kW
2017-03-12T00:00:00-07:00,81.41669464111328 kW
2017-03-13T00:00:00-06:00,110.16983795166016 kW
2017-03-14T00:00:00-06:00,108.60157775878906 kW
2017-03-15T00:00:00-06:00,119.1263427734375 kW
2017-03-16T00:00:00-06:00,110.0666732788086 kW
2017-03-17T00:00:00-06:00,115.79695892333984 kW
2017-03-18T00:00:00-06:00,85.37858581542969 kW
2017-03-19T00:00:00-06:00,89.3038558959961 kW
