Timestamp,['1ce63d1b-e21d3912 0028-MARRIOTT CENTER FOR DANCE Power Meter KW  Total']
2017-01-01T00:00:00-07:00,68.29371643066406 kW
2017-01-02T00:00:00-07:00,66.60176086425781 kW
2017-01-03T00:00:00-07:00,72.4034652709961 kW
2017-01-04T00:00:00-07:00,83.19978332519531 kW
2017-01-05T00:00:00-07:00,85.46227264404297 kW
2017-01-06T00:00:00-07:00,114.99724578857422 kW
2017-01-07T00:00:00-07:00,72.37175750732422 kW
2017-01-08T00:00:00-07:00,73.26262664794922 kW
2017-01-09T00:00:00-07:00,115.96450805664062 kW
2017-01-10T00:00:00-07:00,134.09014892578125 kW
2017-01-11T00:00:00-07:00,127.75086212158203 kW
2017-01-12T00:00:00-07:00,116.2397232055664 kW
2017-01-13T00:00:00-07:00,158.79296875 kW
2017-01-14T00:00:00-07:00,112.12318420410156 kW
2017-01-15T00:00:00-07:00,88.4937744140625 kW
2017-01-16T00:00:00-07:00,89.32832336425781 kW
2017-01-17T00:00:00-07:00,136.6573028564453 kW
2017-01-18T00:00:00-07:00,137.11712646484375 kW
2017-01-19T00:00:00-07:00,119.7572250366211 kW
2017-01-20T00:00:00-07:00,145.81459045410156 kW
2017-01-21T00:00:00-07:00,137.5970458984375 kW
2017-01-22T00:00:00-07:00,98.35872650146484 kW
2017-01-23T00:00:00-07:00,142.87158203125 kW
2017-01-24T00:00:00-07:00,162.68235778808594 kW
2017-01-25T00:00:00-07:00,162.4148406982422 kW
2017-01-26T00:00:00-07:00,192.32969665527344 kW
2017-01-27T00:00:00-07:00,172.2793731689453 kW
2017-01-28T00:00:00-07:00,112.1611328125 kW
2017-01-29T00:00:00-07:00,98.4642333984375 kW
2017-01-30T00:00:00-07:00,167.9783935546875 kW
2017-01-31T00:00:00-07:00,159.5474395751953 kW
2017-02-01T00:00:00-07:00,177.22377014160156 kW
2017-02-02T00:00:00-07:00,162.1773681640625 kW
2017-02-03T00:00:00-07:00,152.1973114013672 kW
2017-02-07T00:00:00-07:00,140.01739501953125 kW
2017-02-08T00:00:00-07:00,154.17398071289062 kW
2017-02-09T00:00:00-07:00,152.38650512695312 kW
2017-02-10T00:00:00-07:00,148.10801696777344 kW
2017-02-11T00:00:00-07:00,159.03343200683594 kW
2017-02-12T00:00:00-07:00,102.28781127929688 kW
2017-02-13T00:00:00-07:00,143.29588317871094 kW
2017-02-14T00:00:00-07:00,154.46383666992188 kW
2017-02-15T00:00:00-07:00,136.1654052734375 kW
2017-02-16T00:00:00-07:00,171.845947265625 kW
2017-02-17T00:00:00-07:00,156.29620361328125 kW
2017-02-18T00:00:00-07:00,157.21383666992188 kW
2017-02-19T00:00:00-07:00,103.04029083251953 kW
2017-02-20T00:00:00-07:00,115.1276626586914 kW
2017-02-21T00:00:00-07:00,153.00930786132812 kW
2017-02-22T00:00:00-07:00,177.19520568847656 kW
2017-02-23T00:00:00-07:00,189.46527099609375 kW
2017-02-24T00:00:00-07:00,129.9271240234375 kW
2017-02-25T00:00:00-07:00,117.06775665283203 kW
2017-02-26T00:00:00-07:00,137.36744689941406 kW
2017-02-27T00:00:00-07:00,161.73028564453125 kW
2017-02-28T00:00:00-07:00,141.0384521484375 kW
2017-03-01T00:00:00-07:00,156.16030883789062 kW
2017-03-02T00:00:00-07:00,149.67349243164062 kW
2017-03-03T00:00:00-07:00,138.64093017578125 kW
2017-03-04T00:00:00-07:00,176.2382049560547 kW
2017-03-05T00:00:00-07:00,123.61360168457031 kW
2017-03-06T00:00:00-07:00,162.7509307861328 kW
2017-03-07T00:00:00-07:00,194.08944702148438 kW
2017-03-08T00:00:00-07:00,155.41819763183594 kW
2017-03-09T00:00:00-07:00,141.6843719482422 kW
2017-03-10T00:00:00-07:00,168.55018615722656 kW
2017-03-11T00:00:00-07:00,112.49784851074219 kW
2017-03-12T00:00:00-07:00,103.24906921386719 kW
2017-03-13T00:00:00-06:00,139.13070678710938 kW
2017-03-14T00:00:00-06:00,135.5876007080078 kW
2017-03-15T00:00:00-06:00,153.206298828125 kW
2017-03-16T00:00:00-06:00,134.7361297607422 kW
2017-03-17T00:00:00-06:00,141.3287353515625 kW
2017-03-18T00:00:00-06:00,112.30368041992188 kW
2017-03-19T00:00:00-06:00,107.77690124511719 kW
2017-03-20T00:00:00-06:00,167.76507568359375 kW
2017-03-21T00:00:00-06:00,206.87315368652344 kW
2017-03-22T00:00:00-06:00,205.10211181640625 kW
2017-03-23T00:00:00-06:00,192.27931213378906 kW
2017-03-24T00:00:00-06:00,187.39329528808594 kW
2017-03-25T00:00:00-06:00,179.96946716308594 kW
2017-03-26T00:00:00-06:00,113.06208038330078 kW
2017-03-27T00:00:00-06:00,182.32394409179688 kW
2017-03-28T00:00:00-06:00,155.9884033203125 kW
2017-03-29T00:00:00-06:00,151.5167236328125 kW
2017-03-30T00:00:00-06:00,193.49449157714844 kW
2017-03-31T00:00:00-06:00,177.5196533203125 kW
2017-04-01T00:00:00-06:00,179.72364807128906 kW
2017-04-02T00:00:00-06:00,109.5760269165039 kW
2017-04-03T00:00:00-06:00,137.15940856933594 kW
2017-04-04T00:00:00-06:00,154.7972869873047 kW
2017-04-05T00:00:00-06:00,166.72825622558594 kW
2017-04-06T00:00:00-06:00,163.54615783691406 kW
2017-04-07T00:00:00-06:00,186.42056274414062 kW
2017-04-08T00:00:00-06:00,119.23258972167969 kW
2017-04-09T00:00:00-06:00,111.80265808105469 kW
2017-04-10T00:00:00-06:00,149.98968505859375 kW
2017-04-11T00:00:00-06:00,167.3289031982422 kW
2017-04-12T00:00:00-06:00,145.65126037597656 kW
2017-04-13T00:00:00-06:00,170.61553955078125 kW
2017-04-14T00:00:00-06:00,141.7244873046875 kW
2017-04-15T00:00:00-06:00,133.1582489013672 kW
2017-04-16T00:00:00-06:00,95.62664031982422 kW
2017-04-17T00:00:00-06:00,165.62738037109375 kW
2017-04-18T00:00:00-06:00,136.17958068847656 kW
2017-04-19T00:00:00-06:00,151.4557647705078 kW
2017-04-20T00:00:00-06:00,141.856689453125 kW
2017-04-21T00:00:00-06:00,136.9962921142578 kW
2017-04-22T00:00:00-06:00,111.99344635009766 kW
2017-04-23T00:00:00-06:00,93.71060943603516 kW
2017-04-24T00:00:00-06:00,136.73080444335938 kW
2017-04-25T00:00:00-06:00,137.7159881591797 kW
2017-04-26T00:00:00-06:00,129.65109252929688 kW
2017-04-27T00:00:00-06:00,135.29103088378906 kW
2017-04-28T00:00:00-06:00,117.65531921386719 kW
2017-04-29T00:00:00-06:00,123.28434753417969 kW
2017-04-30T00:00:00-06:00,82.71803283691406 kW
2017-05-01T00:00:00-06:00,102.87223815917969 kW
2017-05-02T00:00:00-06:00,102.0566635131836 kW
2017-05-03T00:00:00-06:00,135.73326110839844 kW
2017-05-04T00:00:00-06:00,99.47972869873047 kW
2017-05-05T00:00:00-06:00,84.04285430908203 kW
2017-05-06T00:00:00-06:00,137.88455200195312 kW
2017-05-07T00:00:00-06:00,75.1739501953125 kW
2017-05-08T00:00:00-06:00,86.11849975585938 kW
2017-05-09T00:00:00-06:00,88.50408172607422 kW
2017-05-10T00:00:00-06:00,126.6533203125 kW
2017-05-11T00:00:00-06:00,143.97206115722656 kW
2017-05-12T00:00:00-06:00,117.2860336303711 kW
2017-05-13T00:00:00-06:00,115.20867919921875 kW
2017-05-14T00:00:00-06:00,132.3978271484375 kW
2017-05-15T00:00:00-06:00,85.56184387207031 kW
2017-05-16T00:00:00-06:00,101.23895263671875 kW
2017-05-17T00:00:00-06:00,133.6503143310547 kW
2017-05-18T00:00:00-06:00,133.39195251464844 kW
2017-05-19T00:00:00-06:00,123.5055160522461 kW
2017-05-20T00:00:00-06:00,112.4122314453125 kW
2017-05-21T00:00:00-06:00,73.9599838256836 kW
2017-05-22T00:00:00-06:00,88.73168182373047 kW
2017-05-23T00:00:00-06:00,137.60069274902344 kW
2017-05-24T00:00:00-06:00,129.02059936523438 kW
2017-05-25T00:00:00-06:00,127.9080581665039 kW
2017-05-26T00:00:00-06:00,89.4582290649414 kW
2017-05-27T00:00:00-06:00,78.87006378173828 kW
2017-05-28T00:00:00-06:00,76.47564697265625 kW
2017-05-29T00:00:00-06:00,81.76021575927734 kW
2017-05-30T00:00:00-06:00,82.43341827392578 kW
2017-05-31T00:00:00-06:00,135.60585021972656 kW
2017-06-01T00:00:00-06:00,141.51095581054688 kW
2017-06-02T00:00:00-06:00,146.15518188476562 kW
2017-06-03T00:00:00-06:00,141.79464721679688 kW
2017-06-04T00:00:00-06:00,79.05467224121094 kW
2017-06-05T00:00:00-06:00,102.83500671386719 kW
2017-06-06T00:00:00-06:00,114.23773956298828 kW
2017-06-07T00:00:00-06:00,104.84213256835938 kW
2017-06-08T00:00:00-06:00,107.26295471191406 kW
2017-06-09T00:00:00-06:00,108.76280975341797 kW
2017-06-10T00:00:00-06:00,100.76338195800781 kW
2017-06-11T00:00:00-06:00,78.10525512695312 kW
2017-06-12T00:00:00-06:00,111.3117446899414 kW
2017-06-13T00:00:00-06:00,125.51359558105469 kW
2017-06-14T00:00:00-06:00,108.12250518798828 kW
2017-06-15T00:00:00-06:00,107.2674331665039 kW
2017-06-16T00:00:00-06:00,101.2806396484375 kW
2017-06-17T00:00:00-06:00,87.93463134765625 kW
2017-06-18T00:00:00-06:00,77.853515625 kW
2017-06-19T00:00:00-06:00,120.60913848876953 kW
2017-06-20T00:00:00-06:00,120.34201049804688 kW
2017-06-21T00:00:00-06:00,118.02088165283203 kW
2017-06-22T00:00:00-06:00,114.23429870605469 kW
2017-06-23T00:00:00-06:00,119.24736785888672 kW
2017-06-24T00:00:00-06:00,93.09941864013672 kW
2017-06-25T00:00:00-06:00,79.11961364746094 kW
2017-06-26T00:00:00-06:00,121.3232192993164 kW
2017-06-27T00:00:00-06:00,121.69432067871094 kW
2017-06-28T00:00:00-06:00,117.5382080078125 kW
2017-06-29T00:00:00-06:00,122.49211120605469 kW
2017-06-30T00:00:00-06:00,123.66754150390625 kW
2017-07-01T00:00:00-06:00,99.62918090820312 kW
2017-07-02T00:00:00-06:00,76.83541870117188 kW
2017-07-03T00:00:00-06:00,112.83805847167969 kW
2017-07-04T00:00:00-06:00,86.89913940429688 kW
2017-07-05T00:00:00-06:00,111.93830108642578 kW
2017-07-06T00:00:00-06:00,120.14380645751953 kW
2017-07-07T00:00:00-06:00,120.6635513305664 kW
2017-07-08T00:00:00-06:00,98.47289276123047 kW
2017-07-09T00:00:00-06:00,79.82132720947266 kW
2017-07-10T00:00:00-06:00,125.19111633300781 kW
2017-07-11T00:00:00-06:00,119.49876403808594 kW
2017-07-12T00:00:00-06:00,111.1484375 kW
2017-07-13T00:00:00-06:00,155.3478240966797 kW
2017-07-14T00:00:00-06:00,147.61524963378906 kW
2017-07-15T00:00:00-06:00,100.63880920410156 kW
2017-07-16T00:00:00-06:00,82.67192840576172 kW
2017-07-17T00:00:00-06:00,105.6034164428711 kW
2017-07-18T00:00:00-06:00,109.86468505859375 kW
2017-07-19T00:00:00-06:00,99.02223205566406 kW
2017-07-20T00:00:00-06:00,100.31879425048828 kW
2017-07-21T00:00:00-06:00,109.21540832519531 kW
2017-07-22T00:00:00-06:00,81.7893295288086 kW
2017-07-23T00:00:00-06:00,73.62397003173828 kW
2017-07-24T00:00:00-06:00,82.84902954101562 kW
2017-07-25T00:00:00-06:00,100.61810302734375 kW
2017-07-26T00:00:00-06:00,100.95033264160156 kW
2017-07-27T00:00:00-06:00,108.1281509399414 kW
2017-07-28T00:00:00-06:00,106.00216674804688 kW
2017-07-29T00:00:00-06:00,93.48652648925781 kW
2017-07-30T00:00:00-06:00,82.59615325927734 kW
2017-07-31T00:00:00-06:00,118.48845672607422 kW
2017-08-01T00:00:00-06:00,105.82594299316406 kW
2017-08-02T00:00:00-06:00,95.66156768798828 kW
2017-08-03T00:00:00-06:00,95.5854721069336 kW
2017-08-04T00:00:00-06:00,99.92992401123047 kW
2017-08-05T00:00:00-06:00,89.04344177246094 kW
2017-08-06T00:00:00-06:00,79.50529479980469 kW
2017-08-07T00:00:00-06:00,90.36316680908203 kW
2017-08-08T00:00:00-06:00,100.71222686767578 kW
2017-08-09T00:00:00-06:00,143.70567321777344 kW
2017-08-10T00:00:00-06:00,131.62152099609375 kW
2017-08-11T00:00:00-06:00,107.1512680053711 kW
2017-08-12T00:00:00-06:00,104.81781005859375 kW
2017-08-13T00:00:00-06:00,74.17869567871094 kW
2017-08-14T00:00:00-06:00,104.04497528076172 kW
2017-08-15T00:00:00-06:00,105.37367248535156 kW
2017-08-16T00:00:00-06:00,119.00090026855469 kW
2017-08-17T00:00:00-06:00,98.7100601196289 kW
2017-08-18T00:00:00-06:00,122.00291442871094 kW
2017-08-19T00:00:00-06:00,101.02371215820312 kW
2017-08-20T00:00:00-06:00,92.08892059326172 kW
2017-08-21T00:00:00-06:00,145.8648223876953 kW
2017-08-22T00:00:00-06:00,137.90182495117188 kW
2017-08-23T00:00:00-06:00,144.56704711914062 kW
2017-08-24T00:00:00-06:00,156.7779083251953 kW
2017-08-25T00:00:00-06:00,138.87985229492188 kW
2017-08-26T00:00:00-06:00,100.5765609741211 kW
2017-08-27T00:00:00-06:00,85.67098236083984 kW
2017-08-28T00:00:00-06:00,167.0657501220703 kW
2017-08-29T00:00:00-06:00,152.99766540527344 kW
2017-08-30T00:00:00-06:00,151.94198608398438 kW
2017-08-31T00:00:00-06:00,139.3231201171875 kW
2017-09-01T00:00:00-06:00,152.56600952148438 kW
2017-09-02T00:00:00-06:00,104.54786682128906 kW
2017-09-03T00:00:00-06:00,82.00654602050781 kW
2017-09-04T00:00:00-06:00,143.89468383789062 kW
2017-09-05T00:00:00-06:00,177.94512939453125 kW
2017-09-06T00:00:00-06:00,169.66282653808594 kW
2017-09-07T00:00:00-06:00,163.43777465820312 kW
2017-09-08T00:00:00-06:00,136.7266082763672 kW
2017-09-09T00:00:00-06:00,140.7798614501953 kW
2017-09-10T00:00:00-06:00,92.81432342529297 kW
2017-09-11T00:00:00-06:00,155.4494171142578 kW
2017-09-12T00:00:00-06:00,198.54824829101562 kW
2017-09-13T00:00:00-06:00,168.66346740722656 kW
2017-09-14T00:00:00-06:00,171.7343292236328 kW
2017-09-15T00:00:00-06:00,147.30934143066406 kW
2017-09-16T00:00:00-06:00,151.01907348632812 kW
2017-09-17T00:00:00-06:00,184.52378845214844 kW
2017-09-18T00:00:00-06:00,127.28588104248047 kW
2017-09-19T00:00:00-06:00,138.62135314941406 kW
2017-09-20T00:00:00-06:00,156.59971618652344 kW
2017-09-21T00:00:00-06:00,169.80136108398438 kW
2017-09-22T00:00:00-06:00,150.87611389160156 kW
2017-09-23T00:00:00-06:00,159.2099151611328 kW
2017-09-24T00:00:00-06:00,147.79103088378906 kW
2017-09-25T00:00:00-06:00,144.12777709960938 kW
2017-09-26T00:00:00-06:00,142.05018615722656 kW
2017-09-27T00:00:00-06:00,153.16192626953125 kW
2017-09-28T00:00:00-06:00,136.87551879882812 kW
2017-09-29T00:00:00-06:00,165.79257202148438 kW
2017-09-30T00:00:00-06:00,146.5669708251953 kW
2017-10-01T00:00:00-06:00,122.77272033691406 kW
2017-10-02T00:00:00-06:00,153.59414672851562 kW
2017-10-03T00:00:00-06:00,147.11288452148438 kW
2017-10-04T00:00:00-06:00,154.95550537109375 kW
2017-10-05T00:00:00-06:00,150.6153564453125 kW
2017-10-06T00:00:00-06:00,156.96363830566406 kW
2017-10-07T00:00:00-06:00,122.84762573242188 kW
2017-10-08T00:00:00-06:00,80.3429183959961 kW
2017-10-09T00:00:00-06:00,108.55072784423828 kW
2017-10-10T00:00:00-06:00,121.91926574707031 kW
2017-10-11T00:00:00-06:00,108.32508087158203 kW
2017-10-12T00:00:00-06:00,110.27191162109375 kW
2017-10-13T00:00:00-06:00,109.55181121826172 kW
2017-10-14T00:00:00-06:00,123.43846130371094 kW
2017-10-15T00:00:00-06:00,81.90206146240234 kW
2017-10-16T00:00:00-06:00,133.36773681640625 kW
2017-10-17T00:00:00-06:00,139.00619506835938 kW
2017-10-18T00:00:00-06:00,176.7069549560547 kW
2017-10-19T00:00:00-06:00,150.870361328125 kW
2017-10-20T00:00:00-06:00,132.66233825683594 kW
2017-10-21T00:00:00-06:00,127.50994873046875 kW
2017-10-22T00:00:00-06:00,96.94739532470703 kW
2017-10-23T00:00:00-06:00,136.49684143066406 kW
2017-10-24T00:00:00-06:00,152.9787139892578 kW
2017-10-25T00:00:00-06:00,160.01243591308594 kW
2017-10-26T00:00:00-06:00,146.05245971679688 kW
2017-10-27T00:00:00-06:00,183.45199584960938 kW
2017-10-28T00:00:00-06:00,105.40123748779297 kW
2017-10-29T00:00:00-06:00,100.09394836425781 kW
2017-10-30T00:00:00-06:00,137.6761474609375 kW
2017-10-31T00:00:00-06:00,100.62926483154297 kW
2017-11-01T00:00:00-06:00,198.30462646484375 kW
2017-11-02T00:00:00-06:00,176.2517547607422 kW
2017-11-03T00:00:00-06:00,166.8726043701172 kW
2017-11-04T00:00:00-06:00,189.8699951171875 kW
2017-11-05T00:00:00-06:00,107.78707122802734 kW
2017-11-06T00:00:00-07:00,155.4416046142578 kW
2017-11-07T00:00:00-07:00,135.9481658935547 kW
2017-11-08T00:00:00-07:00,284.7325134277344 kW
2017-11-09T00:00:00-07:00,178.96775817871094 kW
2017-11-10T00:00:00-07:00,178.2074432373047 kW
2017-11-11T00:00:00-07:00,177.31338500976562 kW
2017-11-12T00:00:00-07:00,96.24836730957031 kW
2017-11-13T00:00:00-07:00,149.65892028808594 kW
2017-11-14T00:00:00-07:00,143.6525421142578 kW
2017-11-15T00:00:00-07:00,147.6431427001953 kW
2017-11-16T00:00:00-07:00,139.84825134277344 kW
2017-11-17T00:00:00-07:00,142.48910522460938 kW
2017-11-18T00:00:00-07:00,140.6315155029297 kW
2017-11-19T00:00:00-07:00,97.93575286865234 kW
2017-11-20T00:00:00-07:00,163.7871856689453 kW
2017-11-21T00:00:00-07:00,173.56719970703125 kW
2017-11-22T00:00:00-07:00,119.74237060546875 kW
2017-11-23T00:00:00-07:00,83.6930923461914 kW
2017-11-24T00:00:00-07:00,83.3453140258789 kW
