Timestamp,['1ce63d72-ac8b434c 0028-MARRIOTT CENTER FOR DANCE Power Meter Current B']
2017-01-01T00:00:00-07:00,163.01633230845133 A
2017-01-02T00:00:00-07:00,164.57888062795004 A
2017-01-03T00:00:00-07:00,171.70791562398276 A
2017-01-04T00:00:00-07:00,187.53783321380615 A
2017-01-05T00:00:00-07:00,198.00008916854858 A
2017-01-06T00:00:00-07:00,211.3710414568583 A
2017-01-07T00:00:00-07:00,180.97471364339194 A
2017-01-08T00:00:00-07:00,169.5824319521586 A
2017-01-09T00:00:00-07:00,240.78374894460043 A
2017-01-10T00:00:00-07:00,257.2272154490153 A
2017-01-11T00:00:00-07:00,253.64625438054404 A
2017-01-12T00:00:00-07:00,241.1801554361979 A
2017-01-13T00:00:00-07:00,245.7722568511963 A
2017-01-14T00:00:00-07:00,210.30939785639444 A
2017-01-15T00:00:00-07:00,192.61451896031699 A
2017-01-16T00:00:00-07:00,194.55257320404053 A
2017-01-17T00:00:00-07:00,255.07748413085938 A
2017-01-18T00:00:00-07:00,244.75676589414297 A
2017-01-19T00:00:00-07:00,248.85481103261313 A
2017-01-20T00:00:00-07:00,275.72199184336563 A
2017-01-21T00:00:00-07:00,250.5866290728251 A
2017-01-22T00:00:00-07:00,229.73389943440756 A
2017-01-23T00:00:00-07:00,288.5929791132609 A
2017-01-24T00:00:00-07:00,309.36727380752563 A
2017-01-25T00:00:00-07:00,294.4481641451518 A
2017-01-26T00:00:00-07:00,290.607150554657 A
2017-01-27T00:00:00-07:00,257.53945954640704 A
2017-01-28T00:00:00-07:00,209.36713647842407 A
2017-01-29T00:00:00-07:00,195.42279386520386 A
2017-01-30T00:00:00-07:00,272.9085154533386 A
2017-01-31T00:00:00-07:00,279.5847593943278 A
2017-02-01T00:00:00-07:00,291.93176078796387 A
2017-02-02T00:00:00-07:00,305.5757945378621 A
2017-02-03T00:00:00-07:00,285.08836568196614 A
2017-02-07T00:00:00-07:00,314.3827231270926 A
2017-02-08T00:00:00-07:00,300.7216886027475 A
2017-02-09T00:00:00-07:00,313.93797127405804 A
2017-02-10T00:00:00-07:00,310.7776900927226 A
2017-02-11T00:00:00-07:00,291.6091345151265 A
