Timestamp,['1ce63d8a-b49c08e5 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts AB']
2017-01-01T00:00:00-07:00,210.78991746902466 V
2017-01-02T00:00:00-07:00,210.80233891805014 V
2017-01-03T00:00:00-07:00,210.77088658014932 V
2017-01-04T00:00:00-07:00,210.60420862833658 V
2017-01-05T00:00:00-07:00,210.7145562171936 V
2017-01-06T00:00:00-07:00,210.5711291631063 V
2017-01-07T00:00:00-07:00,210.54950348536173 V
2017-01-08T00:00:00-07:00,210.56660254796347 V
2017-01-09T00:00:00-07:00,210.1859310468038 V
2017-01-10T00:00:00-07:00,210.1699252128601 V
2017-01-11T00:00:00-07:00,210.3679232597351 V
2017-01-12T00:00:00-07:00,210.37825632095337 V
2017-01-13T00:00:00-07:00,210.4090921084086 V
2017-01-14T00:00:00-07:00,210.87563848495483 V
2017-01-15T00:00:00-07:00,210.42401854197183 V
2017-01-16T00:00:00-07:00,210.67518091201782 V
2017-01-17T00:00:00-07:00,210.32481575012207 V
2017-01-18T00:00:00-07:00,210.64949240335605 V
2017-01-19T00:00:00-07:00,210.85736672083536 V
2017-01-20T00:00:00-07:00,212.17520385092877 V
2017-01-21T00:00:00-07:00,212.5012583732605 V
2017-01-22T00:00:00-07:00,212.20552158355713 V
2017-01-23T00:00:00-07:00,212.15748596191406 V
2017-01-24T00:00:00-07:00,212.12689113616943 V
2017-01-25T00:00:00-07:00,212.076553662618 V
2017-01-26T00:00:00-07:00,212.0939048131307 V
2017-01-27T00:00:00-07:00,212.35079765319824 V
2017-01-28T00:00:00-07:00,212.5189889272054 V
2017-01-29T00:00:00-07:00,212.50835959116617 V
2017-01-30T00:00:00-07:00,212.43989340464273 V
2017-01-31T00:00:00-07:00,212.19117514292398 V
2017-02-01T00:00:00-07:00,212.28984944025675 V
2017-02-02T00:00:00-07:00,212.06058851877847 V
2017-02-03T00:00:00-07:00,212.12335103352865 V
2017-02-07T00:00:00-07:00,212.15009385712293 V
2017-02-08T00:00:00-07:00,212.30642717534846 V
2017-02-09T00:00:00-07:00,211.99475876490274 V
2017-02-10T00:00:00-07:00,212.2146266301473 V
2017-02-11T00:00:00-07:00,212.12421147028604 V
2017-02-12T00:00:00-07:00,212.14395745595297 V
2017-02-13T00:00:00-07:00,212.15902264912924 V
2017-02-14T00:00:00-07:00,212.16733112741025 V
2017-02-15T00:00:00-07:00,212.201282342275 V
2017-02-16T00:00:00-07:00,211.9848132133484 V
2017-02-17T00:00:00-07:00,212.26797024408975 V
2017-02-18T00:00:00-07:00,211.88147576649985 V
2017-02-19T00:00:00-07:00,212.48332484563193 V
2017-02-20T00:00:00-07:00,212.33007907867432 V
2017-02-21T00:00:00-07:00,212.19662555058798 V
2017-02-22T00:00:00-07:00,211.89828888575235 V
2017-02-23T00:00:00-07:00,211.9717165629069 V
2017-02-24T00:00:00-07:00,212.1765743001302 V
2017-02-25T00:00:00-07:00,212.30470037460327 V
2017-02-26T00:00:00-07:00,212.65888436635336 V
2017-02-27T00:00:00-07:00,212.4188027381897 V
2017-02-28T00:00:00-07:00,212.24502531687418 V
2017-03-01T00:00:00-07:00,212.21873474121094 V
2017-03-02T00:00:00-07:00,212.2119720776876 V
2017-03-03T00:00:00-07:00,212.06173674265543 V
2017-03-04T00:00:00-07:00,211.8296488126119 V
2017-03-05T00:00:00-07:00,212.2444165547689 V
2017-03-06T00:00:00-07:00,211.8328162829081 V
2017-03-07T00:00:00-07:00,211.9628005027771 V
2017-03-08T00:00:00-07:00,212.1155473391215 V
2017-03-09T00:00:00-07:00,212.1285775502523 V
2017-03-10T00:00:00-07:00,212.14181582132974 V
2017-03-11T00:00:00-07:00,212.44448375701904 V
2017-03-12T00:00:00-07:00,212.31009607729703 V
2017-03-13T00:00:00-06:00,212.33222564061484 V
2017-03-14T00:00:00-06:00,212.14641761779785 V
2017-03-15T00:00:00-06:00,211.79084046681723 V
2017-03-16T00:00:00-06:00,212.26418733596802 V
2017-03-17T00:00:00-06:00,211.97683175404867 V
2017-03-18T00:00:00-06:00,212.3983278274536 V
2017-03-19T00:00:00-06:00,212.13399330774942 V
2017-03-20T00:00:00-06:00,211.6491101716694 V
2017-03-21T00:00:00-06:00,211.4025683403015 V
2017-03-22T00:00:00-06:00,211.56534989674887 V
2017-03-23T00:00:00-06:00,211.94042174021402 V
2017-03-24T00:00:00-06:00,212.23450581232706 V
2017-03-25T00:00:00-06:00,212.36266549428305 V
2017-03-26T00:00:00-06:00,212.16257190704346 V
2017-03-27T00:00:00-06:00,211.88858064015707 V
2017-03-28T00:00:00-06:00,212.14593887329102 V
2017-03-29T00:00:00-06:00,212.0162599351671 V
2017-03-30T00:00:00-06:00,211.80572225881178 V
2017-03-31T00:00:00-06:00,212.10727532704672 V
2017-04-01T00:00:00-06:00,212.3734556833903 V
2017-04-02T00:00:00-06:00,212.6206128572163 V
2017-04-03T00:00:00-06:00,212.1132084528605 V
2017-04-04T00:00:00-06:00,212.10962835947672 V
2017-04-05T00:00:00-06:00,212.00392866134644 V
2017-04-06T00:00:00-06:00,211.54415464401245 V
2017-04-07T00:00:00-06:00,211.8363437652588 V
2017-04-08T00:00:00-06:00,212.24802923202515 V
2017-04-09T00:00:00-06:00,212.34488900502524 V
2017-04-10T00:00:00-06:00,212.02124214172363 V
2017-04-11T00:00:00-06:00,212.1181847254435 V
2017-04-12T00:00:00-06:00,211.8406613667806 V
2017-04-13T00:00:00-06:00,211.66381374994913 V
2017-04-14T00:00:00-06:00,211.8715761502584 V
2017-04-15T00:00:00-06:00,211.81349341074625 V
2017-04-16T00:00:00-06:00,212.64782349268594 V
2017-04-17T00:00:00-06:00,211.98357009887695 V
2017-04-18T00:00:00-06:00,211.87288077672324 V
2017-04-19T00:00:00-06:00,211.8694920539856 V
2017-04-20T00:00:00-06:00,212.04088036219278 V
2017-04-21T00:00:00-06:00,211.717538356781 V
2017-04-22T00:00:00-06:00,212.17053953806558 V
2017-04-23T00:00:00-06:00,212.19025866190592 V
2017-04-24T00:00:00-06:00,212.1652676264445 V
2017-04-25T00:00:00-06:00,211.96050373713175 V
2017-04-26T00:00:00-06:00,211.97199471791586 V
2017-04-27T00:00:00-06:00,212.26277573903403 V
2017-04-28T00:00:00-06:00,212.06984074910483 V
2017-04-29T00:00:00-06:00,212.3226636250814 V
2017-04-30T00:00:00-06:00,212.1400988896688 V
2017-05-01T00:00:00-06:00,212.14353958765665 V
2017-05-02T00:00:00-06:00,212.09275563557944 V
2017-05-03T00:00:00-06:00,212.1480507850647 V
2017-05-04T00:00:00-06:00,212.28859249750772 V
2017-05-05T00:00:00-06:00,212.3312374750773 V
2017-05-06T00:00:00-06:00,212.0560186704 V
2017-05-07T00:00:00-06:00,212.28891785939535 V
2017-05-08T00:00:00-06:00,212.27528574090255 V
2017-05-09T00:00:00-06:00,212.36586809158325 V
2017-05-10T00:00:00-06:00,212.14512014389038 V
2017-05-11T00:00:00-06:00,211.95733817418417 V
2017-05-12T00:00:00-06:00,212.27118682861328 V
2017-05-13T00:00:00-06:00,212.4574720064799 V
2017-05-14T00:00:00-06:00,211.9819361368815 V
2017-05-15T00:00:00-06:00,212.1984084447225 V
2017-05-16T00:00:00-06:00,212.46217441558838 V
2017-05-17T00:00:00-06:00,212.39606444040933 V
2017-05-18T00:00:00-06:00,212.12782875696817 V
2017-05-19T00:00:00-06:00,212.5465520222982 V
2017-05-20T00:00:00-06:00,212.37579123179117 V
2017-05-21T00:00:00-06:00,212.36192814509073 V
2017-05-22T00:00:00-06:00,212.42098013559976 V
2017-05-23T00:00:00-06:00,212.05480782190958 V
2017-05-24T00:00:00-06:00,212.30005423227945 V
2017-05-25T00:00:00-06:00,212.39861170450845 V
2017-05-26T00:00:00-06:00,212.57466220855713 V
2017-05-27T00:00:00-06:00,212.55322202046713 V
2017-05-28T00:00:00-06:00,212.59672101338705 V
2017-05-29T00:00:00-06:00,212.5948691368103 V
2017-05-30T00:00:00-06:00,212.5799913406372 V
2017-05-31T00:00:00-06:00,212.17601124445596 V
2017-06-01T00:00:00-06:00,212.45230023066202 V
2017-06-02T00:00:00-06:00,212.24781274795532 V
2017-06-03T00:00:00-06:00,212.30105463663736 V
2017-06-04T00:00:00-06:00,212.27662658691406 V
2017-06-05T00:00:00-06:00,212.16940116882324 V
2017-06-06T00:00:00-06:00,212.19580809275308 V
2017-06-07T00:00:00-06:00,212.2699678738912 V
2017-06-08T00:00:00-06:00,212.43432490030924 V
2017-06-09T00:00:00-06:00,212.25609683990479 V
2017-06-10T00:00:00-06:00,212.29052384694418 V
2017-06-11T00:00:00-06:00,212.47114896774292 V
2017-06-12T00:00:00-06:00,212.42043765385947 V
2017-06-13T00:00:00-06:00,212.29267390569052 V
2017-06-14T00:00:00-06:00,212.14312680562338 V
2017-06-15T00:00:00-06:00,212.1516720453898 V
2017-06-16T00:00:00-06:00,212.21829891204834 V
2017-06-17T00:00:00-06:00,212.35120423634848 V
2017-06-18T00:00:00-06:00,212.42547623316446 V
2017-06-19T00:00:00-06:00,212.1771960258484 V
2017-06-20T00:00:00-06:00,211.90110301971436 V
2017-06-21T00:00:00-06:00,211.91724745432535 V
2017-06-22T00:00:00-06:00,212.16601737340292 V
2017-06-23T00:00:00-06:00,212.13462591171265 V
2017-06-24T00:00:00-06:00,212.29697831471762 V
2017-06-25T00:00:00-06:00,212.46447483698526 V
2017-06-26T00:00:00-06:00,211.88256692886353 V
2017-06-27T00:00:00-06:00,212.03654623031616 V
2017-06-28T00:00:00-06:00,212.13215160369873 V
2017-06-29T00:00:00-06:00,212.19880755742392 V
2017-06-30T00:00:00-06:00,212.07154989242554 V
2017-07-01T00:00:00-06:00,212.16042868296304 V
2017-07-02T00:00:00-06:00,212.40696891148886 V
2017-07-03T00:00:00-06:00,212.03514591852823 V
2017-07-04T00:00:00-06:00,212.41748491923013 V
2017-07-05T00:00:00-06:00,212.09878222147623 V
2017-07-06T00:00:00-06:00,212.11903540293375 V
2017-07-07T00:00:00-06:00,211.9869262377421 V
2017-07-08T00:00:00-06:00,212.07812801996866 V
2017-07-09T00:00:00-06:00,212.21001736323038 V
2017-07-10T00:00:00-06:00,212.0247073173523 V
2017-07-11T00:00:00-06:00,212.19135904312134 V
2017-07-12T00:00:00-06:00,212.17422517140707 V
2017-07-13T00:00:00-06:00,212.2299747467041 V
2017-07-14T00:00:00-06:00,212.05726432800293 V
2017-07-15T00:00:00-06:00,212.24642992019653 V
2017-07-16T00:00:00-06:00,212.2861057917277 V
2017-07-17T00:00:00-06:00,212.16945377985635 V
2017-07-18T00:00:00-06:00,212.23024606704712 V
2017-07-19T00:00:00-06:00,212.1845407485962 V
2017-07-20T00:00:00-06:00,212.26689036687216 V
2017-07-21T00:00:00-06:00,212.12059513727823 V
2017-07-22T00:00:00-06:00,212.23071066538492 V
2017-07-23T00:00:00-06:00,212.49274984995523 V
2017-07-24T00:00:00-06:00,212.43807363510132 V
2017-07-25T00:00:00-06:00,212.3189115524292 V
2017-07-26T00:00:00-06:00,212.1024433771769 V
2017-07-27T00:00:00-06:00,212.21895424524942 V
2017-07-28T00:00:00-06:00,212.0573412577311 V
2017-07-29T00:00:00-06:00,212.17267306645712 V
2017-07-30T00:00:00-06:00,212.30088106791177 V
2017-07-31T00:00:00-06:00,212.36687088012695 V
2017-08-01T00:00:00-06:00,212.35062265396118 V
2017-08-02T00:00:00-06:00,212.13254054387411 V
2017-08-03T00:00:00-06:00,212.14811833699545 V
2017-08-04T00:00:00-06:00,212.12879367404514 V
2017-08-05T00:00:00-06:00,212.18529558181763 V
2017-08-06T00:00:00-06:00,212.1533759435018 V
2017-08-07T00:00:00-06:00,212.03817415237427 V
2017-08-08T00:00:00-06:00,212.14711364110312 V
2017-08-09T00:00:00-06:00,211.8941117922465 V
2017-08-10T00:00:00-06:00,211.9550318564138 V
2017-08-11T00:00:00-06:00,212.1712466875712 V
2017-08-12T00:00:00-06:00,212.1603856086731 V
2017-08-13T00:00:00-06:00,212.47232421239218 V
2017-08-14T00:00:00-06:00,212.34583298365274 V
2017-08-15T00:00:00-06:00,212.2951866785685 V
2017-08-16T00:00:00-06:00,212.02094491322836 V
2017-08-17T00:00:00-06:00,212.16722917556763 V
2017-08-18T00:00:00-06:00,212.07515048980713 V
2017-08-19T00:00:00-06:00,212.3402740160624 V
2017-08-20T00:00:00-06:00,212.39030647277832 V
2017-08-21T00:00:00-06:00,212.091206073761 V
2017-08-22T00:00:00-06:00,211.93627548217773 V
2017-08-23T00:00:00-06:00,211.97691774368286 V
2017-08-24T00:00:00-06:00,211.940042813619 V
2017-08-25T00:00:00-06:00,211.90110111236572 V
2017-08-26T00:00:00-06:00,211.92151657740274 V
2017-08-27T00:00:00-06:00,212.02393293380737 V
2017-08-28T00:00:00-06:00,211.80456525629216 V
2017-08-29T00:00:00-06:00,211.80055287120106 V
2017-08-30T00:00:00-06:00,211.757298151652 V
2017-08-31T00:00:00-06:00,211.88033771514893 V
2017-09-01T00:00:00-06:00,211.8520369529724 V
2017-09-02T00:00:00-06:00,212.1205259958903 V
2017-09-03T00:00:00-06:00,212.32986402511597 V
2017-09-04T00:00:00-06:00,212.02885309855142 V
2017-09-05T00:00:00-06:00,211.65572309494019 V
2017-09-06T00:00:00-06:00,211.69154834747314 V
2017-09-07T00:00:00-06:00,211.78113158543906 V
2017-09-08T00:00:00-06:00,211.94446538568852 V
2017-09-09T00:00:00-06:00,211.951686223348 V
2017-09-10T00:00:00-06:00,212.29363822937012 V
2017-09-11T00:00:00-06:00,211.67247915267944 V
2017-09-12T00:00:00-06:00,211.96201992034912 V
2017-09-13T00:00:00-06:00,211.6706805229187 V
2017-09-14T00:00:00-06:00,211.9537623723348 V
2017-09-15T00:00:00-06:00,212.08963696161905 V
2017-09-16T00:00:00-06:00,212.43600845336914 V
2017-09-17T00:00:00-06:00,211.93746280670166 V
2017-09-18T00:00:00-06:00,212.1424117088318 V
2017-09-19T00:00:00-06:00,211.87361351648966 V
2017-09-20T00:00:00-06:00,212.03305943806967 V
2017-09-21T00:00:00-06:00,212.19831148783365 V
2017-09-22T00:00:00-06:00,212.04384819666544 V
2017-09-23T00:00:00-06:00,212.20960076649985 V
2017-09-24T00:00:00-06:00,212.03463204701742 V
2017-09-25T00:00:00-06:00,212.3231145540873 V
2017-09-26T00:00:00-06:00,212.1157924334208 V
2017-09-27T00:00:00-06:00,212.25881958007812 V
2017-09-28T00:00:00-06:00,212.06346130371094 V
2017-09-29T00:00:00-06:00,212.00433794657388 V
2017-09-30T00:00:00-06:00,212.25595982869467 V
2017-10-01T00:00:00-06:00,212.19731330871582 V
2017-10-02T00:00:00-06:00,212.19154485066733 V
2017-10-03T00:00:00-06:00,212.2682728767395 V
2017-10-04T00:00:00-06:00,212.0306372642517 V
2017-10-05T00:00:00-06:00,212.22301197052002 V
2017-10-06T00:00:00-06:00,212.19708013534546 V
2017-10-07T00:00:00-06:00,212.27992550532022 V
2017-10-08T00:00:00-06:00,212.6364909807841 V
2017-10-09T00:00:00-06:00,212.3543931643168 V
2017-10-10T00:00:00-06:00,212.43459526697794 V
2017-10-11T00:00:00-06:00,212.17741362253824 V
2017-10-12T00:00:00-06:00,212.5258593559265 V
2017-10-13T00:00:00-06:00,212.48578643798828 V
2017-10-14T00:00:00-06:00,212.47965558369955 V
2017-10-15T00:00:00-06:00,212.4665002822876 V
2017-10-16T00:00:00-06:00,212.32867574691772 V
2017-10-17T00:00:00-06:00,212.10012451807657 V
2017-10-18T00:00:00-06:00,211.9478398958842 V
2017-10-19T00:00:00-06:00,212.0976193745931 V
2017-10-20T00:00:00-06:00,212.0999757448832 V
2017-10-21T00:00:00-06:00,212.10009368260702 V
2017-10-22T00:00:00-06:00,212.44064013163248 V
2017-10-23T00:00:00-06:00,212.04594612121582 V
2017-10-24T00:00:00-06:00,211.92121966679892 V
2017-10-25T00:00:00-06:00,211.98838742574057 V
2017-10-26T00:00:00-06:00,212.10837109883627 V
2017-10-27T00:00:00-06:00,212.19388739267984 V
