Timestamp,['1ce63da4-2db108c4 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts BC']
2017-01-01T00:00:00-07:00,210.62095419565836 V
2017-01-02T00:00:00-07:00,210.6220022837321 V
2017-01-03T00:00:00-07:00,210.58585580190024 V
2017-01-04T00:00:00-07:00,210.44757461547852 V
2017-01-05T00:00:00-07:00,210.59576749801636 V
2017-01-06T00:00:00-07:00,210.42816559473673 V
2017-01-07T00:00:00-07:00,210.39404360453287 V
2017-01-08T00:00:00-07:00,210.35268942515054 V
2017-01-09T00:00:00-07:00,210.0047524770101 V
2017-01-10T00:00:00-07:00,209.99747562408447 V
2017-01-11T00:00:00-07:00,210.1760212580363 V
2017-01-12T00:00:00-07:00,210.21902179718018 V
2017-01-13T00:00:00-07:00,210.30504671732584 V
2017-01-14T00:00:00-07:00,210.70380798975626 V
2017-01-15T00:00:00-07:00,210.17227109273276 V
2017-01-16T00:00:00-07:00,210.44924720128378 V
2017-01-17T00:00:00-07:00,210.11046441396078 V
2017-01-18T00:00:00-07:00,210.41223438676582 V
2017-01-19T00:00:00-07:00,210.6650365193685 V
2017-01-20T00:00:00-07:00,211.90755835999835 V
2017-01-21T00:00:00-07:00,212.1967126528422 V
2017-01-22T00:00:00-07:00,211.8675856590271 V
2017-01-23T00:00:00-07:00,211.86581754684448 V
2017-01-24T00:00:00-07:00,211.82826455434164 V
2017-01-25T00:00:00-07:00,211.76319567362467 V
2017-01-26T00:00:00-07:00,211.7769947052002 V
2017-01-27T00:00:00-07:00,212.04631773630777 V
2017-01-28T00:00:00-07:00,212.21510934829712 V
2017-01-29T00:00:00-07:00,212.16612974802652 V
2017-01-30T00:00:00-07:00,212.12312920888266 V
2017-01-31T00:00:00-07:00,211.84542798995972 V
2017-02-01T00:00:00-07:00,211.91225798924765 V
2017-02-02T00:00:00-07:00,211.72938505808511 V
2017-02-03T00:00:00-07:00,211.78493423461913 V
2017-02-07T00:00:00-07:00,211.89221004563936 V
2017-02-08T00:00:00-07:00,212.05607761036265 V
2017-02-09T00:00:00-07:00,211.79288132985434 V
2017-02-10T00:00:00-07:00,212.0329531033834 V
2017-02-11T00:00:00-07:00,211.92575709025064 V
2017-02-12T00:00:00-07:00,212.03907203674316 V
2017-02-13T00:00:00-07:00,212.01368395487467 V
2017-02-14T00:00:00-07:00,212.00583843474692 V
2017-02-15T00:00:00-07:00,212.01849842071533 V
2017-02-16T00:00:00-07:00,211.79861799875894 V
2017-02-17T00:00:00-07:00,212.1002629597982 V
2017-02-18T00:00:00-07:00,211.72898610432944 V
2017-02-19T00:00:00-07:00,212.2864777247111 V
2017-02-20T00:00:00-07:00,212.1311739285787 V
2017-02-21T00:00:00-07:00,211.9903483390808 V
2017-02-22T00:00:00-07:00,211.63317346572876 V
2017-02-23T00:00:00-07:00,211.66947348912558 V
2017-02-24T00:00:00-07:00,211.9008768985146 V
2017-02-25T00:00:00-07:00,212.10352325439453 V
2017-02-26T00:00:00-07:00,212.46565834681192 V
2017-02-27T00:00:00-07:00,212.12921714782715 V
2017-02-28T00:00:00-07:00,212.01414076487222 V
2017-03-01T00:00:00-07:00,211.99064254760742 V
2017-03-02T00:00:00-07:00,211.93413003285727 V
2017-03-03T00:00:00-07:00,211.77524852752686 V
2017-03-04T00:00:00-07:00,211.6189373334249 V
2017-03-05T00:00:00-07:00,212.02508703867593 V
2017-03-06T00:00:00-07:00,211.6175800959269 V
2017-03-07T00:00:00-07:00,211.72829484939575 V
2017-03-08T00:00:00-07:00,211.8853351275126 V
2017-03-09T00:00:00-07:00,211.91518847147623 V
2017-03-10T00:00:00-07:00,211.89865477879843 V
2017-03-11T00:00:00-07:00,212.227680683136 V
2017-03-12T00:00:00-07:00,212.07641916689664 V
2017-03-13T00:00:00-06:00,212.12117656071982 V
2017-03-14T00:00:00-06:00,211.9619754155477 V
2017-03-15T00:00:00-06:00,211.61890188852945 V
