Timestamp,['1ce63dce-8321eb6f 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts AN']
2017-01-01T00:00:00-07:00,121.81065924962361 V
2017-01-02T00:00:00-07:00,121.80182083447774 V
2017-01-03T00:00:00-07:00,121.78713806470235 V
2017-01-04T00:00:00-07:00,121.65980108579 V
2017-01-05T00:00:00-07:00,121.7455591360728 V
2017-01-06T00:00:00-07:00,121.66574811935425 V
2017-01-07T00:00:00-07:00,121.62128210067749 V
2017-01-08T00:00:00-07:00,121.648868004481 V
2017-01-09T00:00:00-07:00,121.47672049204509 V
2017-01-10T00:00:00-07:00,121.50312272707622 V
2017-01-11T00:00:00-07:00,121.60417342185974 V
2017-01-12T00:00:00-07:00,121.56195338567098 V
2017-01-13T00:00:00-07:00,121.55891855557759 V
2017-01-14T00:00:00-07:00,121.81291309992473 V
2017-01-15T00:00:00-07:00,121.59950653711955 V
2017-01-16T00:00:00-07:00,121.74854151407878 V
2017-01-17T00:00:00-07:00,121.60325074195862 V
2017-01-18T00:00:00-07:00,121.78635471623119 V
2017-01-19T00:00:00-07:00,121.88075502713521 V
2017-01-20T00:00:00-07:00,122.6414614738302 V
2017-01-21T00:00:00-07:00,122.80226182937622 V
2017-01-22T00:00:00-07:00,122.62302684783936 V
2017-01-23T00:00:00-07:00,122.61875573794048 V
2017-01-24T00:00:00-07:00,122.59547177950542 V
2017-01-25T00:00:00-07:00,122.57392207781474 V
2017-01-26T00:00:00-07:00,122.57149235407512 V
2017-01-27T00:00:00-07:00,122.71246186892192 V
2017-01-28T00:00:00-07:00,122.78961102167766 V
2017-01-29T00:00:00-07:00,122.78891889254253 V
2017-01-30T00:00:00-07:00,122.79617826143901 V
2017-01-31T00:00:00-07:00,122.64439336458842 V
2017-02-01T00:00:00-07:00,122.68544840812683 V
2017-02-02T00:00:00-07:00,122.55539989471436 V
2017-02-03T00:00:00-07:00,122.54424934387207 V
2017-02-07T00:00:00-07:00,122.65655408586774 V
2017-02-08T00:00:00-07:00,122.7369135943326 V
2017-02-09T00:00:00-07:00,122.54841860135396 V
2017-02-10T00:00:00-07:00,122.65365942319234 V
2017-02-11T00:00:00-07:00,122.56527924537659 V
2017-02-12T00:00:00-07:00,122.51007040341695 V
2017-02-13T00:00:00-07:00,122.54506357510884 V
2017-02-14T00:00:00-07:00,122.58223975972926 V
2017-02-15T00:00:00-07:00,122.63886165618896 V
2017-02-16T00:00:00-07:00,122.50765323638916 V
2017-02-17T00:00:00-07:00,122.69306588172913 V
2017-02-18T00:00:00-07:00,122.40388925870259 V
2017-02-19T00:00:00-07:00,122.71317259470622 V
2017-02-20T00:00:00-07:00,122.65485429763794 V
2017-02-21T00:00:00-07:00,122.63805778821309 V
2017-02-22T00:00:00-07:00,122.44307279586792 V
2017-02-23T00:00:00-07:00,122.44447565078735 V
2017-02-24T00:00:00-07:00,122.53216984397487 V
2017-02-25T00:00:00-07:00,122.59788711865743 V
