Timestamp,"['1cf8d6ec-8c4d8433 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) Current A']"
2017-01-01T00:00:00-07:00,14.0906982421875 A
2017-01-02T00:00:00-07:00,13.847574869791666 A
2017-01-03T00:00:00-07:00,13.518025716145834 A
2017-01-04T00:00:00-07:00,13.107096354166666 A
2017-01-05T00:00:00-07:00,13.1263427734375 A
2017-01-06T00:00:00-07:00,13.307454427083334 A
2017-01-07T00:00:00-07:00,12.351033528645834 A
2017-01-08T00:00:00-07:00,12.317789713541666 A
2017-01-09T00:00:00-07:00,13.837198893229166 A
2017-01-10T00:00:00-07:00,13.27294921875 A
2017-01-11T00:00:00-07:00,13.0062255859375 A
2017-01-12T00:00:00-07:00,12.721150716145834 A
2017-01-13T00:00:00-07:00,12.714436848958334 A
2017-01-14T00:00:00-07:00,11.731486002604166 A
2017-01-15T00:00:00-07:00,11.751953125 A
2017-01-16T00:00:00-07:00,11.897420247395834 A
2017-01-17T00:00:00-07:00,12.807779947916666 A
2017-01-18T00:00:00-07:00,12.698832947530864 A
2017-01-19T00:00:00-07:00,12.871907552083334 A
2017-01-20T00:00:00-07:00,12.800016983695652 A
2017-01-21T00:00:00-07:00,11.850179036458334 A
2017-01-22T00:00:00-07:00,12.2708740234375 A
2017-01-23T00:00:00-07:00,13.342000325520834 A
2017-01-24T00:00:00-07:00,13.658854166666666 A
2017-01-25T00:00:00-07:00,13.905029296875 A
2017-01-26T00:00:00-07:00,13.907470703125 A
2017-01-27T00:00:00-07:00,13.773763020833334 A
2017-01-28T00:00:00-07:00,12.731363932291666 A
2017-01-29T00:00:00-07:00,12.667805989583334 A
2017-01-30T00:00:00-07:00,13.713826497395834 A
2017-01-31T00:00:00-07:00,13.89697265625 A
2017-02-01T00:00:00-07:00,13.981363932291666 A
2017-02-02T00:00:00-07:00,14.117635091145834 A
2017-02-03T00:00:00-07:00,13.987884004237289 A
2017-02-07T00:00:00-07:00,15.44937193627451 A
2017-02-08T00:00:00-07:00,15.29108455882353 A
2017-02-09T00:00:00-07:00,16.255452473958332 A
2017-02-10T00:00:00-07:00,15.26708984375 A
2017-02-11T00:00:00-07:00,13.425862630208334 A
2017-02-12T00:00:00-07:00,13.230875651041666 A
2017-02-13T00:00:00-07:00,14.158243815104166 A
2017-02-14T00:00:00-07:00,14.383643617021276 A
2017-02-15T00:00:00-07:00,14.427897135416666 A
2017-02-16T00:00:00-07:00,14.99609375 A
2017-02-17T00:00:00-07:00,13.737833658854166 A
2017-02-18T00:00:00-07:00,13.132364908854166 A
