Timestamp,['1d0b1bf5-c3c612a3 0084-BIOLOGY BLDG Power Meter 316500 Current C']
2017-01-01T00:00:00-07:00,182.76336781183878 A
2017-01-02T00:00:00-07:00,183.7810262044271 A
2017-01-03T00:00:00-07:00,188.47715266545615 A
2017-01-04T00:00:00-07:00,187.20931100845337 A
2017-01-05T00:00:00-07:00,191.36587238311768 A
2017-01-06T00:00:00-07:00,191.16895246505737 A
2017-01-07T00:00:00-07:00,188.89274470011392 A
2017-01-08T00:00:00-07:00,185.08070373535156 A
2017-01-09T00:00:00-07:00,189.13983074824014 A
2017-01-10T00:00:00-07:00,185.50098673502603 A
2017-01-11T00:00:00-07:00,188.03857628504434 A
2017-01-12T00:00:00-07:00,188.5510484377543 A
2017-01-13T00:00:00-07:00,185.86669651667276 A
2017-01-14T00:00:00-07:00,181.9480242729187 A
2017-01-15T00:00:00-07:00,182.56856425603232 A
2017-01-16T00:00:00-07:00,184.43675247828165 A
2017-01-17T00:00:00-07:00,192.11494572957358 A
2017-01-18T00:00:00-07:00,189.09076281291684 A
2017-01-19T00:00:00-07:00,191.8089272181193 A
2017-01-20T00:00:00-07:00,183.7834056356679 A
2017-01-21T00:00:00-07:00,180.9508112271627 A
2017-01-22T00:00:00-07:00,183.35272375742593 A
2017-01-23T00:00:00-07:00,187.92051792144775 A
2017-01-24T00:00:00-07:00,190.2180379231771 A
2017-01-25T00:00:00-07:00,190.90002250671387 A
2017-01-26T00:00:00-07:00,196.25166416168213 A
2017-01-27T00:00:00-07:00,192.92267243067423 A
2017-01-28T00:00:00-07:00,187.64352734883627 A
2017-01-29T00:00:00-07:00,188.77279233932495 A
2017-01-30T00:00:00-07:00,191.19782988230386 A
2017-01-31T00:00:00-07:00,193.49359846115112 A
2017-02-01T00:00:00-07:00,190.63890250523886 A
2017-02-02T00:00:00-07:00,189.51361767450967 A
2017-02-03T00:00:00-07:00,187.1602847859011 A
2017-02-07T00:00:00-07:00,186.72609344482422 A
2017-02-08T00:00:00-07:00,184.0151814547452 A
2017-02-09T00:00:00-07:00,189.20678758621216 A
