Timestamp,['1d0db151-64edb71c 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 KWH Received']
2017-01-01T00:00:00-07:00,1958.8125 kWh
2017-01-02T00:00:00-07:00,1984.9375 kWh
2017-01-03T00:00:00-07:00,1945.4375 kWh
2017-01-04T00:00:00-07:00,2075.5 kWh
2017-01-05T00:00:00-07:00,2056.0625 kWh
2017-01-06T00:00:00-07:00,1584.9375 kWh
2017-01-07T00:00:00-07:00,1960.25 kWh
2017-01-08T00:00:00-07:00,1811.75 kWh
2017-01-09T00:00:00-07:00,1695.3125 kWh
2017-01-10T00:00:00-07:00,1685.875 kWh
2017-01-11T00:00:00-07:00,1694.5625 kWh
2017-01-12T00:00:00-07:00,1714 kWh
2017-01-13T00:00:00-07:00,1697.6875 kWh
2017-01-14T00:00:00-07:00,1479.875 kWh
2017-01-15T00:00:00-07:00,1787.5 kWh
2017-01-16T00:00:00-07:00,1912.375 kWh
2017-01-17T00:00:00-07:00,1655.0625 kWh
2017-01-18T00:00:00-07:00,1881.25 kWh
2017-01-19T00:00:00-07:00,1985.875 kWh
2017-01-20T00:00:00-07:00,1896.8125 kWh
2017-01-21T00:00:00-07:00,1836.9375 kWh
2017-01-22T00:00:00-07:00,1837.4375 kWh
2017-01-23T00:00:00-07:00,1986.1875 kWh
2017-01-24T00:00:00-07:00,1854.5625 kWh
2017-01-25T00:00:00-07:00,1303.25 kWh
2017-01-26T00:00:00-07:00,1827.4375 kWh
2017-01-27T00:00:00-07:00,1624.75 kWh
2017-01-28T00:00:00-07:00,1552.875 kWh
2017-01-29T00:00:00-07:00,1218.25 kWh
2017-01-30T00:00:00-07:00,1633.25 kWh
2017-01-31T00:00:00-07:00,1733.75 kWh
2017-02-01T00:00:00-07:00,1708.1875 kWh
2017-02-02T00:00:00-07:00,1666.4375 kWh
2017-02-03T00:00:00-07:00,6933 kWh
2017-02-07T00:00:00-07:00,984 kWh
2017-02-08T00:00:00-07:00,1711.625 kWh
2017-02-09T00:00:00-07:00,1737.9375 kWh
2017-02-10T00:00:00-07:00,1769.1875 kWh
2017-02-11T00:00:00-07:00,1475.5625 kWh
2017-02-12T00:00:00-07:00,1487.6875 kWh
2017-02-13T00:00:00-07:00,1704.4375 kWh
2017-02-14T00:00:00-07:00,1670.0625 kWh
2017-02-15T00:00:00-07:00,1680.6875 kWh
2017-02-16T00:00:00-07:00,1711.8125 kWh
2017-02-17T00:00:00-07:00,1711.75 kWh
2017-02-18T00:00:00-07:00,1474.75 kWh
2017-02-19T00:00:00-07:00,1462.375 kWh
2017-02-20T00:00:00-07:00,1687.3125 kWh
2017-02-21T00:00:00-07:00,1684.0625 kWh
2017-02-22T00:00:00-07:00,1706.375 kWh
2017-02-23T00:00:00-07:00,1748.3125 kWh
2017-02-24T00:00:00-07:00,1713.4375 kWh
2017-02-25T00:00:00-07:00,1491.5625 kWh
2017-02-26T00:00:00-07:00,1486.0625 kWh
2017-02-27T00:00:00-07:00,1703.3125 kWh
2017-02-28T00:00:00-07:00,1723.6875 kWh
2017-03-01T00:00:00-07:00,1697.5 kWh
2017-03-02T00:00:00-07:00,1712.875 kWh
2017-03-03T00:00:00-07:00,1708.875 kWh
2017-03-04T00:00:00-07:00,1453.4375 kWh
2017-03-05T00:00:00-07:00,1486.5 kWh
2017-03-06T00:00:00-07:00,1716.625 kWh
2017-03-07T00:00:00-07:00,1699.125 kWh
2017-03-08T00:00:00-07:00,1688.9375 kWh
2017-03-09T00:00:00-07:00,1722.9375 kWh
2017-03-10T00:00:00-07:00,1579.75 kWh
2017-03-11T00:00:00-07:00,1170.125 kWh
2017-03-12T00:00:00-07:00,1139.1875 kWh
2017-03-13T00:00:00-06:00,1540.8125 kWh
2017-03-14T00:00:00-06:00,1584 kWh
2017-03-15T00:00:00-06:00,1663.0625 kWh
2017-03-16T00:00:00-06:00,1677.5625 kWh
2017-03-17T00:00:00-06:00,1672.5 kWh
2017-03-18T00:00:00-06:00,1436.9375 kWh
2017-03-19T00:00:00-06:00,1455 kWh
2017-03-20T00:00:00-06:00,2108.1875 kWh
2017-03-21T00:00:00-06:00,2051.3125 kWh
2017-03-22T00:00:00-06:00,2062.8125 kWh
2017-03-23T00:00:00-06:00,2049.875 kWh
2017-03-24T00:00:00-06:00,2038.8125 kWh
2017-03-25T00:00:00-06:00,2007 kWh
2017-03-26T00:00:00-06:00,1995.5625 kWh
2017-03-27T00:00:00-06:00,2033.125 kWh
2017-03-28T00:00:00-06:00,2038.625 kWh
2017-03-29T00:00:00-06:00,3171.3125 kWh
2017-03-30T00:00:00-06:00,900.1875 kWh
2017-03-31T00:00:00-06:00,2017.1875 kWh
2017-04-01T00:00:00-06:00,1982.75 kWh
2017-04-02T00:00:00-06:00,1988 kWh
2017-04-03T00:00:00-06:00,2006.3125 kWh
2017-04-04T00:00:00-06:00,2021.75 kWh
2017-04-05T00:00:00-06:00,2023 kWh
2017-04-06T00:00:00-06:00,2020.0625 kWh
2017-04-07T00:00:00-06:00,2005.625 kWh
2017-04-08T00:00:00-06:00,1955.125 kWh
2017-04-09T00:00:00-06:00,1954.3125 kWh
2017-04-10T00:00:00-06:00,1994.125 kWh
2017-04-11T00:00:00-06:00,2001.6875 kWh
2017-04-12T00:00:00-06:00,2226.5 kWh
2017-04-13T00:00:00-06:00,3038.8125 kWh
2017-04-14T00:00:00-06:00,2122.375 kWh
2017-04-15T00:00:00-06:00,1463.4375 kWh
2017-04-16T00:00:00-06:00,1578.875 kWh
2017-04-17T00:00:00-06:00,2247.8125 kWh
2017-04-18T00:00:00-06:00,2632.125 kWh
2017-04-19T00:00:00-06:00,2122.5625 kWh
2017-04-20T00:00:00-06:00,2054.625 kWh
2017-04-21T00:00:00-06:00,2024.875 kWh
2017-04-22T00:00:00-06:00,1881.6875 kWh
2017-04-23T00:00:00-06:00,1944.5 kWh
2017-04-24T00:00:00-06:00,2006 kWh
2017-04-25T00:00:00-06:00,1891 kWh
2017-04-26T00:00:00-06:00,1700.125 kWh
2017-04-27T00:00:00-06:00,1639.25 kWh
2017-04-28T00:00:00-06:00,1626.125 kWh
2017-04-29T00:00:00-06:00,1527.875 kWh
2017-04-30T00:00:00-06:00,1584.375 kWh
2017-05-01T00:00:00-06:00,1876.2874755859375 kWh
2017-05-02T00:00:00-06:00,1901.5101318359375 kWh
2017-05-03T00:00:00-06:00,1857.280029296875 kWh
2017-05-04T00:00:00-06:00,2155.44970703125 kWh
2017-05-05T00:00:00-06:00,3520.9697265625 kWh
2017-05-06T00:00:00-06:00,3905.3505859375 kWh
2017-05-07T00:00:00-06:00,3304.759765625 kWh
2017-05-08T00:00:00-06:00,3219.26953125 kWh
2017-05-09T00:00:00-06:00,4096.041015625 kWh
2017-05-10T00:00:00-06:00,4045.138671875 kWh
2017-05-11T00:00:00-06:00,3448.55078125 kWh
2017-05-12T00:00:00-06:00,4324.779296875 kWh
2017-05-13T00:00:00-06:00,1496.03125 kWh
2017-05-14T00:00:00-06:00,1571.7578125 kWh
2017-05-15T00:00:00-06:00,1775.11328125 kWh
2017-05-16T00:00:00-06:00,1927.63671875 kWh
2017-05-17T00:00:00-06:00,1631.16015625 kWh
2017-05-18T00:00:00-06:00,1628.953125 kWh
2017-05-19T00:00:00-06:00,2451.5703125 kWh
2017-05-20T00:00:00-06:00,1579.12890625 kWh
2017-05-21T00:00:00-06:00,1685.9609375 kWh
2017-05-22T00:00:00-06:00,2680.296875 kWh
2017-05-23T00:00:00-06:00,4115.19140625 kWh
2017-05-24T00:00:00-06:00,4241.390625 kWh
2017-05-25T00:00:00-06:00,3503.765625 kWh
2017-05-26T00:00:00-06:00,3919.6953125 kWh
2017-05-27T00:00:00-06:00,2312.3359375 kWh
2017-05-28T00:00:00-06:00,4558.0234375 kWh
2017-05-29T00:00:00-06:00,4194.78125 kWh
2017-05-30T00:00:00-06:00,4356.9765625 kWh
2017-05-31T00:00:00-06:00,4459.21875 kWh
2017-06-01T00:00:00-06:00,4693.96875 kWh
2017-06-02T00:00:00-06:00,4225.6171875 kWh
2017-06-03T00:00:00-06:00,3470.8828125 kWh
2017-06-04T00:00:00-06:00,3585.28125 kWh
2017-06-05T00:00:00-06:00,4401.71875 kWh
2017-06-06T00:00:00-06:00,4192.953125 kWh
2017-06-07T00:00:00-06:00,4320.2734375 kWh
2017-06-08T00:00:00-06:00,4401.0234375 kWh
2017-06-09T00:00:00-06:00,3781.8828125 kWh
2017-06-10T00:00:00-06:00,3318.0546875 kWh
2017-06-11T00:00:00-06:00,3351.140625 kWh
2017-06-12T00:00:00-06:00,3440.390625 kWh
2017-06-13T00:00:00-06:00,2641.4375 kWh
2017-06-14T00:00:00-06:00,3941.875 kWh
2017-06-15T00:00:00-06:00,4090 kWh
2017-06-16T00:00:00-06:00,4251.21875 kWh
2017-06-17T00:00:00-06:00,3427.390625 kWh
2017-06-18T00:00:00-06:00,3371.40625 kWh
2017-06-19T00:00:00-06:00,4412.96875 kWh
2017-06-20T00:00:00-06:00,4645.703125 kWh
2017-06-21T00:00:00-06:00,4639 kWh
2017-06-22T00:00:00-06:00,1923.90625 kWh
2017-06-23T00:00:00-06:00,2240.59375 kWh
2017-06-24T00:00:00-06:00,2027.71875 kWh
2017-06-25T00:00:00-06:00,1519.65625 kWh
2017-06-26T00:00:00-06:00,4471.65625 kWh
2017-06-27T00:00:00-06:00,6197.328125 kWh
2017-06-28T00:00:00-06:00,6199.46875 kWh
2017-06-29T00:00:00-06:00,5602.828125 kWh
2017-06-30T00:00:00-06:00,5409.171875 kWh
2017-07-01T00:00:00-06:00,5283.671875 kWh
2017-07-02T00:00:00-06:00,5337.25 kWh
2017-07-03T00:00:00-06:00,5503.640625 kWh
2017-07-04T00:00:00-06:00,5511.859375 kWh
2017-07-05T00:00:00-06:00,5669.5625 kWh
2017-07-06T00:00:00-06:00,5796.09375 kWh
2017-07-07T00:00:00-06:00,5996.90625 kWh
2017-07-08T00:00:00-06:00,6058.265625 kWh
2017-07-09T00:00:00-06:00,6281.203125 kWh
2017-07-10T00:00:00-06:00,6158.875 kWh
2017-07-11T00:00:00-06:00,5689.84375 kWh
2017-07-12T00:00:00-06:00,5835.40625 kWh
2017-07-13T00:00:00-06:00,5974.6875 kWh
2017-07-14T00:00:00-06:00,5725.9375 kWh
2017-07-15T00:00:00-06:00,5680.96875 kWh
2017-07-16T00:00:00-06:00,5503.3125 kWh
2017-07-17T00:00:00-06:00,5830.3125 kWh
2017-07-18T00:00:00-06:00,5784.3125 kWh
2017-07-19T00:00:00-06:00,5544.53125 kWh
