Timestamp,['1d0db163-1d117b31 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 KW Total']
2017-01-01T00:00:00-07:00,90.68281555175781 kW
2017-01-02T00:00:00-07:00,97.92374420166016 kW
2017-01-03T00:00:00-07:00,105.64307403564453 kW
2017-01-04T00:00:00-07:00,101.68267822265625 kW
2017-01-05T00:00:00-07:00,109.70332336425781 kW
2017-01-06T00:00:00-07:00,100.63684844970703 kW
2017-01-07T00:00:00-07:00,96.43133544921875 kW
2017-01-08T00:00:00-07:00,91.5152359008789 kW
2017-01-09T00:00:00-07:00,107.53153228759766 kW
2017-01-10T00:00:00-07:00,104.45576477050781 kW
2017-01-11T00:00:00-07:00,100.42403411865234 kW
2017-01-12T00:00:00-07:00,110.03512573242188 kW
2017-01-13T00:00:00-07:00,99.98458099365234 kW
2017-01-14T00:00:00-07:00,89.34359741210938 kW
2017-01-15T00:00:00-07:00,106.83719635009766 kW
2017-01-16T00:00:00-07:00,104.10289001464844 kW
2017-01-17T00:00:00-07:00,93.80887603759766 kW
2017-01-18T00:00:00-07:00,105.15111541748047 kW
2017-01-19T00:00:00-07:00,105.81229400634766 kW
2017-01-20T00:00:00-07:00,106.93934631347656 kW
2017-01-21T00:00:00-07:00,96.35820007324219 kW
2017-01-22T00:00:00-07:00,98.50466918945312 kW
2017-01-23T00:00:00-07:00,99.98631286621094 kW
2017-01-24T00:00:00-07:00,101.22467803955078 kW
2017-01-25T00:00:00-07:00,104.01129913330078 kW
2017-01-26T00:00:00-07:00,102.09123992919922 kW
2017-01-27T00:00:00-07:00,112.83235168457031 kW
2017-01-28T00:00:00-07:00,99.25115203857422 kW
2017-01-29T00:00:00-07:00,82.17874908447266 kW
2017-01-30T00:00:00-07:00,104.19111633300781 kW
2017-01-31T00:00:00-07:00,110.05046844482422 kW
2017-02-01T00:00:00-07:00,110.79161071777344 kW
2017-02-02T00:00:00-07:00,106.46906280517578 kW
2017-02-03T00:00:00-07:00,104.81880187988281 kW
2017-02-07T00:00:00-07:00,100.86447143554688 kW
2017-02-08T00:00:00-07:00,110.58744812011719 kW
2017-02-09T00:00:00-07:00,117.658935546875 kW
2017-02-10T00:00:00-07:00,116.86637878417969 kW
2017-02-11T00:00:00-07:00,98.9734115600586 kW
2017-02-12T00:00:00-07:00,99.73983764648438 kW
2017-02-13T00:00:00-07:00,112.23316955566406 kW
2017-02-14T00:00:00-07:00,96.2236557006836 kW
2017-02-15T00:00:00-07:00,103.47269439697266 kW
2017-02-16T00:00:00-07:00,108.7612075805664 kW
2017-02-17T00:00:00-07:00,105.96839904785156 kW
2017-02-18T00:00:00-07:00,97.48202514648438 kW
2017-02-19T00:00:00-07:00,92.68531799316406 kW
2017-02-20T00:00:00-07:00,97.88105010986328 kW
2017-02-21T00:00:00-07:00,104.36796569824219 kW
2017-02-22T00:00:00-07:00,102.24092102050781 kW
2017-02-23T00:00:00-07:00,103.63783264160156 kW
2017-02-24T00:00:00-07:00,124.74063110351562 kW
2017-02-25T00:00:00-07:00,97.53797912597656 kW
2017-02-26T00:00:00-07:00,101.15753173828125 kW
2017-02-27T00:00:00-07:00,106.13832092285156 kW
2017-02-28T00:00:00-07:00,111.58929443359375 kW
2017-03-01T00:00:00-07:00,110.96431732177734 kW
2017-03-02T00:00:00-07:00,108.14188385009766 kW
2017-03-03T00:00:00-07:00,117.50470733642578 kW
2017-03-04T00:00:00-07:00,107.75798034667969 kW
2017-03-05T00:00:00-07:00,93.0230484008789 kW
2017-03-06T00:00:00-07:00,107.05158233642578 kW
2017-03-07T00:00:00-07:00,96.75260925292969 kW
2017-03-08T00:00:00-07:00,109.77429962158203 kW
2017-03-09T00:00:00-07:00,107.69295501708984 kW
2017-03-10T00:00:00-07:00,106.79756927490234 kW
2017-03-11T00:00:00-07:00,88.39617919921875 kW
2017-03-12T00:00:00-07:00,84.23949432373047 kW
2017-03-13T00:00:00-06:00,99.87986755371094 kW
2017-03-14T00:00:00-06:00,97.1323471069336 kW
2017-03-15T00:00:00-06:00,103.22147369384766 kW
2017-03-16T00:00:00-06:00,110.88241577148438 kW
2017-03-17T00:00:00-06:00,98.90122985839844 kW
2017-03-18T00:00:00-06:00,94.58976745605469 kW
2017-03-19T00:00:00-06:00,89.04013061523438 kW
2017-03-20T00:00:00-06:00,114.62393951416016 kW
2017-03-21T00:00:00-06:00,116.892578125 kW
2017-03-22T00:00:00-06:00,104.01190185546875 kW
2017-03-23T00:00:00-06:00,100.35316467285156 kW
2017-03-24T00:00:00-06:00,103.53113555908203 kW
2017-03-25T00:00:00-06:00,97.98564147949219 kW
2017-03-26T00:00:00-06:00,92.36276245117188 kW
2017-03-27T00:00:00-06:00,111.89907836914062 kW
2017-03-28T00:00:00-06:00,105.1524429321289 kW
2017-03-29T00:00:00-06:00,100.6256332397461 kW
2017-03-30T00:00:00-06:00,98.64747619628906 kW
2017-03-31T00:00:00-06:00,104.70598602294922 kW
2017-04-01T00:00:00-06:00,104.98360443115234 kW
2017-04-02T00:00:00-06:00,100.17408752441406 kW
2017-04-03T00:00:00-06:00,104.70790100097656 kW
2017-04-04T00:00:00-06:00,101.29973602294922 kW
