Timestamp,['1d0db2b5-6417c279 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 Current C']
2017-01-01T00:00:00-07:00,99.66411747932435 A
2017-01-02T00:00:00-07:00,100.99288279215494 A
2017-01-03T00:00:00-07:00,99.66254682011075 A
2017-01-04T00:00:00-07:00,105.2095694528499 A
2017-01-05T00:00:00-07:00,104.76631368001303 A
2017-01-06T00:00:00-07:00,81.24469525664003 A
2017-01-07T00:00:00-07:00,100.57028421994102 A
2017-01-08T00:00:00-07:00,93.67302010854085 A
2017-01-09T00:00:00-07:00,88.12131314807468 A
2017-01-10T00:00:00-07:00,87.87000790701973 A
2017-01-11T00:00:00-07:00,87.09812042978075 A
2017-01-12T00:00:00-07:00,88.94797996415032 A
2017-01-13T00:00:00-07:00,88.25202785332998 A
2017-01-14T00:00:00-07:00,76.53141152593824 A
2017-01-15T00:00:00-07:00,91.89990476767223 A
2017-01-16T00:00:00-07:00,98.61074630949233 A
2017-01-17T00:00:00-07:00,84.43214595582751 A
2017-01-18T00:00:00-07:00,95.39205704551954 A
2017-01-19T00:00:00-07:00,103.0307973437839 A
2017-01-20T00:00:00-07:00,96.86683755770596 A
2017-01-21T00:00:00-07:00,94.38344042036269 A
2017-01-22T00:00:00-07:00,94.05536982218425 A
2017-01-23T00:00:00-07:00,103.33617823918661 A
2017-01-24T00:00:00-07:00,94.32893177933163 A
2017-01-25T00:00:00-07:00,69.12168532477484 A
2017-01-26T00:00:00-07:00,93.68515879048242 A
2017-01-27T00:00:00-07:00,84.4685178067949 A
2017-01-28T00:00:00-07:00,81.467659468121 A
2017-01-29T00:00:00-07:00,63.72861178716024 A
2017-01-30T00:00:00-07:00,84.79161784383986 A
2017-01-31T00:00:00-07:00,89.89652734332614 A
2017-02-01T00:00:00-07:00,88.1340254412757 A
2017-02-02T00:00:00-07:00,86.86300279564328 A
2017-02-03T00:00:00-07:00,84.23552253145418 A
2017-02-07T00:00:00-07:00,91.0750715759363 A
2017-02-08T00:00:00-07:00,88.3512082059783 A
2017-02-09T00:00:00-07:00,90.06724779870775 A
