Timestamp,['1da98341-11a87245 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Volts B-N']
2017-01-01T00:00:00-07:00,280.8124574701837 V
2017-01-02T00:00:00-07:00,280.757771174113 V
2017-01-03T00:00:00-07:00,280.74611886342365 V
2017-01-04T00:00:00-07:00,280.5905485153198 V
2017-01-05T00:00:00-07:00,280.7820415496826 V
2017-01-06T00:00:00-07:00,280.60134569803876 V
2017-01-07T00:00:00-07:00,280.4903523127238 V
2017-01-08T00:00:00-07:00,280.2501338322957 V
2017-01-09T00:00:00-07:00,280.1323124567668 V
2017-01-10T00:00:00-07:00,280.21756140391034 V
2017-01-11T00:00:00-07:00,280.4211581548055 V
2017-01-12T00:00:00-07:00,280.433185895284 V
2017-01-13T00:00:00-07:00,280.58717282613117 V
2017-01-14T00:00:00-07:00,280.80502287546796 V
2017-01-15T00:00:00-07:00,280.1610864003499 V
2017-01-16T00:00:00-07:00,280.4700584010074 V
2017-01-17T00:00:00-07:00,280.3535334269206 V
2017-01-18T00:00:00-07:00,282.64359876844617 V
2017-01-19T00:00:00-07:00,283.5574661890666 V
2017-01-20T00:00:00-07:00,283.81419848370297 V
2017-01-21T00:00:00-07:00,283.6155080795288 V
2017-01-22T00:00:00-07:00,283.08248297373456 V
2017-01-23T00:00:00-07:00,283.40824762980145 V
2017-01-24T00:00:00-07:00,283.4847472508748 V
2017-01-25T00:00:00-07:00,283.4549773534139 V
2017-01-26T00:00:00-07:00,283.34110800425213 V
2017-01-27T00:00:00-07:00,283.4919144312541 V
2017-01-28T00:00:00-07:00,283.3192307154338 V
2017-01-29T00:00:00-07:00,283.269479115804 V
2017-01-30T00:00:00-07:00,283.6164429982503 V
2017-01-31T00:00:00-07:00,283.3784405390422 V
2017-02-01T00:00:00-07:00,283.46868228912354 V
2017-02-02T00:00:00-07:00,283.35064697265625 V
2017-02-03T00:00:00-07:00,283.2368991657839 V
2017-02-07T00:00:00-07:00,283.468017578125 V
2017-02-08T00:00:00-07:00,283.46323660518345 V
2017-02-09T00:00:00-07:00,283.2653805414836 V
2017-02-10T00:00:00-07:00,283.3589817682902 V
2017-02-11T00:00:00-07:00,283.2927261988322 V
2017-02-12T00:00:00-07:00,283.09229787190753 V
2017-02-13T00:00:00-07:00,283.4486147562663 V
2017-02-14T00:00:00-07:00,283.5011095548931 V
2017-02-15T00:00:00-07:00,283.4389982223511 V
2017-02-16T00:00:00-07:00,283.3915516535441 V
2017-02-17T00:00:00-07:00,283.5733229319255 V
2017-02-18T00:00:00-07:00,283.2616786956787 V
2017-02-19T00:00:00-07:00,283.3056933085124 V
2017-02-20T00:00:00-07:00,283.07275009155273 V
2017-02-21T00:00:00-07:00,283.21225875051397 V
2017-02-22T00:00:00-07:00,283.2610975901286 V
2017-02-23T00:00:00-07:00,283.16217072804767 V
2017-02-24T00:00:00-07:00,283.1639697426244 V
2017-02-25T00:00:00-07:00,283.15116024017334 V
2017-02-26T00:00:00-07:00,283.57191975911456 V
2017-02-27T00:00:00-07:00,283.58771800994873 V
2017-02-28T00:00:00-07:00,283.3017511367798 V
2017-03-01T00:00:00-07:00,283.3732261657715 V
2017-03-02T00:00:00-07:00,283.3443193435669 V
2017-03-03T00:00:00-07:00,283.0171489715576 V
2017-03-04T00:00:00-07:00,283.04596106211346 V
2017-03-05T00:00:00-07:00,283.0098527272542 V
2017-03-06T00:00:00-07:00,283.1257088979085 V
2017-03-07T00:00:00-07:00,283.2537949879964 V
2017-03-08T00:00:00-07:00,283.4718697865804 V
2017-03-09T00:00:00-07:00,283.2758944829305 V
2017-03-10T00:00:00-07:00,283.266827583313 V
2017-03-11T00:00:00-07:00,283.24106470743817 V
2017-03-12T00:00:00-07:00,282.96871981413466 V
2017-03-13T00:00:00-06:00,283.3589340845744 V
2017-03-14T00:00:00-06:00,283.2731927235921 V
2017-03-15T00:00:00-06:00,282.9097820081209 V
2017-03-16T00:00:00-06:00,283.45991611480713 V
2017-03-17T00:00:00-06:00,283.0317786534627 V
2017-03-18T00:00:00-06:00,283.35511175791424 V
2017-03-19T00:00:00-06:00,283.04927253723145 V
2017-03-20T00:00:00-06:00,282.9681355158488 V
2017-03-21T00:00:00-06:00,283.00277105967206 V
2017-03-22T00:00:00-06:00,283.14141652960524 V
2017-03-23T00:00:00-06:00,283.2311929066976 V
2017-03-24T00:00:00-06:00,283.6191151936849 V
2017-03-25T00:00:00-06:00,283.3958574660281 V
2017-03-26T00:00:00-06:00,283.00704924265546 V
2017-03-27T00:00:00-06:00,283.1975990931193 V
2017-03-28T00:00:00-06:00,283.40531762441 V
2017-03-29T00:00:00-06:00,283.30411614312067 V
2017-03-30T00:00:00-06:00,283.2199540571733 V
2017-03-31T00:00:00-06:00,283.1214008331299 V
2017-04-01T00:00:00-06:00,283.3689794540405 V
2017-04-02T00:00:00-06:00,283.352533280222 V
2017-04-03T00:00:00-06:00,283.140957514445 V
2017-04-04T00:00:00-06:00,283.2052637736003 V
2017-04-05T00:00:00-06:00,283.04293109001 V
2017-04-06T00:00:00-06:00,282.76480229695636 V
2017-04-07T00:00:00-06:00,283.01746877034503 V
2017-04-08T00:00:00-06:00,283.09317334493 V
2017-04-09T00:00:00-06:00,283.328955968221 V
2017-04-10T00:00:00-06:00,283.189860979716 V
2017-04-11T00:00:00-06:00,282.9571075439453 V
2017-04-12T00:00:00-06:00,282.7806116739909 V
2017-04-13T00:00:00-06:00,282.7567237218221 V
2017-04-14T00:00:00-06:00,282.89000701904297 V
2017-04-15T00:00:00-06:00,282.32457574208576 V
2017-04-16T00:00:00-06:00,283.2554346720378 V
2017-04-17T00:00:00-06:00,282.9924844106038 V
2017-04-18T00:00:00-06:00,282.8775877593666 V
2017-04-19T00:00:00-06:00,282.957984606425 V
2017-04-20T00:00:00-06:00,282.9314254124959 V
2017-04-21T00:00:00-06:00,282.41650613149005 V
2017-04-22T00:00:00-06:00,282.03406206766766 V
2017-04-23T00:00:00-06:00,282.4120804468791 V
2017-04-24T00:00:00-06:00,282.99779351552326 V
2017-04-25T00:00:00-06:00,282.78331025441486 V
2017-04-26T00:00:00-06:00,282.8362051645915 V
2017-04-27T00:00:00-06:00,283.1948505602385 V
2017-04-28T00:00:00-06:00,283.02243620219986 V
2017-04-29T00:00:00-06:00,283.2174545923869 V
2017-04-30T00:00:00-06:00,282.86097621917725 V
2017-05-01T00:00:00-06:00,283.0824193954468 V
2017-05-02T00:00:00-06:00,282.96723620096844 V
2017-05-03T00:00:00-06:00,282.9837245941162 V
2017-05-04T00:00:00-06:00,282.99986829255755 V
2017-05-05T00:00:00-06:00,283.1480363210042 V
2017-05-06T00:00:00-06:00,282.85057640075684 V
2017-05-07T00:00:00-06:00,282.9241126378377 V
2017-05-08T00:00:00-06:00,282.8994020502618 V
2017-05-09T00:00:00-06:00,282.98197663959706 V
2017-05-10T00:00:00-06:00,282.93569533030194 V
2017-05-11T00:00:00-06:00,282.58794625600177 V
2017-05-12T00:00:00-06:00,283.059876759847 V
2017-05-13T00:00:00-06:00,283.15894889831543 V
2017-05-14T00:00:00-06:00,282.55092843373615 V
2017-05-15T00:00:00-06:00,282.84818840026855 V
2017-05-16T00:00:00-06:00,283.1124212967722 V
2017-05-17T00:00:00-06:00,283.25710646311444 V
2017-05-18T00:00:00-06:00,282.8385254542033 V
2017-05-19T00:00:00-06:00,283.3380937576294 V
2017-05-20T00:00:00-06:00,283.05478223164874 V
2017-05-21T00:00:00-06:00,282.904047648112 V
2017-05-22T00:00:00-06:00,283.0901512228033 V
2017-05-23T00:00:00-06:00,282.83449681599933 V
2017-05-24T00:00:00-06:00,282.9376277923584 V
2017-05-25T00:00:00-06:00,283.05196475982666 V
2017-05-26T00:00:00-06:00,282.86072699228924 V
2017-05-27T00:00:00-06:00,282.860741297404 V
2017-05-28T00:00:00-06:00,282.9992160797119 V
2017-05-29T00:00:00-06:00,282.88708209991455 V
2017-05-30T00:00:00-06:00,282.99283599853516 V
2017-05-31T00:00:00-06:00,282.81781641642254 V
2017-06-01T00:00:00-06:00,283.2101027170817 V
2017-06-02T00:00:00-06:00,282.93920769942434 V
2017-06-03T00:00:00-06:00,282.97561804453534 V
2017-06-04T00:00:00-06:00,282.83653322855633 V
2017-06-05T00:00:00-06:00,282.8500347137451 V
2017-06-06T00:00:00-06:00,282.9334195454915 V
2017-06-07T00:00:00-06:00,282.8693609237671 V
2017-06-08T00:00:00-06:00,282.99403921763104 V
2017-06-09T00:00:00-06:00,282.7564862569173 V
2017-06-10T00:00:00-06:00,282.66378752390546 V
2017-06-11T00:00:00-06:00,282.8374999364217 V
2017-06-12T00:00:00-06:00,282.9561363855998 V
2017-06-13T00:00:00-06:00,282.7572542826335 V
2017-06-14T00:00:00-06:00,282.5480092366536 V
2017-06-15T00:00:00-06:00,282.6550718943278 V
2017-06-16T00:00:00-06:00,282.47012519836426 V
2017-06-17T00:00:00-06:00,282.55814838409424 V
2017-06-18T00:00:00-06:00,282.5230251948039 V
2017-06-19T00:00:00-06:00,282.4813601175944 V
2017-06-20T00:00:00-06:00,282.5117543538411 V
2017-06-21T00:00:00-06:00,282.32422161102295 V
2017-06-22T00:00:00-06:00,282.5585632324219 V
2017-06-23T00:00:00-06:00,282.49627621968585 V
2017-06-24T00:00:00-06:00,282.0058666865031 V
2017-06-25T00:00:00-06:00,282.5827137629191 V
2017-06-26T00:00:00-06:00,282.46404488881427 V
2017-06-27T00:00:00-06:00,282.72164217631024 V
2017-06-28T00:00:00-06:00,282.5567700068156 V
2017-06-29T00:00:00-06:00,282.7579708099365 V
2017-06-30T00:00:00-06:00,282.6375773747762 V
2017-07-01T00:00:00-06:00,282.5161329905192 V
2017-07-02T00:00:00-06:00,282.75669155325943 V
2017-07-03T00:00:00-06:00,282.5710509618123 V
2017-07-04T00:00:00-06:00,282.9977623621623 V
2017-07-05T00:00:00-06:00,282.72096729278564 V
2017-07-06T00:00:00-06:00,282.8559039433797 V
2017-07-07T00:00:00-06:00,282.66197872161865 V
2017-07-08T00:00:00-06:00,282.70634778340656 V
2017-07-09T00:00:00-06:00,282.7139148712158 V
2017-07-10T00:00:00-06:00,282.6999594370524 V
