Timestamp,['1da9834c-d2a8ee4d 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Volts C-N']
2017-01-01T00:00:00-07:00,281.13676777291806 V
2017-01-02T00:00:00-07:00,281.0044228235881 V
2017-01-03T00:00:00-07:00,280.9622122446696 V
2017-01-04T00:00:00-07:00,280.7369165420532 V
2017-01-05T00:00:00-07:00,280.9840730031331 V
2017-01-06T00:00:00-07:00,280.90081373850506 V
2017-01-07T00:00:00-07:00,280.72776858011883 V
2017-01-08T00:00:00-07:00,280.60650030771893 V
2017-01-09T00:00:00-07:00,280.38669459025067 V
2017-01-10T00:00:00-07:00,280.4975252151489 V
2017-01-11T00:00:00-07:00,280.75056234995526 V
2017-01-12T00:00:00-07:00,280.6986379623413 V
2017-01-13T00:00:00-07:00,280.84442043304443 V
2017-01-14T00:00:00-07:00,281.0820376078288 V
2017-01-15T00:00:00-07:00,280.46700700124103 V
2017-01-16T00:00:00-07:00,280.79352063630756 V
2017-01-17T00:00:00-07:00,280.69308280944824 V
2017-01-18T00:00:00-07:00,282.920097537157 V
2017-01-19T00:00:00-07:00,283.95081583658856 V
2017-01-20T00:00:00-07:00,284.0868668094758 V
2017-01-21T00:00:00-07:00,283.88120524088544 V
2017-01-22T00:00:00-07:00,283.3672504425049 V
2017-01-23T00:00:00-07:00,283.6793139775594 V
2017-01-24T00:00:00-07:00,283.7010272343953 V
2017-01-25T00:00:00-07:00,283.68127568562824 V
2017-01-26T00:00:00-07:00,283.5569197336833 V
2017-01-27T00:00:00-07:00,283.7078113555908 V
2017-01-28T00:00:00-07:00,283.65967082977295 V
2017-01-29T00:00:00-07:00,283.61152871449787 V
2017-01-30T00:00:00-07:00,283.9507945378621 V
2017-01-31T00:00:00-07:00,283.6306873957316 V
2017-02-01T00:00:00-07:00,283.75278600056964 V
2017-02-02T00:00:00-07:00,283.59820143381756 V
2017-02-03T00:00:00-07:00,283.4158294160487 V
2017-02-07T00:00:00-07:00,283.79163220463965 V
2017-02-08T00:00:00-07:00,283.8164839002821 V
2017-02-09T00:00:00-07:00,283.4783738454183 V
2017-02-10T00:00:00-07:00,283.6006565093994 V
2017-02-11T00:00:00-07:00,283.5060437520345 V
2017-02-12T00:00:00-07:00,283.28955205281574 V
2017-02-13T00:00:00-07:00,283.45096079508465 V
2017-02-14T00:00:00-07:00,283.4154791581003 V
2017-02-15T00:00:00-07:00,283.5633433659871 V
2017-02-16T00:00:00-07:00,283.46105162302655 V
2017-02-17T00:00:00-07:00,283.71062596638996 V
2017-02-18T00:00:00-07:00,283.4538240432739 V
2017-02-19T00:00:00-07:00,283.4793243408203 V
2017-02-20T00:00:00-07:00,283.28717708587646 V
2017-02-21T00:00:00-07:00,283.51498509457235 V
2017-02-22T00:00:00-07:00,283.3301699956258 V
2017-02-23T00:00:00-07:00,283.09159501393634 V
2017-02-24T00:00:00-07:00,283.1223598279451 V
2017-02-25T00:00:00-07:00,283.2071062723796 V
2017-02-26T00:00:00-07:00,283.60064188639325 V
2017-02-27T00:00:00-07:00,283.72730827331543 V
2017-02-28T00:00:00-07:00,283.38755734761554 V
2017-03-01T00:00:00-07:00,283.44037850697833 V
2017-03-02T00:00:00-07:00,283.50802453358966 V
2017-03-03T00:00:00-07:00,283.12902482350665 V
2017-03-04T00:00:00-07:00,282.98749351501465 V
2017-03-05T00:00:00-07:00,283.0069586435954 V
2017-03-06T00:00:00-07:00,283.15346813201904 V
2017-03-07T00:00:00-07:00,283.2480643590291 V
2017-03-08T00:00:00-07:00,283.4062547683716 V
2017-03-09T00:00:00-07:00,283.25203291575116 V
2017-03-10T00:00:00-07:00,283.1910692850749 V
2017-03-11T00:00:00-07:00,283.17957878112793 V
2017-03-12T00:00:00-07:00,282.924292522928 V
2017-03-13T00:00:00-06:00,283.34174760182697 V
2017-03-14T00:00:00-06:00,283.21152114868164 V
2017-03-15T00:00:00-06:00,282.77902799907486 V
2017-03-16T00:00:00-06:00,283.2931537628174 V
2017-03-17T00:00:00-06:00,282.95023409525555 V
2017-03-18T00:00:00-06:00,283.41628615061444 V
2017-03-19T00:00:00-06:00,283.17105770111084 V
2017-03-20T00:00:00-06:00,283.06734402974445 V
2017-03-21T00:00:00-06:00,283.07862663269043 V
2017-03-22T00:00:00-06:00,283.21522762900906 V
2017-03-23T00:00:00-06:00,283.2694552739461 V
2017-03-24T00:00:00-06:00,283.58111063639325 V
2017-03-25T00:00:00-06:00,283.304777754114 V
2017-03-26T00:00:00-06:00,282.96370061238605 V
2017-03-27T00:00:00-06:00,283.162366549174 V
2017-03-28T00:00:00-06:00,283.2530285517375 V
2017-03-29T00:00:00-06:00,283.16185082329645 V
2017-03-30T00:00:00-06:00,283.0338245738636 V
2017-03-31T00:00:00-06:00,283.00026925404865 V
2017-04-01T00:00:00-06:00,283.2724946339925 V
2017-04-02T00:00:00-06:00,283.1624646638569 V
2017-04-03T00:00:00-06:00,283.0677973429362 V
2017-04-04T00:00:00-06:00,283.0697743097941 V
2017-04-05T00:00:00-06:00,282.9809138521235 V
2017-04-06T00:00:00-06:00,282.7242685953776 V
2017-04-07T00:00:00-06:00,283.1064987182617 V
2017-04-08T00:00:00-06:00,283.1365435918172 V
2017-04-09T00:00:00-06:00,283.4879961013794 V
2017-04-10T00:00:00-06:00,283.288231531779 V
2017-04-11T00:00:00-06:00,283.2048085530599 V
2017-04-12T00:00:00-06:00,283.0089502334595 V
2017-04-13T00:00:00-06:00,282.95619519551593 V
2017-04-14T00:00:00-06:00,283.08030796051025 V
2017-04-15T00:00:00-06:00,282.3657913208008 V
2017-04-16T00:00:00-06:00,283.41343879699707 V
2017-04-17T00:00:00-06:00,283.0161415735881 V
2017-04-18T00:00:00-06:00,282.8802234280494 V
2017-04-19T00:00:00-06:00,282.9377861022949 V
2017-04-20T00:00:00-06:00,282.8062089284261 V
2017-04-21T00:00:00-06:00,282.12703641255695 V
2017-04-22T00:00:00-06:00,281.61708577473956 V
2017-04-23T00:00:00-06:00,282.14537143707275 V
2017-04-24T00:00:00-06:00,282.97676181793213 V
2017-04-25T00:00:00-06:00,282.73851648966473 V
2017-04-26T00:00:00-06:00,282.73652203877765 V
2017-04-27T00:00:00-06:00,283.006592760588 V
2017-04-28T00:00:00-06:00,282.88717233758223 V
2017-04-29T00:00:00-06:00,283.0455484390259 V
2017-04-30T00:00:00-06:00,282.671223004659 V
2017-05-01T00:00:00-06:00,282.87474822998047 V
2017-05-02T00:00:00-06:00,282.7242784500122 V
2017-05-03T00:00:00-06:00,282.76993147532147 V
2017-05-04T00:00:00-06:00,282.70231419613486 V
2017-05-05T00:00:00-06:00,282.90889008839923 V
2017-05-06T00:00:00-06:00,282.5660874048869 V
2017-05-07T00:00:00-06:00,282.7205533981323 V
2017-05-08T00:00:00-06:00,282.76064771286985 V
2017-05-09T00:00:00-06:00,283.0098317999589 V
2017-05-10T00:00:00-06:00,282.885568300883 V
2017-05-11T00:00:00-06:00,282.4687566757202 V
2017-05-12T00:00:00-06:00,282.9452199935913 V
2017-05-13T00:00:00-06:00,283.11329714457196 V
2017-05-14T00:00:00-06:00,282.45554637908936 V
2017-05-15T00:00:00-06:00,282.81706206003827 V
