Timestamp,['1da9839f-00dcbabb 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 KWH Received']
2017-01-01T00:00:00-07:00,699 kWh
2017-01-02T00:00:00-07:00,749 kWh
2017-01-03T00:00:00-07:00,783 kWh
2017-01-04T00:00:00-07:00,780 kWh
2017-01-05T00:00:00-07:00,791 kWh
2017-01-06T00:00:00-07:00,860 kWh
2017-01-07T00:00:00-07:00,930 kWh
2017-01-08T00:00:00-07:00,843 kWh
2017-01-09T00:00:00-07:00,862 kWh
2017-01-10T00:00:00-07:00,895 kWh
2017-01-11T00:00:00-07:00,901 kWh
2017-01-12T00:00:00-07:00,934 kWh
2017-01-13T00:00:00-07:00,1038 kWh
2017-01-14T00:00:00-07:00,937 kWh
2017-01-15T00:00:00-07:00,886 kWh
2017-01-16T00:00:00-07:00,952 kWh
2017-01-17T00:00:00-07:00,985 kWh
2017-01-18T00:00:00-07:00,880 kWh
2017-01-19T00:00:00-07:00,871 kWh
2017-01-20T00:00:00-07:00,1038 kWh
2017-01-21T00:00:00-07:00,858 kWh
2017-01-22T00:00:00-07:00,804 kWh
2017-01-23T00:00:00-07:00,854 kWh
2017-01-24T00:00:00-07:00,880 kWh
2017-01-25T00:00:00-07:00,883 kWh
2017-01-26T00:00:00-07:00,896 kWh
2017-01-27T00:00:00-07:00,1119 kWh
2017-01-28T00:00:00-07:00,1027 kWh
2017-01-29T00:00:00-07:00,968 kWh
2017-01-30T00:00:00-07:00,1024 kWh
2017-01-31T00:00:00-07:00,1027 kWh
2017-02-01T00:00:00-07:00,1106 kWh
2017-02-02T00:00:00-07:00,1165 kWh
2017-02-03T00:00:00-07:00,4928 kWh
2017-02-07T00:00:00-07:00,629 kWh
2017-02-08T00:00:00-07:00,1109 kWh
2017-02-09T00:00:00-07:00,1111 kWh
2017-02-10T00:00:00-07:00,1124 kWh
2017-02-11T00:00:00-07:00,1134 kWh
2017-02-12T00:00:00-07:00,1087 kWh
2017-02-13T00:00:00-07:00,1161 kWh
2017-02-14T00:00:00-07:00,1166 kWh
2017-02-15T00:00:00-07:00,1154 kWh
2017-02-16T00:00:00-07:00,1127 kWh
2017-02-17T00:00:00-07:00,1135 kWh
2017-02-18T00:00:00-07:00,1105 kWh
2017-02-19T00:00:00-07:00,1051 kWh
2017-02-20T00:00:00-07:00,1120 kWh
2017-02-21T00:00:00-07:00,1122 kWh
2017-02-22T00:00:00-07:00,1141 kWh
2017-02-23T00:00:00-07:00,1162 kWh
2017-02-24T00:00:00-07:00,1187 kWh
2017-02-25T00:00:00-07:00,1175 kWh
2017-02-26T00:00:00-07:00,1102 kWh
2017-02-27T00:00:00-07:00,1148 kWh
2017-02-28T00:00:00-07:00,1175 kWh
2017-03-01T00:00:00-07:00,1161 kWh
2017-03-02T00:00:00-07:00,1168 kWh
2017-03-03T00:00:00-07:00,1102 kWh
2017-03-04T00:00:00-07:00,1094 kWh
2017-03-05T00:00:00-07:00,1053 kWh
2017-03-06T00:00:00-07:00,1083 kWh
2017-03-07T00:00:00-07:00,1074 kWh
2017-03-08T00:00:00-07:00,1100 kWh
2017-03-09T00:00:00-07:00,1095 kWh
2017-03-10T00:00:00-07:00,1093 kWh
2017-03-11T00:00:00-07:00,1105 kWh
2017-03-12T00:00:00-07:00,1017 kWh
2017-03-13T00:00:00-06:00,1277 kWh
2017-03-14T00:00:00-06:00,1135 kWh
2017-03-15T00:00:00-06:00,1108 kWh
2017-03-16T00:00:00-06:00,1167 kWh
2017-03-17T00:00:00-06:00,1180 kWh
2017-03-18T00:00:00-06:00,1105 kWh
2017-03-19T00:00:00-06:00,1052 kWh
2017-03-20T00:00:00-06:00,1096 kWh
2017-03-21T00:00:00-06:00,1111 kWh
2017-03-22T00:00:00-06:00,1141 kWh
2017-03-23T00:00:00-06:00,1212 kWh
2017-03-24T00:00:00-06:00,1200 kWh
2017-03-25T00:00:00-06:00,2684 kWh
2017-03-26T00:00:00-06:00,1086 kWh
2017-03-27T00:00:00-06:00,1184 kWh
2017-03-28T00:00:00-06:00,1300 kWh
2017-03-29T00:00:00-06:00,2052 kWh
2017-03-30T00:00:00-06:00,612 kWh
2017-03-31T00:00:00-06:00,2524 kWh
2017-04-01T00:00:00-06:00,1232 kWh
2017-04-02T00:00:00-06:00,1177 kWh
2017-04-03T00:00:00-06:00,1234 kWh
2017-04-04T00:00:00-06:00,1311 kWh
2017-04-05T00:00:00-06:00,1303 kWh
2017-04-06T00:00:00-06:00,1286 kWh
2017-04-07T00:00:00-06:00,1237 kWh
2017-04-08T00:00:00-06:00,1243 kWh
2017-04-09T00:00:00-06:00,1148 kWh
2017-04-10T00:00:00-06:00,1267 kWh
2017-04-11T00:00:00-06:00,2309 kWh
2017-04-12T00:00:00-06:00,1336 kWh
2017-04-13T00:00:00-06:00,1299 kWh
2017-04-14T00:00:00-06:00,2053 kWh
2017-04-15T00:00:00-06:00,4937 kWh
2017-04-16T00:00:00-06:00,1231 kWh
2017-04-17T00:00:00-06:00,1739 kWh
2017-04-18T00:00:00-06:00,2240 kWh
2017-04-19T00:00:00-06:00,1338 kWh
2017-04-20T00:00:00-06:00,1601 kWh
2017-04-21T00:00:00-06:00,5098 kWh
2017-04-22T00:00:00-06:00,7439 kWh
2017-04-23T00:00:00-06:00,5346 kWh
2017-04-24T00:00:00-06:00,1931 kWh
2017-04-25T00:00:00-06:00,2029 kWh
2017-04-26T00:00:00-06:00,1358 kWh
2017-04-27T00:00:00-06:00,1373 kWh
2017-04-28T00:00:00-06:00,1393 kWh
2017-04-29T00:00:00-06:00,1419 kWh
2017-04-30T00:00:00-06:00,1371 kWh
2017-05-01T00:00:00-06:00,1355 kWh
2017-05-02T00:00:00-06:00,1360 kWh
2017-05-03T00:00:00-06:00,1380 kWh
2017-05-04T00:00:00-06:00,1396 kWh
2017-05-05T00:00:00-06:00,1443 kWh
2017-05-06T00:00:00-06:00,1510 kWh
2017-05-07T00:00:00-06:00,1442 kWh
2017-05-08T00:00:00-06:00,1410 kWh
2017-05-09T00:00:00-06:00,1412 kWh
2017-05-10T00:00:00-06:00,1413 kWh
2017-05-11T00:00:00-06:00,1452 kWh
2017-05-12T00:00:00-06:00,1461 kWh
2017-05-13T00:00:00-06:00,1430 kWh
2017-05-14T00:00:00-06:00,1368 kWh
2017-05-15T00:00:00-06:00,1385 kWh
2017-05-16T00:00:00-06:00,1366 kWh
2017-05-17T00:00:00-06:00,1352 kWh
2017-05-18T00:00:00-06:00,1346 kWh
2017-05-19T00:00:00-06:00,1336 kWh
2017-05-20T00:00:00-06:00,1420 kWh
2017-05-21T00:00:00-06:00,1375 kWh
2017-05-22T00:00:00-06:00,1390 kWh
2017-05-23T00:00:00-06:00,1425 kWh
2017-05-24T00:00:00-06:00,1448 kWh
2017-05-25T00:00:00-06:00,1405 kWh
2017-05-26T00:00:00-06:00,1384 kWh
2017-05-27T00:00:00-06:00,1416 kWh
2017-05-28T00:00:00-06:00,1396 kWh
2017-05-29T00:00:00-06:00,1424 kWh
2017-05-30T00:00:00-06:00,1488 kWh
2017-05-31T00:00:00-06:00,1497 kWh
2017-06-01T00:00:00-06:00,1431 kWh
2017-06-02T00:00:00-06:00,1398 kWh
2017-06-03T00:00:00-06:00,1467 kWh
2017-06-04T00:00:00-06:00,1464 kWh
2017-06-05T00:00:00-06:00,1465 kWh
2017-06-06T00:00:00-06:00,1472 kWh
2017-06-07T00:00:00-06:00,1520 kWh
2017-06-08T00:00:00-06:00,1498 kWh
2017-06-09T00:00:00-06:00,1452 kWh
2017-06-10T00:00:00-06:00,1441 kWh
2017-06-11T00:00:00-06:00,1454 kWh
2017-06-12T00:00:00-06:00,1619 kWh
2017-06-13T00:00:00-06:00,2470 kWh
2017-06-14T00:00:00-06:00,3333 kWh
2017-06-15T00:00:00-06:00,3278 kWh
2017-06-16T00:00:00-06:00,3570 kWh
2017-06-17T00:00:00-06:00,3666 kWh
2017-06-18T00:00:00-06:00,4592 kWh
2017-06-19T00:00:00-06:00,2761 kWh
2017-06-20T00:00:00-06:00,2555 kWh
2017-06-21T00:00:00-06:00,2761 kWh
2017-06-22T00:00:00-06:00,3154 kWh
2017-06-23T00:00:00-06:00,3575 kWh
2017-06-24T00:00:00-06:00,5559 kWh
2017-06-25T00:00:00-06:00,3514 kWh
2017-06-26T00:00:00-06:00,1483 kWh
2017-06-27T00:00:00-06:00,1479 kWh
2017-06-28T00:00:00-06:00,1390 kWh
2017-06-29T00:00:00-06:00,1368 kWh
2017-06-30T00:00:00-06:00,1341 kWh
2017-07-01T00:00:00-06:00,1356 kWh
2017-07-02T00:00:00-06:00,1351 kWh
2017-07-03T00:00:00-06:00,1516 kWh
2017-07-04T00:00:00-06:00,1396 kWh
2017-07-05T00:00:00-06:00,1384 kWh
2017-07-06T00:00:00-06:00,1381 kWh
2017-07-07T00:00:00-06:00,1380 kWh
2017-07-08T00:00:00-06:00,1369 kWh
2017-07-09T00:00:00-06:00,1303 kWh
2017-07-10T00:00:00-06:00,1357 kWh
2017-07-11T00:00:00-06:00,1355 kWh
2017-07-12T00:00:00-06:00,1357 kWh
2017-07-13T00:00:00-06:00,1393 kWh
2017-07-14T00:00:00-06:00,1384 kWh
2017-07-15T00:00:00-06:00,1391 kWh
2017-07-16T00:00:00-06:00,1384 kWh
2017-07-17T00:00:00-06:00,1464 kWh
2017-07-18T00:00:00-06:00,1468 kWh
2017-07-19T00:00:00-06:00,1464 kWh
2017-07-20T00:00:00-06:00,1440 kWh
2017-07-21T00:00:00-06:00,1438 kWh
2017-07-22T00:00:00-06:00,1445 kWh
2017-07-23T00:00:00-06:00,1391 kWh
2017-07-24T00:00:00-06:00,1427 kWh
2017-07-25T00:00:00-06:00,1366 kWh
2017-07-26T00:00:00-06:00,1367 kWh
2017-07-27T00:00:00-06:00,1394 kWh
2017-07-28T00:00:00-06:00,1357 kWh
2017-07-29T00:00:00-06:00,1373 kWh
2017-07-30T00:00:00-06:00,1333 kWh
2017-07-31T00:00:00-06:00,1422 kWh
2017-08-01T00:00:00-06:00,1512 kWh
2017-08-02T00:00:00-06:00,1539 kWh
2017-08-03T00:00:00-06:00,1512 kWh
2017-08-04T00:00:00-06:00,1523 kWh
2017-08-05T00:00:00-06:00,3256 kWh
2017-08-06T00:00:00-06:00,1434 kWh
2017-08-07T00:00:00-06:00,1429 kWh
2017-08-08T00:00:00-06:00,1352 kWh
2017-08-09T00:00:00-06:00,1398 kWh
2017-08-10T00:00:00-06:00,1334 kWh
2017-08-11T00:00:00-06:00,1347 kWh
2017-08-12T00:00:00-06:00,1386 kWh
2017-08-13T00:00:00-06:00,1310 kWh
2017-08-14T00:00:00-06:00,2431 kWh
2017-08-15T00:00:00-06:00,1310 kWh
2017-08-16T00:00:00-06:00,1770 kWh
2017-08-17T00:00:00-06:00,1364 kWh
2017-08-18T00:00:00-06:00,1489 kWh
2017-08-19T00:00:00-06:00,3102 kWh
2017-08-20T00:00:00-06:00,1321 kWh
2017-08-21T00:00:00-06:00,2166 kWh
2017-08-22T00:00:00-06:00,1386 kWh
2017-08-23T00:00:00-06:00,1801 kWh
2017-08-24T00:00:00-06:00,1422 kWh
2017-08-25T00:00:00-06:00,1491 kWh
2017-08-26T00:00:00-06:00,1481 kWh
2017-08-27T00:00:00-06:00,1365 kWh
2017-08-28T00:00:00-06:00,2113 kWh
2017-08-29T00:00:00-06:00,1419 kWh
2017-08-30T00:00:00-06:00,1859 kWh
2017-08-31T00:00:00-06:00,5742 kWh
2017-09-01T00:00:00-06:00,2456 kWh
2017-09-02T00:00:00-06:00,1493 kWh
2017-09-03T00:00:00-06:00,1512 kWh
2017-09-04T00:00:00-06:00,1560 kWh
2017-09-05T00:00:00-06:00,1661 kWh
2017-09-06T00:00:00-06:00,1760 kWh
2017-09-07T00:00:00-06:00,1583 kWh
2017-09-08T00:00:00-06:00,1528 kWh
2017-09-09T00:00:00-06:00,1463 kWh
2017-09-10T00:00:00-06:00,1450 kWh
2017-09-11T00:00:00-06:00,1644 kWh
2017-09-12T00:00:00-06:00,1808 kWh
2017-09-13T00:00:00-06:00,1519 kWh
2017-09-14T00:00:00-06:00,1515 kWh
2017-09-15T00:00:00-06:00,1561 kWh
2017-09-16T00:00:00-06:00,4990 kWh
2017-09-17T00:00:00-06:00,3260 kWh
2017-09-18T00:00:00-06:00,1490 kWh
2017-09-19T00:00:00-06:00,1400 kWh
2017-09-20T00:00:00-06:00,1414 kWh
2017-09-21T00:00:00-06:00,1554 kWh
2017-09-22T00:00:00-06:00,1395 kWh
2017-09-23T00:00:00-06:00,1210 kWh
2017-09-24T00:00:00-06:00,1194 kWh
2017-09-25T00:00:00-06:00,1293 kWh
2017-09-26T00:00:00-06:00,1288 kWh
2017-09-27T00:00:00-06:00,1319 kWh
2017-09-28T00:00:00-06:00,1883 kWh
2017-09-29T00:00:00-06:00,1336 kWh
2017-09-30T00:00:00-06:00,1263 kWh
2017-10-01T00:00:00-06:00,1223 kWh
2017-10-02T00:00:00-06:00,1236 kWh
2017-10-03T00:00:00-06:00,1350 kWh
2017-10-04T00:00:00-06:00,1257 kWh
2017-10-05T00:00:00-06:00,1284 kWh
2017-10-06T00:00:00-06:00,1478 kWh
2017-10-07T00:00:00-06:00,4836 kWh
2017-10-08T00:00:00-06:00,3323 kWh
2017-10-09T00:00:00-06:00,1664 kWh
2017-10-10T00:00:00-06:00,1339 kWh
2017-10-11T00:00:00-06:00,1291 kWh
2017-10-12T00:00:00-06:00,1202 kWh
2017-10-13T00:00:00-06:00,1193 kWh
2017-10-14T00:00:00-06:00,1119 kWh
2017-10-15T00:00:00-06:00,1128 kWh
2017-10-16T00:00:00-06:00,1187 kWh
2017-10-17T00:00:00-06:00,1313 kWh
2017-10-18T00:00:00-06:00,1338 kWh
2017-10-19T00:00:00-06:00,1325 kWh
2017-10-20T00:00:00-06:00,1402 kWh
2017-10-21T00:00:00-06:00,7055 kWh
2017-10-22T00:00:00-06:00,1194 kWh
2017-10-23T00:00:00-06:00,1895 kWh
2017-10-24T00:00:00-06:00,1395 kWh
2017-10-25T00:00:00-06:00,1849 kWh
2017-10-26T00:00:00-06:00,1334 kWh
2017-10-27T00:00:00-06:00,1184 kWh
2017-10-28T00:00:00-06:00,1183 kWh
2017-10-29T00:00:00-06:00,1150 kWh
2017-10-30T00:00:00-06:00,1323 kWh
2017-10-31T00:00:00-06:00,1173 kWh
2017-11-01T00:00:00-06:00,1282 kWh
2017-11-02T00:00:00-06:00,1744 kWh
2017-11-03T00:00:00-06:00,6434 kWh
2017-11-04T00:00:00-06:00,2568 kWh
2017-11-05T00:00:00-06:00,1070 kWh
2017-11-06T00:00:00-07:00,1287 kWh
2017-11-07T00:00:00-07:00,1255 kWh
2017-11-08T00:00:00-07:00,1793 kWh
2017-11-09T00:00:00-07:00,3758 kWh
2017-11-10T00:00:00-07:00,5010 kWh
2017-11-11T00:00:00-07:00,6220 kWh
2017-11-12T00:00:00-07:00,1221 kWh
2017-11-13T00:00:00-07:00,1539 kWh
2017-11-14T00:00:00-07:00,1217 kWh
2017-11-15T00:00:00-07:00,1205 kWh
2017-11-16T00:00:00-07:00,1188 kWh
2017-11-17T00:00:00-07:00,6675 kWh
2017-11-18T00:00:00-07:00,1986 kWh
2017-11-19T00:00:00-07:00,1232 kWh
2017-11-20T00:00:00-07:00,1258 kWh
2017-11-21T00:00:00-07:00,1285 kWh
2017-11-22T00:00:00-07:00,1199 kWh
2017-11-23T00:00:00-07:00,1155 kWh
2017-11-24T00:00:00-07:00,1196 kWh
2017-11-25T00:00:00-07:00,5414 kWh
2017-11-26T00:00:00-07:00,2819 kWh
2017-11-27T00:00:00-07:00,1792 kWh
2017-11-28T00:00:00-07:00,1205 kWh
2017-11-29T00:00:00-07:00,1401 kWh
2017-11-30T00:00:00-07:00,1298 kWh
2017-12-01T00:00:00-07:00,1196 kWh
2017-12-02T00:00:00-07:00,1114 kWh
2017-12-03T00:00:00-07:00,1126 kWh
2017-12-04T00:00:00-07:00,1247 kWh
2017-12-05T00:00:00-07:00,1271 kWh
2017-12-06T00:00:00-07:00,1290 kWh
2017-12-07T00:00:00-07:00,1215 kWh
2017-12-08T00:00:00-07:00,1405 kWh
2017-12-09T00:00:00-07:00,1120 kWh
2017-12-10T00:00:00-07:00,1112 kWh
2017-12-11T00:00:00-07:00,1117 kWh
2017-12-12T00:00:00-07:00,1166 kWh
2017-12-13T00:00:00-07:00,1103 kWh
2017-12-14T00:00:00-07:00,1123 kWh
2017-12-15T00:00:00-07:00,1141 kWh
2017-12-16T00:00:00-07:00,1103 kWh
2017-12-17T00:00:00-07:00,1102 kWh
2017-12-18T00:00:00-07:00,1145 kWh
2017-12-19T00:00:00-07:00,1144 kWh
2017-12-20T00:00:00-07:00,1166 kWh
2017-12-21T00:00:00-07:00,1159 kWh
2017-12-22T00:00:00-07:00,1140 kWh
2017-12-23T00:00:00-07:00,1103 kWh
2017-12-24T00:00:00-07:00,1112 kWh
2017-12-25T00:00:00-07:00,1131 kWh
2017-12-26T00:00:00-07:00,1128 kWh
2017-12-27T00:00:00-07:00,1135 kWh
2017-12-28T00:00:00-07:00,1148 kWh
2017-12-29T00:00:00-07:00,1147 kWh
2017-12-30T00:00:00-07:00,1085 kWh
2017-12-31T00:00:00-07:00,1111 kWh
