Timestamp,"['1da983a9-b0ef8d83 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,31.881345748901367 kW
2017-01-02T00:00:00-07:00,34.481597900390625 kW
2017-01-03T00:00:00-07:00,53.51800537109375 kW
2017-01-04T00:00:00-07:00,38.55589294433594 kW
2017-01-05T00:00:00-07:00,35.81827163696289 kW
2017-01-06T00:00:00-07:00,41.29998016357422 kW
2017-01-07T00:00:00-07:00,42.80475997924805 kW
2017-01-08T00:00:00-07:00,37.94330978393555 kW
2017-01-09T00:00:00-07:00,39.989830017089844 kW
2017-01-10T00:00:00-07:00,44.34385299682617 kW
2017-01-11T00:00:00-07:00,42.81125259399414 kW
2017-01-12T00:00:00-07:00,42.714603424072266 kW
2017-01-13T00:00:00-07:00,69.45242309570312 kW
2017-01-14T00:00:00-07:00,44.98566436767578 kW
2017-01-15T00:00:00-07:00,42.595855712890625 kW
2017-01-16T00:00:00-07:00,43.00476837158203 kW
2017-01-17T00:00:00-07:00,47.95889663696289 kW
2017-01-18T00:00:00-07:00,42.2530403137207 kW
2017-01-19T00:00:00-07:00,41.24040603637695 kW
2017-01-20T00:00:00-07:00,67.68403625488281 kW
2017-01-21T00:00:00-07:00,39.96974182128906 kW
2017-01-22T00:00:00-07:00,37.082191467285156 kW
2017-01-23T00:00:00-07:00,41.598899841308594 kW
2017-01-24T00:00:00-07:00,39.6679801940918 kW
2017-01-25T00:00:00-07:00,39.902713775634766 kW
2017-01-26T00:00:00-07:00,40.978126525878906 kW
2017-01-27T00:00:00-07:00,73.02450561523438 kW
2017-01-28T00:00:00-07:00,46.47544860839844 kW
2017-01-29T00:00:00-07:00,45.628353118896484 kW
2017-01-30T00:00:00-07:00,45.99437713623047 kW
2017-01-31T00:00:00-07:00,46.52931594848633 kW
2017-02-01T00:00:00-07:00,51.9542350769043 kW
2017-02-02T00:00:00-07:00,52.28928756713867 kW
2017-02-03T00:00:00-07:00,49.915000915527344 kW
2017-02-07T00:00:00-07:00,51.54575729370117 kW
2017-02-08T00:00:00-07:00,50.40427780151367 kW
2017-02-09T00:00:00-07:00,50.61812210083008 kW
2017-02-10T00:00:00-07:00,54.06047821044922 kW
2017-02-11T00:00:00-07:00,52.241477966308594 kW
2017-02-12T00:00:00-07:00,47.17988586425781 kW
2017-02-13T00:00:00-07:00,52.48154067993164 kW
2017-02-14T00:00:00-07:00,51.41899108886719 kW
2017-02-15T00:00:00-07:00,50.70672607421875 kW
2017-02-16T00:00:00-07:00,50.61393737792969 kW
2017-02-17T00:00:00-07:00,50.2352409362793 kW
2017-02-18T00:00:00-07:00,49.7838249206543 kW
2017-02-19T00:00:00-07:00,46.747467041015625 kW
2017-02-20T00:00:00-07:00,50.50166320800781 kW
2017-02-21T00:00:00-07:00,50.552494049072266 kW
2017-02-22T00:00:00-07:00,50.29308319091797 kW
2017-02-23T00:00:00-07:00,51.638389587402344 kW
2017-02-24T00:00:00-07:00,52.60773468017578 kW
2017-02-25T00:00:00-07:00,52.3260498046875 kW
2017-02-26T00:00:00-07:00,49.07878112792969 kW
2017-02-27T00:00:00-07:00,50.99061965942383 kW
2017-02-28T00:00:00-07:00,51.27342224121094 kW
2017-03-01T00:00:00-07:00,50.639923095703125 kW
2017-03-02T00:00:00-07:00,54.71406173706055 kW
2017-03-03T00:00:00-07:00,71.8338623046875 kW
2017-03-04T00:00:00-07:00,50.28371810913086 kW
2017-03-05T00:00:00-07:00,47.250797271728516 kW
2017-03-06T00:00:00-07:00,49.31804275512695 kW
2017-03-07T00:00:00-07:00,47.42982482910156 kW
2017-03-08T00:00:00-07:00,49.241519927978516 kW
2017-03-09T00:00:00-07:00,50.31742477416992 kW
2017-03-10T00:00:00-07:00,48.288211822509766 kW
2017-03-11T00:00:00-07:00,50.12229537963867 kW
2017-03-12T00:00:00-07:00,47.586387634277344 kW
2017-03-13T00:00:00-06:00,60.639625549316406 kW
2017-03-14T00:00:00-06:00,55.51200866699219 kW
2017-03-15T00:00:00-06:00,50.80636215209961 kW
2017-03-16T00:00:00-06:00,57.09851837158203 kW
2017-03-17T00:00:00-06:00,56.82925033569336 kW
2017-03-18T00:00:00-06:00,51.61443328857422 kW
2017-03-19T00:00:00-06:00,46.947025299072266 kW
2017-03-20T00:00:00-06:00,49.34056854248047 kW
2017-03-21T00:00:00-06:00,49.878211975097656 kW
2017-03-22T00:00:00-06:00,101.6049575805664 kW
2017-03-23T00:00:00-06:00,56.95506286621094 kW
2017-03-24T00:00:00-06:00,95.0091323852539 kW
2017-03-25T00:00:00-06:00,309.32647705078125 kW
2017-03-26T00:00:00-06:00,51.80121612548828 kW
2017-03-27T00:00:00-06:00,110.10050964355469 kW
2017-03-28T00:00:00-06:00,65.27809143066406 kW
2017-03-29T00:00:00-06:00,61.66803741455078 kW
2017-03-30T00:00:00-06:00,153.6373291015625 kW
2017-03-31T00:00:00-06:00,320.86639404296875 kW
2017-04-01T00:00:00-06:00,59.37644577026367 kW
2017-04-02T00:00:00-06:00,56.332340240478516 kW
2017-04-03T00:00:00-06:00,57.832618713378906 kW
2017-04-04T00:00:00-06:00,60.86030578613281 kW
2017-04-05T00:00:00-06:00,61.528831481933594 kW
2017-04-06T00:00:00-06:00,105.89590454101562 kW
2017-04-07T00:00:00-06:00,57.99654006958008 kW
2017-04-08T00:00:00-06:00,61.87008285522461 kW
2017-04-09T00:00:00-06:00,53.36386489868164 kW
2017-04-10T00:00:00-06:00,60.08389663696289 kW
2017-04-11T00:00:00-06:00,326.39630126953125 kW
2017-04-12T00:00:00-06:00,108.4776840209961 kW
2017-04-13T00:00:00-06:00,60.71775817871094 kW
2017-04-14T00:00:00-06:00,122.22323608398438 kW
2017-04-15T00:00:00-06:00,435.7308044433594 kW
2017-04-16T00:00:00-06:00,56.311187744140625 kW
2017-04-17T00:00:00-06:00,318.12115478515625 kW
2017-04-18T00:00:00-06:00,117.52440643310547 kW
2017-04-19T00:00:00-06:00,113.33464050292969 kW
2017-04-20T00:00:00-06:00,121.22842407226562 kW
2017-04-21T00:00:00-06:00,536.2452392578125 kW
2017-04-22T00:00:00-06:00,692.0182495117188 kW
2017-04-23T00:00:00-06:00,367.047119140625 kW
2017-04-24T00:00:00-06:00,137.6529083251953 kW
2017-04-25T00:00:00-06:00,114.59610748291016 kW
2017-04-26T00:00:00-06:00,67.41053009033203 kW
2017-04-27T00:00:00-06:00,148.86105346679688 kW
2017-04-28T00:00:00-06:00,63.009185791015625 kW
2017-04-29T00:00:00-06:00,67.59593200683594 kW
2017-04-30T00:00:00-06:00,63.26356887817383 kW
2017-05-01T00:00:00-06:00,62.77034378051758 kW
