Timestamp,['1daaa8fa-b9ff00ad 0037-ARCHITECTURE BLDG Power Meter (301159) Current A']
2017-01-01T00:00:00-07:00,17.646195352077484 A
2017-01-02T00:00:00-07:00,17.094515065352123 A
2017-01-03T00:00:00-07:00,23.917611320813496 A
2017-01-04T00:00:00-07:00,22.62665828069051 A
2017-01-05T00:00:00-07:00,24.915746649106342 A
2017-01-06T00:00:00-07:00,26.034021417299908 A
2017-01-07T00:00:00-07:00,21.689219097296398 A
2017-01-08T00:00:00-07:00,22.568443695704143 A
2017-01-09T00:00:00-07:00,36.0451468427976 A
2017-01-10T00:00:00-07:00,40.939703146616615 A
2017-01-11T00:00:00-07:00,43.497669756412506 A
2017-01-12T00:00:00-07:00,42.32846506436666 A
2017-01-13T00:00:00-07:00,39.187462309996285 A
2017-01-14T00:00:00-07:00,26.24057028690974 A
2017-01-15T00:00:00-07:00,27.481290102005005 A
2017-01-16T00:00:00-07:00,31.07661195596059 A
2017-01-17T00:00:00-07:00,46.782959381739296 A
2017-01-18T00:00:00-07:00,42.34831416897657 A
2017-01-19T00:00:00-07:00,44.862065295378365 A
2017-01-20T00:00:00-07:00,36.21162750900432 A
2017-01-21T00:00:00-07:00,26.432628492514294 A
2017-01-22T00:00:00-07:00,29.13011360168457 A
2017-01-23T00:00:00-07:00,42.2990697423617 A
2017-01-24T00:00:00-07:00,39.32500477631887 A
2017-01-25T00:00:00-07:00,39.96831029653549 A
2017-01-26T00:00:00-07:00,38.87909229596456 A
2017-01-27T00:00:00-07:00,39.890077114105225 A
2017-01-28T00:00:00-07:00,26.419091403484344 A
2017-01-29T00:00:00-07:00,25.310017585754395 A
2017-01-30T00:00:00-07:00,44.66684559981028 A
2017-01-31T00:00:00-07:00,41.15752613544464 A
2017-02-01T00:00:00-07:00,42.2173246939977 A
2017-02-02T00:00:00-07:00,47.11715098222097 A
2017-02-03T00:00:00-07:00,41.91757300694783 A
2017-02-07T00:00:00-07:00,55.18298381307851 A
2017-02-08T00:00:00-07:00,40.49143820868598 A
2017-02-09T00:00:00-07:00,42.87926199038824 A
2017-02-10T00:00:00-07:00,40.5752192735672 A
2017-02-11T00:00:00-07:00,29.6917289296786 A
2017-02-12T00:00:00-07:00,30.46865822871526 A
2017-02-13T00:00:00-07:00,48.42745323975881 A
2017-02-14T00:00:00-07:00,48.55202269303171 A
2017-02-15T00:00:00-07:00,49.87134071191152 A
