Timestamp,['1daaa900-9475dbe4 0037-ARCHITECTURE BLDG Power Meter (301159) Current B']
2017-01-01T00:00:00-07:00,21.825561861197155 A
2017-01-02T00:00:00-07:00,19.74773569901784 A
2017-01-03T00:00:00-07:00,27.988329033056896 A
2017-01-04T00:00:00-07:00,28.295509934425354 A
2017-01-05T00:00:00-07:00,28.607727885246277 A
2017-01-06T00:00:00-07:00,29.596425135930378 A
2017-01-07T00:00:00-07:00,29.50630835692088 A
2017-01-08T00:00:00-07:00,28.590377191702526 A
2017-01-09T00:00:00-07:00,38.156536877155304 A
2017-01-10T00:00:00-07:00,40.62652885913849 A
2017-01-11T00:00:00-07:00,42.985326091448464 A
2017-01-12T00:00:00-07:00,43.8210742076238 A
2017-01-13T00:00:00-07:00,41.113247752189636 A
2017-01-14T00:00:00-07:00,29.01885469754537 A
2017-01-15T00:00:00-07:00,29.69252602259318 A
2017-01-16T00:00:00-07:00,32.403326988220215 A
2017-01-17T00:00:00-07:00,52.64292071262995 A
2017-01-18T00:00:00-07:00,48.004430219351526 A
2017-01-19T00:00:00-07:00,51.01373020807902 A
2017-01-20T00:00:00-07:00,40.000910789735855 A
2017-01-21T00:00:00-07:00,32.93389105796814 A
2017-01-22T00:00:00-07:00,35.50022292137146 A
2017-01-23T00:00:00-07:00,46.22884472211202 A
2017-01-24T00:00:00-07:00,43.46062125762304 A
2017-01-25T00:00:00-07:00,43.502881129582725 A
2017-01-26T00:00:00-07:00,41.19487206141154 A
2017-01-27T00:00:00-07:00,40.816181202729545 A
2017-01-28T00:00:00-07:00,26.958330591519672 A
2017-01-29T00:00:00-07:00,27.14263391494751 A
2017-01-30T00:00:00-07:00,48.54272882143656 A
2017-01-31T00:00:00-07:00,46.50090859333674 A
2017-02-01T00:00:00-07:00,46.22363958756129 A
2017-02-02T00:00:00-07:00,48.489342391490936 A
2017-02-03T00:00:00-07:00,42.226905059814456 A
2017-02-07T00:00:00-07:00,62.95099100859269 A
2017-02-08T00:00:00-07:00,46.30734757317437 A
2017-02-09T00:00:00-07:00,52.894856890042625 A
2017-02-10T00:00:00-07:00,43.075016836325325 A
2017-02-11T00:00:00-07:00,34.1641317208608 A
2017-02-12T00:00:00-07:00,32.91192456086477 A
2017-02-13T00:00:00-07:00,49.81864605347315 A
2017-02-14T00:00:00-07:00,46.45720399555407 A
2017-02-15T00:00:00-07:00,50.71152913570404 A
2017-02-16T00:00:00-07:00,54.640226324399315 A
2017-02-17T00:00:00-07:00,47.078558802604675 A
2017-02-18T00:00:00-07:00,38.07348374525706 A
2017-02-19T00:00:00-07:00,36.2142718633016 A
2017-02-20T00:00:00-07:00,31.82256692647934 A
2017-02-21T00:00:00-07:00,52.81083154678345 A
2017-02-22T00:00:00-07:00,54.190043886502586 A
2017-02-23T00:00:00-07:00,52.700448314348854 A
2017-02-24T00:00:00-07:00,40.71647365469681 A
2017-02-25T00:00:00-07:00,30.321998596191406 A
2017-02-26T00:00:00-07:00,31.211352586746216 A
2017-02-27T00:00:00-07:00,60.6017921368281 A
2017-02-28T00:00:00-07:00,55.41399359703064 A
2017-03-01T00:00:00-07:00,58.12177975972494 A
2017-03-02T00:00:00-07:00,64.1938043832779 A
2017-03-03T00:00:00-07:00,47.16297250986099 A
2017-03-04T00:00:00-07:00,37.34705710411072 A
2017-03-05T00:00:00-07:00,33.16602476437887 A
2017-03-06T00:00:00-07:00,53.66288630167643 A
2017-03-07T00:00:00-07:00,56.97064892450968 A
2017-03-08T00:00:00-07:00,53.42898448308309 A
2017-03-09T00:00:00-07:00,49.40657079219818 A
2017-03-10T00:00:00-07:00,44.26095666488012 A
2017-03-11T00:00:00-07:00,36.70965927839279 A
2017-03-12T00:00:00-07:00,32.76008056557697 A
2017-03-13T00:00:00-06:00,36.207474172115326 A
2017-03-14T00:00:00-06:00,37.05943628152212 A
2017-03-15T00:00:00-06:00,37.164069871107735 A
2017-03-16T00:00:00-06:00,37.75833481550217 A
2017-03-17T00:00:00-06:00,33.187340259552 A
2017-03-18T00:00:00-06:00,25.08503168821335 A
2017-03-19T00:00:00-06:00,25.495841761430103 A
2017-03-20T00:00:00-06:00,46.09470678630628 A
2017-03-21T00:00:00-06:00,47.869964519299955 A
2017-03-22T00:00:00-06:00,48.946407894293465 A
2017-03-23T00:00:00-06:00,51.65948359171549 A
2017-03-24T00:00:00-06:00,49.77569345633189 A
2017-03-25T00:00:00-06:00,35.623181422551475 A
2017-03-26T00:00:00-06:00,33.18837821483612 A
2017-03-27T00:00:00-06:00,56.33506699403127 A
2017-03-28T00:00:00-06:00,49.21191551287969 A
2017-03-29T00:00:00-06:00,57.521035512288414 A
2017-03-30T00:00:00-06:00,62.75173196127248 A
2017-03-31T00:00:00-06:00,48.45517557859421 A
2017-04-01T00:00:00-06:00,35.48872677485148 A
2017-04-02T00:00:00-06:00,37.73234995206197 A
2017-04-03T00:00:00-06:00,54.574851393699646 A
2017-04-04T00:00:00-06:00,49.5036341547966 A
2017-04-05T00:00:00-06:00,56.464138984680176 A
2017-04-06T00:00:00-06:00,55.763814210891724 A
2017-04-07T00:00:00-06:00,52.07435135046641 A
2017-04-08T00:00:00-06:00,41.22260310252508 A
2017-04-09T00:00:00-06:00,40.78607181708018 A
2017-04-10T00:00:00-06:00,63.74959792693456 A
2017-04-11T00:00:00-06:00,51.78704311450323 A
2017-04-12T00:00:00-06:00,58.548338969548546 A
2017-04-13T00:00:00-06:00,57.740628361701965 A
2017-04-14T00:00:00-06:00,56.65568359692892 A
