Timestamp,['1daaa933-19e48a35 0037-ARCHITECTURE BLDG Power Meter (301159) KWH Received']
2017-01-01T00:00:00-07:00,148.375 kWh
2017-01-02T00:00:00-07:00,142.1875 kWh
2017-01-03T00:00:00-07:00,204.75 kWh
2017-01-04T00:00:00-07:00,197 kWh
2017-01-05T00:00:00-07:00,203.6875 kWh
2017-01-06T00:00:00-07:00,215.5 kWh
2017-01-07T00:00:00-07:00,195.3125 kWh
2017-01-08T00:00:00-07:00,201.5 kWh
2017-01-09T00:00:00-07:00,289.1875 kWh
2017-01-10T00:00:00-07:00,316.5625 kWh
2017-01-11T00:00:00-07:00,331.4375 kWh
2017-01-12T00:00:00-07:00,335.3125 kWh
2017-01-13T00:00:00-07:00,318.9375 kWh
2017-01-14T00:00:00-07:00,217.625 kWh
2017-01-15T00:00:00-07:00,224.0625 kWh
2017-01-16T00:00:00-07:00,241.4375 kWh
2017-01-17T00:00:00-07:00,404.625 kWh
2017-01-18T00:00:00-07:00,386.125 kWh
2017-01-19T00:00:00-07:00,386.75 kWh
2017-01-20T00:00:00-07:00,307.25 kWh
2017-01-21T00:00:00-07:00,232.8125 kWh
2017-01-22T00:00:00-07:00,246.1875 kWh
2017-01-23T00:00:00-07:00,354.75 kWh
2017-01-24T00:00:00-07:00,331.1875 kWh
2017-01-25T00:00:00-07:00,336.5 kWh
2017-01-26T00:00:00-07:00,307.9375 kWh
2017-01-27T00:00:00-07:00,316.5625 kWh
2017-01-28T00:00:00-07:00,211.0625 kWh
2017-01-29T00:00:00-07:00,206.8125 kWh
2017-01-30T00:00:00-07:00,364.6875 kWh
2017-01-31T00:00:00-07:00,348.75 kWh
2017-02-01T00:00:00-07:00,350.875 kWh
2017-02-02T00:00:00-07:00,372.25 kWh
2017-02-03T00:00:00-07:00,1465.9375 kWh
2017-02-07T00:00:00-07:00,259.75 kWh
2017-02-08T00:00:00-07:00,354.8125 kWh
2017-02-09T00:00:00-07:00,391 kWh
2017-02-10T00:00:00-07:00,331.375 kWh
2017-02-11T00:00:00-07:00,246.125 kWh
2017-02-12T00:00:00-07:00,251.875 kWh
2017-02-13T00:00:00-07:00,383.125 kWh
2017-02-14T00:00:00-07:00,379.625 kWh
2017-02-15T00:00:00-07:00,411.3125 kWh
2017-02-16T00:00:00-07:00,452.375 kWh
2017-02-17T00:00:00-07:00,388.125 kWh
2017-02-18T00:00:00-07:00,302.0625 kWh
2017-02-19T00:00:00-07:00,284.5625 kWh
2017-02-20T00:00:00-07:00,269.375 kWh
2017-02-21T00:00:00-07:00,436.8125 kWh
2017-02-22T00:00:00-07:00,441.375 kWh
2017-02-23T00:00:00-07:00,431.0625 kWh
2017-02-24T00:00:00-07:00,399.375 kWh
2017-02-25T00:00:00-07:00,275.1875 kWh
2017-02-26T00:00:00-07:00,274.75 kWh
2017-02-27T00:00:00-07:00,469.0625 kWh
2017-02-28T00:00:00-07:00,429.625 kWh
2017-03-01T00:00:00-07:00,441.9375 kWh
2017-03-02T00:00:00-07:00,490.125 kWh
2017-03-03T00:00:00-07:00,372.125 kWh
2017-03-04T00:00:00-07:00,274.625 kWh
2017-03-05T00:00:00-07:00,269.0625 kWh
2017-03-06T00:00:00-07:00,423.375 kWh
2017-03-07T00:00:00-07:00,436.875 kWh
2017-03-08T00:00:00-07:00,404.375 kWh
2017-03-09T00:00:00-07:00,368.8125 kWh
2017-03-10T00:00:00-07:00,367.25 kWh
2017-03-11T00:00:00-07:00,292.8125 kWh
2017-03-12T00:00:00-07:00,240.4375 kWh
2017-03-13T00:00:00-06:00,293.75 kWh
2017-03-14T00:00:00-06:00,295.1875 kWh
2017-03-15T00:00:00-06:00,294.875 kWh
2017-03-16T00:00:00-06:00,281.6875 kWh
2017-03-17T00:00:00-06:00,260.1875 kWh
2017-03-18T00:00:00-06:00,223.8125 kWh
2017-03-19T00:00:00-06:00,216.3125 kWh
2017-03-20T00:00:00-06:00,373.375 kWh
2017-03-21T00:00:00-06:00,413.125 kWh
2017-03-22T00:00:00-06:00,392.8125 kWh
2017-03-23T00:00:00-06:00,378.0625 kWh
2017-03-24T00:00:00-06:00,366.125 kWh
2017-03-25T00:00:00-06:00,278.125 kWh
2017-03-26T00:00:00-06:00,256.25 kWh
2017-03-27T00:00:00-06:00,418.3125 kWh
2017-03-28T00:00:00-06:00,381.0625 kWh
2017-03-29T00:00:00-06:00,657.375 kWh
2017-03-30T00:00:00-06:00,216.0625 kWh
2017-03-31T00:00:00-06:00,379.8125 kWh
2017-04-01T00:00:00-06:00,263.875 kWh
2017-04-02T00:00:00-06:00,275.1875 kWh
2017-04-03T00:00:00-06:00,387.125 kWh
2017-04-04T00:00:00-06:00,391.1875 kWh
2017-04-05T00:00:00-06:00,457.6875 kWh
2017-04-06T00:00:00-06:00,441.3125 kWh
2017-04-07T00:00:00-06:00,434.625 kWh
2017-04-08T00:00:00-06:00,346 kWh
2017-04-09T00:00:00-06:00,321.8125 kWh
2017-04-10T00:00:00-06:00,495.4375 kWh
2017-04-11T00:00:00-06:00,421.5625 kWh
2017-04-12T00:00:00-06:00,458.1875 kWh
2017-04-13T00:00:00-06:00,446.0625 kWh
2017-04-14T00:00:00-06:00,439.3125 kWh
2017-04-15T00:00:00-06:00,384.625 kWh
2017-04-16T00:00:00-06:00,308.75 kWh
2017-04-17T00:00:00-06:00,472.8125 kWh
2017-04-18T00:00:00-06:00,525.125 kWh
2017-04-19T00:00:00-06:00,527.125 kWh
2017-04-20T00:00:00-06:00,494.9375 kWh
2017-04-21T00:00:00-06:00,413.8125 kWh
2017-04-22T00:00:00-06:00,349.4375 kWh
2017-04-23T00:00:00-06:00,318.875 kWh
2017-04-24T00:00:00-06:00,401.375 kWh
2017-04-25T00:00:00-06:00,362.4375 kWh
2017-04-26T00:00:00-06:00,349.25 kWh
2017-04-27T00:00:00-06:00,338 kWh
2017-04-28T00:00:00-06:00,338.875 kWh
2017-04-29T00:00:00-06:00,274 kWh
2017-04-30T00:00:00-06:00,241.6875 kWh
2017-05-01T00:00:00-06:00,321.125 kWh
2017-05-02T00:00:00-06:00,302.1875 kWh
2017-05-03T00:00:00-06:00,289.3125 kWh
2017-05-04T00:00:00-06:00,296.4375 kWh
2017-05-05T00:00:00-06:00,281.4375 kWh
2017-05-06T00:00:00-06:00,247.625 kWh
2017-05-07T00:00:00-06:00,230.5 kWh
2017-05-08T00:00:00-06:00,261.875 kWh
2017-05-09T00:00:00-06:00,231.1875 kWh
2017-05-10T00:00:00-06:00,224.75 kWh
2017-05-11T00:00:00-06:00,241.9375 kWh
2017-05-12T00:00:00-06:00,241.25 kWh
2017-05-13T00:00:00-06:00,217.75 kWh
2017-05-14T00:00:00-06:00,215.4375 kWh
2017-05-15T00:00:00-06:00,259.0625 kWh
2017-05-16T00:00:00-06:00,248.375 kWh
2017-05-17T00:00:00-06:00,249.125 kWh
2017-05-18T00:00:00-06:00,244.625 kWh
2017-05-19T00:00:00-06:00,227.625 kWh
2017-05-20T00:00:00-06:00,206.625 kWh
2017-05-21T00:00:00-06:00,207.3125 kWh
2017-05-22T00:00:00-06:00,239.9375 kWh
2017-05-23T00:00:00-06:00,261.5 kWh
2017-05-24T00:00:00-06:00,248.125 kWh
2017-05-25T00:00:00-06:00,215.8125 kWh
2017-05-26T00:00:00-06:00,233.875 kWh
2017-05-27T00:00:00-06:00,200.5 kWh
2017-05-28T00:00:00-06:00,191.75 kWh
2017-05-29T00:00:00-06:00,191.25 kWh
2017-05-30T00:00:00-06:00,250.9375 kWh
2017-05-31T00:00:00-06:00,242.125 kWh
2017-06-01T00:00:00-06:00,236.375 kWh
2017-06-02T00:00:00-06:00,228.375 kWh
2017-06-03T00:00:00-06:00,202.625 kWh
2017-06-04T00:00:00-06:00,183.5 kWh
2017-06-05T00:00:00-06:00,233.875 kWh
2017-06-06T00:00:00-06:00,234.875 kWh
2017-06-07T00:00:00-06:00,235.9375 kWh
2017-06-08T00:00:00-06:00,261.625 kWh
2017-06-09T00:00:00-06:00,218.1875 kWh
2017-06-10T00:00:00-06:00,213.5625 kWh
2017-06-11T00:00:00-06:00,210.75 kWh
2017-06-12T00:00:00-06:00,241.6875 kWh
2017-06-13T00:00:00-06:00,243 kWh
2017-06-14T00:00:00-06:00,256.125 kWh
2017-06-15T00:00:00-06:00,259.1875 kWh
2017-06-16T00:00:00-06:00,242.875 kWh
2017-06-17T00:00:00-06:00,225.0625 kWh
2017-06-18T00:00:00-06:00,203.125 kWh
2017-06-19T00:00:00-06:00,261.5625 kWh
2017-06-20T00:00:00-06:00,278.125 kWh
2017-06-21T00:00:00-06:00,251.6875 kWh
2017-06-22T00:00:00-06:00,261.8125 kWh
2017-06-23T00:00:00-06:00,232.6875 kWh
2017-06-24T00:00:00-06:00,215.5 kWh
2017-06-25T00:00:00-06:00,183.3125 kWh
2017-06-26T00:00:00-06:00,228.875 kWh
2017-06-27T00:00:00-06:00,247.625 kWh
2017-06-28T00:00:00-06:00,249 kWh
2017-06-29T00:00:00-06:00,227.125 kWh
2017-06-30T00:00:00-06:00,212.5625 kWh
2017-07-01T00:00:00-06:00,195 kWh
2017-07-02T00:00:00-06:00,192 kWh
2017-07-03T00:00:00-06:00,192.3125 kWh
2017-07-04T00:00:00-06:00,183.9375 kWh
2017-07-05T00:00:00-06:00,222.625 kWh
2017-07-06T00:00:00-06:00,242.0625 kWh
2017-07-07T00:00:00-06:00,238.6875 kWh
2017-07-08T00:00:00-06:00,224.75 kWh
2017-07-09T00:00:00-06:00,201.625 kWh
2017-07-10T00:00:00-06:00,243.75 kWh
2017-07-11T00:00:00-06:00,240.5625 kWh
