Timestamp,"['1e689184-f3e1c64d 0004-KINGSBURY HALL Power Meter 1 (301210) Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,140.06349182128906 kW
2017-01-02T00:00:00-07:00,209.3827362060547 kW
2017-01-03T00:00:00-07:00,200.02865600585938 kW
2017-01-04T00:00:00-07:00,202.10850524902344 kW
2017-01-05T00:00:00-07:00,165.62132263183594 kW
2017-01-06T00:00:00-07:00,146.03733825683594 kW
2017-01-07T00:00:00-07:00,143.42909240722656 kW
2017-01-08T00:00:00-07:00,199.8976287841797 kW
2017-01-09T00:00:00-07:00,203.10244750976562 kW
2017-01-10T00:00:00-07:00,200.6024627685547 kW
2017-01-11T00:00:00-07:00,201.45889282226562 kW
2017-01-12T00:00:00-07:00,203.146728515625 kW
2017-01-13T00:00:00-07:00,203.00015258789062 kW
2017-01-14T00:00:00-07:00,207.072265625 kW
2017-01-15T00:00:00-07:00,177.92063903808594 kW
2017-01-16T00:00:00-07:00,154.17823791503906 kW
2017-01-17T00:00:00-07:00,207.3035125732422 kW
2017-01-18T00:00:00-07:00,200.8145751953125 kW
2017-01-19T00:00:00-07:00,205.77874755859375 kW
2017-01-20T00:00:00-07:00,202.46792602539062 kW
2017-01-21T00:00:00-07:00,201.13772583007812 kW
2017-01-22T00:00:00-07:00,180.44140625 kW
2017-01-23T00:00:00-07:00,201.57662963867188 kW
2017-01-24T00:00:00-07:00,202.61795043945312 kW
2017-01-25T00:00:00-07:00,202.34803771972656 kW
2017-01-26T00:00:00-07:00,204.4894561767578 kW
2017-01-27T00:00:00-07:00,204.6019287109375 kW
2017-01-28T00:00:00-07:00,143.84402465820312 kW
2017-01-29T00:00:00-07:00,131.0919647216797 kW
2017-01-30T00:00:00-07:00,199.76116943359375 kW
2017-01-31T00:00:00-07:00,201.08091735839844 kW
2017-02-01T00:00:00-07:00,203.24200439453125 kW
2017-02-02T00:00:00-07:00,205.75167846679688 kW
2017-02-03T00:00:00-07:00,203.1027069091797 kW
2017-02-07T00:00:00-07:00,202.18923950195312 kW
2017-02-08T00:00:00-07:00,208.44422912597656 kW
2017-02-09T00:00:00-07:00,493.6751708984375 kW
2017-02-10T00:00:00-07:00,243.94676208496094 kW
2017-02-11T00:00:00-07:00,156.23883056640625 kW
2017-02-12T00:00:00-07:00,153.92254638671875 kW
2017-02-13T00:00:00-07:00,155.027587890625 kW
2017-02-14T00:00:00-07:00,163.94712829589844 kW
2017-02-15T00:00:00-07:00,162.2137451171875 kW
2017-02-16T00:00:00-07:00,156.9649200439453 kW
2017-02-17T00:00:00-07:00,155.22605895996094 kW
2017-02-18T00:00:00-07:00,153.87232971191406 kW
2017-02-19T00:00:00-07:00,153.92129516601562 kW
2017-02-20T00:00:00-07:00,153.7794647216797 kW
2017-02-21T00:00:00-07:00,144.11904907226562 kW
2017-02-22T00:00:00-07:00,145.3734893798828 kW
2017-02-23T00:00:00-07:00,144.33282470703125 kW
2017-02-24T00:00:00-07:00,143.17344665527344 kW
2017-02-25T00:00:00-07:00,144.66561889648438 kW
2017-02-26T00:00:00-07:00,142.1841583251953 kW
2017-02-27T00:00:00-07:00,145.3872528076172 kW
2017-02-28T00:00:00-07:00,145.63690185546875 kW
2017-03-01T00:00:00-07:00,145.45892333984375 kW
2017-03-02T00:00:00-07:00,160.61546325683594 kW
2017-03-03T00:00:00-07:00,159.77064514160156 kW
2017-03-04T00:00:00-07:00,160.43771362304688 kW
2017-03-05T00:00:00-07:00,141.05833435058594 kW
2017-03-06T00:00:00-07:00,155.52041625976562 kW
2017-03-07T00:00:00-07:00,155.9852752685547 kW
2017-03-08T00:00:00-07:00,158.01576232910156 kW
2017-03-09T00:00:00-07:00,181.01095581054688 kW
2017-03-10T00:00:00-07:00,218.2976531982422 kW
2017-03-11T00:00:00-07:00,311.57183837890625 kW
2017-03-12T00:00:00-07:00,188.87120056152344 kW
2017-03-13T00:00:00-06:00,203.71456909179688 kW
2017-03-14T00:00:00-06:00,414.4010925292969 kW
2017-03-15T00:00:00-06:00,346.96868896484375 kW
2017-03-16T00:00:00-06:00,357.3162841796875 kW
2017-03-17T00:00:00-06:00,357.86590576171875 kW
2017-03-18T00:00:00-06:00,384.457275390625 kW
2017-03-19T00:00:00-06:00,341.8887023925781 kW
2017-03-20T00:00:00-06:00,359.85870361328125 kW
2017-03-21T00:00:00-06:00,387.1863708496094 kW
2017-03-22T00:00:00-06:00,407.1502685546875 kW
2017-03-23T00:00:00-06:00,200.0229949951172 kW
2017-03-24T00:00:00-06:00,199.16551208496094 kW
2017-03-25T00:00:00-06:00,197.59524536132812 kW
2017-03-26T00:00:00-06:00,182.98519897460938 kW
2017-03-27T00:00:00-06:00,218.5766143798828 kW
2017-03-28T00:00:00-06:00,201.32386779785156 kW
2017-03-29T00:00:00-06:00,199.3108367919922 kW
2017-03-30T00:00:00-06:00,203.13890075683594 kW
2017-03-31T00:00:00-06:00,174.88522338867188 kW
2017-04-01T00:00:00-06:00,171.28794860839844 kW
2017-04-02T00:00:00-06:00,150.98814392089844 kW
2017-04-03T00:00:00-06:00,189.55978393554688 kW
2017-04-04T00:00:00-06:00,170.47494506835938 kW
2017-04-05T00:00:00-06:00,173.05828857421875 kW
2017-04-06T00:00:00-06:00,360.9957275390625 kW
2017-04-07T00:00:00-06:00,313.3987731933594 kW
2017-04-08T00:00:00-06:00,186.0467529296875 kW
2017-04-09T00:00:00-06:00,151.2741241455078 kW
2017-04-10T00:00:00-06:00,169.06495666503906 kW
2017-04-11T00:00:00-06:00,170.94680786132812 kW
2017-04-12T00:00:00-06:00,338.4931945800781 kW
2017-04-13T00:00:00-06:00,328.2836608886719 kW
2017-04-14T00:00:00-06:00,181.43270874023438 kW
2017-04-15T00:00:00-06:00,171.21429443359375 kW
2017-04-16T00:00:00-06:00,283.9819641113281 kW
2017-04-17T00:00:00-06:00,359.3189697265625 kW
2017-04-18T00:00:00-06:00,187.62237548828125 kW
2017-04-19T00:00:00-06:00,176.1810302734375 kW
2017-04-20T00:00:00-06:00,171.13607788085938 kW
2017-04-21T00:00:00-06:00,174.6854248046875 kW
2017-04-22T00:00:00-06:00,178.97584533691406 kW
2017-04-23T00:00:00-06:00,369.61212158203125 kW
2017-04-24T00:00:00-06:00,173.6864013671875 kW
2017-04-25T00:00:00-06:00,170.61102294921875 kW
2017-04-26T00:00:00-06:00,166.55905151367188 kW
2017-04-27T00:00:00-06:00,215.559814453125 kW
2017-04-28T00:00:00-06:00,204.2131805419922 kW
2017-04-29T00:00:00-06:00,219.54110717773438 kW
2017-04-30T00:00:00-06:00,190.9592742919922 kW
2017-05-01T00:00:00-06:00,208.34837341308594 kW
2017-05-02T00:00:00-06:00,358.4788818359375 kW
2017-05-03T00:00:00-06:00,357.1280212402344 kW
2017-05-04T00:00:00-06:00,384.00408935546875 kW
