Timestamp,"['1e68924b-f7a5f56d 0004-KINGSBURY HALL Power Meter 2 (301209) W-hours, Received']"
2017-01-01T00:00:00-07:00,211.5 kWh
2017-01-02T00:00:00-07:00,213.0625 kWh
2017-01-03T00:00:00-07:00,422.8125 kWh
2017-01-04T00:00:00-07:00,455 kWh
2017-01-05T00:00:00-07:00,416 kWh
2017-01-06T00:00:00-07:00,474 kWh
2017-01-07T00:00:00-07:00,197.75 kWh
2017-01-08T00:00:00-07:00,196.6875 kWh
2017-01-09T00:00:00-07:00,444 kWh
2017-01-10T00:00:00-07:00,529.125 kWh
2017-01-11T00:00:00-07:00,528.875 kWh
2017-01-12T00:00:00-07:00,503.5 kWh
2017-01-13T00:00:00-07:00,820.75 kWh
2017-01-14T00:00:00-07:00,795.375 kWh
2017-01-15T00:00:00-07:00,206.8125 kWh
2017-01-16T00:00:00-07:00,213.75 kWh
2017-01-17T00:00:00-07:00,726.8125 kWh
2017-01-18T00:00:00-07:00,545.0625 kWh
2017-01-19T00:00:00-07:00,537.75 kWh
2017-01-20T00:00:00-07:00,377.5625 kWh
2017-01-21T00:00:00-07:00,295 kWh
2017-01-22T00:00:00-07:00,272.3125 kWh
2017-01-23T00:00:00-07:00,502.75 kWh
2017-01-24T00:00:00-07:00,591.1875 kWh
2017-01-25T00:00:00-07:00,575.0625 kWh
2017-01-26T00:00:00-07:00,471.5625 kWh
2017-01-27T00:00:00-07:00,475.0625 kWh
2017-01-28T00:00:00-07:00,256.75 kWh
2017-01-29T00:00:00-07:00,253.375 kWh
2017-01-30T00:00:00-07:00,476.75 kWh
2017-01-31T00:00:00-07:00,394.625 kWh
2017-02-01T00:00:00-07:00,469.0625 kWh
2017-02-02T00:00:00-07:00,643.75 kWh
2017-02-03T00:00:00-07:00,1702.8125 kWh
2017-02-07T00:00:00-07:00,325.625 kWh
2017-02-08T00:00:00-07:00,472.5625 kWh
2017-02-09T00:00:00-07:00,560.5 kWh
2017-02-10T00:00:00-07:00,571.375 kWh
2017-02-11T00:00:00-07:00,649.375 kWh
2017-02-12T00:00:00-07:00,218.6875 kWh
2017-02-13T00:00:00-07:00,459.625 kWh
2017-02-14T00:00:00-07:00,950.125 kWh
2017-02-15T00:00:00-07:00,533.75 kWh
2017-02-16T00:00:00-07:00,456.5 kWh
2017-02-17T00:00:00-07:00,473.75 kWh
2017-02-18T00:00:00-07:00,322.8125 kWh
2017-02-19T00:00:00-07:00,321.8125 kWh
2017-02-20T00:00:00-07:00,316.125 kWh
2017-02-21T00:00:00-07:00,534.625 kWh
2017-02-22T00:00:00-07:00,536.6875 kWh
2017-02-23T00:00:00-07:00,560.3125 kWh
2017-02-24T00:00:00-07:00,414.25 kWh
2017-02-25T00:00:00-07:00,578.3125 kWh
2017-02-26T00:00:00-07:00,241.3125 kWh
2017-02-27T00:00:00-07:00,494 kWh
2017-02-28T00:00:00-07:00,473.6875 kWh
2017-03-01T00:00:00-07:00,510.8125 kWh
2017-03-02T00:00:00-07:00,515.9375 kWh
2017-03-03T00:00:00-07:00,384.875 kWh
2017-03-04T00:00:00-07:00,459.9375 kWh
2017-03-05T00:00:00-07:00,179.125 kWh
2017-03-06T00:00:00-07:00,362.8125 kWh
2017-03-07T00:00:00-07:00,371.0625 kWh
2017-03-08T00:00:00-07:00,403.5 kWh
2017-03-09T00:00:00-07:00,414.25 kWh
2017-03-10T00:00:00-07:00,395.1875 kWh
2017-03-11T00:00:00-07:00,204.0625 kWh
2017-03-12T00:00:00-07:00,192.3125 kWh
2017-03-13T00:00:00-06:00,689.875 kWh
