Timestamp,['1e71be51-f4c46ef6 0040-STUDENT SERVICES BLDG Power Meter (300089) Current A']
2017-01-01T00:00:00-07:00,316.9173695246379 A
2017-01-02T00:00:00-07:00,320.81711292266846 A
2017-01-03T00:00:00-07:00,347.7344973882039 A
2017-01-04T00:00:00-07:00,348.4557577768962 A
2017-01-05T00:00:00-07:00,343.879522005717 A
2017-01-06T00:00:00-07:00,355.4958159128825 A
2017-01-07T00:00:00-07:00,322.8838052749634 A
2017-01-08T00:00:00-07:00,339.78196144104004 A
2017-01-09T00:00:00-07:00,378.07102998097736 A
2017-01-10T00:00:00-07:00,378.6718947092692 A
2017-01-11T00:00:00-07:00,383.94274584452313 A
2017-01-12T00:00:00-07:00,378.5661567052205 A
2017-01-13T00:00:00-07:00,375.58118597666424 A
2017-01-14T00:00:00-07:00,334.3967002232869 A
2017-01-15T00:00:00-07:00,332.57289695739746 A
2017-01-16T00:00:00-07:00,323.6268227895101 A
2017-01-17T00:00:00-07:00,356.9038340250651 A
2017-01-18T00:00:00-07:00,351.4914119944853 A
2017-01-19T00:00:00-07:00,363.7054278055827 A
2017-01-20T00:00:00-07:00,360.20415846506756 A
2017-01-21T00:00:00-07:00,326.08674335479736 A
2017-01-22T00:00:00-07:00,330.3206618626912 A
2017-01-23T00:00:00-07:00,355.03527450561523 A
2017-01-24T00:00:00-07:00,365.3331890106201 A
2017-01-25T00:00:00-07:00,364.4649871190389 A
2017-01-26T00:00:00-07:00,365.0193707148234 A
2017-01-27T00:00:00-07:00,363.0569880803426 A
2017-01-28T00:00:00-07:00,318.57739480336505 A
2017-01-29T00:00:00-07:00,322.3044198354085 A
2017-01-30T00:00:00-07:00,370.0665105183919 A
2017-01-31T00:00:00-07:00,368.2010825475057 A
2017-02-01T00:00:00-07:00,369.57822863260907 A
2017-02-02T00:00:00-07:00,363.20201841990155 A
2017-02-03T00:00:00-07:00,365.47111071570447 A
2017-02-07T00:00:00-07:00,377.6533250995711 A
2017-02-08T00:00:00-07:00,367.7481384277344 A
2017-02-09T00:00:00-07:00,381.4761594136556 A
2017-02-10T00:00:00-07:00,380.37983735402423 A
2017-02-11T00:00:00-07:00,335.08349736531574 A
2017-02-12T00:00:00-07:00,329.0018644332886 A
2017-02-13T00:00:00-07:00,364.80562527974445 A
2017-02-14T00:00:00-07:00,362.3828299840291 A
2017-02-15T00:00:00-07:00,365.3163054784139 A
2017-02-16T00:00:00-07:00,375.9581127166748 A
2017-02-17T00:00:00-07:00,369.84074115753174 A
2017-02-18T00:00:00-07:00,333.31642214457196 A
2017-02-19T00:00:00-07:00,331.640949567159 A
2017-02-20T00:00:00-07:00,342.7492167154948 A
2017-02-21T00:00:00-07:00,373.17482566833496 A
2017-02-22T00:00:00-07:00,365.6850954691569 A
2017-02-23T00:00:00-07:00,367.5465342203776 A
2017-02-24T00:00:00-07:00,356.0651358579978 A
2017-02-25T00:00:00-07:00,333.16022713979083 A
2017-02-26T00:00:00-07:00,335.94869836171466 A
2017-02-27T00:00:00-07:00,374.8620408376058 A
2017-02-28T00:00:00-07:00,370.033865292867 A
2017-03-01T00:00:00-07:00,368.87593873341876 A
2017-03-02T00:00:00-07:00,369.15150928497314 A
2017-03-03T00:00:00-07:00,369.0130721242804 A
2017-03-04T00:00:00-07:00,338.6359694798787 A
2017-03-05T00:00:00-07:00,339.1026652654012 A
2017-03-06T00:00:00-07:00,368.50933806101483 A
2017-03-07T00:00:00-07:00,367.2321716944377 A
2017-03-08T00:00:00-07:00,377.9087012608846 A
2017-03-09T00:00:00-07:00,385.0916156768799 A
2017-03-10T00:00:00-07:00,389.36380736033124 A
2017-03-11T00:00:00-07:00,362.69515164693195 A
2017-03-12T00:00:00-07:00,355.19336070185125 A
2017-03-13T00:00:00-06:00,414.301233291626 A
2017-03-14T00:00:00-06:00,460.4438025156657 A
2017-03-15T00:00:00-06:00,529.9440781275431 A
2017-03-16T00:00:00-06:00,567.9999863306681 A
2017-03-17T00:00:00-06:00,538.5436786015829 A
2017-03-18T00:00:00-06:00,515.6279532114664 A
2017-03-19T00:00:00-06:00,502.44845453898114 A
2017-03-20T00:00:00-06:00,565.8673992156982 A
2017-03-21T00:00:00-06:00,568.60205078125 A
2017-03-22T00:00:00-06:00,549.3632062276205 A
2017-03-23T00:00:00-06:00,423.1020081837972 A
2017-03-24T00:00:00-06:00,456.27054659525555 A
2017-03-25T00:00:00-06:00,403.8627869288127 A
2017-03-26T00:00:00-06:00,392.3168462117513 A
2017-03-27T00:00:00-06:00,429.36768913269043 A
2017-03-28T00:00:00-06:00,435.92861874898273 A
2017-03-29T00:00:00-06:00,404.16589694552954 A
2017-03-30T00:00:00-06:00,394.65427652994794 A
2017-03-31T00:00:00-06:00,399.7235628763835 A
2017-04-01T00:00:00-06:00,400.7052942911784 A
2017-04-02T00:00:00-06:00,350.75244331359863 A
2017-04-03T00:00:00-06:00,382.5936819712321 A
2017-04-04T00:00:00-06:00,375.9328711827596 A
2017-04-05T00:00:00-06:00,420.50036938985187 A
2017-04-06T00:00:00-06:00,456.55058638254803 A
2017-04-07T00:00:00-06:00,526.4415318171183 A
2017-04-08T00:00:00-06:00,385.55930614471436 A
2017-04-09T00:00:00-06:00,341.9034427007039 A
2017-04-10T00:00:00-06:00,436.2763557434082 A
2017-04-11T00:00:00-06:00,468.9051507314046 A
2017-04-12T00:00:00-06:00,504.18182373046875 A
2017-04-13T00:00:00-06:00,553.130023320516 A
2017-04-14T00:00:00-06:00,410.512832959493 A
2017-04-15T00:00:00-06:00,363.5484972000122 A
2017-04-16T00:00:00-06:00,430.8785899480184 A
2017-04-17T00:00:00-06:00,514.9290730158488 A
2017-04-18T00:00:00-06:00,496.87606048583984 A
2017-04-19T00:00:00-06:00,452.30057430267334 A
2017-04-20T00:00:00-06:00,411.76196034749347 A
2017-04-21T00:00:00-06:00,379.3431650797526 A
2017-04-22T00:00:00-06:00,425.58818403879803 A
2017-04-23T00:00:00-06:00,443.7441037495931 A
2017-04-24T00:00:00-06:00,393.72501959549754 A
2017-04-25T00:00:00-06:00,377.8306595484416 A
2017-04-26T00:00:00-06:00,395.7444079717 A
2017-04-27T00:00:00-06:00,375.9332965215047 A
2017-04-28T00:00:00-06:00,370.47769196828204 A
2017-04-29T00:00:00-06:00,346.57969601949054 A
2017-04-30T00:00:00-06:00,421.4959707260132 A
2017-05-01T00:00:00-06:00,483.38580481211346 A
2017-05-02T00:00:00-06:00,488.36921469370526 A
2017-05-03T00:00:00-06:00,489.915597597758 A
2017-05-04T00:00:00-06:00,526.0140269597372 A
2017-05-05T00:00:00-06:00,582.6537068684896 A
2017-05-06T00:00:00-06:00,547.2818148930868 A
2017-05-07T00:00:00-06:00,525.7502110799154 A
2017-05-08T00:00:00-06:00,568.4401340484619 A
2017-05-09T00:00:00-06:00,566.3359785079956 A
2017-05-10T00:00:00-06:00,569.1935040156046 A
2017-05-11T00:00:00-06:00,576.2329581578573 A
2017-05-12T00:00:00-06:00,585.5645662943522 A
