Timestamp,"['1e71effd-eea5cb9b 0040-STUDENT SERVICES BLDG Power Meter (300089) Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,279.48504638671875 kW
2017-01-02T00:00:00-07:00,283.8072204589844 kW
2017-01-03T00:00:00-07:00,365.40673828125 kW
2017-01-04T00:00:00-07:00,372.4837646484375 kW
2017-01-05T00:00:00-07:00,359.6962585449219 kW
2017-01-06T00:00:00-07:00,366.7026062011719 kW
2017-01-07T00:00:00-07:00,293.9842224121094 kW
2017-01-08T00:00:00-07:00,299.32684326171875 kW
2017-01-09T00:00:00-07:00,401.0165710449219 kW
2017-01-10T00:00:00-07:00,389.6861877441406 kW
2017-01-11T00:00:00-07:00,409.6298828125 kW
2017-01-12T00:00:00-07:00,370.7400207519531 kW
2017-01-13T00:00:00-07:00,410.8006591796875 kW
2017-01-14T00:00:00-07:00,300.4701843261719 kW
2017-01-15T00:00:00-07:00,297.1010437011719 kW
2017-01-16T00:00:00-07:00,287.8240661621094 kW
2017-01-17T00:00:00-07:00,401.77020263671875 kW
2017-01-18T00:00:00-07:00,367.3537292480469 kW
2017-01-19T00:00:00-07:00,388.8463439941406 kW
2017-01-20T00:00:00-07:00,369.5015563964844 kW
2017-01-21T00:00:00-07:00,291.3454284667969 kW
2017-01-22T00:00:00-07:00,289.77423095703125 kW
2017-01-23T00:00:00-07:00,361.3345947265625 kW
2017-01-24T00:00:00-07:00,376.80413818359375 kW
2017-01-25T00:00:00-07:00,395.4122314453125 kW
2017-01-26T00:00:00-07:00,398.3636169433594 kW
2017-01-27T00:00:00-07:00,397.0029296875 kW
2017-01-28T00:00:00-07:00,281.9752197265625 kW
2017-01-29T00:00:00-07:00,297.04833984375 kW
2017-01-30T00:00:00-07:00,405.29864501953125 kW
2017-01-31T00:00:00-07:00,375.5950012207031 kW
2017-02-01T00:00:00-07:00,380.7040710449219 kW
2017-02-02T00:00:00-07:00,384.8016357421875 kW
2017-02-03T00:00:00-07:00,363.51934814453125 kW
2017-02-07T00:00:00-07:00,371.6902770996094 kW
2017-02-08T00:00:00-07:00,346.8317565917969 kW
2017-02-09T00:00:00-07:00,369.75091552734375 kW
2017-02-10T00:00:00-07:00,386.3276672363281 kW
2017-02-11T00:00:00-07:00,288.10052490234375 kW
2017-02-12T00:00:00-07:00,263.2898254394531 kW
2017-02-13T00:00:00-07:00,379.2582092285156 kW
2017-02-14T00:00:00-07:00,358.63751220703125 kW
2017-02-15T00:00:00-07:00,370.0051574707031 kW
2017-02-16T00:00:00-07:00,379.2563171386719 kW
2017-02-17T00:00:00-07:00,357.9997863769531 kW
2017-02-18T00:00:00-07:00,288.5294189453125 kW
2017-02-19T00:00:00-07:00,282.5772399902344 kW
2017-02-20T00:00:00-07:00,294.4179992675781 kW
2017-02-21T00:00:00-07:00,367.0575866699219 kW
2017-02-22T00:00:00-07:00,370.535888671875 kW
2017-02-23T00:00:00-07:00,374.223876953125 kW
2017-02-24T00:00:00-07:00,372.3591003417969 kW
2017-02-25T00:00:00-07:00,285.64697265625 kW
2017-02-26T00:00:00-07:00,271.82220458984375 kW
2017-02-27T00:00:00-07:00,397.2306213378906 kW
2017-02-28T00:00:00-07:00,375.6486511230469 kW
2017-03-01T00:00:00-07:00,357.2985534667969 kW
2017-03-02T00:00:00-07:00,375.93414306640625 kW
2017-03-03T00:00:00-07:00,366.4714660644531 kW
2017-03-04T00:00:00-07:00,299.0353698730469 kW
2017-03-05T00:00:00-07:00,290.2021484375 kW
2017-03-06T00:00:00-07:00,374.87646484375 kW
2017-03-07T00:00:00-07:00,391.6324462890625 kW
2017-03-08T00:00:00-07:00,387.0362548828125 kW
2017-03-09T00:00:00-07:00,384.8005065917969 kW
2017-03-10T00:00:00-07:00,390.3656921386719 kW
2017-03-11T00:00:00-07:00,363.2783203125 kW
2017-03-12T00:00:00-07:00,306.46240234375 kW
2017-03-13T00:00:00-06:00,426.51104736328125 kW
2017-03-14T00:00:00-06:00,487.7903137207031 kW
2017-03-15T00:00:00-06:00,555.498779296875 kW
2017-03-16T00:00:00-06:00,585.941650390625 kW
2017-03-17T00:00:00-06:00,540.949951171875 kW
2017-03-18T00:00:00-06:00,472.19140625 kW
2017-03-19T00:00:00-06:00,461.1206970214844 kW
2017-03-20T00:00:00-06:00,537.7213745117188 kW
2017-03-21T00:00:00-06:00,579.6533203125 kW
2017-03-22T00:00:00-06:00,546.3016357421875 kW
2017-03-23T00:00:00-06:00,414.3585205078125 kW
2017-03-24T00:00:00-06:00,480.353759765625 kW
2017-03-25T00:00:00-06:00,427.1890869140625 kW
2017-03-26T00:00:00-06:00,355.3494873046875 kW
2017-03-27T00:00:00-06:00,411.3558349609375 kW
2017-03-28T00:00:00-06:00,446.0878601074219 kW
2017-03-29T00:00:00-06:00,390.9488220214844 kW
2017-03-30T00:00:00-06:00,425.554931640625 kW
2017-03-31T00:00:00-06:00,529.0499877929688 kW
2017-04-01T00:00:00-06:00,429.5246887207031 kW
2017-04-02T00:00:00-06:00,291.4595642089844 kW
2017-04-03T00:00:00-06:00,426.8611755371094 kW
2017-04-04T00:00:00-06:00,366.2833557128906 kW
2017-04-05T00:00:00-06:00,491.0865173339844 kW
2017-04-06T00:00:00-06:00,503.7315673828125 kW
2017-04-07T00:00:00-06:00,535.3994140625 kW
2017-04-08T00:00:00-06:00,430.0760498046875 kW
2017-04-09T00:00:00-06:00,282.7735900878906 kW
2017-04-10T00:00:00-06:00,513.5419311523438 kW
2017-04-11T00:00:00-06:00,534.4055786132812 kW
2017-04-12T00:00:00-06:00,530.193115234375 kW
2017-04-13T00:00:00-06:00,544.2362670898438 kW
2017-04-14T00:00:00-06:00,471.2447814941406 kW
2017-04-15T00:00:00-06:00,421.0386657714844 kW
2017-04-16T00:00:00-06:00,431.93670654296875 kW
2017-04-17T00:00:00-06:00,514.3703002929688 kW
2017-04-18T00:00:00-06:00,534.0595092773438 kW
2017-04-19T00:00:00-06:00,627.5844116210938 kW
2017-04-20T00:00:00-06:00,522.5921630859375 kW
2017-04-21T00:00:00-06:00,372.7287902832031 kW
2017-04-22T00:00:00-06:00,433.2118225097656 kW
2017-04-23T00:00:00-06:00,442.1166687011719 kW
2017-04-24T00:00:00-06:00,467.2498474121094 kW
2017-04-25T00:00:00-06:00,373.64630126953125 kW
2017-04-26T00:00:00-06:00,452.6519775390625 kW
2017-04-27T00:00:00-06:00,388.7237548828125 kW
2017-04-28T00:00:00-06:00,379.3564453125 kW
2017-04-29T00:00:00-06:00,533.7985229492188 kW
2017-04-30T00:00:00-06:00,430.484130859375 kW
2017-05-01T00:00:00-06:00,584.953369140625 kW
2017-05-02T00:00:00-06:00,487.81353759765625 kW
2017-05-03T00:00:00-06:00,554.589111328125 kW
2017-05-04T00:00:00-06:00,562.9351806640625 kW
2017-05-05T00:00:00-06:00,545.4160766601562 kW
2017-05-06T00:00:00-06:00,488.58331298828125 kW
2017-05-07T00:00:00-06:00,483.2114562988281 kW
2017-05-08T00:00:00-06:00,534.412841796875 kW
2017-05-09T00:00:00-06:00,554.5194091796875 kW
2017-05-10T00:00:00-06:00,552.1530151367188 kW
2017-05-11T00:00:00-06:00,570.6936645507812 kW
2017-05-12T00:00:00-06:00,551.5371704101562 kW
2017-05-13T00:00:00-06:00,422.25836181640625 kW
2017-05-14T00:00:00-06:00,449.3152160644531 kW
2017-05-15T00:00:00-06:00,544.38525390625 kW
2017-05-16T00:00:00-06:00,503.54425048828125 kW
2017-05-17T00:00:00-06:00,398.4296569824219 kW
2017-05-18T00:00:00-06:00,375.6610107421875 kW
2017-05-19T00:00:00-06:00,468.27813720703125 kW
2017-05-20T00:00:00-06:00,446.2498779296875 kW
2017-05-21T00:00:00-06:00,439.7190856933594 kW
2017-05-22T00:00:00-06:00,552.6614990234375 kW
2017-05-23T00:00:00-06:00,590.3433837890625 kW
2017-05-24T00:00:00-06:00,570.3853149414062 kW
2017-05-25T00:00:00-06:00,539.7735595703125 kW
2017-05-26T00:00:00-06:00,509.5728759765625 kW
2017-05-27T00:00:00-06:00,515.4129028320312 kW
2017-05-28T00:00:00-06:00,462.8506164550781 kW
2017-05-29T00:00:00-06:00,461.9832458496094 kW
2017-05-30T00:00:00-06:00,576.977783203125 kW
2017-05-31T00:00:00-06:00,591.6613159179688 kW
