Timestamp,"['1eb2a07b-4b6a3d6a 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,80.62019348144531 kW
2017-01-02T00:00:00-07:00,61.028526306152344 kW
2017-01-03T00:00:00-07:00,65.10578918457031 kW
2017-01-04T00:00:00-07:00,69.8580551147461 kW
2017-01-05T00:00:00-07:00,79.39495849609375 kW
2017-01-06T00:00:00-07:00,75.8869857788086 kW
2017-01-07T00:00:00-07:00,72.0506362915039 kW
2017-01-08T00:00:00-07:00,63.21702194213867 kW
2017-01-09T00:00:00-07:00,84.90902709960938 kW
2017-01-10T00:00:00-07:00,86.34329986572266 kW
2017-01-11T00:00:00-07:00,88.17742156982422 kW
2017-01-12T00:00:00-07:00,94.40748596191406 kW
2017-01-13T00:00:00-07:00,79.64063262939453 kW
2017-01-14T00:00:00-07:00,75.49617767333984 kW
2017-01-15T00:00:00-07:00,62.06088638305664 kW
2017-01-16T00:00:00-07:00,78.99686431884766 kW
2017-01-17T00:00:00-07:00,86.7794189453125 kW
2017-01-18T00:00:00-07:00,88.91051483154297 kW
2017-01-19T00:00:00-07:00,90.97067260742188 kW
2017-01-20T00:00:00-07:00,76.03990936279297 kW
2017-01-21T00:00:00-07:00,63.553504943847656 kW
2017-01-22T00:00:00-07:00,63.20051956176758 kW
2017-01-23T00:00:00-07:00,95.52174377441406 kW
2017-01-24T00:00:00-07:00,86.97781372070312 kW
2017-01-25T00:00:00-07:00,94.20931243896484 kW
2017-01-26T00:00:00-07:00,88.69743347167969 kW
2017-01-27T00:00:00-07:00,83.9227523803711 kW
2017-01-28T00:00:00-07:00,67.2825698852539 kW
2017-01-29T00:00:00-07:00,67.74764251708984 kW
2017-01-30T00:00:00-07:00,89.26355743408203 kW
2017-01-31T00:00:00-07:00,93.5505142211914 kW
2017-02-01T00:00:00-07:00,87.76289367675781 kW
2017-02-02T00:00:00-07:00,93.36515808105469 kW
2017-02-03T00:00:00-07:00,77.0042724609375 kW
2017-02-07T00:00:00-07:00,90.1890869140625 kW
2017-02-08T00:00:00-07:00,90.1570816040039 kW
2017-02-09T00:00:00-07:00,94.03687286376953 kW
2017-02-10T00:00:00-07:00,76.96661376953125 kW
2017-02-11T00:00:00-07:00,71.5293960571289 kW
2017-02-12T00:00:00-07:00,70.79680633544922 kW
2017-02-13T00:00:00-07:00,92.09126281738281 kW
2017-02-14T00:00:00-07:00,89.6957778930664 kW
2017-02-15T00:00:00-07:00,88.00445556640625 kW
2017-02-16T00:00:00-07:00,90.70201873779297 kW
2017-02-17T00:00:00-07:00,76.42637634277344 kW
2017-02-18T00:00:00-07:00,72.67765045166016 kW
2017-02-19T00:00:00-07:00,70.47694396972656 kW
2017-02-20T00:00:00-07:00,65.57501983642578 kW
2017-02-21T00:00:00-07:00,91.92134857177734 kW
2017-02-22T00:00:00-07:00,89.85562133789062 kW
2017-02-23T00:00:00-07:00,87.5251235961914 kW
2017-02-24T00:00:00-07:00,83.63398742675781 kW
2017-02-25T00:00:00-07:00,68.44402313232422 kW
2017-02-26T00:00:00-07:00,68.25872039794922 kW
2017-02-27T00:00:00-07:00,83.88317108154297 kW
2017-02-28T00:00:00-07:00,89.82325744628906 kW
2017-03-01T00:00:00-07:00,92.05982971191406 kW
2017-03-02T00:00:00-07:00,91.70098114013672 kW
2017-03-03T00:00:00-07:00,80.71847534179688 kW
2017-03-04T00:00:00-07:00,68.6347885131836 kW
2017-03-05T00:00:00-07:00,69.77461242675781 kW
2017-03-06T00:00:00-07:00,92.51398468017578 kW
2017-03-07T00:00:00-07:00,86.67212677001953 kW
2017-03-08T00:00:00-07:00,93.3729019165039 kW
2017-03-09T00:00:00-07:00,86.31596374511719 kW
2017-03-10T00:00:00-07:00,75.86283874511719 kW
2017-03-11T00:00:00-07:00,67.7828369140625 kW
2017-03-12T00:00:00-07:00,67.83076477050781 kW
2017-03-13T00:00:00-06:00,73.52418518066406 kW
2017-03-14T00:00:00-06:00,70.4901123046875 kW
2017-03-15T00:00:00-06:00,75.32386016845703 kW
2017-03-16T00:00:00-06:00,65.85940551757812 kW
2017-03-17T00:00:00-06:00,74.56654357910156 kW
2017-03-18T00:00:00-06:00,66.50853729248047 kW
