Timestamp,['1eb2a0fd-6a9df1f5 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Current B']
2017-01-01T00:00:00-07:00,6.827116891741753 A
2017-01-02T00:00:00-07:00,6.712937081853549 A
2017-01-03T00:00:00-07:00,8.444383924206099 A
2017-01-04T00:00:00-07:00,8.697866862018904 A
2017-01-05T00:00:00-07:00,8.321430479486784 A
2017-01-06T00:00:00-07:00,7.375226507584254 A
2017-01-07T00:00:00-07:00,5.838933145006497 A
2017-01-08T00:00:00-07:00,5.7287099460760755 A
2017-01-09T00:00:00-07:00,8.939497485756874 A
2017-01-10T00:00:00-07:00,9.670450990398725 A
2017-01-11T00:00:00-07:00,10.20499375462532 A
2017-01-12T00:00:00-07:00,9.04618830482165 A
2017-01-13T00:00:00-07:00,10.2429448167483 A
2017-01-14T00:00:00-07:00,7.843556409080823 A
2017-01-15T00:00:00-07:00,8.023009702563286 A
2017-01-16T00:00:00-07:00,8.13901915649573 A
2017-01-17T00:00:00-07:00,11.008794193466505 A
2017-01-18T00:00:00-07:00,11.8120088996468 A
2017-01-19T00:00:00-07:00,9.616783077518145 A
2017-01-20T00:00:00-07:00,10.134458273649216 A
2017-01-21T00:00:00-07:00,7.677320281664531 A
2017-01-22T00:00:00-07:00,7.629405066370964 A
2017-01-23T00:00:00-07:00,9.47638683517774 A
2017-01-24T00:00:00-07:00,9.70611883699894 A
2017-01-25T00:00:00-07:00,9.614523207147917 A
2017-01-26T00:00:00-07:00,11.033410087227821 A
2017-01-27T00:00:00-07:00,10.376036445299784 A
2017-01-28T00:00:00-07:00,8.33189532160759 A
2017-01-29T00:00:00-07:00,8.35495283206304 A
2017-01-30T00:00:00-07:00,11.14120132724444 A
2017-01-31T00:00:00-07:00,10.587701107064882 A
2017-02-01T00:00:00-07:00,11.624420017004013 A
2017-02-02T00:00:00-07:00,10.976241206129393 A
2017-02-03T00:00:00-07:00,10.512502355090643 A
2017-02-07T00:00:00-07:00,10.814958310594745 A
2017-02-08T00:00:00-07:00,10.926045643104302 A
2017-02-09T00:00:00-07:00,10.517609730362892 A
2017-02-10T00:00:00-07:00,10.24881798028946 A
2017-02-11T00:00:00-07:00,6.92787063618501 A
2017-02-12T00:00:00-07:00,6.069303115208943 A
2017-02-13T00:00:00-07:00,8.872737561662992 A
2017-02-14T00:00:00-07:00,9.543752074241638 A
2017-02-15T00:00:00-07:00,10.900781840085983 A
2017-02-16T00:00:00-07:00,11.391518011689186 A
2017-02-17T00:00:00-07:00,9.941423947612444 A
2017-02-18T00:00:00-07:00,7.99243996044 A
2017-02-19T00:00:00-07:00,7.559833571314812 A
2017-02-20T00:00:00-07:00,7.578297341863315 A
2017-02-21T00:00:00-07:00,10.389840786655745 A
2017-02-22T00:00:00-07:00,10.610755016406378 A
2017-02-23T00:00:00-07:00,10.238899891575178 A
2017-02-24T00:00:00-07:00,10.330976981150952 A
2017-02-25T00:00:00-07:00,6.133525088429451 A
2017-02-26T00:00:00-07:00,5.270423024892807 A
