Timestamp,['1eb2a100-c4a3e0b7 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Current C']
2017-01-01T00:00:00-07:00,15.433361232280731 A
2017-01-02T00:00:00-07:00,15.44710804025332 A
2017-01-03T00:00:00-07:00,16.774357825517654 A
2017-01-04T00:00:00-07:00,17.38014307618141 A
2017-01-05T00:00:00-07:00,16.857045352458954 A
2017-01-06T00:00:00-07:00,16.22401763002078 A
2017-01-07T00:00:00-07:00,15.432530999183655 A
2017-01-08T00:00:00-07:00,15.41690844297409 A
2017-01-09T00:00:00-07:00,17.260152727365494 A
2017-01-10T00:00:00-07:00,17.84378017981847 A
2017-01-11T00:00:00-07:00,17.256673991680145 A
2017-01-12T00:00:00-07:00,17.904025435447693 A
2017-01-13T00:00:00-07:00,16.698686470588047 A
2017-01-14T00:00:00-07:00,15.927001972993216 A
2017-01-15T00:00:00-07:00,15.933378100395203 A
2017-01-16T00:00:00-07:00,16.06532679994901 A
2017-01-17T00:00:00-07:00,17.71772590279579 A
2017-01-18T00:00:00-07:00,18.077448844909668 A
2017-01-19T00:00:00-07:00,17.8678336640199 A
2017-01-20T00:00:00-07:00,17.32057136297226 A
2017-01-21T00:00:00-07:00,16.277368406454723 A
2017-01-22T00:00:00-07:00,16.295721173286438 A
2017-01-23T00:00:00-07:00,18.087978452444077 A
2017-01-24T00:00:00-07:00,17.977610488732655 A
2017-01-25T00:00:00-07:00,18.039959371089935 A
2017-01-26T00:00:00-07:00,17.41186034679413 A
2017-01-27T00:00:00-07:00,17.478079934914906 A
2017-01-28T00:00:00-07:00,16.659877399603527 A
2017-01-29T00:00:00-07:00,16.68358776966731 A
2017-01-30T00:00:00-07:00,17.932111342748005 A
2017-01-31T00:00:00-07:00,18.471159398555756 A
2017-02-01T00:00:00-07:00,17.638846556345623 A
2017-02-02T00:00:00-07:00,17.887463321288426 A
2017-02-03T00:00:00-07:00,16.900267730324956 A
2017-02-07T00:00:00-07:00,18.065662122240255 A
2017-02-08T00:00:00-07:00,17.977211899227566 A
2017-02-09T00:00:00-07:00,17.302258094151814 A
2017-02-10T00:00:00-07:00,17.66487631201744 A
2017-02-11T00:00:00-07:00,16.14718238512675 A
2017-02-12T00:00:00-07:00,16.200505673885345 A
2017-02-13T00:00:00-07:00,18.119110584259033 A
2017-02-14T00:00:00-07:00,18.474115014076233 A
2017-02-15T00:00:00-07:00,19.804375131924946 A
2017-02-16T00:00:00-07:00,20.22984770933787 A
2017-02-17T00:00:00-07:00,18.36887135108312 A
2017-02-18T00:00:00-07:00,16.904129306475323 A
2017-02-19T00:00:00-07:00,16.856020251909893 A
2017-02-20T00:00:00-07:00,17.03860104084015 A
2017-02-21T00:00:00-07:00,17.94179819027583 A
2017-02-22T00:00:00-07:00,18.57422463099162 A
2017-02-23T00:00:00-07:00,18.256448010603588 A
2017-02-24T00:00:00-07:00,17.89499715008313 A
2017-02-25T00:00:00-07:00,17.13415398200353 A
2017-02-26T00:00:00-07:00,17.311193346977234 A
2017-02-27T00:00:00-07:00,17.44801394144694 A
2017-02-28T00:00:00-07:00,18.675861378510792 A
2017-03-01T00:00:00-07:00,18.99210129181544 A
