Timestamp,"['1eb2a10a-281d787f 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) W-hours, Received']"
2017-01-01T00:00:00-07:00,67.9375 kWh
2017-01-02T00:00:00-07:00,67.6015625 kWh
2017-01-03T00:00:00-07:00,76.4921875 kWh
2017-01-04T00:00:00-07:00,79.0859375 kWh
2017-01-05T00:00:00-07:00,78.0703125 kWh
2017-01-06T00:00:00-07:00,73.7109375 kWh
2017-01-07T00:00:00-07:00,64.2578125 kWh
2017-01-08T00:00:00-07:00,64.1640625 kWh
2017-01-09T00:00:00-07:00,79.2578125 kWh
2017-01-10T00:00:00-07:00,85.2578125 kWh
2017-01-11T00:00:00-07:00,85.09375 kWh
2017-01-12T00:00:00-07:00,83.6328125 kWh
2017-01-13T00:00:00-07:00,83.4296875 kWh
2017-01-14T00:00:00-07:00,71.1171875 kWh
2017-01-15T00:00:00-07:00,71.0390625 kWh
2017-01-16T00:00:00-07:00,72.4140625 kWh
2017-01-17T00:00:00-07:00,87.484375 kWh
2017-01-18T00:00:00-07:00,92.6484375 kWh
2017-01-19T00:00:00-07:00,87.40625 kWh
2017-01-20T00:00:00-07:00,84.0234375 kWh
2017-01-21T00:00:00-07:00,73.28125 kWh
2017-01-22T00:00:00-07:00,73.140625 kWh
2017-01-23T00:00:00-07:00,85.9921875 kWh
2017-01-24T00:00:00-07:00,86.5078125 kWh
2017-01-25T00:00:00-07:00,86.03125 kWh
2017-01-26T00:00:00-07:00,89.0390625 kWh
2017-01-27T00:00:00-07:00,87.71875 kWh
2017-01-28T00:00:00-07:00,76.6796875 kWh
2017-01-29T00:00:00-07:00,76.390625 kWh
2017-01-30T00:00:00-07:00,91.421875 kWh
2017-01-31T00:00:00-07:00,90.671875 kWh
2017-02-01T00:00:00-07:00,92.9765625 kWh
2017-02-02T00:00:00-07:00,91.6015625 kWh
2017-02-03T00:00:00-07:00,355.3984375 kWh
2017-02-07T00:00:00-07:00,51.0625 kWh
2017-02-08T00:00:00-07:00,91.3828125 kWh
2017-02-09T00:00:00-07:00,89.515625 kWh
2017-02-10T00:00:00-07:00,88.4921875 kWh
2017-02-11T00:00:00-07:00,71.6328125 kWh
2017-02-12T00:00:00-07:00,69.3359375 kWh
2017-02-13T00:00:00-07:00,85.953125 kWh
2017-02-14T00:00:00-07:00,88.734375 kWh
2017-02-15T00:00:00-07:00,95.4765625 kWh
2017-02-16T00:00:00-07:00,99.234375 kWh
2017-02-17T00:00:00-07:00,89.7421875 kWh
2017-02-18T00:00:00-07:00,77.3671875 kWh
2017-02-19T00:00:00-07:00,75.59375 kWh
2017-02-20T00:00:00-07:00,76.7890625 kWh
2017-02-21T00:00:00-07:00,89.7265625 kWh
2017-02-22T00:00:00-07:00,93.171875 kWh
2017-02-23T00:00:00-07:00,91.1484375 kWh
2017-02-24T00:00:00-07:00,92.859375 kWh
2017-02-25T00:00:00-07:00,71.9296875 kWh
2017-02-26T00:00:00-07:00,69.78125 kWh
2017-02-27T00:00:00-07:00,84.3828125 kWh
2017-02-28T00:00:00-07:00,90.0703125 kWh
2017-03-01T00:00:00-07:00,92.5859375 kWh
2017-03-02T00:00:00-07:00,85.125 kWh
2017-03-03T00:00:00-07:00,89.0078125 kWh
2017-03-04T00:00:00-07:00,74.0390625 kWh
2017-03-05T00:00:00-07:00,71.3515625 kWh
2017-03-06T00:00:00-07:00,89.7421875 kWh
2017-03-07T00:00:00-07:00,92.6953125 kWh
2017-03-08T00:00:00-07:00,91.5546875 kWh
2017-03-09T00:00:00-07:00,91.796875 kWh
2017-03-10T00:00:00-07:00,88.2421875 kWh
2017-03-11T00:00:00-07:00,78.75 kWh
2017-03-12T00:00:00-07:00,74.5625 kWh
2017-03-13T00:00:00-06:00,89.6953125 kWh
2017-03-14T00:00:00-06:00,91.9296875 kWh
2017-03-15T00:00:00-06:00,89.6640625 kWh
2017-03-16T00:00:00-06:00,83.9140625 kWh
2017-03-17T00:00:00-06:00,83.703125 kWh
2017-03-18T00:00:00-06:00,74.65625 kWh
2017-03-19T00:00:00-06:00,73.515625 kWh
2017-03-20T00:00:00-06:00,92.7109375 kWh
