Timestamp,"['1eb2a10d-58e721b1 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,3.042888641357422 kW
2017-01-02T00:00:00-07:00,4.10344123840332 kW
2017-01-03T00:00:00-07:00,4.84473180770874 kW
2017-01-04T00:00:00-07:00,5.190433502197266 kW
2017-01-05T00:00:00-07:00,4.194557189941406 kW
2017-01-06T00:00:00-07:00,5.033968925476074 kW
2017-01-07T00:00:00-07:00,3.879183530807495 kW
2017-01-08T00:00:00-07:00,3.8792483806610107 kW
2017-01-09T00:00:00-07:00,4.89084529876709 kW
2017-01-10T00:00:00-07:00,5.568283557891846 kW
2017-01-11T00:00:00-07:00,5.550844669342041 kW
2017-01-12T00:00:00-07:00,4.791698455810547 kW
2017-01-13T00:00:00-07:00,5.419778347015381 kW
2017-01-14T00:00:00-07:00,3.183159112930298 kW
2017-01-15T00:00:00-07:00,4.17856502532959 kW
2017-01-16T00:00:00-07:00,3.280519962310791 kW
2017-01-17T00:00:00-07:00,5.686718940734863 kW
2017-01-18T00:00:00-07:00,6.146849632263184 kW
2017-01-19T00:00:00-07:00,5.827640533447266 kW
2017-01-20T00:00:00-07:00,5.385897636413574 kW
2017-01-21T00:00:00-07:00,4.175352096557617 kW
2017-01-22T00:00:00-07:00,4.443171977996826 kW
2017-01-23T00:00:00-07:00,5.783936023712158 kW
2017-01-24T00:00:00-07:00,5.362595558166504 kW
2017-01-25T00:00:00-07:00,5.43453311920166 kW
2017-01-26T00:00:00-07:00,5.8546648025512695 kW
2017-01-27T00:00:00-07:00,5.48234748840332 kW
2017-01-28T00:00:00-07:00,4.4077653884887695 kW
2017-01-29T00:00:00-07:00,4.44377326965332 kW
2017-01-30T00:00:00-07:00,5.225193023681641 kW
2017-01-31T00:00:00-07:00,5.998698711395264 kW
2017-02-01T00:00:00-07:00,5.869041919708252 kW
2017-02-02T00:00:00-07:00,5.607061386108398 kW
2017-02-03T00:00:00-07:00,5.222295761108398 kW
