Timestamp,['1ed62988-f5791a7a 0012-SUTTON BLDG POWER METER 208V (316602) Current A']
2017-01-01T00:00:00-07:00,111.79166666666667 A
2017-01-02T00:00:00-07:00,114.36458333333333 A
2017-01-03T00:00:00-07:00,140.11458333333334 A
2017-01-04T00:00:00-07:00,167.19791666666666 A
2017-01-05T00:00:00-07:00,168.55208333333334 A
2017-01-06T00:00:00-07:00,162.98958333333334 A
2017-01-07T00:00:00-07:00,147.04166666666666 A
2017-01-08T00:00:00-07:00,145.08333333333334 A
2017-01-09T00:00:00-07:00,163.91666666666666 A
2017-01-10T00:00:00-07:00,167.65625 A
2017-01-11T00:00:00-07:00,169.41666666666666 A
2017-01-12T00:00:00-07:00,169.57291666666666 A
2017-01-13T00:00:00-07:00,167.04166666666666 A
2017-01-14T00:00:00-07:00,150.63541666666666 A
2017-01-15T00:00:00-07:00,149.5625 A
2017-01-16T00:00:00-07:00,155.625 A
2017-01-17T00:00:00-07:00,169.09375 A
2017-01-18T00:00:00-07:00,162.90588235294118 A
2017-01-19T00:00:00-07:00,156.875 A
2017-01-20T00:00:00-07:00,125.94791666666667 A
2017-01-21T00:00:00-07:00,105.77083333333333 A
2017-01-22T00:00:00-07:00,98.90625 A
2017-01-23T00:00:00-07:00,132.61458333333334 A
2017-01-24T00:00:00-07:00,151.98958333333334 A
2017-01-25T00:00:00-07:00,153.39583333333334 A
2017-01-26T00:00:00-07:00,158.07291666666666 A
2017-01-27T00:00:00-07:00,159.8125 A
2017-01-28T00:00:00-07:00,151.29166666666666 A
2017-01-29T00:00:00-07:00,147.52083333333334 A
2017-01-30T00:00:00-07:00,157.98958333333334 A
2017-01-31T00:00:00-07:00,158.27083333333334 A
2017-02-01T00:00:00-07:00,158.64583333333334 A
2017-02-02T00:00:00-07:00,161.61458333333334 A
2017-02-03T00:00:00-07:00,159.84745762711864 A
2017-02-07T00:00:00-07:00,164.0204081632653 A
2017-02-08T00:00:00-07:00,155.8021978021978 A
2017-02-09T00:00:00-07:00,166.09375 A
2017-02-10T00:00:00-07:00,162.70833333333334 A
2017-02-11T00:00:00-07:00,139.07291666666666 A
2017-02-12T00:00:00-07:00,143.51041666666666 A
2017-02-13T00:00:00-07:00,161.34375 A
2017-02-14T00:00:00-07:00,159.3125 A
2017-02-15T00:00:00-07:00,164.53125 A
2017-02-16T00:00:00-07:00,168.85416666666666 A
2017-02-17T00:00:00-07:00,154.1875 A
2017-02-18T00:00:00-07:00,115.125 A
2017-02-19T00:00:00-07:00,115.01041666666667 A
2017-02-20T00:00:00-07:00,119.91666666666667 A
2017-02-21T00:00:00-07:00,160.25 A
2017-02-22T00:00:00-07:00,167.35416666666666 A
2017-02-23T00:00:00-07:00,162.55789473684212 A
2017-02-24T00:00:00-07:00,155.91139240506328 A
2017-02-25T00:00:00-07:00,142.375 A
2017-02-26T00:00:00-07:00,145.69791666666666 A
2017-02-27T00:00:00-07:00,163.26041666666666 A
2017-02-28T00:00:00-07:00,163.4375 A
2017-03-01T00:00:00-07:00,165.27083333333334 A
2017-03-02T00:00:00-07:00,161.34375 A
2017-03-03T00:00:00-07:00,163.76041666666666 A
2017-03-04T00:00:00-07:00,146.26041666666666 A
2017-03-05T00:00:00-07:00,150.59375 A
2017-03-06T00:00:00-07:00,169.54166666666666 A
2017-03-07T00:00:00-07:00,167.78125 A
2017-03-08T00:00:00-07:00,168.88541666666666 A
2017-03-09T00:00:00-07:00,167.91666666666666 A
2017-03-10T00:00:00-07:00,164.83333333333334 A
2017-03-11T00:00:00-07:00,145.8125 A
2017-03-12T00:00:00-07:00,142.54347826086956 A
2017-03-13T00:00:00-06:00,154.71875 A
2017-03-14T00:00:00-06:00,165.25 A
2017-03-15T00:00:00-06:00,166.77083333333334 A
2017-03-16T00:00:00-06:00,163.73958333333334 A
2017-03-17T00:00:00-06:00,149.85416666666666 A
2017-03-18T00:00:00-06:00,115.23958333333333 A
2017-03-19T00:00:00-06:00,116.125 A
2017-03-20T00:00:00-06:00,138.08333333333334 A
2017-03-21T00:00:00-06:00,141.35416666666666 A
2017-03-22T00:00:00-06:00,140.8125 A
2017-03-23T00:00:00-06:00,135.8125 A
2017-03-24T00:00:00-06:00,130.5 A
2017-03-25T00:00:00-06:00,111.20833333333333 A
2017-03-26T00:00:00-06:00,111.42708333333333 A
2017-03-27T00:00:00-06:00,129.86458333333334 A
2017-03-28T00:00:00-06:00,132.32291666666666 A
2017-03-29T00:00:00-06:00,136.79166666666666 A
2017-03-30T00:00:00-06:00,165.26666666666668 A
2017-03-31T00:00:00-06:00,155.66666666666666 A
