Timestamp,['1ed6298e-cd155c0f 0012-SUTTON BLDG POWER METER 208V (316602) Current C']
2017-01-01T00:00:00-07:00,134.27083333333334 A
2017-01-02T00:00:00-07:00,136.88541666666666 A
2017-01-03T00:00:00-07:00,145.47916666666666 A
2017-01-04T00:00:00-07:00,142.71875 A
2017-01-05T00:00:00-07:00,139.625 A
2017-01-06T00:00:00-07:00,147.46875 A
2017-01-07T00:00:00-07:00,135.16666666666666 A
2017-01-08T00:00:00-07:00,133.54166666666666 A
2017-01-09T00:00:00-07:00,149.1875 A
2017-01-10T00:00:00-07:00,147.54166666666666 A
2017-01-11T00:00:00-07:00,146.65625 A
2017-01-12T00:00:00-07:00,149.45833333333334 A
2017-01-13T00:00:00-07:00,148.625 A
2017-01-14T00:00:00-07:00,134.28125 A
2017-01-15T00:00:00-07:00,136.30526315789473 A
2017-01-16T00:00:00-07:00,139.77083333333334 A
2017-01-17T00:00:00-07:00,147.27083333333334 A
2017-01-18T00:00:00-07:00,146.77380952380952 A
2017-01-19T00:00:00-07:00,146.92708333333334 A
2017-01-20T00:00:00-07:00,144.84375 A
2017-01-21T00:00:00-07:00,118.48958333333333 A
2017-01-22T00:00:00-07:00,114.47916666666667 A
2017-01-23T00:00:00-07:00,129.84375 A
2017-01-24T00:00:00-07:00,136.03125 A
2017-01-25T00:00:00-07:00,140.03125 A
2017-01-26T00:00:00-07:00,142.4375 A
2017-01-27T00:00:00-07:00,144.46875 A
2017-01-28T00:00:00-07:00,133.47916666666666 A
2017-01-29T00:00:00-07:00,131.5625 A
2017-01-30T00:00:00-07:00,144.6875 A
2017-01-31T00:00:00-07:00,147.5625 A
2017-02-01T00:00:00-07:00,146.88541666666666 A
2017-02-02T00:00:00-07:00,145.625 A
2017-02-03T00:00:00-07:00,146.64406779661016 A
2017-02-07T00:00:00-07:00,147.9795918367347 A
2017-02-08T00:00:00-07:00,138.53333333333333 A
2017-02-09T00:00:00-07:00,147.51041666666666 A
2017-02-10T00:00:00-07:00,150.91666666666666 A
2017-02-11T00:00:00-07:00,136.47916666666666 A
2017-02-12T00:00:00-07:00,133.5625 A
2017-02-13T00:00:00-07:00,149.5625 A
2017-02-14T00:00:00-07:00,152.71875 A
2017-02-15T00:00:00-07:00,153.83333333333334 A
2017-02-16T00:00:00-07:00,152.26041666666666 A
2017-02-17T00:00:00-07:00,145.09375 A
2017-02-18T00:00:00-07:00,125.76041666666667 A
2017-02-19T00:00:00-07:00,126.1875 A
2017-02-20T00:00:00-07:00,130.55208333333334 A
2017-02-21T00:00:00-07:00,148.40625 A
2017-02-22T00:00:00-07:00,149.39583333333334 A
2017-02-23T00:00:00-07:00,149.8 A
2017-02-24T00:00:00-07:00,144.26582278481013 A
2017-02-25T00:00:00-07:00,141.46875 A
2017-02-26T00:00:00-07:00,137.67708333333334 A
2017-02-27T00:00:00-07:00,154.78125 A
2017-02-28T00:00:00-07:00,155.22916666666666 A
2017-03-01T00:00:00-07:00,148.5625 A
2017-03-02T00:00:00-07:00,153.70833333333334 A
2017-03-03T00:00:00-07:00,160.52083333333334 A
2017-03-04T00:00:00-07:00,142.89583333333334 A
2017-03-05T00:00:00-07:00,136.48958333333334 A
2017-03-06T00:00:00-07:00,149.36458333333334 A
2017-03-07T00:00:00-07:00,148.95833333333334 A
2017-03-08T00:00:00-07:00,142.4375 A
2017-03-09T00:00:00-07:00,136.15625 A
2017-03-10T00:00:00-07:00,142.80208333333334 A
2017-03-11T00:00:00-07:00,143.79166666666666 A
2017-03-12T00:00:00-07:00,134.82608695652175 A
2017-03-13T00:00:00-06:00,150.4375 A
2017-03-14T00:00:00-06:00,154.89583333333334 A
