Timestamp,['1ed629da-5de5bb71 0012-SUTTON BLDG POWER METER 480V (316601) Current C']
2017-01-01T00:00:00-07:00,208.28125 A
2017-01-02T00:00:00-07:00,208.14583333333334 A
2017-01-03T00:00:00-07:00,220.5 A
2017-01-04T00:00:00-07:00,225.14583333333334 A
2017-01-05T00:00:00-07:00,217.21875 A
2017-01-06T00:00:00-07:00,223.20833333333334 A
2017-01-07T00:00:00-07:00,209.125 A
2017-01-08T00:00:00-07:00,191.47916666666666 A
2017-01-09T00:00:00-07:00,257.5833333333333 A
2017-01-10T00:00:00-07:00,235.02083333333334 A
2017-01-11T00:00:00-07:00,238.58510638297872 A
2017-01-12T00:00:00-07:00,229.28125 A
2017-01-13T00:00:00-07:00,226.29166666666666 A
2017-01-14T00:00:00-07:00,213.08333333333334 A
2017-01-15T00:00:00-07:00,213.57291666666666 A
2017-01-16T00:00:00-07:00,208.51041666666666 A
2017-01-17T00:00:00-07:00,231.42708333333334 A
2017-01-18T00:00:00-07:00,238.9764705882353 A
2017-01-19T00:00:00-07:00,256.15625 A
2017-01-20T00:00:00-07:00,241.48958333333334 A
2017-01-21T00:00:00-07:00,218.71875 A
2017-01-22T00:00:00-07:00,215.02083333333334 A
2017-01-23T00:00:00-07:00,237.75 A
2017-01-24T00:00:00-07:00,233.14583333333334 A
2017-01-25T00:00:00-07:00,231.20833333333334 A
2017-01-26T00:00:00-07:00,229.81052631578947 A
2017-01-27T00:00:00-07:00,229.78125 A
2017-01-28T00:00:00-07:00,216.16666666666666 A
2017-01-29T00:00:00-07:00,220.86458333333334 A
2017-01-30T00:00:00-07:00,233.69791666666666 A
2017-01-31T00:00:00-07:00,232.4375 A
2017-02-01T00:00:00-07:00,240 A
2017-02-02T00:00:00-07:00,242.78125 A
2017-02-03T00:00:00-07:00,245.3728813559322 A
2017-02-07T00:00:00-07:00,300.86538461538464 A
2017-02-08T00:00:00-07:00,274.85555555555555 A
2017-02-09T00:00:00-07:00,288.59375 A
2017-02-10T00:00:00-07:00,273.53125 A
2017-02-11T00:00:00-07:00,216.39583333333334 A
2017-02-12T00:00:00-07:00,198.40625 A
2017-02-13T00:00:00-07:00,227.67708333333334 A
2017-02-14T00:00:00-07:00,234.05208333333334 A
2017-02-15T00:00:00-07:00,248.42708333333334 A
2017-02-16T00:00:00-07:00,269.8333333333333 A
2017-02-17T00:00:00-07:00,250.35416666666666 A
2017-02-18T00:00:00-07:00,256 A
2017-02-19T00:00:00-07:00,244.42708333333334 A
2017-02-20T00:00:00-07:00,258.0729166666667 A
2017-02-21T00:00:00-07:00,284.8958333333333 A
2017-02-22T00:00:00-07:00,221.63541666666666 A
2017-02-23T00:00:00-07:00,222.22105263157894 A
2017-02-24T00:00:00-07:00,208.7594936708861 A
2017-02-25T00:00:00-07:00,184.45833333333334 A
2017-02-26T00:00:00-07:00,210.42708333333334 A
2017-02-27T00:00:00-07:00,229.14583333333334 A
2017-02-28T00:00:00-07:00,229.36458333333334 A
2017-03-01T00:00:00-07:00,230.91666666666666 A
2017-03-02T00:00:00-07:00,226.1875 A
2017-03-03T00:00:00-07:00,257.2604166666667 A
2017-03-04T00:00:00-07:00,278.2395833333333 A
2017-03-05T00:00:00-07:00,253.66666666666666 A
2017-03-06T00:00:00-07:00,231.11458333333334 A
2017-03-07T00:00:00-07:00,233.55208333333334 A
2017-03-08T00:00:00-07:00,265.3958333333333 A
2017-03-09T00:00:00-07:00,293.5520833333333 A
2017-03-10T00:00:00-07:00,293.8020833333333 A
2017-03-11T00:00:00-07:00,254.26041666666666 A
2017-03-12T00:00:00-07:00,279.2173913043478 A
2017-03-13T00:00:00-06:00,289.8333333333333 A
2017-03-14T00:00:00-06:00,296.28125 A
2017-03-15T00:00:00-06:00,306.03125 A
2017-03-16T00:00:00-06:00,298.8645833333333 A
2017-03-17T00:00:00-06:00,293.03125 A
2017-03-18T00:00:00-06:00,292.6145833333333 A
2017-03-19T00:00:00-06:00,279.8125 A
2017-03-20T00:00:00-06:00,310.5 A
2017-03-21T00:00:00-06:00,317.125 A
2017-03-22T00:00:00-06:00,295.5208333333333 A
2017-03-23T00:00:00-06:00,238.1875 A
2017-03-24T00:00:00-06:00,267.5208333333333 A
2017-03-25T00:00:00-06:00,235.23958333333334 A
2017-03-26T00:00:00-06:00,243.8125 A
2017-03-27T00:00:00-06:00,246.40625 A
2017-03-28T00:00:00-06:00,253.95833333333334 A
2017-03-29T00:00:00-06:00,269.8333333333333 A
2017-03-30T00:00:00-06:00,262.53333333333336 A
2017-03-31T00:00:00-06:00,270.1979166666667 A
2017-04-01T00:00:00-06:00,297.84375 A
2017-04-02T00:00:00-06:00,262.625 A
2017-04-03T00:00:00-06:00,259.28125 A
2017-04-04T00:00:00-06:00,249.77083333333334 A
2017-04-05T00:00:00-06:00,265.03125 A
2017-04-06T00:00:00-06:00,310.0625 A
2017-04-07T00:00:00-06:00,313.4895833333333 A
2017-04-08T00:00:00-06:00,246.09375 A
2017-04-09T00:00:00-06:00,222.44791666666666 A
2017-04-10T00:00:00-06:00,276.21875 A
2017-04-11T00:00:00-06:00,284.0104166666667 A
2017-04-12T00:00:00-06:00,322.46875 A
2017-04-13T00:00:00-06:00,319 A
2017-04-14T00:00:00-06:00,275.9895833333333 A
2017-04-15T00:00:00-06:00,247.97916666666666 A
2017-04-16T00:00:00-06:00,281.0416666666667 A
2017-04-17T00:00:00-06:00,314.9895833333333 A
2017-04-18T00:00:00-06:00,296.2916666666667 A
2017-04-19T00:00:00-06:00,268.4166666666667 A
2017-04-20T00:00:00-06:00,275.4791666666667 A
2017-04-21T00:00:00-06:00,257.1041666666667 A
2017-04-22T00:00:00-06:00,242.125 A
2017-04-23T00:00:00-06:00,269.5208333333333 A
2017-04-24T00:00:00-06:00,254.11458333333334 A
2017-04-25T00:00:00-06:00,228.45833333333334 A
2017-04-26T00:00:00-06:00,243.10416666666666 A
2017-04-27T00:00:00-06:00,241.9375 A
2017-04-28T00:00:00-06:00,221.63541666666666 A
2017-04-29T00:00:00-06:00,237.61458333333334 A
2017-04-30T00:00:00-06:00,256.6979166666667 A
2017-05-01T00:00:00-06:00,299.0729166666667 A
2017-05-02T00:00:00-06:00,288.4791666666667 A
2017-05-03T00:00:00-06:00,300.0208333333333 A
2017-05-04T00:00:00-06:00,295.4375 A
2017-05-05T00:00:00-06:00,311.6145833333333 A
2017-05-06T00:00:00-06:00,298.09375 A
2017-05-07T00:00:00-06:00,293.9479166666667 A
2017-05-08T00:00:00-06:00,306.75 A
2017-05-09T00:00:00-06:00,307.3854166666667 A
2017-05-10T00:00:00-06:00,305.0625 A
2017-05-11T00:00:00-06:00,311.4895833333333 A
2017-05-12T00:00:00-06:00,309.8125 A
2017-05-13T00:00:00-06:00,261.7708333333333 A
2017-05-14T00:00:00-06:00,271.3854166666667 A
2017-05-15T00:00:00-06:00,287.7916666666667 A
2017-05-16T00:00:00-06:00,293.5520833333333 A
2017-05-17T00:00:00-06:00,234.5 A
2017-05-18T00:00:00-06:00,222.27083333333334 A
2017-05-19T00:00:00-06:00,250.47916666666666 A
2017-05-20T00:00:00-06:00,280.3333333333333 A
2017-05-21T00:00:00-06:00,278.2916666666667 A
2017-05-22T00:00:00-06:00,294.78125 A
2017-05-23T00:00:00-06:00,313.7708333333333 A
2017-05-24T00:00:00-06:00,310.7291666666667 A
2017-05-25T00:00:00-06:00,306.75 A
2017-05-26T00:00:00-06:00,296.3333333333333 A
2017-05-27T00:00:00-06:00,278.34375 A
2017-05-28T00:00:00-06:00,289.7578947368421 A
2017-05-29T00:00:00-06:00,291.0520833333333 A
