Timestamp,"['1ee9ae68-7916b449 0053-OLPIN UNION Power Meter (53-2) 300116 Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,83.30260467529297 kW
2017-01-02T00:00:00-07:00,81.56573486328125 kW
2017-01-03T00:00:00-07:00,119.22418212890625 kW
2017-01-04T00:00:00-07:00,117.90971374511719 kW
2017-01-05T00:00:00-07:00,120.89942932128906 kW
2017-01-06T00:00:00-07:00,126.60930633544922 kW
2017-01-07T00:00:00-07:00,97.5965576171875 kW
2017-01-08T00:00:00-07:00,95.8462905883789 kW
2017-01-09T00:00:00-07:00,141.85633850097656 kW
2017-01-10T00:00:00-07:00,139.7334747314453 kW
2017-01-11T00:00:00-07:00,160.5570831298828 kW
2017-01-12T00:00:00-07:00,139.82821655273438 kW
2017-01-13T00:00:00-07:00,138.17079162597656 kW
2017-01-14T00:00:00-07:00,85.23587036132812 kW
2017-01-15T00:00:00-07:00,79.02041625976562 kW
2017-01-16T00:00:00-07:00,71.54027557373047 kW
2017-01-17T00:00:00-07:00,141.92845153808594 kW
2017-01-18T00:00:00-07:00,139.26377868652344 kW
2017-01-19T00:00:00-07:00,133.11585998535156 kW
2017-01-20T00:00:00-07:00,136.63763427734375 kW
2017-01-21T00:00:00-07:00,92.0199203491211 kW
2017-01-22T00:00:00-07:00,83.98707580566406 kW
2017-01-23T00:00:00-07:00,135.49037170410156 kW
2017-01-24T00:00:00-07:00,140.07872009277344 kW
2017-01-25T00:00:00-07:00,143.5282745361328 kW
2017-01-26T00:00:00-07:00,143.20364379882812 kW
2017-01-27T00:00:00-07:00,144.74415588378906 kW
2017-01-28T00:00:00-07:00,92.57560729980469 kW
2017-01-29T00:00:00-07:00,90.47203826904297 kW
2017-01-30T00:00:00-07:00,139.02554321289062 kW
2017-01-31T00:00:00-07:00,144.38796997070312 kW
2017-02-01T00:00:00-07:00,152.74200439453125 kW
2017-02-02T00:00:00-07:00,146.21304321289062 kW
2017-02-03T00:00:00-07:00,134.0776824951172 kW
2017-02-07T00:00:00-07:00,143.58555603027344 kW
2017-02-08T00:00:00-07:00,133.97921752929688 kW
2017-02-09T00:00:00-07:00,135.10862731933594 kW
2017-02-10T00:00:00-07:00,140.8087615966797 kW
2017-02-11T00:00:00-07:00,104.2525863647461 kW
2017-02-12T00:00:00-07:00,95.9781265258789 kW
2017-02-13T00:00:00-07:00,138.92601013183594 kW
2017-02-14T00:00:00-07:00,145.02723693847656 kW
2017-02-15T00:00:00-07:00,151.18096923828125 kW
2017-02-16T00:00:00-07:00,135.4477081298828 kW
2017-02-17T00:00:00-07:00,140.90077209472656 kW
2017-02-18T00:00:00-07:00,93.92334747314453 kW
2017-02-19T00:00:00-07:00,75.74188995361328 kW
2017-02-20T00:00:00-07:00,82.85352325439453 kW
2017-02-21T00:00:00-07:00,136.08950805664062 kW
2017-02-22T00:00:00-07:00,144.03439331054688 kW
2017-02-23T00:00:00-07:00,137.6259002685547 kW
2017-02-24T00:00:00-07:00,125.12033081054688 kW
2017-02-25T00:00:00-07:00,98.048095703125 kW
2017-02-26T00:00:00-07:00,95.46894073486328 kW
2017-02-27T00:00:00-07:00,147.13711547851562 kW
2017-02-28T00:00:00-07:00,142.19723510742188 kW
2017-03-01T00:00:00-07:00,147.46224975585938 kW
2017-03-02T00:00:00-07:00,153.05239868164062 kW
2017-03-03T00:00:00-07:00,146.81561279296875 kW
2017-03-04T00:00:00-07:00,94.14106750488281 kW
2017-03-05T00:00:00-07:00,94.31725311279297 kW
2017-03-06T00:00:00-07:00,138.97731018066406 kW
2017-03-07T00:00:00-07:00,135.22291564941406 kW
2017-03-08T00:00:00-07:00,143.0948028564453 kW
2017-03-09T00:00:00-07:00,141.30746459960938 kW
2017-03-10T00:00:00-07:00,128.06475830078125 kW
2017-03-11T00:00:00-07:00,95.44844818115234 kW
2017-03-12T00:00:00-07:00,83.12174987792969 kW
2017-03-13T00:00:00-06:00,115.24364471435547 kW
2017-03-14T00:00:00-06:00,110.74385833740234 kW
2017-03-15T00:00:00-06:00,114.34683227539062 kW
2017-03-16T00:00:00-06:00,123.7796401977539 kW
2017-03-17T00:00:00-06:00,125.73604583740234 kW
2017-03-18T00:00:00-06:00,85.2977294921875 kW
2017-03-19T00:00:00-06:00,81.14179229736328 kW
2017-03-20T00:00:00-06:00,138.8957977294922 kW
2017-03-21T00:00:00-06:00,141.21043395996094 kW
2017-03-22T00:00:00-06:00,137.90188598632812 kW
2017-03-23T00:00:00-06:00,139.669677734375 kW
2017-03-24T00:00:00-06:00,139.8553466796875 kW
2017-03-25T00:00:00-06:00,90.9757080078125 kW
2017-03-26T00:00:00-06:00,91.5806655883789 kW
2017-03-27T00:00:00-06:00,135.76136779785156 kW
2017-03-28T00:00:00-06:00,134.21282958984375 kW
2017-03-29T00:00:00-06:00,139.33363342285156 kW
2017-03-30T00:00:00-06:00,137.5460662841797 kW
2017-03-31T00:00:00-06:00,141.60362243652344 kW
2017-04-01T00:00:00-06:00,88.79125213623047 kW
2017-04-02T00:00:00-06:00,87.6494140625 kW
2017-04-03T00:00:00-06:00,130.9963836669922 kW
2017-04-04T00:00:00-06:00,142.78909301757812 kW
2017-04-05T00:00:00-06:00,139.39125061035156 kW
2017-04-06T00:00:00-06:00,137.0109405517578 kW
2017-04-07T00:00:00-06:00,141.70240783691406 kW
2017-04-08T00:00:00-06:00,101.70465087890625 kW
2017-04-09T00:00:00-06:00,91.38236999511719 kW
2017-04-10T00:00:00-06:00,143.96434020996094 kW
2017-04-11T00:00:00-06:00,141.2721405029297 kW
2017-04-12T00:00:00-06:00,138.88894653320312 kW
2017-04-13T00:00:00-06:00,143.4471435546875 kW
2017-04-14T00:00:00-06:00,139.51637268066406 kW
2017-04-15T00:00:00-06:00,94.98816680908203 kW
2017-04-16T00:00:00-06:00,81.26321411132812 kW
2017-04-17T00:00:00-06:00,138.64678955078125 kW
2017-04-18T00:00:00-06:00,139.9477081298828 kW
2017-04-19T00:00:00-06:00,139.94711303710938 kW
2017-04-20T00:00:00-06:00,148.17831420898438 kW
2017-04-21T00:00:00-06:00,138.64610290527344 kW
2017-04-22T00:00:00-06:00,90.82833099365234 kW
2017-04-23T00:00:00-06:00,85.42720794677734 kW
2017-04-24T00:00:00-06:00,141.25094604492188 kW
2017-04-25T00:00:00-06:00,134.8837432861328 kW
2017-04-26T00:00:00-06:00,138.2660675048828 kW
2017-04-27T00:00:00-06:00,139.6293182373047 kW
2017-04-28T00:00:00-06:00,127.7884750366211 kW
2017-04-29T00:00:00-06:00,87.57548522949219 kW
2017-04-30T00:00:00-06:00,86.28495788574219 kW
2017-05-01T00:00:00-06:00,127.21778106689453 kW
2017-05-02T00:00:00-06:00,134.4628448486328 kW
2017-05-03T00:00:00-06:00,127.76104736328125 kW
2017-05-04T00:00:00-06:00,130.1165771484375 kW
2017-05-05T00:00:00-06:00,130.09474182128906 kW
2017-05-06T00:00:00-06:00,85.04961395263672 kW
2017-05-07T00:00:00-06:00,80.22208404541016 kW
2017-05-08T00:00:00-06:00,111.54743957519531 kW
2017-05-09T00:00:00-06:00,112.67498016357422 kW
2017-05-10T00:00:00-06:00,112.36151885986328 kW
2017-05-11T00:00:00-06:00,112.2542724609375 kW
2017-05-12T00:00:00-06:00,113.17835235595703 kW
2017-05-13T00:00:00-06:00,86.10690307617188 kW
2017-05-14T00:00:00-06:00,81.64956665039062 kW
2017-05-15T00:00:00-06:00,120.3328628540039 kW
2017-05-16T00:00:00-06:00,114.2201919555664 kW
2017-05-17T00:00:00-06:00,116.91777801513672 kW
2017-05-18T00:00:00-06:00,123.1220703125 kW
2017-05-19T00:00:00-06:00,114.8431625366211 kW
2017-05-20T00:00:00-06:00,85.89595794677734 kW
