Timestamp,['1ee9af9c-a39337f4 0053-OLPIN UNION Power Meter (53-1) Current C']
2017-01-01T00:00:00-07:00,51.36810004711151 A
2017-01-02T00:00:00-07:00,51.15104512373606 A
2017-01-03T00:00:00-07:00,58.16879312197367 A
2017-01-04T00:00:00-07:00,60.52141431967417 A
2017-01-05T00:00:00-07:00,57.80513000488281 A
2017-01-06T00:00:00-07:00,57.617395202318825 A
2017-01-07T00:00:00-07:00,54.98591979344686 A
2017-01-08T00:00:00-07:00,55.37541127204895 A
2017-01-09T00:00:00-07:00,62.584423224131264 A
2017-01-10T00:00:00-07:00,62.79613196849823 A
2017-01-11T00:00:00-07:00,63.20794804890951 A
2017-01-12T00:00:00-07:00,63.64891211191813 A
2017-01-13T00:00:00-07:00,61.64400815963745 A
2017-01-14T00:00:00-07:00,57.75785672664642 A
2017-01-15T00:00:00-07:00,52.92579436302185 A
2017-01-16T00:00:00-07:00,52.65143426259359 A
2017-01-17T00:00:00-07:00,62.55645863215128 A
2017-01-18T00:00:00-07:00,63.00481926215874 A
2017-01-19T00:00:00-07:00,61.40228736400604 A
2017-01-20T00:00:00-07:00,58.966809233029686 A
2017-01-21T00:00:00-07:00,53.73014314969381 A
2017-01-22T00:00:00-07:00,52.80460556348165 A
2017-01-23T00:00:00-07:00,61.20898528893789 A
2017-01-24T00:00:00-07:00,61.28059208393097 A
2017-01-25T00:00:00-07:00,62.21595907211304 A
2017-01-26T00:00:00-07:00,61.548827250798546 A
2017-01-27T00:00:00-07:00,62.08026313781738 A
2017-01-28T00:00:00-07:00,56.64473648866018 A
2017-01-29T00:00:00-07:00,55.727574586868286 A
2017-01-30T00:00:00-07:00,61.65000553925832 A
2017-01-31T00:00:00-07:00,60.81035383542379 A
2017-02-01T00:00:00-07:00,60.881970842679344 A
2017-02-02T00:00:00-07:00,61.80474849541982 A
2017-02-03T00:00:00-07:00,60.11883745355121 A
2017-02-07T00:00:00-07:00,67.3840285656499 A
2017-02-08T00:00:00-07:00,62.185655489072694 A
2017-02-09T00:00:00-07:00,60.48454244931539 A
2017-02-10T00:00:00-07:00,59.477312088012695 A
2017-02-11T00:00:00-07:00,57.7653564453125 A
2017-02-12T00:00:00-07:00,58.041621486345925 A
2017-02-13T00:00:00-07:00,63.70768531163534 A
2017-02-14T00:00:00-07:00,63.13747111956278 A
2017-02-15T00:00:00-07:00,63.926194151242576 A
2017-02-16T00:00:00-07:00,63.30703063805898 A
2017-02-17T00:00:00-07:00,62.76638249556223 A
2017-02-18T00:00:00-07:00,58.1544383764267 A
2017-02-19T00:00:00-07:00,52.97516516844431 A
2017-02-20T00:00:00-07:00,55.40795886516571 A
2017-02-21T00:00:00-07:00,62.93821084499359 A
2017-02-22T00:00:00-07:00,62.86692988872528 A
2017-02-23T00:00:00-07:00,62.097161968549095 A
2017-02-24T00:00:00-07:00,59.18331716030459 A
2017-02-25T00:00:00-07:00,56.60040366649628 A
2017-02-26T00:00:00-07:00,55.88409113883972 A
2017-02-27T00:00:00-07:00,61.239373564720154 A
2017-02-28T00:00:00-07:00,60.991541028022766 A
2017-03-01T00:00:00-07:00,61.12403213977814 A
2017-03-02T00:00:00-07:00,63.61304088433584 A
2017-03-03T00:00:00-07:00,63.48951927820841 A
2017-03-04T00:00:00-07:00,56.55378317832947 A
2017-03-05T00:00:00-07:00,56.13622316059313 A
2017-03-06T00:00:00-07:00,61.84815235932668 A
2017-03-07T00:00:00-07:00,63.24458050727844 A
2017-03-08T00:00:00-07:00,63.6016659339269 A
2017-03-09T00:00:00-07:00,64.96641357739766 A
2017-03-10T00:00:00-07:00,62.74888777732849 A
2017-03-11T00:00:00-07:00,55.556849559148155 A
2017-03-12T00:00:00-07:00,55.0321101727693 A
2017-03-13T00:00:00-06:00,58.22618091106415 A
2017-03-14T00:00:00-06:00,56.76224545637766 A
2017-03-15T00:00:00-06:00,58.082462430000305 A
2017-03-16T00:00:00-06:00,59.007749716440834 A
2017-03-17T00:00:00-06:00,58.38464367389679 A
2017-03-18T00:00:00-06:00,52.1443110704422 A
2017-03-19T00:00:00-06:00,50.105034271876015 A
2017-03-20T00:00:00-06:00,63.6587202946345 A
2017-03-21T00:00:00-06:00,61.66188883781433 A
2017-03-22T00:00:00-06:00,60.57552627722422 A
2017-03-23T00:00:00-06:00,60.63022391001383 A
2017-03-24T00:00:00-06:00,62.26717929045359 A
2017-03-25T00:00:00-06:00,57.345356384913124 A
2017-03-26T00:00:00-06:00,53.58328262964884 A
2017-03-27T00:00:00-06:00,61.44954105218252 A
2017-03-28T00:00:00-06:00,63.95524422327677 A
2017-03-29T00:00:00-06:00,64.22068972057767 A
2017-03-30T00:00:00-06:00,67.48416408962673 A
2017-03-31T00:00:00-06:00,62.79374770323435 A
2017-04-01T00:00:00-06:00,59.330058217048645 A
2017-04-02T00:00:00-06:00,55.38806370894114 A
2017-04-03T00:00:00-06:00,60.52147948741913 A
2017-04-04T00:00:00-06:00,62.00352851549784 A
2017-04-05T00:00:00-06:00,63.79678384462992 A
2017-04-06T00:00:00-06:00,64.3585495154063 A
2017-04-07T00:00:00-06:00,61.896047830581665 A
2017-04-08T00:00:00-06:00,56.70092785358429 A
2017-04-09T00:00:00-06:00,56.74784537156423 A
2017-04-10T00:00:00-06:00,62.198859333992004 A
2017-04-11T00:00:00-06:00,60.99235745271047 A
2017-04-12T00:00:00-06:00,61.4709609746933 A
2017-04-13T00:00:00-06:00,62.0563260714213 A
2017-04-14T00:00:00-06:00,62.08290310700735 A
2017-04-15T00:00:00-06:00,57.17545143763224 A
2017-04-16T00:00:00-06:00,54.647765040397644 A
2017-04-17T00:00:00-06:00,60.867697517077126 A
2017-04-18T00:00:00-06:00,60.36709415912628 A
2017-04-19T00:00:00-06:00,61.03135013580322 A
2017-04-20T00:00:00-06:00,62.29372147719065 A
2017-04-21T00:00:00-06:00,62.91758521397909 A
2017-04-22T00:00:00-06:00,56.39440727233887 A
2017-04-23T00:00:00-06:00,56.2419810295105 A
2017-04-24T00:00:00-06:00,64.01844990253448 A
2017-04-25T00:00:00-06:00,64.32008759180705 A
2017-04-26T00:00:00-06:00,62.26752738157908 A
2017-04-27T00:00:00-06:00,61.271013498306274 A
2017-04-28T00:00:00-06:00,61.706872502962746 A
2017-04-29T00:00:00-06:00,56.861186941464744 A
2017-04-30T00:00:00-06:00,56.933864514033 A
2017-05-01T00:00:00-06:00,62.050018668174744 A
