Timestamp,['1ef467c9-78558dc5 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current A']
2017-01-01T00:00:00-07:00,81.7141474088033 A
2017-01-02T00:00:00-07:00,84.52648278077443 A
2017-01-03T00:00:00-07:00,94.38545759518941 A
2017-01-04T00:00:00-07:00,95.73472444216411 A
2017-01-05T00:00:00-07:00,96.85527964433034 A
2017-01-06T00:00:00-07:00,99.61405754089355 A
2017-01-07T00:00:00-07:00,84.32743394374847 A
2017-01-08T00:00:00-07:00,82.03537261486053 A
2017-01-09T00:00:00-07:00,106.36431614557902 A
2017-01-10T00:00:00-07:00,104.71782350540161 A
2017-01-11T00:00:00-07:00,102.48958738644917 A
2017-01-12T00:00:00-07:00,100.35536686579387 A
2017-01-13T00:00:00-07:00,100.51502879460652 A
2017-01-14T00:00:00-07:00,79.48138856887817 A
2017-01-15T00:00:00-07:00,79.42301746209462 A
2017-01-16T00:00:00-07:00,81.89466925462087 A
2017-01-17T00:00:00-07:00,106.9232542514801 A
2017-01-18T00:00:00-07:00,100.23121043613979 A
2017-01-19T00:00:00-07:00,112.58906237284343 A
2017-01-20T00:00:00-07:00,103.00783777236938 A
2017-01-21T00:00:00-07:00,79.29779553413391 A
2017-01-22T00:00:00-07:00,79.20201690991719 A
2017-01-23T00:00:00-07:00,102.74648022651672 A
2017-01-24T00:00:00-07:00,105.57656629880269 A
2017-01-25T00:00:00-07:00,107.82750471433003 A
2017-01-26T00:00:00-07:00,106.04868547121684 A
2017-01-27T00:00:00-07:00,102.72228527069092 A
2017-01-28T00:00:00-07:00,81.86046822865804 A
2017-01-29T00:00:00-07:00,83.12227813402812 A
2017-01-30T00:00:00-07:00,105.37320311864217 A
2017-01-31T00:00:00-07:00,105.32555596033733 A
2017-02-01T00:00:00-07:00,108.43727795283 A
2017-02-02T00:00:00-07:00,111.35367782910664 A
2017-02-03T00:00:00-07:00,112.90028808076502 A
2017-02-07T00:00:00-07:00,110.8465994199117 A
