Timestamp,"['1ef4683e-786dc825 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 W-hours, Received']"
2017-01-01T00:00:00-07:00,487.34375 kWh
2017-01-02T00:00:00-07:00,526.34375 kWh
2017-01-03T00:00:00-07:00,586.625 kWh
2017-01-04T00:00:00-07:00,586.03125 kWh
2017-01-05T00:00:00-07:00,604.9375 kWh
2017-01-06T00:00:00-07:00,617.96875 kWh
2017-01-07T00:00:00-07:00,512.6875 kWh
2017-01-08T00:00:00-07:00,495.71875 kWh
2017-01-09T00:00:00-07:00,680.9375 kWh
2017-01-10T00:00:00-07:00,693.25 kWh
2017-01-11T00:00:00-07:00,684.8125 kWh
2017-01-12T00:00:00-07:00,666.84375 kWh
2017-01-13T00:00:00-07:00,647.3125 kWh
2017-01-14T00:00:00-07:00,502.25 kWh
2017-01-15T00:00:00-07:00,490 kWh
2017-01-16T00:00:00-07:00,519 kWh
2017-01-17T00:00:00-07:00,724.875 kWh
2017-01-18T00:00:00-07:00,680.71875 kWh
2017-01-19T00:00:00-07:00,706.4375 kWh
2017-01-20T00:00:00-07:00,662.09375 kWh
2017-01-21T00:00:00-07:00,484.46875 kWh
2017-01-22T00:00:00-07:00,478.46875 kWh
2017-01-23T00:00:00-07:00,676.90625 kWh
2017-01-24T00:00:00-07:00,687.65625 kWh
2017-01-25T00:00:00-07:00,683.375 kWh
2017-01-26T00:00:00-07:00,690.53125 kWh
2017-01-27T00:00:00-07:00,657.4375 kWh
2017-01-28T00:00:00-07:00,502.96875 kWh
2017-01-29T00:00:00-07:00,497 kWh
2017-01-30T00:00:00-07:00,712.84375 kWh
2017-01-31T00:00:00-07:00,681.875 kWh
2017-02-01T00:00:00-07:00,689.5 kWh
2017-02-02T00:00:00-07:00,685.09375 kWh
2017-02-03T00:00:00-07:00,2731.78125 kWh
2017-02-07T00:00:00-07:00,388.9375 kWh
2017-02-08T00:00:00-07:00,690.375 kWh
2017-02-09T00:00:00-07:00,650.375 kWh
2017-02-10T00:00:00-07:00,696.96875 kWh
2017-02-11T00:00:00-07:00,494.21875 kWh
2017-02-12T00:00:00-07:00,464.5625 kWh
2017-02-13T00:00:00-07:00,718.46875 kWh
2017-02-14T00:00:00-07:00,696.5 kWh
2017-02-15T00:00:00-07:00,705.6875 kWh
2017-02-16T00:00:00-07:00,703.96875 kWh
2017-02-17T00:00:00-07:00,644.40625 kWh
2017-02-18T00:00:00-07:00,498.53125 kWh
2017-02-19T00:00:00-07:00,487.1875 kWh
2017-02-20T00:00:00-07:00,503.875 kWh
2017-02-21T00:00:00-07:00,727.5625 kWh
2017-02-22T00:00:00-07:00,728.125 kWh
2017-02-23T00:00:00-07:00,698.75 kWh
2017-02-24T00:00:00-07:00,685.71875 kWh
2017-02-25T00:00:00-07:00,543.78125 kWh
2017-02-26T00:00:00-07:00,552.75 kWh
2017-02-27T00:00:00-07:00,749.40625 kWh
2017-02-28T00:00:00-07:00,745 kWh
2017-03-01T00:00:00-07:00,698.1875 kWh
2017-03-02T00:00:00-07:00,674.1875 kWh
2017-03-03T00:00:00-07:00,718.59375 kWh
2017-03-04T00:00:00-07:00,506.09375 kWh
2017-03-05T00:00:00-07:00,489.59375 kWh
2017-03-06T00:00:00-07:00,730.5 kWh
2017-03-07T00:00:00-07:00,699.46875 kWh
2017-03-08T00:00:00-07:00,668.5 kWh
2017-03-09T00:00:00-07:00,627.8125 kWh
2017-03-10T00:00:00-07:00,599.09375 kWh
2017-03-11T00:00:00-07:00,487.6875 kWh
2017-03-12T00:00:00-07:00,423.5625 kWh
2017-03-13T00:00:00-06:00,579.28125 kWh
2017-03-14T00:00:00-06:00,608.375 kWh
2017-03-15T00:00:00-06:00,615.25 kWh
2017-03-16T00:00:00-06:00,590.09375 kWh
2017-03-17T00:00:00-06:00,584.1875 kWh
2017-03-18T00:00:00-06:00,466.65625 kWh
2017-03-19T00:00:00-06:00,484.65625 kWh
2017-03-20T00:00:00-06:00,669.09375 kWh
2017-03-21T00:00:00-06:00,648.1875 kWh
2017-03-22T00:00:00-06:00,682.375 kWh
2017-03-23T00:00:00-06:00,717.5625 kWh
2017-03-24T00:00:00-06:00,735.0625 kWh
2017-03-25T00:00:00-06:00,553.09375 kWh
2017-03-26T00:00:00-06:00,517.625 kWh
2017-03-27T00:00:00-06:00,763.3125 kWh
2017-03-28T00:00:00-06:00,702.875 kWh
2017-03-29T00:00:00-06:00,1100.4375 kWh
2017-03-30T00:00:00-06:00,352.3125 kWh
2017-03-31T00:00:00-06:00,704.46875 kWh
2017-04-01T00:00:00-06:00,495.90625 kWh
2017-04-02T00:00:00-06:00,498.59375 kWh
2017-04-03T00:00:00-06:00,720.96875 kWh
2017-04-04T00:00:00-06:00,695.71875 kWh
2017-04-05T00:00:00-06:00,682.6875 kWh
2017-04-06T00:00:00-06:00,636.96875 kWh
2017-04-07T00:00:00-06:00,681.71875 kWh
2017-04-08T00:00:00-06:00,500.09375 kWh
2017-04-09T00:00:00-06:00,499.6875 kWh
2017-04-10T00:00:00-06:00,737.28125 kWh
2017-04-11T00:00:00-06:00,701.40625 kWh
2017-04-12T00:00:00-06:00,698.75 kWh
2017-04-13T00:00:00-06:00,662.5 kWh
2017-04-14T00:00:00-06:00,659.75 kWh
2017-04-15T00:00:00-06:00,736.0625 kWh
2017-04-16T00:00:00-06:00,497.03125 kWh
2017-04-17T00:00:00-06:00,744 kWh
2017-04-18T00:00:00-06:00,696.25 kWh
2017-04-19T00:00:00-06:00,691 kWh
2017-04-20T00:00:00-06:00,674.4375 kWh
2017-04-21T00:00:00-06:00,645.0625 kWh
2017-04-22T00:00:00-06:00,487.4375 kWh
2017-04-23T00:00:00-06:00,474.6875 kWh
2017-04-24T00:00:00-06:00,734.25 kWh
2017-04-25T00:00:00-06:00,712.4375 kWh
2017-04-26T00:00:00-06:00,700.09375 kWh
2017-04-27T00:00:00-06:00,683.65625 kWh
2017-04-28T00:00:00-06:00,721 kWh
2017-04-29T00:00:00-06:00,576.90625 kWh
2017-04-30T00:00:00-06:00,568 kWh
2017-05-01T00:00:00-06:00,765.1875 kWh
2017-05-02T00:00:00-06:00,770.3125 kWh
2017-05-03T00:00:00-06:00,763.40625 kWh
2017-05-04T00:00:00-06:00,753.21875 kWh
2017-05-05T00:00:00-06:00,742.09375 kWh
2017-05-06T00:00:00-06:00,547 kWh
2017-05-07T00:00:00-06:00,519.0625 kWh
2017-05-08T00:00:00-06:00,715.5 kWh
2017-05-09T00:00:00-06:00,719.15625 kWh
2017-05-10T00:00:00-06:00,683.71875 kWh
2017-05-11T00:00:00-06:00,667.96875 kWh
2017-05-12T00:00:00-06:00,601.875 kWh
2017-05-13T00:00:00-06:00,540.90625 kWh
2017-05-14T00:00:00-06:00,539.21875 kWh
2017-05-15T00:00:00-06:00,753.65625 kWh
2017-05-16T00:00:00-06:00,676.625 kWh
2017-05-17T00:00:00-06:00,777.96875 kWh
2017-05-18T00:00:00-06:00,683.84375 kWh
2017-05-19T00:00:00-06:00,790 kWh
2017-05-20T00:00:00-06:00,560.375 kWh
2017-05-21T00:00:00-06:00,556.1875 kWh
2017-05-22T00:00:00-06:00,722.75 kWh
2017-05-23T00:00:00-06:00,735.75 kWh
2017-05-24T00:00:00-06:00,704.90625 kWh
2017-05-25T00:00:00-06:00,756.75 kWh
2017-05-26T00:00:00-06:00,678.125 kWh
2017-05-27T00:00:00-06:00,556.75 kWh
2017-05-28T00:00:00-06:00,517.5 kWh
2017-05-29T00:00:00-06:00,525.53125 kWh
2017-05-30T00:00:00-06:00,693.09375 kWh
2017-05-31T00:00:00-06:00,675.5 kWh
2017-06-01T00:00:00-06:00,753.46875 kWh
2017-06-02T00:00:00-06:00,729.28125 kWh
2017-06-03T00:00:00-06:00,523.1875 kWh
2017-06-04T00:00:00-06:00,522.96875 kWh
2017-06-05T00:00:00-06:00,695.0625 kWh
2017-06-06T00:00:00-06:00,707.53125 kWh
2017-06-07T00:00:00-06:00,728.1875 kWh
2017-06-08T00:00:00-06:00,756.75 kWh
2017-06-09T00:00:00-06:00,713.875 kWh
2017-06-10T00:00:00-06:00,525 kWh
2017-06-11T00:00:00-06:00,543.8125 kWh
2017-06-12T00:00:00-06:00,698.03125 kWh
2017-06-13T00:00:00-06:00,701.90625 kWh
2017-06-14T00:00:00-06:00,697.9375 kWh
2017-06-15T00:00:00-06:00,642.84375 kWh
2017-06-16T00:00:00-06:00,638.3125 kWh
2017-06-17T00:00:00-06:00,578.84375 kWh
2017-06-18T00:00:00-06:00,528.125 kWh
2017-06-19T00:00:00-06:00,653.28125 kWh
2017-06-20T00:00:00-06:00,687.125 kWh
2017-06-21T00:00:00-06:00,780.65625 kWh
2017-06-22T00:00:00-06:00,663.78125 kWh
2017-06-23T00:00:00-06:00,762.5 kWh
2017-06-24T00:00:00-06:00,551.8125 kWh
2017-06-25T00:00:00-06:00,517.46875 kWh
2017-06-26T00:00:00-06:00,678.40625 kWh
2017-06-27T00:00:00-06:00,658.59375 kWh
2017-06-28T00:00:00-06:00,682.34375 kWh
2017-06-29T00:00:00-06:00,634.625 kWh
2017-06-30T00:00:00-06:00,669.53125 kWh
2017-07-01T00:00:00-06:00,498.5625 kWh
2017-07-02T00:00:00-06:00,508.53125 kWh
2017-07-03T00:00:00-06:00,609.28125 kWh
2017-07-04T00:00:00-06:00,499.65625 kWh
2017-07-05T00:00:00-06:00,659.6875 kWh
2017-07-06T00:00:00-06:00,652.71875 kWh
2017-07-07T00:00:00-06:00,621.3125 kWh
2017-07-08T00:00:00-06:00,525.25 kWh
2017-07-09T00:00:00-06:00,523.25 kWh
2017-07-10T00:00:00-06:00,701.5 kWh
2017-07-11T00:00:00-06:00,662.5 kWh
2017-07-12T00:00:00-06:00,675.53125 kWh
2017-07-13T00:00:00-06:00,657.34375 kWh
2017-07-14T00:00:00-06:00,654.78125 kWh
2017-07-15T00:00:00-06:00,526.78125 kWh
2017-07-16T00:00:00-06:00,539.03125 kWh
2017-07-17T00:00:00-06:00,708.3125 kWh
2017-07-18T00:00:00-06:00,727.40625 kWh
2017-07-19T00:00:00-06:00,723.375 kWh
2017-07-20T00:00:00-06:00,681.53125 kWh
2017-07-21T00:00:00-06:00,601.15625 kWh
2017-07-22T00:00:00-06:00,516.0625 kWh
2017-07-23T00:00:00-06:00,505.59375 kWh
2017-07-24T00:00:00-06:00,527.3125 kWh
2017-07-25T00:00:00-06:00,640 kWh
2017-07-26T00:00:00-06:00,673.9375 kWh
2017-07-27T00:00:00-06:00,718.34375 kWh
2017-07-28T00:00:00-06:00,630.78125 kWh
2017-07-29T00:00:00-06:00,496.4375 kWh
2017-07-30T00:00:00-06:00,508.4375 kWh
2017-07-31T00:00:00-06:00,629.78125 kWh
2017-08-01T00:00:00-06:00,632.4375 kWh
2017-08-02T00:00:00-06:00,629.9375 kWh
2017-08-03T00:00:00-06:00,612.1875 kWh
2017-08-04T00:00:00-06:00,688.125 kWh
2017-08-05T00:00:00-06:00,510.9375 kWh
2017-08-06T00:00:00-06:00,523.46875 kWh
2017-08-07T00:00:00-06:00,721.5625 kWh
2017-08-08T00:00:00-06:00,645.65625 kWh
2017-08-09T00:00:00-06:00,622.375 kWh
2017-08-10T00:00:00-06:00,579.21875 kWh
2017-08-11T00:00:00-06:00,687.03125 kWh
2017-08-12T00:00:00-06:00,506.5 kWh
2017-08-13T00:00:00-06:00,513.625 kWh
2017-08-14T00:00:00-06:00,679.46875 kWh
2017-08-15T00:00:00-06:00,659.8125 kWh
2017-08-16T00:00:00-06:00,681.34375 kWh
2017-08-17T00:00:00-06:00,684.34375 kWh
2017-08-18T00:00:00-06:00,665.21875 kWh
2017-08-19T00:00:00-06:00,505.0625 kWh
2017-08-20T00:00:00-06:00,509.78125 kWh
2017-08-21T00:00:00-06:00,710.28125 kWh
2017-08-22T00:00:00-06:00,732.53125 kWh
2017-08-23T00:00:00-06:00,745.09375 kWh
2017-08-24T00:00:00-06:00,846.90625 kWh
2017-08-25T00:00:00-06:00,785.59375 kWh
2017-08-26T00:00:00-06:00,556.03125 kWh
2017-08-27T00:00:00-06:00,532.65625 kWh
2017-08-28T00:00:00-06:00,765.46875 kWh
2017-08-29T00:00:00-06:00,732.84375 kWh
2017-08-30T00:00:00-06:00,748.875 kWh
2017-08-31T00:00:00-06:00,733.875 kWh
2017-09-01T00:00:00-06:00,715.0625 kWh
2017-09-02T00:00:00-06:00,536.1875 kWh
2017-09-03T00:00:00-06:00,526.71875 kWh
2017-09-04T00:00:00-06:00,546.1875 kWh
2017-09-05T00:00:00-06:00,786.34375 kWh
2017-09-06T00:00:00-06:00,762.71875 kWh
2017-09-07T00:00:00-06:00,734.625 kWh
2017-09-08T00:00:00-06:00,704.71875 kWh
2017-09-09T00:00:00-06:00,544.71875 kWh
2017-09-10T00:00:00-06:00,543.09375 kWh
2017-09-11T00:00:00-06:00,718.78125 kWh
2017-09-12T00:00:00-06:00,725.5 kWh
2017-09-13T00:00:00-06:00,806.8125 kWh
2017-09-14T00:00:00-06:00,814.71875 kWh
2017-09-15T00:00:00-06:00,777.34375 kWh
2017-09-16T00:00:00-06:00,576.3125 kWh
2017-09-17T00:00:00-06:00,538.28125 kWh
2017-09-18T00:00:00-06:00,729.53125 kWh
2017-09-19T00:00:00-06:00,795.6875 kWh
2017-09-20T00:00:00-06:00,791.90625 kWh
2017-09-21T00:00:00-06:00,842.28125 kWh
2017-09-22T00:00:00-06:00,820.21875 kWh
2017-09-23T00:00:00-06:00,601.5625 kWh
2017-09-24T00:00:00-06:00,592.25 kWh
2017-09-25T00:00:00-06:00,819.125 kWh
2017-09-26T00:00:00-06:00,815.90625 kWh
2017-09-27T00:00:00-06:00,818.71875 kWh
2017-09-28T00:00:00-06:00,849.9375 kWh
2017-09-29T00:00:00-06:00,814.09375 kWh
2017-09-30T00:00:00-06:00,554.03125 kWh
2017-10-01T00:00:00-06:00,588.59375 kWh
2017-10-02T00:00:00-06:00,814.5625 kWh
2017-10-03T00:00:00-06:00,793 kWh
2017-10-04T00:00:00-06:00,792.90625 kWh
2017-10-05T00:00:00-06:00,818.8125 kWh
2017-10-06T00:00:00-06:00,749.4375 kWh
2017-10-07T00:00:00-06:00,575.03125 kWh
2017-10-08T00:00:00-06:00,549.71875 kWh
2017-10-09T00:00:00-06:00,714.78125 kWh
2017-10-10T00:00:00-06:00,787 kWh
2017-10-11T00:00:00-06:00,726.25 kWh
2017-10-12T00:00:00-06:00,817.40625 kWh
2017-10-13T00:00:00-06:00,771.0625 kWh
2017-10-14T00:00:00-06:00,615.40625 kWh
2017-10-15T00:00:00-06:00,617.25 kWh
2017-10-16T00:00:00-06:00,812.46875 kWh
2017-10-17T00:00:00-06:00,772.71875 kWh
2017-10-18T00:00:00-06:00,782.78125 kWh
2017-10-19T00:00:00-06:00,810.59375 kWh
2017-10-20T00:00:00-06:00,879.625 kWh
2017-10-21T00:00:00-06:00,624.5625 kWh
2017-10-22T00:00:00-06:00,545.28125 kWh
2017-10-23T00:00:00-06:00,729.59375 kWh
