Timestamp,"['1ef46860-c81c5da5 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,39.196170806884766 kW
2017-01-02T00:00:00-07:00,41.263206481933594 kW
2017-01-03T00:00:00-07:00,49.413734436035156 kW
2017-01-04T00:00:00-07:00,46.458892822265625 kW
2017-01-05T00:00:00-07:00,45.47432327270508 kW
2017-01-06T00:00:00-07:00,44.256412506103516 kW
2017-01-07T00:00:00-07:00,43.42659378051758 kW
2017-01-08T00:00:00-07:00,43.52455520629883 kW
2017-01-09T00:00:00-07:00,61.25111770629883 kW
2017-01-10T00:00:00-07:00,60.174644470214844 kW
2017-01-11T00:00:00-07:00,63.39430618286133 kW
2017-01-12T00:00:00-07:00,60.23944854736328 kW
2017-01-13T00:00:00-07:00,49.96977996826172 kW
2017-01-14T00:00:00-07:00,44.99307632446289 kW
2017-01-15T00:00:00-07:00,45.40372085571289 kW
2017-01-16T00:00:00-07:00,46.23460006713867 kW
2017-01-17T00:00:00-07:00,57.43106460571289 kW
2017-01-18T00:00:00-07:00,58.105892181396484 kW
2017-01-19T00:00:00-07:00,60.238914489746094 kW
2017-01-20T00:00:00-07:00,52.50981903076172 kW
2017-01-21T00:00:00-07:00,41.22005081176758 kW
2017-01-22T00:00:00-07:00,46.30083465576172 kW
2017-01-23T00:00:00-07:00,59.940284729003906 kW
2017-01-24T00:00:00-07:00,61.56260299682617 kW
2017-01-25T00:00:00-07:00,54.597801208496094 kW
2017-01-26T00:00:00-07:00,55.168861389160156 kW
2017-01-27T00:00:00-07:00,48.635677337646484 kW
2017-01-28T00:00:00-07:00,46.38633728027344 kW
2017-01-29T00:00:00-07:00,44.85746765136719 kW
2017-01-30T00:00:00-07:00,55.02492141723633 kW
2017-01-31T00:00:00-07:00,55.97942352294922 kW
2017-02-01T00:00:00-07:00,56.681427001953125 kW
2017-02-02T00:00:00-07:00,59.29961395263672 kW
2017-02-03T00:00:00-07:00,49.7142333984375 kW
2017-02-07T00:00:00-07:00,57.25503921508789 kW
2017-02-08T00:00:00-07:00,56.49481201171875 kW
2017-02-09T00:00:00-07:00,59.17679214477539 kW
2017-02-10T00:00:00-07:00,58.0280647277832 kW
2017-02-11T00:00:00-07:00,49.31710433959961 kW
2017-02-12T00:00:00-07:00,47.11386489868164 kW
2017-02-13T00:00:00-07:00,55.600555419921875 kW
2017-02-14T00:00:00-07:00,55.11320495605469 kW
2017-02-15T00:00:00-07:00,53.32929611206055 kW
2017-02-16T00:00:00-07:00,55.871280670166016 kW
2017-02-17T00:00:00-07:00,46.47682189941406 kW
2017-02-18T00:00:00-07:00,34.447601318359375 kW
2017-02-19T00:00:00-07:00,36.231842041015625 kW
2017-02-20T00:00:00-07:00,44.500526428222656 kW
2017-02-21T00:00:00-07:00,57.68075180053711 kW
